name,count,rank,pctapi,pctblack,pctaian,pctwhite,pcttworace,pcthispanic,prop100k,year
Wesley,23135,1555,0.92,48.95,2.76,41.86,3.05,2.47,7.84,2010
Hidalgo,23134,1556,3.79,0.29,0.13,9.52,0.48,85.79,7.84,2010
Daley,23132,1408,0.52,14.25,0.37,81.33,1.87,1.66,8.57,2000
Cabral,23128,1557,3.87,2.7,0.33,44.82,2.17,46.11,7.84,2010
Cordero,23127,1409,4.99,0.85,0.36,9.31,0.86,83.63,8.57,2000
Samuel,23125,1558,15.76,53.6,0.91,23.04,2.87,3.83,7.84,2010
Mckinley,23124,1410,0.42,18.95,0.93,76.77,1.34,1.6,8.57,2000
Velasco,23114,1411,10.94,0.24,0.48,7.35,0.94,80.06,8.57,2000
Lacy,23110,1559,0.54,30.15,0.72,63.22,2.67,2.69,7.83,2010
Masters,23106,1412,0.64,2.89,0.77,92.46,1.55,1.69,8.57,2000
Driscoll,23063,1413,0.36,1.54,0.27,95.48,0.85,1.51,8.55,2000
Gallo,23056,1560,1.42,0.95,0.12,74.48,1.01,22.02,7.82,2010
Egan,23048,1561,1.01,0.58,0.33,94.48,1.24,2.36,7.81,2010
Burrell,23048,1414,0.31,45.89,0.55,49.12,2.1,2.03,8.54,2000
Valle,23039,1415,1.46,0.76,0.27,13.06,0.79,83.66,8.54,2000
Aldridge,23034,1562,0.36,15.06,0.63,80.09,1.88,1.96,7.81,2010
Crow,23031,1416,0.45,2.73,2.36,90.94,1.69,1.84,8.54,2000
Devine,23016,1417,0.54,6.61,0.58,89.54,1.18,1.56,8.53,2000
Swenson,23009,1563,0.66,0.51,0.36,95.49,1.33,1.65,7.8,2010
Larkin,23004,1418,0.45,12.05,0.4,84.04,1.33,1.73,8.53,2000
Swan,23001,1564,0.92,12.91,2.19,79.17,2.39,2.43,7.8,2010
Chappell,23001,1419,0.27,18.4,0.51,78.17,1.4,1.24,8.53,2000
Pollock,22994,1420,0.49,6.58,0.53,89.21,1.07,2.11,8.52,2000
Ly,22990,1421,94.52,0.8,0.03,1.24,2.71,0.69,8.52,2000
Kimball,22990,1421,0.5,2.32,0.43,94.07,1.1,1.58,8.52,2000
Schmitz,22984,1423,0.42,0.18,0.25,97.22,0.84,1.1,8.52,2000
Stratton,22983,1565,0.6,4.65,0.48,90.31,1.77,2.19,7.79,2010
Hinkle,22983,1565,0.59,5.52,0.54,90.05,1.45,1.85,7.79,2010
Butcher,22978,1567,0.49,9.04,1.12,84.6,1.88,2.87,7.79,2010
Lu,22977,1424,95.73,0.22,0.06,1.65,1.72,0.63,8.52,2000
Rubin,22969,1425,0.89,5.57,0.07,90.06,1.13,2.28,8.51,2000
Ornelas,22969,1568,0.22,0.22,0.27,6.12,0.18,92.99,7.79,2010
Forrest,22954,1569,0.64,20.34,0.73,73.39,2.44,2.46,7.78,2010
Self,22954,1426,0.36,5.17,1.18,90.28,1.42,1.6,8.51,2000
Barrios,22941,1427,1.62,0.44,0.33,10.84,0.47,86.31,8.5,2000
Colbert,22940,1570,0.45,45.48,1.99,45.91,3.58,2.59,7.78,2010
Aleman,22927,1571,0.28,0.44,0.08,7.83,0.17,91.19,7.77,2010
Pereira,22921,1428,4.17,1.97,0.18,59.74,7.26,26.67,8.5,2000
Phipps,22919,1429,0.41,11.48,0.56,84.14,1.57,1.84,8.5,2000
Mcmanus,22903,1430,0.62,4.8,0.36,91.67,1.04,1.5,8.49,2000
Nance,22900,1431,0.33,22.23,0.62,73.75,1.6,1.47,8.49,2000
Rodriquez,22892,1572,0.45,1.77,0.73,7.25,0.37,89.42,7.76,2010
Steiner,22874,1432,0.44,0.78,0.24,96.03,0.95,1.55,8.48,2000
Poe,22865,1433,1.17,12.4,0.85,82.14,1.64,1.8,8.48,2000
Crockett,22850,1434,0.34,31.77,0.49,64.42,1.69,1.29,8.47,2000
Arrington,22840,1573,0.35,43.21,0.55,51.21,2.61,2.07,7.74,2010
Jeffries,22839,1435,0.38,28.95,1.02,66.13,2.02,1.5,8.47,2000
Goins,22837,1574,0.32,25.18,2.46,66.43,3.37,2.25,7.74,2010
Whaley,22833,1575,0.6,14.7,0.44,80.79,1.8,1.68,7.74,2010
Amos,22817,1436,0.74,28.1,1.98,65.71,1.42,2.06,8.46,2000
Nix,22814,1437,0.49,12.33,0.85,83.63,1.35,1.36,8.46,2000
Newsome,22803,1438,0.23,37.67,0.27,58.81,1.8,1.22,8.45,2000
Dooley,22798,1439,0.32,7.08,0.61,89.35,1.28,1.36,8.45,2000
Esposito,22789,1576,0.42,0.34,0.11,93.58,0.68,4.88,7.73,2010
Payton,22773,1440,0.38,39.62,0.92,55.61,1.89,1.59,8.44,2000
Neff,22764,1577,0.67,1.02,0.42,94.78,1.33,1.79,7.72,2010
Rosen,22763,1441,0.65,0.41,0.23,96.19,1.06,1.47,8.44,2000
Swenson,22762,1442,0.52,0.55,0.3,96.55,0.98,1.09,8.44,2000
Connelly,22747,1443,0.47,2.79,0.44,93.63,1.07,1.6,8.43,2000
Mead,22727,1578,0.99,2.58,0.7,91.36,1.74,2.63,7.7,2010
Tolbert,22720,1444,0.22,49.38,0.56,46.6,1.99,1.26,8.42,2000
Casillas,22710,1579,0.23,0.18,0.33,5.02,0.2,94.05,7.7,2010
Segura,22689,1445,0.45,1.66,0.35,10.2,0.56,86.78,8.41,2000
Lilly,22662,1580,0.6,17.21,0.75,76.97,2,2.46,7.68,2010
Esposito,22651,1446,0.24,0.29,0.1,94.61,1.07,3.7,8.4,2000
Biggs,22641,1581,0.45,12.89,0.68,81.54,1.83,2.6,7.68,2010
Coker,22636,1447,0.27,10.77,1.15,84.75,1.57,1.49,8.39,2000
Yeager,22634,1582,0.54,1.7,0.61,93.95,1.34,1.86,7.67,2010
Biggs,22634,1448,0.29,13.23,0.65,82.69,1.46,1.67,8.39,2000
Godwin,22628,1583,0.63,12.47,1.7,81.14,1.97,2.09,7.67,2010
Sprague,22610,1584,0.62,0.92,0.78,93.62,1.61,2.45,7.66,2010
Rosen,22596,1585,0.83,0.63,0.33,94.48,1.03,2.7,7.66,2010
Quintanilla,22581,1586,1.85,0.34,0.14,4.33,0.45,92.89,7.66,2010
Hinkle,22581,1449,0.38,5.21,0.56,91.44,1.37,1.04,8.37,2000
Thurman,22564,1450,0.43,22.68,0.67,72.7,1.56,1.96,8.36,2000
Otto,22558,1587,1.18,2.06,0.6,92.73,1.19,2.23,7.65,2010
Drew,22555,1451,0.63,17.3,0.59,77.92,1.8,1.77,8.36,2000
Billings,22553,1588,0.63,11.37,0.95,82.66,1.9,2.48,7.65,2010
Ivey,22552,1452,0.27,21.51,0.95,74.62,1.39,1.26,8.36,2000
Connell,22552,1589,0.54,3.41,0.43,91.78,1.44,2.4,7.65,2010
Temple,22549,1590,0.85,14.58,0.43,79.75,2.12,2.28,7.64,2010
Boswell,22540,1591,0.51,16.31,1.37,77.11,2.37,2.33,7.64,2010
Bullard,22539,1453,0.4,16.66,6.13,73.77,1.75,1.28,8.36,2000
Baez,22512,1454,0.16,0.96,0.09,5,0.41,93.37,8.35,2000
Neff,22509,1455,0.52,0.81,0.6,95.7,1.1,1.28,8.34,2000
Maher,22503,1456,0.78,0.39,0.33,95.47,1.33,1.7,8.34,2000
Koenig,22499,1592,0.66,0.35,0.65,94.87,1.22,2.25,7.63,2010
Colvin,22499,1592,0.56,18.65,0.64,75.23,2.07,2.84,7.63,2010
Stratton,22498,1457,0.48,4.33,0.57,91.85,1.48,1.29,8.34,2000
Erwin,22496,1594,0.76,6.17,0.85,87.78,1.75,2.68,7.63,2010
Tellez,22494,1595,0.3,0.16,0.19,4.5,0.09,94.76,7.63,2010
Egan,22491,1458,0.5,0.44,0.4,96.12,1,1.54,8.34,2000
Norwood,22461,1596,0.41,41.38,0.65,52.53,2.7,2.33,7.61,2010
Dubois,22455,1459,0.57,5.84,1.46,88.14,1.62,2.38,8.32,2000
Gallardo,22435,1460,3.42,0.14,0.22,6.82,0.72,88.68,8.32,2000
Blue,22422,1461,0.6,44.8,3.23,47.91,2.16,1.29,8.31,2000
Milligan,22416,1597,0.46,12.04,1.03,80.97,2.03,3.46,7.6,2010
Rainey,22397,1462,0.28,30.81,0.5,65.7,1.47,1.24,8.3,2000
Ames,22385,1598,0.96,7.88,0.62,84.65,1.89,4,7.59,2010
Purcell,22383,1599,1.34,6.81,0.5,86.7,1.86,2.79,7.59,2010
Ludwig,22380,1600,0.92,0.25,0.2,95.04,1.37,2.21,7.59,2010
Yeager,22374,1463,0.34,1.77,0.56,95,1.22,1.1,8.29,2000
Souza,22373,1601,3.09,2.7,0.29,80.98,5.02,7.92,7.58,2010
Huggins,22371,1602,0.54,27.01,1.14,66.29,2.27,2.76,7.58,2010
Amador,22370,1603,1.48,0.36,0.34,7.78,0.32,89.72,7.58,2010
Dunham,22362,1604,0.52,9.85,0.65,85.12,1.93,1.94,7.58,2010
Saucedo,22357,1464,0.13,0.14,0.37,3.9,0.31,95.15,8.29,2000
Goode,22356,1605,0.45,32.26,0.97,61.32,2.42,2.57,7.58,2010
Kauffman,22353,1606,0.61,0.51,0.19,95.92,1.06,1.72,7.58,2010
Piper,22329,1607,0.68,8.04,0.93,86.35,1.85,2.15,7.57,2010
Oleary,22329,1607,0.77,1.03,0.42,93.69,1.5,2.59,7.57,2010
Cuellar,22324,1609,0.4,0.3,0.3,7.17,0.23,91.61,7.57,2010
Ferreira,22320,1465,1.39,1.54,0.33,67.78,7,21.96,8.27,2000
Steward,22318,1610,0.43,37.76,0.65,55.49,3.12,2.55,7.57,2010
Winn,22316,1611,1.3,18,0.81,75.28,2.31,2.31,7.57,2010
Gary,22310,1612,0.66,46.31,0.5,47.41,2.44,2.68,7.56,2010
Zhao,22301,1613,98.11,0.13,0.02,0.96,0.52,0.26,7.56,2010
Sewell,22294,1614,0.65,24.23,0.64,69.47,2.61,2.4,7.56,2010
Browne,22289,1615,1.02,25.7,0.39,66.9,2.85,3.14,7.56,2010
Ramey,22287,1616,0.38,10.19,0.6,84.77,1.93,2.13,7.56,2010
Sprague,22283,1466,0.48,0.74,0.72,95.07,1.26,1.74,8.26,2000
Davison,22276,1617,0.62,13.93,0.72,79.42,2.3,3.01,7.55,2010
Lacy,22250,1467,0.48,29.01,0.67,66.21,1.93,1.7,8.25,2000
Hurtado,22247,1468,0.3,0.3,0.44,5.18,0.34,93.45,8.25,2000
Clifford,22245,1618,0.74,3.7,1.84,89.17,1.6,2.96,7.54,2010
Stahl,22211,1619,0.61,0.25,0.36,95.22,1.25,2.31,7.53,2010
Ybarra,22211,1619,0.4,0.3,0.6,10.33,0.31,88.06,7.53,2010
Heard,22211,1469,0.3,53.7,0.32,42.3,2,1.38,8.23,2000
Samuels,22207,1621,0.73,53.38,1.22,38.83,2.7,3.13,7.53,2010
Dukes,22187,1622,0.29,50.72,0.29,43.87,2.3,2.53,7.52,2010
Connell,22183,1470,0.38,3.36,0.32,93.51,1.07,1.36,8.22,2000
Sheridan,22177,1623,0.62,3.55,0.96,91.14,1.44,2.29,7.52,2010
Snell,22177,1623,0.6,17.34,1.68,75.29,1.98,3.11,7.52,2010
Vickers,22176,1625,0.42,15.89,0.52,79.07,2.11,1.98,7.52,2010
Stahl,22163,1471,0.46,0.23,0.33,96.49,1.07,1.42,8.22,2000
Aldridge,22160,1472,0.32,13.94,0.58,82.28,1.51,1.36,8.21,2000
Cartwright,22156,1626,0.56,16.69,0.74,77,2.68,2.33,7.51,2010
Amaya,22149,1473,0.37,0.37,0.2,5.18,0.43,93.44,8.21,2000
Link,22137,1627,0.81,4.35,0.41,91.24,1.36,1.82,7.5,2010
Blackmon,22130,1628,0.27,47.24,0.49,47.79,2.45,1.77,7.5,2010
Forrest,22124,1474,0.53,19.64,0.66,76.03,1.55,1.59,8.2,2000
Erwin,22120,1475,0.45,5.89,0.65,89.84,1.32,1.85,8.2,2000
Gunn,22120,1475,0.74,25.09,0.55,70.45,1.6,1.57,8.2,2000
Bunch,22117,1629,0.5,15.48,1.26,78.72,1.96,2.08,7.5,2010
Grimm,22103,1630,0.67,0.82,0.36,94.87,1.24,2.04,7.49,2010
Meade,22091,1631,0.81,7.19,0.47,87.03,1.79,2.72,7.49,2010
Swan,22082,1477,0.72,12.02,2.15,81.75,1.77,1.59,8.19,2000
Butcher,22077,1478,0.36,8.38,0.95,86.73,1.69,1.9,8.18,2000
Rosado,22066,1479,0.36,1.51,0.11,7.17,0.54,90.31,8.18,2000
Godwin,22062,1480,0.41,11.85,1.55,83.83,1.16,1.2,8.18,2000
Silver,22052,1632,0.84,11.89,1.95,80.33,1.89,3.1,7.48,2010
Ojeda,22045,1633,0.86,0.44,0.11,4.75,0.19,93.65,7.47,2010
Geiger,22039,1634,0.57,6.23,0.2,89.64,1.42,1.94,7.47,2010
Dodge,22035,1635,0.69,0.75,1.6,92.43,1.8,2.72,7.47,2010
Kraft,22035,1635,0.7,0.69,0.55,94.3,1.56,2.21,7.47,2010
Hand,22034,1481,0.53,6.03,0.71,90.12,1.36,1.24,8.17,2000
Lujan,22021,1637,1.21,0.25,2.47,9.03,0.8,86.24,7.47,2010
Babcock,22016,1638,0.72,0.59,0.49,94.17,1.63,2.41,7.46,2010
Gabriel,22013,1482,7.49,17.32,0.51,60.43,2.87,11.38,8.16,2000
Hand,22006,1639,0.73,5.94,0.7,88.84,1.73,2.05,7.46,2010
Otto,22001,1483,0.59,1.45,0.52,94.82,1.15,1.48,8.16,2000
Whaley,22000,1484,0.36,14.11,0.48,82.61,1.3,1.14,8.16,2000
Ludwig,21994,1485,0.53,0.24,0.23,96.49,1.08,1.42,8.15,2000
Winkler,21993,1640,0.59,1.61,0.41,93.78,1.35,2.26,7.46,2010
Clifford,21974,1486,0.56,3.53,1.84,91.16,1.29,1.61,8.15,2000
Grove,21969,1487,0.43,4.03,0.4,92.55,1.14,1.45,8.14,2000
Painter,21969,1641,0.66,1.04,0.84,94.12,1.54,1.79,7.45,2010
Beaver,21963,1488,0.41,4.85,3.33,88.21,1.72,1.48,8.14,2000
Silver,21956,1489,0.63,10.73,1.85,82.6,1.55,2.63,8.14,2000
Dang,21953,1490,94.11,0.41,0.03,2.52,2.25,0.68,8.14,2000
Regan,21951,1642,0.91,1.87,0.34,92.93,1.36,2.59,7.44,2010
Hammer,21947,1491,0.51,0.91,1.32,94.29,1.38,1.6,8.14,2000
Bragg,21934,1643,0.41,14.28,0.36,80.74,2.21,2.01,7.44,2010
Engel,21933,1644,0.58,0.26,0.33,95.2,1.29,2.33,7.44,2010
Dick,21933,1492,0.57,2.96,3.83,89.94,1.4,1.3,8.13,2000
Boswell,21927,1493,0.35,15.44,1.23,79.61,1.78,1.59,8.13,2000
Mead,21919,1494,0.63,2.32,0.74,92.94,1.47,1.91,8.13,2000
Colvin,21908,1495,0.47,17.75,0.54,77.58,1.65,2,8.12,2000
Oleary,21904,1496,0.52,1.1,0.47,95.13,1.02,1.76,8.12,2000
Milligan,21887,1497,0.32,11.45,0.87,83.45,1.69,2.23,8.11,2000
Goins,21872,1498,0.32,25.16,2.28,68.35,2.42,1.46,8.11,2000
Valadez,21859,1645,0.18,0.18,0.25,4.75,0.17,94.46,7.41,2010
Ames,21855,1499,0.86,7.98,0.75,86.11,1.56,2.74,8.1,2000
Carbajal,21838,1646,0.52,0.38,0.22,4.06,0.12,94.68,7.4,2010
Redmond,21834,1647,0.5,28.7,0.31,66.28,1.95,2.26,7.4,2010
Dodge,21833,1500,0.55,0.55,1.62,94.11,1.21,1.95,8.09,2000
Kaur,21825,1501,89.33,0.16,0.46,0.84,8.88,0.33,8.09,2000
Jarrett,21821,1648,0.43,26.22,0.54,68.37,2.33,2.1,7.4,2010
Bolden,21819,1649,0.26,72.27,0.29,21.14,3.67,2.37,7.4,2010
Wolff,21815,1650,0.74,0.72,0.39,94.47,1.37,2.32,7.4,2010
Thorpe,21813,1651,0.53,25.36,0.71,68.62,2.3,2.49,7.39,2010
Hassan,21801,1652,19.2,38.95,0.24,33.76,4.72,3.14,7.39,2010
Escobedo,21790,1502,0.42,0.11,0.26,4.27,0.31,94.64,8.08,2000
Arredondo,21785,1503,0.14,0.19,0.31,5.17,0.34,93.84,8.08,2000
Geiger,21785,1503,0.35,5.51,0.22,91.62,1.1,1.2,8.08,2000
Winkler,21783,1505,0.47,1.32,0.35,95.5,1.12,1.24,8.07,2000
Dunham,21772,1506,0.45,9.4,0.64,86.88,1.37,1.24,8.07,2000
Hadley,21771,1653,1.12,15.64,1.67,77.42,1.86,2.29,7.38,2010
Temple,21771,1507,0.63,14,0.46,81.89,1.52,1.49,8.07,2000
Babcock,21769,1508,0.49,0.53,0.45,95.8,1.2,1.53,8.07,2000
Billings,21764,1509,0.46,10.56,0.94,85.09,1.26,1.69,8.07,2000
Grimm,21757,1510,0.56,0.88,0.35,95.88,0.87,1.46,8.07,2000
Healy,21751,1654,0.8,0.67,0.74,94.32,1.32,2.17,7.37,2010
Lilly,21742,1511,0.36,17.15,0.74,78.4,1.65,1.7,8.06,2000
Mcdonough,21739,1655,0.52,0.36,0.2,95.81,1.22,1.88,7.37,2010
Shin,21735,1656,94.98,0.28,0.03,2.59,1.73,0.4,7.37,2010
Wesley,21734,1512,0.65,48.51,2.54,44.34,2.29,1.66,8.06,2000
Grove,21732,1657,0.54,4.42,0.44,90.91,1.55,2.14,7.37,2010
Mcghee,21727,1513,0.26,47.19,1.66,47.39,2.2,1.3,8.05,2000
Painter,21725,1514,0.52,0.93,0.76,95.64,1.04,1.11,8.05,2000
Siegel,21725,1514,0.48,0.34,0.09,96.94,0.96,1.19,8.05,2000
Block,21717,1658,0.76,4.15,0.33,90.69,1.69,2.38,7.36,2010
Peacock,21712,1659,0.53,10.99,0.78,83.59,1.87,2.24,7.36,2010
Ohara,21710,1660,3.4,2.81,0.28,88.39,1.8,3.33,7.36,2010
Hammer,21709,1661,0.53,0.95,1.45,92.82,1.78,2.47,7.36,2010
Bower,21705,1516,0.48,1.51,0.43,95.04,1.09,1.46,8.05,2000
Purcell,21696,1517,1.13,6.04,0.49,88.94,1.46,1.94,8.04,2000
Block,21686,1518,0.51,4.14,0.33,92.41,1.26,1.36,8.04,2000
Aguilera,21685,1519,0.6,0.29,0.26,5.02,0.35,93.48,8.04,2000
Norwood,21678,1520,0.3,40.09,0.66,55.45,1.89,1.61,8.04,2000
Sheridan,21668,1521,0.57,3.36,0.81,92.47,1.07,1.72,8.03,2000
Feliciano,21667,1662,5.64,1.21,0.09,8.1,0.9,84.05,7.35,2010
Winston,21667,1662,0.73,62.66,0.28,30.3,3.65,2.38,7.35,2010
Betancourt,21663,1664,0.19,0.94,0.19,7.3,0.21,91.17,7.34,2010
Cartwright,21654,1522,0.45,15.91,0.78,79.04,2.1,1.72,8.03,2000
Coates,21652,1523,0.4,24.04,0.55,71.51,1.63,1.86,8.03,2000
Beaver,21640,1665,0.43,5.09,3.13,87.06,2.16,2.13,7.34,2010
Godinez,21640,1665,0.58,0.1,0.21,3.69,0.21,95.22,7.34,2010
Kilgore,21627,1667,0.43,12.26,0.73,82.41,2.09,2.09,7.33,2010
Davison,21627,1524,0.53,13.61,0.61,81.85,1.61,1.78,8.02,2000
Regan,21624,1525,0.64,1.95,0.28,94.64,1,1.49,8.02,2000
Ramey,21618,1526,0.3,10.19,0.66,86.12,1.41,1.32,8.01,2000
Mcgraw,21614,1668,0.51,11.76,0.56,82.49,1.82,2.87,7.33,2010
Koenig,21606,1527,0.56,0.27,0.63,96.04,0.91,1.6,8.01,2000
Dahl,21598,1669,0.75,0.51,0.66,94.45,1.58,2.04,7.32,2010
Diamond,21586,1670,0.87,8.68,0.51,85.02,1.85,3.07,7.32,2010
Pimentel,21579,1671,4.21,0.7,0.14,19.85,0.9,74.21,7.32,2010
Kraft,21579,1528,0.54,0.63,0.61,95.67,1.04,1.51,8.0,2000
Bunch,21574,1529,0.33,13.86,1.15,81.54,1.62,1.5,8.0,2000
Tan,21567,1530,91.3,0.26,0.14,3.93,3.22,1.15,7.99,2000
Engel,21567,1530,0.53,0.24,0.32,96.29,1.09,1.53,7.99,2000
Winn,21566,1532,1.04,18.05,0.79,76.73,1.75,1.64,7.99,2000
Cornell,21558,1672,0.96,5.12,0.67,88.57,1.87,2.82,7.31,2010
Steward,21558,1533,0.43,37.97,0.58,57.45,1.93,1.64,7.99,2000
Link,21553,1534,0.54,4.26,0.41,92.56,1.1,1.12,7.99,2000
Vickers,21544,1535,0.28,15.05,0.43,81.68,1.26,1.29,7.99,2000
Bragg,21540,1536,0.27,14.14,0.39,82.27,1.54,1.39,7.98,2000
Arreola,21540,1673,1.69,0.11,0.11,2.71,0.19,95.2,7.3,2010
Siegel,21536,1674,0.69,0.38,0.14,95.83,1.01,1.95,7.3,2010
Hankins,21532,1675,0.59,19.2,0.54,74.87,2.27,2.52,7.3,2010
Piper,21526,1537,0.52,7.54,0.71,88.6,1.3,1.34,7.98,2000
Raines,21518,1676,0.46,14.69,0.71,79.92,1.91,2.3,7.29,2010
Thacker,21512,1677,1.29,5.03,0.54,89.6,1.72,1.82,7.29,2010
Sadler,21504,1678,0.58,14.16,0.56,80.2,1.99,2.5,7.29,2010
Huggins,21499,1538,0.33,26.21,1.15,68.66,1.9,1.75,7.97,2000
Michel,21487,1539,0.4,16.32,0.72,58.87,2.6,21.09,7.97,2000
Sotelo,21455,1679,1.98,0.22,0.26,4.67,0.47,92.4,7.27,2010
Dugan,21455,1679,0.99,3.22,0.48,91.1,1.52,2.69,7.27,2010
Cote,21446,1681,0.77,0.46,0.57,93.85,1.48,2.86,7.27,2010
Bower,21445,1682,0.62,1.48,0.41,93.85,1.3,2.34,7.27,2010
Miner,21439,1683,0.9,5.66,1.31,87.41,1.95,2.76,7.27,2010
Healy,21407,1540,0.5,1.21,0.71,95.06,1.06,1.46,7.94,2000
Brantley,21395,1684,0.32,35.48,0.63,59.23,2.36,1.97,7.25,2010
Sheets,21384,1685,0.43,1.55,0.51,93.75,1.63,2.13,7.25,2010
Sherwood,21384,1685,0.58,2.94,1.06,90.71,1.65,3.06,7.25,2010
Pinto,21366,1687,4.92,2.76,3.15,50.01,1.3,37.85,7.24,2010
Doss,21366,1687,0.92,23.51,0.39,71.18,1.92,2.07,7.24,2010
Stiles,21357,1689,0.52,3.71,0.75,90.83,1.83,2.35,7.24,2010
Jacob,21354,1541,15.67,10.05,1.03,67.58,2.55,3.11,7.92,2000
Willard,21352,1690,0.49,4.6,1.14,89.88,1.78,2.1,7.24,2010
Mcdonough,21340,1542,0.43,0.3,0.14,97.19,0.77,1.16,7.91,2000
Wolff,21321,1543,0.51,0.55,0.36,95.66,1.24,1.69,7.9,2000
Colbert,21306,1544,0.31,45.66,1.82,48.09,2.42,1.69,7.9,2000
Zepeda,21305,1545,0.29,0.21,0.52,4.75,0.27,93.96,7.9,2000
Waddell,21301,1691,0.47,14.51,0.36,80.85,1.74,2.08,7.22,2010
Stanford,21295,1692,0.58,23.04,0.61,71.25,2.14,2.38,7.22,2010
Latham,21277,1693,0.49,16.05,0.53,79.03,1.91,1.99,7.21,2010
Hoang,21269,1546,95.79,0.17,0.07,1.39,1.98,0.61,7.88,2000
Dugan,21267,1547,0.63,3.02,0.52,92.74,1.09,2.01,7.88,2000
Zhu,21265,1694,98.23,,,0.88,0.58,0.16,7.21,2010
Kilgore,21264,1548,0.35,11.72,0.52,84.55,1.48,1.38,7.88,2000
Meade,21264,1548,0.48,6.82,0.64,88.67,1.62,1.77,7.88,2000
Irvin,21263,1695,0.44,26.11,0.63,68,2.45,2.38,7.21,2010
Matos,21258,1696,0.45,1.53,0.14,16.83,0.32,80.73,7.21,2010
Guillen,21257,1550,0.97,0.44,0.16,6.09,0.46,91.88,7.88,2000
Do,21230,1551,94.86,0.39,0.04,1.97,2.1,0.64,7.87,2000
Hinojosa,21228,1552,0.17,0.11,0.19,5.38,0.35,93.8,7.87,2000
Goode,21226,1553,0.41,31.43,0.94,63.86,1.62,1.73,7.87,2000
Arrington,21216,1554,0.31,42.41,0.58,53.42,2.01,1.28,7.86,2000
Gary,21213,1555,0.5,45.13,0.55,50.07,1.76,1.98,7.86,2000
Gagnon,21208,1697,0.56,0.31,0.72,94.63,1.65,2.12,7.19,2010
Carlton,21202,1698,0.51,14.68,0.62,79.69,2.1,2.39,7.19,2010
Snell,21192,1556,0.41,16.64,1.64,77.92,1.42,1.96,7.86,2000
Willard,21183,1557,0.32,4.33,1.08,91.61,1.48,1.18,7.85,2000
Tidwell,21176,1699,0.38,11.02,0.86,84,1.7,2.04,7.18,2010
Lovell,21171,1700,0.8,6.03,1.12,87.61,2.18,2.26,7.18,2010
Hoyt,21169,1701,0.67,2.12,0.75,92.22,1.63,2.63,7.18,2010
Spivey,21161,1702,0.39,27.22,0.45,67.93,2.13,1.89,7.17,2010
Renteria,21159,1558,0.18,0.25,0.5,4.65,0.39,94.03,7.84,2000
Chacon,21153,1559,0.45,0.33,0.64,6.96,0.48,91.15,7.84,2000
Gallo,21149,1560,1,0.85,0.11,80.15,0.96,16.94,7.84,2000
Jean,21140,1703,1.89,70.28,0.35,22.89,2.04,2.54,7.17,2010
Hankins,21138,1561,0.4,19.42,0.66,76.23,1.76,1.53,7.84,2000
Land,21116,1704,0.63,11.85,0.66,82.26,1.97,2.63,7.16,2010
Patino,21113,1705,0.79,0.27,0.11,6.34,0.28,92.21,7.16,2010
Montano,21110,1562,1.59,0.47,0.77,11.94,0.69,84.54,7.83,2000
Marrero,21109,1706,0.56,2.03,0.08,7.8,0.25,89.28,7.16,2010
Browne,21109,1563,0.88,22.93,0.53,71.21,2.32,2.14,7.83,2000
Hager,21106,1707,0.5,1.36,0.45,94.35,1.44,1.89,7.16,2010
Peacock,21106,1564,0.39,10.33,0.77,85.98,1.27,1.26,7.82,2000
Ohara,21068,1565,3.5,2.7,0.23,89.79,1.42,2.35,7.81,2000
Cornell,21060,1566,0.69,4.43,0.54,90.94,1.44,1.96,7.81,2000
Hurt,21037,1708,0.39,23.62,0.76,70.8,2.33,2.1,7.13,2010
Ash,21030,1709,0.54,13.4,0.51,81.09,2.14,2.31,7.13,2010
Hagan,21017,1710,1.02,8.8,0.47,85.81,1.57,2.34,7.12,2010
Brito,21007,1711,0.84,2.73,0.16,10.93,0.56,84.78,7.12,2010
Sherwood,20998,1567,0.63,2.61,0.91,92.29,1.32,2.23,7.78,2000
Lanier,20997,1712,0.37,27.72,0.43,67.48,2.12,1.88,7.12,2010
Zarate,20992,1713,2.02,0.25,0.19,4.04,0.22,93.28,7.12,2010
Castellanos,20985,1568,0.21,0.26,0.17,5.01,0.42,93.93,7.78,2000
Major,20977,1714,0.66,32.84,0.53,61.06,2.24,2.67,7.11,2010
Thorpe,20960,1569,0.52,24.53,0.7,70.85,1.77,1.62,7.77,2000
Escamilla,20958,1715,0.3,0.22,0.22,4.8,0.16,94.3,7.1,2010
Stiles,20957,1570,0.39,3.58,0.64,92.56,1.33,1.5,7.77,2000
Sadler,20939,1571,0.32,13.92,0.49,82.15,1.57,1.55,7.76,2000
Otero,20937,1716,0.54,0.66,0.71,8.97,0.24,88.88,7.1,2010
Latham,20935,1572,0.4,15.34,0.63,80.89,1.47,1.28,7.76,2000
Henley,20934,1717,0.38,24.2,0.55,70,1.91,2.96,7.1,2010
Dick,20923,1718,0.97,3.4,4.11,88.26,1.49,1.77,7.09,2010
Redmond,20919,1573,0.44,27.14,0.31,69.21,1.53,1.37,7.75,2000
Voss,20911,1719,0.56,2.24,0.37,93.68,1.24,1.91,7.09,2010
Greenberg,20908,1574,0.62,0.35,0.13,96.56,0.84,1.51,7.75,2000
Greenberg,20897,1720,0.82,0.33,0.13,95.31,0.96,2.44,7.08,2010
Cote,20894,1575,0.56,0.41,0.76,95.57,1.08,1.64,7.75,2000
