,generalcommodity,datetime,tons
315,Refuse,2016-11-12,49.0
316,Refuse,2016-11-13,34.0
317,Refuse,2016-11-14,3359.0
318,Refuse,2016-11-15,3194.0
319,Refuse,2016-11-16,3151.0
320,Refuse,2016-11-17,2912.0
321,Refuse,2016-11-18,2840.0
322,Refuse,2016-11-19,44.0
323,Refuse,2016-11-20,28.0
324,Refuse,2016-11-21,3518.0
325,Refuse,2016-11-22,3393.0
326,Refuse,2016-11-23,3253.0
327,Refuse,2016-11-24,41.0
328,Refuse,2016-11-25,3386.0
329,Refuse,2016-11-26,3382.0
330,Refuse,2016-11-27,26.0
331,Refuse,2016-11-28,3720.0
332,Refuse,2016-11-29,3480.0
333,Refuse,2016-11-30,3542.0
334,Refuse,2016-12-01,3064.0
335,Refuse,2016-12-02,2791.0
336,Refuse,2016-12-03,54.0
337,Refuse,2016-12-04,20.0
338,Refuse,2016-12-05,3893.0
339,Refuse,2016-12-06,3393.0
340,Refuse,2016-12-07,3133.0
341,Refuse,2016-12-08,3037.0
342,Refuse,2016-12-09,3130.0
343,Refuse,2016-12-10,38.0
344,Refuse,2016-12-11,33.0
345,Refuse,2016-12-12,3659.0
346,Refuse,2016-12-13,3320.0
347,Refuse,2016-12-14,3222.0
348,Refuse,2016-12-15,3023.0
349,Refuse,2016-12-16,2905.0
350,Refuse,2016-12-17,37.0
351,Refuse,2016-12-18,47.0
352,Refuse,2016-12-19,3345.0
353,Refuse,2016-12-20,3696.0
354,Refuse,2016-12-21,3309.0
355,Refuse,2016-12-22,3083.0
356,Refuse,2016-12-23,3034.0
357,Refuse,2016-12-24,56.0
358,Refuse,2016-12-25,24.0
359,Refuse,2016-12-26,91.0
360,Refuse,2016-12-27,4033.0
361,Refuse,2016-12-28,3997.0
362,Refuse,2016-12-29,3923.0
363,Refuse,2016-12-30,3771.0
364,Refuse,2016-12-31,3555.0
365,Refuse,2017-01-01,30.0
366,Refuse,2017-01-02,79.0
367,Refuse,2017-01-03,4000.0
368,Refuse,2017-01-04,3703.0
369,Refuse,2017-01-05,3620.0
370,Refuse,2017-01-06,3462.0
371,Refuse,2017-01-07,3206.0
372,Refuse,2017-01-08,32.0
373,Refuse,2017-01-09,3509.0
374,Refuse,2017-01-10,3262.0
375,Refuse,2017-01-11,3007.0
376,Refuse,2017-01-12,3025.0
377,Refuse,2017-01-13,2902.0
378,Refuse,2017-01-14,65.0
379,Refuse,2017-01-15,29.0
380,Refuse,2017-01-16,3536.0
381,Refuse,2017-01-17,3355.0
382,Refuse,2017-01-18,3518.0
383,Refuse,2017-01-19,3292.0
384,Refuse,2017-01-20,2902.0
385,Refuse,2017-01-21,42.0
386,Refuse,2017-01-22,43.0
387,Refuse,2017-01-23,4019.0
388,Refuse,2017-01-24,3598.0
389,Refuse,2017-01-25,3397.0
390,Refuse,2017-01-26,3181.0
391,Refuse,2017-01-27,3177.0
392,Refuse,2017-01-28,48.0
393,Refuse,2017-01-29,36.0
394,Refuse,2017-01-30,3902.0
395,Refuse,2017-01-31,3468.0
396,Refuse,2017-02-01,3462.0
397,Refuse,2017-02-02,3140.0
398,Refuse,2017-02-03,3198.0
399,Refuse,2017-02-04,55.0
400,Refuse,2017-02-05,19.0
401,Refuse,2017-02-06,3588.0
402,Refuse,2017-02-07,3340.0
403,Refuse,2017-02-08,3382.0
404,Refuse,2017-02-09,3355.0
405,Refuse,2017-02-10,3219.0
406,Refuse,2017-02-11,50.0
407,Refuse,2017-02-12,36.0
408,Refuse,2017-02-13,3825.0
409,Refuse,2017-02-14,3578.0
410,Refuse,2017-02-15,3400.0
411,Refuse,2017-02-16,3446.0
412,Refuse,2017-02-17,3316.0
413,Refuse,2017-02-18,52.0
414,Refuse,2017-02-19,29.0
415,Refuse,2017-02-20,3702.0
416,Refuse,2017-02-21,3504.0
417,Refuse,2017-02-22,3331.0
418,Refuse,2017-02-23,3389.0
419,Refuse,2017-02-24,3344.0
420,Refuse,2017-02-25,40.0
421,Refuse,2017-02-26,28.0
422,Refuse,2017-02-27,3841.0
423,Refuse,2017-02-28,3609.0
424,Refuse,2017-03-01,3722.0
425,Refuse,2017-03-02,3063.0
426,Refuse,2017-03-03,3284.0
427,Refuse,2017-03-04,62.0
428,Refuse,2017-03-05,25.0
429,Refuse,2017-03-06,3710.0
430,Refuse,2017-03-07,3705.0
431,Refuse,2017-03-08,3309.0
432,Refuse,2017-03-09,3240.0
433,Refuse,2017-03-10,3162.0
434,Refuse,2017-03-11,45.0
435,Refuse,2017-03-12,22.0
436,Refuse,2017-03-13,3745.0
437,Refuse,2017-03-14,3662.0
438,Refuse,2017-03-15,3299.0
439,Refuse,2017-03-16,3164.0
440,Refuse,2017-03-17,3608.0
441,Refuse,2017-03-18,57.0
442,Refuse,2017-03-19,29.0
443,Refuse,2017-03-20,3553.0
444,Refuse,2017-03-21,3437.0
445,Refuse,2017-03-22,3395.0
446,Refuse,2017-03-23,3168.0
447,Refuse,2017-03-24,3326.0
448,Refuse,2017-03-25,30.0
449,Refuse,2017-03-26,46.0
450,Refuse,2017-03-27,3546.0
451,Refuse,2017-03-28,3483.0
452,Refuse,2017-03-29,3465.0
453,Refuse,2017-03-30,3322.0
454,Refuse,2017-03-31,3335.0
455,Refuse,2017-04-01,46.0
456,Refuse,2017-04-02,40.0
457,Refuse,2017-04-03,3627.0
458,Refuse,2017-04-04,3465.0
459,Refuse,2017-04-05,3418.0
460,Refuse,2017-04-06,3346.0
461,Refuse,2017-04-07,3404.0
