name,rsa,est_pop,est_latino,est_anglo,est_black,est_asian,est_total_single_units,est_total_seven_more_units,est_total_housing_units,median_house_income,est_latino_pct,est_anglo_pct,est_black_pct,est_asian_pct,est_total_seven_more_units_pct,est_total_single_units_pct
Manchester Square,South L.A.,8242.0,1803.0,88.0,6172.0,49.0,717.0,115.0,2878.0,44492.0,21.88,1.07,74.88,0.59,4.0,24.91
Toluca Lake,San Fernando Valley,7988.0,1109.0,5599.0,476.0,548.0,1789.0,12.0,4201.0,67600.0,13.88,70.09,5.96,6.86,0.29,42.59
Adams-Normandie,South L.A.,7842.0,5200.0,358.0,1935.0,241.0,480.0,206.0,2280.0,25282.0,66.31,4.57,24.67,3.07,9.04,21.05
Chinatown,Central L.A.,7674.0,1184.0,445.0,261.0,5693.0,1140.0,55.0,3162.0,33123.0,15.43,5.8,3.4,74.19,1.74,36.05
Jefferson Park,South L.A.,7612.0,4950.0,209.0,2205.0,211.0,462.0,180.0,2173.0,43370.0,65.03,2.75,28.97,2.77,8.28,21.26
Acton,Antelope Valley,7479.0,1473.0,5524.0,127.0,143.0,457.0,72.0,2580.0,91371.0,19.7,73.86,1.7,1.91,2.79,17.71
Monrovia,San Gabriel Valley,7456.0,3996.0,1888.0,463.0,1005.0,319.0,174.0,2101.0,76834.0,53.59,25.32,6.21,13.48,8.28,15.18
Vermont Square,South L.A.,7049.0,4469.0,71.0,2443.0,15.0,327.0,271.0,1787.0,30912.0,63.4,1.01,34.66,0.21,15.17,18.3
Westlake Village,Santa Monica Mountains,6704.0,483.0,5537.0,98.0,395.0,604.0,16.0,2646.0,124822.0,7.2,82.59,1.46,5.89,0.6,22.83
Rancho Park,Westside,6684.0,903.0,3802.0,194.0,1460.0,810.0,13.0,2777.0,78027.0,13.51,56.88,2.9,21.84,0.47,29.17
North Whittier,San Gabriel Valley,5712.0,4451.0,616.0,72.0,539.0,176.0,123.0,1570.0,66729.0,77.92,10.78,1.26,9.44,7.83,11.21
Marina del Rey,Westside,5449.0,423.0,4072.0,285.0,460.0,1858.0,1.0,3435.0,103577.0,7.76,74.73,5.23,8.44,0.03,54.09
Elysian Park,Central L.A.,5277.0,1566.0,538.0,116.0,2964.0,411.0,52.0,1859.0,40098.0,29.68,10.2,2.2,56.17,2.8,22.11
Avocado Heights,San Gabriel Valley,5111.0,4385.0,271.0,30.0,416.0,86.0,207.0,1120.0,64059.0,85.8,5.3,0.59,8.14,18.48,7.68
Del Aire,South Bay,4928.0,2472.0,1305.0,518.0,420.0,426.0,61.0,1707.0,71941.0,50.16,26.48,10.51,8.52,3.57,24.96
Whittier Narrows,San Gabriel Valley,4874.0,4081.0,256.0,27.0,499.0,142.0,137.0,1223.0,63180.0,83.73,5.25,0.55,10.24,11.2,11.61
East Whittier,San Gabriel Valley,4745.0,2456.0,1875.0,87.0,240.0,357.0,38.0,1650.0,82258.0,51.76,39.52,1.83,5.06,2.3,21.64
Shadow Hills,San Fernando Valley,4458.0,1114.0,2927.0,43.0,261.0,271.0,61.0,1504.0,65422.0,24.99,65.66,0.96,5.85,4.06,18.02
Palisades Highlands,Westside,3844.0,150.0,3207.0,48.0,326.0,289.0,8.0,1482.0,146273.0,3.9,83.43,1.25,8.48,0.54,19.5
Avalon,Harbor,3564.0,1989.0,1470.0,20.0,42.0,457.0,33.0,1430.0,56012.0,55.81,41.25,0.56,1.18,2.31,31.96
Leona Valley,Antelope Valley,3560.0,655.0,2244.0,311.0,213.0,171.0,23.0,1192.0,89845.0,18.4,63.03,8.74,5.98,1.93,14.35
Pomona,Pomona Valley,3420.0,993.0,1374.0,246.0,621.0,87.0,13.0,274.0,62112.0,29.04,40.18,7.19,18.16,4.74,31.75
Val Verde,Northwest County,3116.0,1704.0,1143.0,115.0,72.0,132.0,71.0,888.0,105961.0,54.69,36.68,3.69,2.31,8.0,14.86
Playa Del Rey,Westside,3009.0,269.0,2348.0,132.0,147.0,577.0,7.0,1520.0,108316.0,8.94,78.03,4.39,4.89,0.46,37.96
Sun Village,Antelope Valley,2720.0,1847.0,494.0,310.0,49.0,73.0,97.0,660.0,48682.0,67.9,18.16,11.4,1.8,14.7,11.06
Hidden Hills,Santa Monica Mountains,2373.0,175.0,1921.0,42.0,155.0,115.0,8.0,815.0,114869.0,7.37,80.95,1.77,6.53,0.98,14.11
Rancho Dominguez,Harbor,2250.0,625.0,593.0,861.0,100.0,213.0,20.0,844.0,59986.0,27.78,26.36,38.27,4.44,2.37,25.24
San Pasqual,San Gabriel Valley,2045.0,363.0,1115.0,63.0,440.0,301.0,2.0,911.0,106376.0,17.75,54.52,3.08,21.52,0.22,33.04
Desert View Highlands,Antelope Valley,1962.0,919.0,614.0,238.0,130.0,85.0,35.0,568.0,65688.0,46.84,31.29,12.13,6.63,6.16,14.96
Rolling Hills,South Bay,1868.0,103.0,1384.0,29.0,305.0,99.0,14.0,666.0,144210.0,5.51,74.09,1.55,16.33,2.1,14.86
Irwindale,San Gabriel Valley,1767.0,1545.0,125.0,22.0,73.0,60.0,46.0,461.0,57891.0,87.44,7.07,1.25,4.13,9.98,13.02
Elizabeth Lake,Northwest County,1591.0,213.0,1284.0,24.0,20.0,142.0,5.0,620.0,84492.0,13.39,80.7,1.51,1.26,0.81,22.9
West Rancho Dominguez,Harbor,1571.0,653.0,8.0,887.0,4.0,60.0,42.0,424.0,49872.0,41.57,0.51,56.46,0.25,9.91,14.15
Glendora,San Gabriel Valley,1515.0,402.0,930.0,22.0,127.0,79.0,13.0,509.0,78959.0,26.53,61.39,1.45,8.38,2.55,15.52
Hawthorne,South Bay,1322.0,802.0,54.0,321.0,124.0,54.0,36.0,358.0,53181.0,60.67,4.08,24.28,9.38,10.06,15.08
Southeast Antelope Valley,Antelope Valley,1278.0,497.0,644.0,65.0,29.0,40.0,20.0,386.0,70840.0,38.89,50.39,5.09,2.27,5.18,10.36
Littlerock,Antelope Valley,877.0,501.0,306.0,40.0,11.0,39.0,24.0,248.0,53467.0,57.13,34.89,4.56,1.25,9.68,15.73
Lakewood,Harbor,868.0,260.0,201.0,130.0,243.0,35.0,13.0,261.0,73630.0,29.95,23.16,14.98,28.0,4.98,13.41
Harbor Gateway,Harbor,760.0,454.0,84.0,104.0,106.0,29.0,16.0,210.0,52785.0,59.74,11.05,13.68,13.95,7.62,13.81
Del Rey,Westside,630.0,79.0,308.0,70.0,142.0,142.0,1.0,336.0,71179.0,12.54,48.89,11.11,22.54,0.3,42.26
Vernon,Southeast,436.0,335.0,76.0,15.0,8.0,22.0,14.0,112.0,38340.0,76.83,17.43,3.44,1.83,12.5,19.64
La Habra Heights,San Gabriel Valley,277.0,70.0,156.0,3.0,41.0,12.0,2.0,93.0,102332.0,25.27,56.32,1.08,14.8,2.15,12.9
Lake Hughes,Northwest County,224.0,68.0,120.0,8.0,20.0,17.0,2.0,74.0,86419.0,30.36,53.57,3.57,8.93,2.7,22.97
Universal City,San Fernando Valley,128.0,9.0,100.0,5.0,9.0,26.0,0.0,65.0,84588.0,7.03,78.12,3.91,7.03,0.0,40.0
Bradbury,San Gabriel Valley,43.0,9.0,23.0,1.0,9.0,6.0,1.0,17.0,82659.0,20.93,53.49,2.33,20.93,5.88,35.29
Charter Oak,San Gabriel Valley,31.0,12.0,7.0,1.0,10.0,1.0,0.0,10.0,76667.0,38.71,22.58,3.23,32.26,0.0,10.0
