id,seniority,full_name,apstate,first_name,last_name,chamber,session,state,party,dw_nominate,votes_with_party_pct
M001203,4,Tom Malinowski,N.J.,Tom,Malinowski,house,117,NJ,D,,97.6
M000317,2,Nicole Malliotakis,N.Y.,Nicole,Malliotakis,house,117,NY,R,,92.54
M001185,10,Sean Maloney,N.Y.,Sean,Maloney,house,117,NY,D,-0.238,99.35
M000087,30,Carolyn Maloney,N.Y.,Carolyn,Maloney,house,117,NY,D,-0.387,98.47
M000871,2,Tracey Mann,Kan.,Tracey,Mann,house,117,KS,R,,95.64
M001135,2,Kathy Manning,N.C.,Kathy,Manning,house,117,NC,D,,98.91
M001184,12,Thomas Massie,Ky.,Thomas,Massie,house,117,KY,R,0.679,69.49
M001199,6,Brian Mast,Fla.,Brian,Mast,house,117,FL,R,0.454,90.52
M001163,18,Doris Matsui,Calif.,Doris,Matsui,house,117,CA,D,-0.434,98.9
M001208,4,Lucy McBath,Ga.,Lucy,McBath,house,117,GA,D,,97.83
M001165,16,Kevin McCarthy,Calif.,Kevin,McCarthy,house,117,CA,R,0.455,97.82
M001157,18,Michael McCaul,Texas,Michael,McCaul,house,117,TX,R,0.428,95.99
M001136,2,Lisa McClain,Mich.,Lisa,McClain,house,117,MI,R,,97.82
M001177,14,Tom McClintock,Calif.,Tom,McClintock,house,117,CA,R,0.708,84.9
M001143,22,Betty McCollum,Minn.,Betty,McCollum,house,117,MN,D,-0.417,98.48
M001200,6,A. McEachin,Va.,A.,McEachin,house,117,VA,D,-0.375,98.7
M000312,26,Jim McGovern,Mass.,Jim,McGovern,house,117,MA,D,-0.539,98.04
M001156,18,Patrick McHenry,N.C.,Patrick,McHenry,house,117,NC,R,0.543,95.4
M001180,12,David McKinley,W.Va.,David,McKinley,house,117,WV,R,0.301,93.65
M001159,18,Cathy McMorris Rodgers,Wash.,Cathy,McMorris Rodgers,house,117,WA,R,0.424,97.1
M001166,16,Jerry McNerney,Calif.,Jerry,McNerney,house,117,CA,D,-0.263,99.14
M001137,26,Gregory Meeks,N.Y.,Gregory,Meeks,house,117,NY,D,-0.414,99.12
M001186,2,Peter Meijer,Mich.,Peter,Meijer,house,117,MI,R,,90.17
M001188,10,Grace Meng,N.Y.,Grace,Meng,house,117,NY,D,-0.375,98.26
M001204,4,Daniel Meuser,Pa.,Daniel,Meuser,house,117,PA,R,,98.22
M000687,4,Kweisi Mfume,Md.,Kweisi,Mfume,house,117,MD,D,,98.9
M001211,2,Mary Miller,Ill.,Mary,Miller,house,117,IL,R,,81.78
M001205,4,Carol Miller,W.Va.,Carol,Miller,house,117,WV,R,,99.34
M001215,2,Mariannette Miller-Meeks,Iowa,Mariannette,Miller-Meeks,house,117,IA,R,,94.25
M001194,8,John Moolenaar,Mich.,John,Moolenaar,house,117,MI,R,0.398,96.95
M001195,8,Alex Mooney,W.Va.,Alex,Mooney,house,117,WV,R,0.572,95.79
M001213,2,Blake Moore,,Blake,Moore,house,117,UT,R,,96.25
M001160,18,Gwen Moore,Wis.,Gwen,Moore,house,117,WI,D,-0.527,97.82
M001212,2,Barry Moore,Ala.,Barry,Moore,house,117,AL,R,,94.62
M001206,6,Joe Morelle,N.Y.,Joe,Morelle,house,117,NY,D,,98.92
M001196,8,Seth Moulton,Mass.,Seth,Moulton,house,117,MA,D,-0.284,98.92
M001214,2,Frank Mrvan,Ind.,Frank,Mrvan,house,117,IN,D,,98.91
M001190,10,Markwayne Mullin,Okla.,Markwayne,Mullin,house,117,OK,R,0.52,95.78
M001210,4,Greg Murphy,N.C.,Greg,Murphy,house,117,NC,R,,95.1
M001202,6,Stephanie Murphy,Fla.,Stephanie,Murphy,house,117,FL,D,-0.161,97.06
N000002,32,Jerrold Nadler,N.Y.,Jerrold,Nadler,house,117,NY,D,-0.508,98.43
N000179,24,Grace Napolitano,Calif.,Grace,Napolitano,house,117,CA,D,-0.448,99.13
N000015,34,Richard Neal,Mass.,Richard,Neal,house,117,MA,D,-0.417,98.9
N000191,4,Joe Neguse,Colo.,Joe,Neguse,house,117,CO,D,,99.35
N000026,2,Troy Nehls,Texas,Troy,Nehls,house,117,TX,R,,95.79
N000189,8,Dan Newhouse,Wash.,Dan,Newhouse,house,117,WA,R,0.34,94.46
N000192,2,Marie Newman,Ill.,Marie,Newman,house,117,IL,D,,98.48
N000188,10,Donald Norcross,N.J.,Donald,Norcross,house,117,NJ,D,-0.425,98.48
N000190,6,Ralph Norman,S.C.,Ralph,Norman,house,117,SC,R,0.822,78.47
N000147,32,Eleanor Norton,,Eleanor,Norton,house,117,DC,D,,
