county,area,confirmed_cases,cases_rate,confirmed_deaths,deaths_rate,county_date
Los Angeles,Unincorporated - South San Gabriel,871,9844,33,373,2021-02-09
Los Angeles,Unincorporated - South Whittier,7811,13189,118,199,2021-02-09
Los Angeles,Unincorporated - Southeast Antelope Valley,69,8835,0,0,2021-02-09
Los Angeles,Unincorporated - Stevenson Ranch,990,4722,4,19,2021-02-09
Los Angeles,Unincorporated - Sun Village,866,14347,7,116,2021-02-09
Los Angeles,Unincorporated - Sunrise Village,184,14198,1,77,2021-02-09
Los Angeles,Unincorporated - Twin Lakes/Oat Mountain,81,4885,2,121,2021-02-09
Los Angeles,Unincorporated - Val Verde,295,8915,1,30,2021-02-09
Los Angeles,Unincorporated - Valencia,169,5501,0,0,2021-02-09
Los Angeles,Unincorporated - Valinda,3518,15053,49,210,2021-02-09
Los Angeles,Unincorporated - View Park/Windsor Hills,631,5423,12,103,2021-02-09
Los Angeles,Unincorporated - Walnut Park,2918,18076,40,248,2021-02-09
Los Angeles,Unincorporated - West Antelope Valley,46,3044,1,66,2021-02-09
Los Angeles,Unincorporated - West Carson,1954,8847,96,435,2021-02-09
Los Angeles,Unincorporated - West Chatsworth,2,16667,0,0,2021-02-09
Los Angeles,Unincorporated - West LA,208,21849,12,1261,2021-02-09
Los Angeles,Unincorporated - West Puente Valley,1617,16441,20,203,2021-02-09
Los Angeles,Unincorporated - West Rancho Dominguez,169,12436,5,368,2021-02-09
Los Angeles,Unincorporated - West Whittier/Los Nietos,3995,14838,73,271,2021-02-09
Los Angeles,Unincorporated - Westfield/Academy Hills,31,2385,0,0,2021-02-09
Los Angeles,Unincorporated - Westhills,41,4887,0,0,2021-02-09
Los Angeles,Unincorporated - White Fence Farms,246,6679,2,54,2021-02-09
Los Angeles,Unincorporated - Whittier,296,7822,7,185,2021-02-09
Los Angeles,Unincorporated - Whittier Narrows,8,66667,1,8333,2021-02-09
Los Angeles,Unincorporated - Willowbrook,5663,16220,72,206,2021-02-09
Los Angeles,Unincorporated - Wiseburn,470,7798,7,116,2021-02-09
Los Angeles,Under Investigation,21202,,67,,2021-02-09
