storeNumber,name,address,city,state,zip,phone,latitude,longitude,brand,open_date
11419,Mall At Millenia,"4200 Conroy Road, Suite 196",Orlando,FL,32839,407-226-3483,28.48556,-81.43154,ACF,2018-06-15
21419,Mall At Millenia,"4200 Conroy Road, Suite 190",Orlando,FL,32839,321-445-0105,28.48556,-81.43154,KID,2018-06-08
11567,Asheville Outlets,800 Brevard Road,Asheville,NC,28806,828-665-3361,35.53014,-82.60397,ACF,2015-04-30
10974,Brandon Town Center,421 Brandon Town Center,Brandon,FL,33511,813-681-8895,27.93316,-82.32515,ACF,2005-11-17
21974,Brandon Town Center,421 Brandon Town Center,Brandon,FL,33511,813-681-8895,27.93316,-82.32515,KID,2021-01-08
11409,International Plaza,2223 N. Westshore Blvd,Tampa,FL,33607,813-402-3332,27.96266,-82.52048,ACF,2022-10-21
11576,Indiana Po,11925 Ne Executive Drive,Edinburgh,IN,46124,812-526-2151,39.31063,-85.95954,ACF,2015-04-18
11126,Woodland,3195 28th St Se Ste H106,Grand Rapids,MI,49512,616-320-3530,42.91607,-85.58831,ACF,2023-10-27
10545,Fayette,"3615 Nicholasville Road, Ste 808",Lexington,KY,40503,859-272-2498,37.98711,-84.52573,ACF,1993-09-23
21579,Fayette,3615 Nicholasville Road,Lexington,KY,40503,859-272-2498,37.98711,-84.52573,KID,2021-01-08
11593,Outlet Shoppes Of The Bluegrass,1155 Buck Creek Road,Simpsonville,KY,40067,502-722-8311,38.20566,-85.35175,ACF,2015-10-24
21593,Outlet Shoppes Of The Bluegrass,1155 Buck Creek Road,Simpsonville,KY,40067,502-722-8311,38.20566,-85.35175,KID,2015-10-24
11190,Southaven,5205 Airways Boulevard,Southaven,MS,38671,662-349-0575,35.00711,-89.98954,ACF,2015-11-19
