,report_id,arrest_date,time,area_id,area_name,reporting_district,age,sex_code,descent_code,charge_group_code,charge_group_description,arrest_type_code,charge,charge_description,address,location,year,quarter,day,month,monthname,weekday,hour,minute,night,latitude,longitude,descent_description,arrest_type_description,geometry
69031,190605870,2019-01-20,0830,6,Hollywood,666,32,M,B,nan,,I,41.18(D)LAM,,EL CENTRO,"34.098, -118.3237",2019,1,20,1,January,Sunday,08,30,False,34.098,-118.3237,Black,Infraction,POINT (-118.3237 34.098)
69051,190605863,2019-01-20,0840,6,Hollywood,676,21,M,B,nan,,I,41.18(D)LAM,,WILLOUGHBY,"34.0871, -118.3299",2019,1,20,1,January,Sunday,08,40,False,34.0871,-118.3299,Black,Infraction,POINT (-118.3299 34.0871)
69079,190606135,2019-01-20,1000,6,Hollywood,645,51,M,W,nan,,I,41.18(D)LAM,,SYCAMORE,"34.098, -118.3425",2019,1,20,1,January,Sunday,10,00,False,34.098,-118.3425,White,Infraction,POINT (-118.3425 34.098)
69083,190606140,2019-01-20,1000,6,Hollywood,645,54,M,W,nan,,I,41.18(D)LAM,,SYCAMORE,"34.098, -118.3425",2019,1,20,1,January,Sunday,10,00,False,34.098,-118.3425,White,Infraction,POINT (-118.3425 34.098)
69095,190605843,2019-01-20,0945,6,Hollywood,646,61,M,B,nan,,I,41.18(D)LAM,,SELMA,"34.0997, -118.3361",2019,1,20,1,January,Sunday,09,45,False,34.0997,-118.3361,Black,Infraction,POINT (-118.3361 34.0997)
69147,190605845,2019-01-20,1000,6,Hollywood,646,22,M,W,nan,,I,41.18(D)LAM,,SELMA,"34.0997, -118.3361",2019,1,20,1,January,Sunday,10,00,False,34.0997,-118.3361,White,Infraction,POINT (-118.3361 34.0997)
69155,190605975,2019-01-20,0725,6,Hollywood,646,38,M,W,nan,,I,41.18(D)LAM,,SELMA,"34.0997, -118.3361",2019,1,20,1,January,Sunday,07,25,False,34.0997,-118.3361,White,Infraction,POINT (-118.3361 34.0997)
69159,190605978,2019-01-20,0740,6,Hollywood,646,24,M,B,nan,,I,41.18(D)LAM,,SELMA,"34.0997, -118.3361",2019,1,20,1,January,Sunday,07,40,False,34.0997,-118.3361,Black,Infraction,POINT (-118.3361 34.0997)
69223,190605976,2019-01-20,0745,6,Hollywood,646,44,M,B,nan,,I,41.18(D)LAM,,SELMA,"34.0997, -118.3361",2019,1,20,1,January,Sunday,07,45,False,34.0997,-118.3361,Black,Infraction,POINT (-118.3361 34.0997)
69229,190605977,2019-01-20,0725,6,Hollywood,646,50,M,W,nan,,I,41.18(D)LAM,,SELMA,"34.0997, -118.3361",2019,1,20,1,January,Sunday,07,25,False,34.0997,-118.3361,White,Infraction,POINT (-118.3361 34.0997)
69751,190605048,2019-01-17,2010,6,Hollywood,646,25,M,W,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,6700    HOLLYWOOD                    BL,"34.1016, -118.3361",2019,1,17,1,January,Thursday,20,10,False,34.1016,-118.3361,White,Misdemeanor,POINT (-118.3361 34.1016)
69759,190605047,2019-01-17,2000,6,Hollywood,646,23,F,W,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,6700    HOLLYWOOD                    BL,"34.1016, -118.3361",2019,1,17,1,January,Thursday,20,00,False,34.1016,-118.3361,White,Misdemeanor,POINT (-118.3361 34.1016)
69801,190605051,2019-01-17,2000,6,Hollywood,646,24,M,W,nan,,M,41.18SLAMC,,6700    HOLLYWOOD                    BL,"34.1016, -118.3361",2019,1,17,1,January,Thursday,20,00,False,34.1016,-118.3361,White,Misdemeanor,POINT (-118.3361 34.1016)
69807,190605043,2019-01-17,2000,6,Hollywood,646,21,M,O,nan,,M,41.18(D)LAM,,6700    HOLLYWOOD                    BL,"34.1016, -118.3361",2019,1,17,1,January,Thursday,20,00,False,34.1016,-118.3361,Other,Misdemeanor,POINT (-118.3361 34.1016)
70715,190606638,2019-01-12,0745,6,Hollywood,676,37,M,B,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,LILLIAN,"34.0835, -118.3277",2019,1,12,1,January,Saturday,07,45,False,34.0835,-118.3277,Black,Misdemeanor,POINT (-118.3277 34.0835)
