,report_id,arrest_date,time,area_id,area_name,reporting_district,age,sex_code,descent_code,charge_group_code,charge_group_description,arrest_type_code,charge,charge_description,address,location,year,quarter,day,month,monthname,weekday,hour,minute,night,latitude,longitude,descent_description,arrest_type_description,geometry
10023,190114564,2019-05-25,1825,1,Central,182,36,M,B,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,7TH,"34.042, -118.2625",2019,2,25,5,May,Saturday,18,25,False,34.042,-118.2625,Black,Misdemeanor,POINT (-118.2625 34.042)
10220,191413098,2019-05-26,1620,14,Pacific,1431,48,F,W,nan,,I,41.18(D)LAM,,MARKET,"33.9883, -118.4727",2019,2,26,5,May,Sunday,16,20,False,33.9883,-118.4727,White,Infraction,POINT (-118.4727 33.9883)
10370,191413088,2019-05-20,1252,14,Pacific,1431,53,M,W,nan,,I,41.18(D)LAM,,MARKET,"33.9883, -118.4727",2019,2,20,5,May,Monday,12,52,False,33.9883,-118.4727,White,Infraction,POINT (-118.4727 33.9883)
10384,190212106,2019-05-24,1505,2,Rampart,245,53,M,W,nan,,I,41.18(D)LAM,,2200 W  6TH                          ST,"34.0601, -118.2761",2019,2,24,5,May,Friday,15,05,False,34.0601,-118.2761,White,Infraction,POINT (-118.2761 34.0601)
10486,190114561,2019-05-20,1945,1,Central,163,49,M,W,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,8TH,"34.0445, -118.2558",2019,2,20,5,May,Monday,19,45,False,34.0445,-118.2558,White,Misdemeanor,POINT (-118.2558 34.0445)
11421,191413543,2019-06-03,0825,14,Pacific,1412,58,M,B,nan,,I,41.18(A)LAM,,WAVE CREST                   AV,"33.9898, -118.4756",2019,2,3,6,June,Monday,08,25,False,33.9898,-118.4756,Black,Infraction,POINT (-118.4756 33.9898)
12248,190115298,2019-05-31,2040,1,Central,111,42,M,H,20,Disorderly Conduct,M,41.18ALAMC,LOITER/OBSTRUCT STREET/SIDEWALK/ETC,BUNKER HILL,"34.0613, -118.2446",2019,2,31,5,May,Friday,20,40,False,34.0613,-118.2446,Hispanic,Misdemeanor,POINT (-118.2446 34.0613)
13034,191313200,2019-06-12,1505,13,Newton,1307,51,M,B,20,Disorderly Conduct,M,41.18ALAMC,LOITER/OBSTRUCT STREET/SIDEWALK/ETC,700    STANFORD                     AV,"34.039, -118.2444",2019,2,12,6,June,Wednesday,15,05,False,34.039,-118.2444,Black,Misdemeanor,POINT (-118.2444 34.039)
13036,190912060,2019-06-06,1125,9,Van Nuys,943,43,M,W,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,14100    AETNA                        ST,"34.1802, -118.44",2019,2,6,6,June,Thursday,11,25,False,34.1802,-118.44,White,Misdemeanor,POINT (-118.44 34.1802)
13212,190613487,2019-06-03,0940,6,Hollywood,668,38,F,A,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,FERNWOOD,"34.0968, -118.3109",2019,2,3,6,June,Monday,09,40,False,34.0968,-118.3109,Asian,Misdemeanor,POINT (-118.3109 34.0968)
13262,190213038,2019-06-02,1300,2,Rampart,246,62,M,H,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,WILSHIRE,"34.058, -118.2759",2019,2,2,6,June,Sunday,13,00,False,34.058,-118.2759,Hispanic,Misdemeanor,POINT (-118.2759 34.058)
13277,190213022,2019-06-04,1400,2,Rampart,218,54,M,W,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,1100    LEMOYNE                      ST,"34.0757, -118.2605",2019,2,4,6,June,Tuesday,14,00,False,34.0757,-118.2605,White,Misdemeanor,POINT (-118.2605 34.0757)
13312,190912059,2019-06-05,0940,9,Van Nuys,943,43,M,W,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,14100    AETNA                        ST,"34.1802, -118.44",2019,2,5,6,June,Wednesday,09,40,False,34.1802,-118.44,White,Misdemeanor,POINT (-118.44 34.1802)
13313,190212869,2019-05-21,1430,2,Rampart,245,26,M,O,nan,,I,41.18(D)LAM,,CORONADO,"34.0605, -118.2815",2019,2,21,5,May,Tuesday,14,30,False,34.0605,-118.2815,Other,Infraction,POINT (-118.2815 34.0605)
13314,191414158,2019-06-13,1430,14,Pacific,1431,60,M,B,nan,,I,41.18(D)LAM,,PARK ROW,"33.9885, -118.4724",2019,2,13,6,June,Thursday,14,30,False,33.9885,-118.4724,Black,Infraction,POINT (-118.4724 33.9885)
13343,191313201,2019-06-12,1450,13,Newton,1307,53,F,H,20,Disorderly Conduct,M,41.18ALAMC,LOITER/OBSTRUCT STREET/SIDEWALK/ETC,700    STANFORD                     AV,"34.039, -118.2444",2019,2,12,6,June,Wednesday,14,50,False,34.039,-118.2444,Hispanic,Misdemeanor,POINT (-118.2444 34.039)
13372,190212939,2019-06-03,1520,2,Rampart,246,52,M,W,nan,,I,41.18(A)LAM,,500 S  ALVARADO                     ST,"34.0604, -118.2744",2019,2,3,6,June,Monday,15,20,False,34.0604,-118.2744,White,Infraction,POINT (-118.2744 34.0604)
13379,191111807,2019-06-05,1045,11,Northeast,1152,45,M,W,nan,,M,41.18(D)LAM,,CLAYTON,"34.1, -118.2885",2019,2,5,6,June,Wednesday,10,45,False,34.1,-118.2885,White,Misdemeanor,POINT (-118.2885 34.1)
13381,190115854,2019-06-11,1510,1,Central,155,29,M,B,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,6TH,"34.0439, -118.2479",2019,2,11,6,June,Tuesday,15,10,False,34.0439,-118.2479,Black,Misdemeanor,POINT (-118.2479 34.0439)
13390,190613488,2019-06-03,0940,6,Hollywood,668,50,M,B,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,FERNWOOD,"34.0968, -118.3109",2019,2,3,6,June,Monday,09,40,False,34.0968,-118.3109,Black,Misdemeanor,POINT (-118.3109 34.0968)
13481,190613484,2019-06-07,0745,6,Hollywood,666,45,M,W,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,LA MIRADA,"34.0935, -118.3266",2019,2,7,6,June,Friday,07,45,False,34.0935,-118.3266,White,Misdemeanor,POINT (-118.3266 34.0935)
13531,190115701,2019-06-01,1425,1,Central,134,47,F,W,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,3RD                          ST,"34.0517, -118.2491",2019,2,1,6,June,Saturday,14,25,False,34.0517,-118.2491,White,Misdemeanor,POINT (-118.2491 34.0517)
13634,190115855,2019-06-11,1435,1,Central,128,36,M,B,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,1ST,"34.0504, -118.2409",2019,2,11,6,June,Tuesday,14,35,False,34.0504,-118.2409,Black,Misdemeanor,POINT (-118.2409 34.0504)
13662,190115700,2019-06-01,1510,1,Central,162,39,M,W,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,7TH                          ST,"34.048, -118.2577",2019,2,1,6,June,Saturday,15,10,False,34.048,-118.2577,White,Misdemeanor,POINT (-118.2577 34.048)
13830,190613485,2019-06-11,1225,6,Hollywood,648,18,F,W,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,FERNWOOD,"34.1, -118.3113",2019,2,11,6,June,Tuesday,12,25,False,34.1,-118.3113,White,Misdemeanor,POINT (-118.3113 34.1)
