,reporting_district,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
568,1917,0,0,0,0,0,0,1,0,0,0
569,1918,0,0,0,5,0,0,1,0,0,0
570,1921,0,1,0,1,0,0,0,0,0,0
571,1924,4,3,1,1,1,1,0,0,0,0
572,1925,0,0,0,3,0,0,0,0,0,0
573,1931,0,0,0,0,0,0,0,0,1,0
574,1935,0,1,0,2,0,0,0,0,0,0
575,1936,0,1,0,0,2,3,0,0,0,0
576,1003,0,0,0,0,4,0,0,0,0,0
577,1954,0,1,0,0,0,0,0,0,0,0
578,1955,0,0,0,0,0,0,0,0,1,0
579,1958,0,0,0,0,0,1,0,0,0,0
580,1756,0,0,0,1,0,0,0,0,0,0
581,1753,1,0,0,0,0,0,0,0,0,0
582,1752,0,0,1,0,0,0,0,0,0,0
583,1513,0,0,0,4,5,1,1,0,0,0
584,1515,0,0,0,2,0,2,1,0,0,0
585,1516,0,0,0,0,0,0,2,0,0,0
586,1517,0,0,0,0,0,4,0,0,0,0
587,1519,0,0,0,8,8,2,5,0,0,0
588,1521,0,0,0,0,0,6,11,0,0,0
589,1522,0,0,1,0,0,0,1,0,0,0
590,1524,0,0,0,2,0,2,0,0,0,0
591,1525,0,0,0,0,2,0,0,0,0,0
592,1526,1,0,1,4,1,1,0,9,16,0
593,1527,0,0,0,0,8,1,0,0,0,0
594,1532,0,0,4,0,0,0,0,0,0,0
595,1533,0,0,0,0,0,1,0,0,1,0
596,1535,1,0,0,0,1,0,0,1,2,0
597,1538,0,0,0,5,2,0,0,0,0,0
598,1539,0,1,0,2,1,1,5,0,0,0
599,1514,0,0,0,0,0,2,0,0,0,0
600,1512,0,0,0,1,2,1,0,0,0,0
601,1745,0,0,1,0,0,0,0,0,0,0
602,151,0,1,3,7,3,2,5,2,0,0
603,1462,0,0,0,1,0,0,0,0,0,0
604,1468,1,0,1,0,0,0,0,0,0,0
605,1472,1,0,0,0,0,0,0,0,0,0
606,1473,0,0,0,1,0,1,0,0,0,0
607,1476,0,0,0,1,0,0,0,0,0,0
608,1486,0,0,0,1,0,0,0,0,0,0
609,1487,0,0,0,0,0,0,0,1,0,0
610,1488,0,0,0,0,0,0,0,1,0,0
611,1489,0,0,0,0,0,0,0,0,1,0
612,1502,0,0,1,2,0,0,0,0,0,0
613,1503,0,0,0,1,3,6,2,0,0,0
614,1504,0,0,0,1,1,0,0,0,0,0
615,1505,2,0,0,2,0,0,0,0,0,0
616,1506,0,0,1,0,0,0,0,0,0,0
617,1509,0,0,0,3,0,0,0,0,0,0
618,1541,0,0,0,0,0,1,2,0,0,0
619,1543,0,0,1,0,0,0,0,0,0,0
620,1545,0,0,1,0,1,0,1,1,0,0
621,1546,0,0,0,1,0,0,0,0,0,0
622,1612,2,0,0,0,0,0,0,0,0,0
623,1623,0,0,1,0,0,0,0,0,0,0
624,1633,0,0,1,1,0,0,0,0,0,0
625,1636,0,1,0,0,0,0,0,0,0,0
626,1637,0,0,0,1,0,0,0,0,0,0
627,1643,0,0,1,0,0,0,0,0,0,0
628,1654,0,0,2,0,0,0,0,0,0,0
629,1658,2,0,2,0,0,0,0,0,0,0
630,1659,0,0,1,0,2,0,0,0,0,0
631,1663,0,0,0,1,0,0,0,0,0,0
632,1668,0,0,0,0,1,0,0,0,0,0
633,1669,0,0,3,0,1,0,0,0,0,0
634,1675,0,0,1,0,0,0,0,0,0,0
635,1684,0,0,2,0,0,0,0,0,0,0
636,1687,1,0,3,0,0,0,0,0,0,0
637,1601,0,0,1,0,0,0,0,0,0,0
638,1599,0,0,0,2,4,4,0,0,0,0
639,1596,0,0,2,2,1,0,0,0,1,0
640,1566,0,0,2,3,6,6,1,0,7,0
641,1547,0,0,3,0,0,6,4,0,0,0
642,1548,0,1,1,13,7,17,6,1,0,0
643,1549,0,3,1,7,1,4,0,0,1,0
644,1555,1,2,2,5,4,11,2,0,1,0
645,1557,0,2,5,5,25,10,1,1,0,0
646,1565,0,0,0,0,2,1,0,0,2,0
647,1567,0,0,0,0,0,2,0,0,0,0
648,1595,0,0,0,0,0,1,0,0,0,0
649,1569,0,0,0,0,0,1,0,0,0,0
650,1581,0,0,0,2,0,0,0,1,0,0
651,1583,0,0,0,4,1,0,0,2,0,0
652,1585,0,0,0,8,1,1,0,1,0,0
653,1586,0,2,0,0,0,0,1,0,0,0
654,1591,0,0,4,1,0,12,0,0,1,0
655,989,1,0,0,0,0,0,0,0,0,0
