,employer,type,2011,2012,2013,2014,2015,2016,2017,2018,2019,adjusted_ot_pct_change
192,SOLANA BEACH,CITY,397994.275416891,542398.962202845,502115.23381568276,503557.9824361314,537476.5138070266,753702.7886894966,756515.0542387402,834605.7141537273,801890.0,80.20838486744414
195,SONOMA,COUNTY,42873.37168743526,117146.52398581845,104155.01100632307,106002.14647962287,108622.70162477798,47186.514501660364,21895.428365698433,9981.646182702993,9812.0,-31.18934171185935
196,SOUTH LAKE TAHOE,CITY,203927.54135565643,465667.56585537945,398096.3057259495,398520.2085107462,796112.7289434936,586782.8104638614,646454.8826166777,729263.9163583651,567402.0,91.20602942637032
197,SOUTH PASADENA,CITY,799919.9169508178,848690.9559788149,730975.9711191335,656466.6483931469,675394.1118442982,905544.7698775452,1279781.6865004895,1229661.63623077,948484.0,22.630865317046485
198,SOUTH SAN FRANCISCO,CITY,985876.1483780047,801580.2459602603,920407.7807835782,1058980.4176044203,1308851.6178628542,1612575.5387717865,2059686.7696312012,1827665.479918919,1067843.0,7.7401668868832525
199,STOCKTON,CITY,3685359.660459059,3263882.0581766074,3131850.6528973174,3360316.7479977696,4423061.226726353,4447986.756752927,4541847.983346931,4141145.1321866796,4364868.0,20.22155619543376
201,SUSANVILLE,CITY,0.0,76411.81674608222,54607.660053142856,54403.35516778184,76001.26666019738,67199.61293628937,60607.980866514365,117542.94506724224,103819.0,190.831980270001
202,SUTTER,COUNTY,77977.20918115579,84880.11942385255,101770.26763737515,103380.08985959044,194423.45036853902,174946.30868682996,180841.4487434726,257499.79677587646,207657.0,125.43981243871396
205,TORRANCE,CITY,3303290.8843286405,4085057.9899387625,4441037.449391947,4508943.855940794,4934239.317563718,4808228.91981484,6415480.454667101,6039850.936875517,5047170.0,38.675999777058614
206,TRACY,CITY,1899487.4455118945,1883158.9904788453,2201036.918766125,2495805.889687248,2869002.513368239,2838051.8647247795,4036185.9304871084,3695374.628341702,3201034.0,52.14935023056635
207,TULARE,CITY,692006.8152699176,714190.2574718848,756912.9360439909,929271.7690972222,747699.943653831,813375.6529809545,916815.9148702676,1117913.8288697647,737602.0,4.906550080002715
208,TULARE,COUNTY,304530.1546540618,393784.4258996317,581965.1774533498,707330.0111389906,922240.7464443484,1278754.7560362823,1729201.702529373,1542115.4654788598,1599354.0,183.05795384829284
210,TURLOCK,CITY,467509.7844704565,516410.5708555103,676641.5743420458,879865.2244652275,927371.8566558515,1008144.3881511786,1292516.559093505,1292492.8613300314,516180.0,5.5315534898114365
213,VACAVILLE,CITY,776155.5532210958,1724500.523846442,1330113.9346918105,1688839.8868359693,2202871.7974660057,2205419.3738307627,4466657.999718505,3333374.0006969157,3346240.0,152.18046819073777
214,VALLEJO,CITY,1218928.0773454136,1025365.0266905931,1498373.8763977892,2607715.223033253,2878380.245589979,2909056.3950343113,3249241.727362108,3587712.53560036,3225187.0,76.93550679667153
215,VENTURA,COUNTY,17426244.599122427,17100446.133897223,17706250.90633035,18270262.664322298,20006852.373006985,21552104.426004265,23665412.950138707,24133044.626768664,19928318.0,13.694786149755567
217,VISALIA,CITY,992998.979096555,707189.571221374,977712.9554252506,976243.0840429845,1055720.8024572078,1582991.5605503172,1606059.3436072124,2019005.8180815354,1423718.0,44.12005861487672
218,VISTA,CITY,2051485.4934048783,2007038.9564492109,2351243.9251664476,2539481.2751419307,2210755.607542919,2784231.2445678664,2448108.7276150472,2436981.652323512,2635186.0,22.98502896275535
219,WATSONVILLE,CITY,725818.3823747772,568191.3744218054,912648.8596522105,572933.4104952352,733786.5127902217,662991.939397601,422655.92384138395,322078.11539303965,422616.0,-52.92105100184218
220,WEST COVINA,CITY,2092374.4287695778,1636966.8915651105,2178413.133883078,2369628.594206204,3249590.235864939,2837390.371530831,3379877.9486578,3520749.7804919817,3049938.0,40.40985889399237
221,WEST SACRAMENTO,CITY,318038.3127203376,717716.7682648499,790729.5408165457,1450919.5663777369,1648022.6410130921,1351823.6564100217,1343620.8414286885,1603314.6445937387,1280179.0,66.31247586533516
222,WOODLAND,CITY,1006451.3206291484,657083.4983884597,644495.2776263433,726747.0531604827,826204.7433812765,952691.8717412411,1108313.5628998042,1213159.9510686675,990440.0,-2.2031490268200264
223,YUBA CITY,CITY,765197.9641102698,1073127.1446074375,942475.1621286334,1308314.4598159976,1531943.2723939628,1539600.3765640168,1844790.7488128264,1577406.5509165416,1277011.0,39.12003204196887
