Incident_ID,Sources,Number_News,Media_Attention,Reliability,Date,Quarter,School,City,State,School_Level,Location,Location_Type,During_School,Time_Period,First_Shot,Summary,Narrative,Situation,Targets,Accomplice,Hostages,Barricade,Officer_Involved,Bullied,Domestic_Violence,Gang_Related,Preplanned,Shots_Fired,Active_Shooter_FBI
20071126NYHOH,http://www.uticaod.com/article/20071127/news/311279895,,,2,2007-11-26,Fall,Holland Patent Central High School,Holland Patent,NY,High,School Bus,School Bus,Yes,Morning Classes,11:00 AM,Shooter and friend shot gun on bus at seat,"Shooter and accomplice had just boarded school bus at school when accomplice shows shooter gun. Shooter takes gun, points it at front seat and pulls trigger. Gun goes off, bullet going between two students in forward seat and lodging in seat ahead of them. Shooter and accomplice arrested and charged.",Intentional Property Damage,,Yes,No,No,No,,,No,No,1,
20071105LAJOR,https://www.newspapers.com/image/432388038/?terms=student%2Bshot,,,2,2007-11-05,Fall,John Curtis Christian School,River Ridge,LA,K-12,Inside School Building,Inside School Building,Yes,Before School,,Student shot self before class,13 year old boy shot himself before class - was put on life support. - no motive listed. student later died. ,Suicide/Attempted,Victims Targeted,No,No,No,No,,,No,No,1,
20071024TNMAM,https://www.newspapers.com/image/282229204/?terms=markees%2Bsmith,,,2,2007-10-24,Fall,Manassas High School,Memphis,TN,High,Hallway,Inside School Building,Yes,Morning Classes,8:45 AM,Accidental discharge while showing off gun,"15 year old shooter brought gun to school to sell it - when showing it off, the gun accidentally went off striking a fellow student in the arm. Shooter arrested for aggravated assault",Accidental,Random Shooting,No,No,No,No,No,No,No,No,1,
20071010OHSUC,http://www.cnn.com/2007/US/10/10/cleveland.shooting/ https://www.fbi.gov/file-repository/active-shooter-incidents-2000-2017.pdf,,,5,2007-10-10,Fall,SuccessTech Academy,Cleveland,OH,Other,Classroom,Inside School Building,Yes,Afternoon Classes,1:15 PM,"Planned attack, recently suspended, targeted teacher then killed self",Shooter had been suspended from school for fighting. Shooter had 2 handguns and a backpack with ammo and knives. He shot two teachers and two other students (likely hit in cross fire). Shooter walked into empty classroom and commit suicide. Police believed the shooter had targeted specific victims. Parents reported the shooter was angry at the teachers because they would not listen to his side of the story about the fight. Other student described the shooter as odd and said he was frequently bullied for gothic appearance. He had previous domestic violence w/ weapon charge for incident at his house. Previous attempted suicide and spent time in mental health facility. Weapons: .22 caliber; .38 caliber,Anger Over Grade/Suspension/Discipline,Victims Targeted,No,No,No,No,Yes,No,No,Yes,>10,Yes
20071001CTPLM,https://www.newspapers.com/image/243658015/?terms=student%2Bshot,,,2,2007-10-01,Fall,Platt High School,Meriden,CT,High,Outside on School Property,Outside on School Property,Yes,Dismissal,1:50 PM,Shot another student with BB gun,"15 year old shooter shot 16 year old in stomach with a BB gun after school. SRO, teacher and assistant principal chased student and he was caught after SRO used taser. ",Escalation of Dispute,Victims Targeted,No,No,No,No,,,,,1,
20070930AZSSP,https://www.newspapers.com/image/126118804/?terms=SS%3E%2BSImon%2Band%2BJude%2BCatholic%2Bschool,,,2,2007-09-30,Fall,S Simon and Jude Catholic School,Phoenix,AZ,K-8,Parking Lot,Outside on School Property,No,Not a School Day,9:37 PM,Escalation between two groups,An altercation between two groups in the school parking lot resulted in shots being fired and two victims shot in the mouth. Shooter fled.,Escalation of Dispute,,,No,No,No,,,No,No,,No
20070928CALAO,https://www.newspapers.com/image/196286439/?terms=student%2Bshot  https://www.newspapers.com/image/271178843/?terms=HOSTAGE https://www.newspapers.com/image/194245329/?terms=HOSTAGE  https://www.newspapers.com/image/334777799/?terms=HOSTAGE   https://www.chicoer.com/2007/09/28/update-las-plumas-gunman-to-be-charged-with-attempted-murder/ ,,,3,2007-09-28,Fall,Las Plumas High School,Oroville,CA,High,Classroom,Inside School Building,Yes,Morning Classes,9:15 AM,Hostage situation - shooter held 3 students hostage - shot handgun twice - eventually surrendered.,Shooter fired two shots inside high school and took 30 students hostage before releasing most of them. He kept 3 girls hostage for an hour before surrendering. Possibly distraught over breakup with girlfriend the night before. Later reports were that shooter brought gun to school to kill romantic rival. ,Hostage/Standoff,NA,No,Yes,Yes,No,,Yes,No,,2,Yes
20070804NJMON,https://www.nj.com/news/index.ssf/2010/09/newark_schoolyard_slaying_susp_1.html,,,2,2007-08-04,Summer,Mount Vernon Elementary School,Newark,NJ,High,Front of School,Outside on School Property,No,Not a School Day,,"Shot 4 friends at school, MS-13 directed shooting",18 YOM was directed by MS-13 gang members to kill 4 friends sitting outside of the school.,Illegal Activity,Victims Targeted,No,No,No,No,No,No,Yes,No,4,
20070709ILCAC,https://www.columbine-angels.com/School_Violence_2006-2007.htm,,,1,2007-07-09,Summer,Carter G. Woodson Elementary School,Chicago,IL,Elementary,Front of School,Outside on School Property,No,Not a School Day,1:40 PM,Drive-by outside of school,14YOM and 15YOM non-students were shot during drive-by outside of school. Details unknown.,Drive-by Shooting,,Yes,No,No,No,No,No,Yes,No,<10,
20070628TXDAD,https://www.pressreader.com/usa/the-dallas-morning-news/20070629/282364035265089,,,2,2007-06-28,Summer,David W. Carter High School,Dallas,TX,High,Parking Lot,Outside on School Property,Yes,Lunch,12:00 PM,Rival gang members fired a 3 students in parking lot,2 gang members in a vehicle fired at 3 students who were members of a rival gang in the parking lot,Drive-by Shooting,Victims Targeted,Yes,No,No,No,No,No,Yes,No,<10,
20070617SCBRB,https://www.columbine-angels.com/School_Violence_2006-2007.htm,,,1,2007-06-17,Summer,Broad River Elementary School,Burton,SC,Elementary,Outside on School Property,Outside on School Property,No,Sport Event,,Shooting during argument during basketball game,During the game an argument arose between 22YOM (victim) and 21YOM (victim) a shooting occurred. Shooter fled the scene and turned himself in later that night. ,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,No,No,1,
20070531NCNOG,https://www.columbine-angels.com/School_Violence_2006-2007.htm,,,1,2007-05-31,Spring,North Garner Middle School,Garner,NC,Middle,Outside on School Property,Outside on School Property,Yes,,,3 students shot by pellet gun,"For an undisclosed reason, an unidentified shooter (police believe it is the same one from Vandora Springs Elementary) shot three students with a soft pellet gun. The pellets did not penetrate the skin.",Indiscriminate Shooting,,No,No,No,No,No,No,No,No,<10,
20070530NCVAG,https://www.columbine-angels.com/School_Violence_2006-2007.htm,,,1,2007-05-30,Spring,Vandora Springs Elementary School,Garner,NC,Elementary,Outside on School Property,Outside on School Property,Yes,,,Parent shot by pellet gun,"For an undisclosed reason, an unidentified shooter fired at a parent of a student with a soft pellet gun. The pellet did not penetrate the skin. ",Indiscriminate Shooting,,No,No,No,No,No,No,No,No,<10,
20070523RIOAC,https://www.columbine-angels.com/School_Violence_2006-2007.htm,,,1,2007-05-23,Spring,Oak Haven Elementary School,Coventry,RI,Elementary,Playground,Outside on School Property,Yes,After School,4:53 PM,Shot bully with BB gun,"13YOM (victim) on the playground of Oak Haven Elementary School was approached by an 11YOM (shooter) carrying a BB gun.  The older boy was bullying the younger boy.  Our young instigator then began shooting BBs at the older boy.  He was struck in the left hand, stomach and chest.  Rescue workers treated the boy at the scene.",Bullying,Victims Targeted,No,No,No,No,Yes,No,No,No,,
20070515TXLIL,https://www.brownsvilleherald.com/news/local/parents-remove-children-after-student-fires-gun-at-school/article_10ab2498-9eb9-5db8-97fd-9bed18dcdc95.html,,,2,2007-05-15,Spring,Liberty Memorial Middle School,Los Fresnos,TX,Middle,Bathroom,Inside School Building,Yes,Morning Classes,10:02 AM,"Fired shot in bathroom, 4 hour standoff with police before surrendering",15YOM student fired one shot in bathroom. Police were called and negotiated with the student for 4 hours until he surrendered.,Hostage/Standoff,,No,No,Yes,No,,No,No,No,1,
20070512TXWEM,http://starlocalmedia.com/mesquitenews/news/arrests-made-in-west-mesquite-shooting/article_c1de2b11-1f0a-5ac7-8ea4-807789bd19bc.html,,,2,2007-05-12,Spring,West Mesquite High School,Mesquite,TX,High,Parking Lot,Outside on School Property,No,School Event,,Shots fired during argument in parking lot,18YOM student shot in the parking lot of the school during an argument with a group of students. Unclear if the victim was targeted. Police assigned to an event inside the school were not notified of the shooting until 45 minutes after if occured.,Escalation of Dispute,,Yes,No,No,No,No,No,No,No,1,
20070510MIHED,https://www.columbine-angels.com/School_Violence_2006-2007.htm,,,1,2007-05-10,Spring,Henry Ford High School,Detroit,MI,High,Beside Building,Outside on School Property,Yes,,,2 students shot during gang fight,Two 17YOM students were shot in what school officials suspect was a gang clash outside of Henry Ford High on Detroit's northwest side today.,Escalation of Dispute,,,No,No,No,No,No,Yes,No,,
20070504TXTIE,https://www.highbeam.com/doc/1G1-163016802.html,,,2,2007-05-04,Spring,Tidehaven High School,El Maton,TX,High,Bathroom,Inside School Building,Yes,Morning Classes,8:33 AM,Female student shot herself in the bathroom,15YOF student shot herself in the school bathroom.,Suicide/Attempted,Victims Targeted,No,No,No,No,No,No,No,No,1,
20070503OHGED,https://www.newspapers.com/image/411133269/?terms=school%2Bbus%2B313,,,1,2007-05-03,Spring,Gettysburg Elementary School,Dayton,OH,Elementary,School Bus,School Bus,Yes,Before School,9:45 AM,16 year old boy shooting pellet gun at bus loaded with children,"16YOM started firing out of the back bedroom window.  His shots hit school bus number 313, carrying ten preschoolers ages 3 to 4. The pellets shattered the glass in the windows. The bus driver quickly moved the bus out of the boy's line of sight and called the police. She was struck in the eye by a piece of glass. The boy was arrested.",Indiscriminate Shooting,,No,No,No,No,No,No,No,No,,
20070418NCNOH,https://www.policeone.com/school-violence/articles/1238487-N-C-high-school-student-shoots-self-after-he-is-confronted-by-police/ https://newsok.com/article/3042498/nc-student-makes-threats-shoots-self,,,3,2007-04-18,Spring,North Mecklenburg High School,Huntersville,NC,High,Parking Lot,Outside on School Property,Yes,,,"Pointed gun at two students in parking lot, shot self with approached by police",16YOM student pointed handgun at two students in the parking lot and made threatening statements. Student walked away from school and shot himself when confronted by police. Made statements to other students about VA Tech and constructed homemade bombs.,Suicide/Attempted,Neither,No,No,No,No,No,No,No,Yes,1,
20070410ORSPG,http://blog.oregonlive.com/breakingnews/2007/04/gresham_teen_indicted_in_sprin.html,,,2,2007-04-10,Spring,Springwater Trail High School,Gresham,OR,High,Classroom; Field,Both Inside/Outside,Yes,Afternoon Classes,2:15 PM,Planned attack after watching show about Columbine High School,15YOM was angry about grades and wanted to live with biological father in different state. Watched a show about the Columbine High School attack and wanted to kill as many people at his school as possible. Fired shot at the school from 150 yards away. 10 students were injured by broken glass when bullets struck the classroom windows. Fled the area and was arrested at his house.,Indiscriminate Shooting,Random Shooting,No,No,No,No,No,No,No,Yes,5,Yes
20070410ILCHC,http://articles.chicagotribune.com/2007-04-12/news/0704110994_1_school-shooting-city-school-leaders-schools-chief-arne-duncan,,,2,2007-04-10,Spring,Chicago Vocational Career Academy,Chicago,IL,Other,Classroom,Inside School Building,Yes,Afternoon Classes,2:15 PM,"Student showing off gun, shot himself in leg, fled the area",15YOM student was showing off gun in classroom. He had removed magazine but did not realize a round was in the chamber. Shot self in leg and fled the area but was arrested by police.,Accidental,Random Shooting,No,No,No,No,No,No,No,No,1,
20070329SCMYM,http://www.wistv.com/story/6297864/student-shoots-himself-in-leg-at-myrtle-beach-high-school?clienttype=printable,,,2,2007-03-29,Spring,Myrtle Beach High School,Myrtle Beach,SC,High,Classroom,Inside School Building,Yes,,,Shot self in leg (gun in pocket) in classroom,18YOM student (star basketball player) shot self in the leg during class. Student had gun in pocket. ,Accidental,Random Shooting,No,No,No,No,No,No,No,No,1,
20070327CTSAH,https://www.newspapers.com/image/243778502/?terms=Sarah%2BJ.%2BRawson%2BElementary%2BSchool%2Bshot,,,2,2007-03-27,Spring,Sarah J. Rawson Elementary School,Hartford,CT,Elementary,Basketball Court,Outside on School Property,No,Sport Event,6:30 PM,Shot in leg during fight at basketball game,16YOM was shot in leg during fight between non-student during a basketball game at the elementary school. Shooter fled and was not identified.,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,No,No,,
20070323FLUNO,https://www.columbine-angels.com/School_Violence_2006-2007.htm,,,1,2007-03-23,Spring,Union Park Elementary School,Orlando,FL,Elementary,Bathroom,Inside School Building,Yes,Afternoon Classes,3:00 PM,Two students held down 3rd student and shot him with pellet gun,"Two male students (12 and 10) went into one of their school's restrooms and pulled out a pellet gun they had hidden in a backpack.  An unidentified third-grader entered the bathroom to use the facilities. The older students grabbed the younger boy, held him down and fired the pellet gun at his arm and chest. The younger student suffered major bruising to his skin, however the pellets did not penetrate his skin. ",Bullying,Random Shooting,Yes,No,No,No,Yes,No,No,No,<5,
20070308TNEAC,https://www.newspapers.com/image/284085985/?terms=east%2Bridge%2Bhigh%2Bschool,,,2,2007-03-08,Spring,East Ridge High School,Chattanooga,TN,High,Hallway,Inside School Building,Yes,After School,2:20 PM,Former custodian confronts school custodian over his love interest of her,"62YOM former custodian at East Ridge, went back to the school today to talk to a female custodian.  He had been harassing the unnamed female by trying to create a relationship, which she rebuffed.  He entered the school through an unwatched side door over an hour after classes had ended (and most students had left the building).  The two custodians got into an argument.  The argument ended when Robert attempted suicide by shooting himself in the chest with a 9mm handgun.  He was taken to Erlanger Medical Center and is listed in critical condition.  Police charged him with stalking, carrying a weapon on school property, aggravated assault, felony reckless endangerment and unlawful possession of a firearm.",Suicide/Attempted,Victims Targeted,No,No,No,No,No,Yes,No,No,1,
20070307TXGRG,http://www.heraldbanner.com/archives/shooting-shocks-ghs/article_411a3183-9998-56eb-9c2a-ed8b1c9788c2.html,,,2,2007-03-07,Spring,Greenville High School,Greenville,TX,High,Classroom,Inside School Building,Yes,School Start,7:15 AM,Shot self in band room,16YOM student shot self in bandroom. Report of the shooting caused a panic with parents rushing to the school resulting in a car accident in front of the school building.,Suicide/Attempted,Victims Targeted,No,No,No,No,No,No,No,No,1,
20070307MIHEM,https://www.ourmidland.com/news/article/One-dead-one-hurt-in-Dow-High-shooting-7037728.php,,,2,2007-03-07,Spring,Herbert Henry Dow High School,Midland,MI,High,Parking Lot,Outside on School Property,Yes,Morning Classes,10:57 AM,Shot ex-girlfriend and self in the parking lot,17YOF had transferred to school to get away from ex-boyfriend. 17YOM ex-boyfriend confronted her in parking lot of her new school and shot her than killed himself. Gun was taken from locked safe in mother's bedroom. Shooter was diagnosed with bipolar disorder.,Murder/Suicide,Victims Targeted,No,No,No,No,No,Yes,No,No,5,
20070307CACEC,https://www.presstelegram.com/2007/03/07/student-shot-in-compton/ http://articles.latimes.com/2007/mar/08/local/me-shooting8,,,3,2007-03-07,Spring,Centennial High School,Compton,CA,High,Beside Building,Outside on School Property,No,Afternoon Classes,2:30 PM,Gang-related fight between non-students outside of school,"Group of non-students approached a group of students outside of the school after the school day. During the altercation, a shot was fired striking a student in the arm. Shooter fled the scene. No suspect was identified. Police stated the shooting was gang-related.",Escalation of Dispute,Victims Targeted,Yes,No,No,No,,No,Yes,No,<10,
20070227GACLA,https://www.columbine-angels.com/School_Violence_2006-2007.htm,,,1,2007-02-27,Winter,Clifton Elementary School,Atlanta,GA,Elementary,Bathroom,Inside School Building,Yes,Morning Classes,,Shot student in arm with BB gun in bathroom,"In the boys bathroom, an unnamed male student pulled out a plastic pellet gun and shot 10YOM student in the arm.",Unknown,,No,No,No,No,No,No,No,No,1,
20070226CASLA,https://www.columbine-angels.com/School_Violence_2006-2007.htm,,,1,2007-02-26,Winter,Slauson Middle School,Azusa,CA,Middle,Hallway,Inside School Building,Yes,Morning Classes,,Shot two students with airsoft gun,A 12 year-old male student brought an airsoft-type replica submachine pistol to school with him. He removed the orange tip and fired at his fellow classmates in the sixth grade. One student was shot in the head while another student was struck in the back.,Indiscriminate Shooting,,No,No,No,No,No,No,No,No,<5,
20070208TXSTP,https://www.columbine-angels.com/School_Violence_2006-2007.htm,,,1,2007-02-08,Winter,Stephen F. Austin Middle School,Port Arthur,TX,Middle,Gym,Inside School Building,Yes,,,BB gun fired while showing it off,"In gym class, a male student showed off a BB gun to another male student. While the two students were looking at the gun, it went off and a BB struck the second boy in his neck.  The pellet broke the boy's skin, but did not seriously injure him.",Accidental,Neither,No,No,No,No,No,No,No,No,1,
20070208ORCRP,https://portlandtribune.com/component/content/article?id=187719,,,2,2007-02-08,Winter,Crook County High School,Prineville,OR,High,Parking Lot,Outside on School Property,Yes,Afternoon Classes,2:33 PM,Student shot self in parking lot,18YOM student shot self in parking lot.,Suicide/Attempted,Victims Targeted,No,No,No,No,No,No,No,No,1,
20070207FLPAJ,https://www.columbine-angels.com/School_Violence_2006-2007.htm,,,1,2007-02-07,Winter,Paxon Middle School,Jacksonville,FL,Middle,ND,ND,Yes,,,Shot at SRO while fleeing,A school resource officer approached the group to break up the fight and the students fled. One of the students had handgun and the SRO began chasing him.  The teen dropped the gun during the pursuit and another 16YOM student picked up the gun and fired three or four times at the SRO. The unnamed SRO was not hit.,Escalation of Dispute,Victims Targeted,Yes,No,No,No,No,No,No,No,4,
20070131ILHIC,https://www.newspapers.com/image/231615256/?terms=Hillcrest%2BHigh%2BSchool%2Bshooting%2BDwight%2BWelch,,,2,2007-01-31,Winter,Hillcrest High School,Country Club Hills,IL,High,Parking Lot,Outside on School Property,No,Sport Event,9:30 PM,Student (bystander) shot during fight after basketball game,A 15YOM bystander student was shot in the parking lot of the school during a fight between non-students. Shooter was arrested away from the scene.,Escalation of Dispute,,Yes,No,No,No,No,No,No,No,<6,
20070124TNHAS,http://www.wmcactionnews5.com/story/5984007/17-year-old-in-critical-condition-at-the-med-after-school-shooting,,,2,2007-01-24,Winter,Harbin County High School,Savannah,TN,High,Bathroom,Inside School Building,Yes,Morning Classes,8:00 AM,Student shot self in bathroom,17YOM shot self in bathroom.,Suicide/Attempted,Victims Targeted,No,No,No,No,No,No,No,No,1,
20070118PAWIP,http://www.philly.com/philly/news/20070119_dn_M_SAYR.html,,,2,2007-01-18,Winter,William L.Sayre High School,Philadelphia,PA,High,Beside Building,Outside on School Property,Yes,School Start,8:25 AM,Student shot during confrontation with 3 other students,17YOM student shot by group of three other teens outside of the school during a confrontation. Victim also had a handgun.,Escalation of Dispute,Victims Targeted,Yes,No,No,No,No,No,No,No,11,
20070109NVWEL,https://www.lasvegasnow.com/news/shooter-in-western-high-school-case-in-custody/81454838,,,2,2007-01-09,Winter,Western High School,Las Vegas,NV,High,Parking Lot,Outside on School Property,Yes,School Start,6:30 AM,Shooting in parking lot following a car accident,Adult male fired at a group of students in the school parking lot following an argument about a car accident a few blocks away.,Escalation of Dispute,Both,No,No,No,No,No,No,No,No,<10,
20070109CAGRV,http://articles.latimes.com/2007/jan/10/local/me-grant10,,,2,2007-01-09,Winter,Grant High School,Van Nuys,CA,High,Front of School,Outside on School Property,Yes,Dismissal,3:15 PM,2 students shot outside of school in gang related drive-by,17YOM and 16YOM students shot outside of high school in gang related drive-by shooting.,Drive-by Shooting,Victims Targeted,Yes,No,No,No,No,No,Yes,No,4,
20070108OHROC,https://www.newspapers.com/image/286391925/?terms=High%2BSchool%2BDixon%2BEdwards,,,2,2007-01-08,Winter,Robert A. Taft Information Technology High School,Cincinnati,OH,High,Hallway,Inside School Building,Yes,Lunch,10:45 AM,"Student with 2 guns confronted by principal, fired, and fled",16YOM student displayed 2 guns at school and started taunting other students. Principal grabbed him and he fired one shot (missed) and fled. Arrested away from school. Motive unknown.,Indiscriminate Shooting,,No,No,No,No,,No,No,No,1,Yes
20070104MINOD,https://www.columbine-angels.com/School_Violence_2006-2007.htm,,,1,2007-01-04,Winter,Northwestern High School,Detroit,MI,High,Front of School,Outside on School Property,Yes,,,Drive-by shooting outside of school,A group of students were standing outside their school today when a car pulled up to the curb. Someone inside the vehicle pulled out a gun and fired shots at the students.  A 14 year-old girl was struck in the leg.,Drive-by Shooting,,Yes,No,No,No,No,No,,No,,
20070103WAHET,http://cqrcengage.com/neamn/app/document/18589776 . https://www.newspapers.com/image/344995521/?terms=HENRY%2BFOSS%2BHIGH%2BSCHOOL,,,2,2007-01-03,Winter,Henry Foss High School,Tacoma,WA,High,Hallway,Inside School Building,Yes,Morning Classes,7:30 AM,"Shooter with paranoid schizophrenia though student was gang member plotting to kill him, surrendered after shooting",Shooter was diagnosed with schizophrenia. Shooter believed the victim was a gang member who was going to hurt him (delusion/paranoia). Shooter fired multiple shots killing the victim in the hallway before class started. No other students were injured. Shooter surrendered to police without resistance after the shooting. Shooter had written about killing the victim in a shoot writing assignment (evidence presented in the case). Insanity plea was rejected in court. Shooter had no previous history or suggestion of violence.,Psychosis,Victims Targeted,No,No,No,No,No,No,No,No,1,
20070102NCWEF,http://www.keystosaferschools.com/2007startswithabang.htm,,,2,2007-01-02,Winter,Westover High School,Fayetteville,NC,High,Front of School,Outside on School Property,Yes,Dismissal,3:01 PM,Shots fired by student at car with 3 students in parking lot,"When classes were letting out, a unidentified 14YOM with a gun stepped out into the street and opened fire on a 17YOM male student's black car as he was leaving school.  Two other students were also in the car, but nobody was hurt.",Escalation of Dispute,Victims Targeted,No,No,No,No,,No,No,No,<10,
20061214PAMCC,https://triblive.com/x/pittsburghtrib/news/regional/s_484514.html,,,2,2006-12-14,Winter,McGuffey High School,Claysville,PA,High,Gym,Inside School Building,No,After School,5:00 PM,Student shot self with rifle team .22 rifle,17YOM student who was member of the rifle team killed himself with one of the team rifles after school.,Suicide/Attempted,Victims Targeted,No,No,No,No,,No,No,No,1,
20061213PABAB,https://www.columbine-angels.com/School_Violence_2006-2007.htm,,,1,2006-12-13,Winter,Bangor Area High School,Bangor,PA,High,Beside Building,Outside on School Property,Yes,Dismissal,2:30 PM,Fired pellet gun at students leaving school,"Male student fired pellet gun at his classmates as they left the building. One of the pellets struck a female student. She was stung by the hit, but was not seriously injured.",Unknown,,No,No,No,No,No,No,No,No,<10,
20061212PASPS,http://www.foxnews.com/story/2006/12/12/teen-commits-suicide-in-hallway-pennsylvania-school.html,,,2,2006-12-12,Winter,Springfield Township High School,Springfield Township,PA,High,Hallway,Inside School Building,Yes,Morning Classes,9:00 AM,"Poor grades, shot self when confronted by police",Shooter brought hunting rifle to school. Fired two shots into the ceiling and then a fatal shot killing himself in the hallway between classes.,Suicide/Attempted,Victims Targeted,No,No,No,No,,No,No,No,3,
20061211ILCLC,https://www.newspapers.com/image/232079346/?terms=Northwest%2BHigh%2BSchool%2Bgun%2Bpocket,,,2,2006-12-11,Winter,Clemente High School,Chicago,IL,High,Beside Building,Outside on School Property,Yes,Dismissal,2:45 PM,Officer shot trying to break up fight between gang members,Police officer shot in arm trying to break up fight between gang members outside of school. Shooter fled and was later arrested.,Escalation of Dispute,Neither,Unknown,No,No,No,No,No,Yes,No,<5,
20061207NENOO,https://www.columbine-angels.com/School_Violence_2006-2007.htm,,,1,2006-12-07,Winter,Northwest High School,Omaha,NE,High,Classroom,Inside School Building,Yes,,,Playing with gun in pocket in classroom,"17YOM student was playing with a gun in his pocket discharged causing injuries to his leg and hand. The shooter left the classroom, hid the gun, and was able to drive himself to the hospital for treatment.",Accidental,Random Shooting,No,No,No,No,No,No,No,No,1,
20061201NCJOT,http://www.witn.com/home/headlines/35382409.html,,,2,2006-12-01,Winter,Jones Senior High School,Trenton,NC,High,Basketball Court,Outside on School Property,No,Evening,10:20 PM,Shot rival gang member in parking lot after basketball game,20YOM shot 23YOM who was member of rival gang outside of high school after basketball game. Shooter had been thrown out of the game after causing a disturbance.,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,Yes,No,<10,
20061122GASAA,https://www.newspapers.com/image/422972655/?terms=Atlanta%2BMiddle%2BSchool%2BRicardo%2BAlexander,,,2,2006-11-22,Fall,Sammye E. Coan Middle School,Atlanta,GA,Middle,Front of School,Outside on School Property,No,Evening,5:40 PM,"Shooter got out of car, shot victim in chest, and fled scene","14YOM was walking across school campus. Car stopped next to him, driver got out, shot student in chest, and fled the scene. No suspect or motive.",Drive-by Shooting,Victims Targeted,Unknown,No,No,No,No,No,,No,1,
20061111CALIO,https://www.eastbaytimes.com/2006/11/13/man-killed-at-oakland-school-party/,,,3,2006-11-11,Fall,Lionel Wilson College Prep School,Oakland,CA,High,Gym,Inside School Building,No,Night,11:00 PM,"Targeted shooting during birthday party, shooter and victim had grudge",Private party at the high school on Saturday night. 23YOM shot in targeted shooting by someone he had a ongoing conflict with. 20YOM was also hit. Shooter fled and was not identified. Facility was rented by non-students.,Escalation of Dispute,Both,No,No,No,No,No,No,No,No,,
20061031TNHAK,http://www.wvlt.tv/home/headlines/4542511.html,,,2,2006-10-31,Fall,Halls High School,Knoxville,TN,High,Parking Lot,Outside on School Property,No,Evening,10:30 PM,"Security guard killed investigating car with flat tire, did not know occupant was murder suspect and it was stolen car",39YOM shot and killed an unarmed school security guard who was investigating his broken down car in the parking lot. The shooter had killed an elderly man and stolen his vehicle. He shot and killed the security guard in the parking lot of the school and fled. Later arrested.,Illegal Activity,Victims Targeted,No,No,No,No,No,No,No,No,2,
20061017TXSEK,https://www.chron.com/news/houston-texas/article/Katy-student-shoots-himself-at-high-school-1862524.php,,,2,2006-10-17,Fall,Seven Lakes High School,Katy,TX,High,Beside Building,Outside on School Property,Yes,Lunch,11:55 AM,"Student shot herself outside of school, school officials report it was an accident",16YOF student shot herself outside of the school during lunch time. School officials locked down the school for 2 hours and reported to students that it was an accident.,Accidental,Random Shooting,No,No,No,No,,,No,No,1,
20061012MDGRB,https://www.washingtonexaminer.com/third-grader-at-grove-park-brings-gun-to-city-school,,,2,2006-10-12,Fall,Grove Park Elementary School,Baltimore,MD,Elementary,Classroom,Inside School Building,Yes,Afternoon Classes,,Student accidentally fired gun inside of desk,"8YOM student brough .22 revolver to school. While the gun was inside the desk, another student student grabbed it and accidentally pulled the trigger. School officials took possession of the weapon and detained the students. No lockdown.",Accidental,Neither,Yes,No,No,No,No,No,No,No,1,
20061010NYPOP,https://www.newspapers.com/image/166180631/?terms=POMONA%2BMIDDLE%2BSCHOOL,,,2,2006-10-10,Fall,Ponoma Middle School ,Pomona,NY,Middle,School Bus,School Bus,Yes,After School,4:00 PM,Student shot multiple students with BB gun on bus,"On the bus ride home from school, a student with a BB gun opened fire on his classmates. A 12 year-old boy was struck just under his right eye and another 12 year-old boy was shot in the back of the head.",Unknown,,No,No,No,No,,No,No,No,2,
20061009MOMEJ,http://www.joplinglobe.com/news/local_news/middle-school-shooting-suspect-claimed-he-wasn-t-targeting-anyone/article_b57ed30e-b84b-5b68-9674-f94e124853d9.html https://www.fbi.gov/file-repository/active-shooter-incidents-2000-2017.pdf,,,5,2006-10-09,Fall,Memorial Middle School,Joplin,MO,Middle,Hallway,Inside School Building,Yes,Morning Classes,7:45 AM,"Poor grades, planned attack, surrendered when confronted.","Shooter dressed in camo fired single shot from assault rifle into the ceiling of the school hallway. Principal confronted the student, talked him down, and escorted him out of the school. Shooter told police he wanted to scare people and ""all of the teachers"" were the targets. Shooter had been getting in trouble at home for having poor grades. Shooter had detailed maps and drawing of his plan at the school. Said there was a bomb but no device was found.",Anger Over Grade/Suspension/Discipline,Neither,No,No,No,No,No,No,No,Yes,1,Yes
20061002PAWEN,https://www.nytimes.com/2006/10/03/us/03amish.html https://www.fbi.gov/file-repository/active-shooter-incidents-2000-2017.pdf,,,5,2006-10-02,Fall,West Nickel Mines School,Nickel Mines,PA,K-12,Classroom,Inside School Building,Yes,Morning Classes,11:07 AM,Shot girls in Amish school due to 20 year grudge,"Shooter barricaded himself inside of Amish schoolhouse with the female students. He tied up the female students and shot them one by one before committing suicide. Shooter called wife to tell her that he was doing this because a girl had wronged him 20 years ago. Shooter stockpiled supplies for months before the shooting. Shooter had a wife and 3 children with no prior history of mental health issues or violence. Weapons: ""9mm handgun, shotgun, 30.06 rifle",Indiscriminate Shooting,Random Shooting,No,No,Yes,No,No,Yes,No,Yes,,Yes
