year,month_year,date,day_count
2021,2021-08,2021-08-15,1503
2021,2021-08,2021-08-14,1809
2021,2021-08,2021-08-13,952
2021,2021-08,2021-08-12,1092
2021,2021-08,2021-08-11,1079
2021,2021-08,2021-08-10,1016
2021,2021-08,2021-08-09,1323
2021,2021-08,2021-08-08,770
2021,2021-08,2021-08-07,865
2021,2021-08,2021-08-06,1039
2021,2021-08,2021-08-05,908
2021,2021-08,2021-08-04,970
2021,2021-08,2021-08-03,934
2021,2021-08,2021-08-02,889
2021,2021-08,2021-08-01,869
2021,2021-07,2021-07-31,943
2021,2021-07,2021-07-30,1251
2021,2021-07,2021-07-29,1252
2021,2021-07,2021-07-28,2131
2021,2021-07,2021-07-27,4331
2021,2021-07,2021-07-26,1189
2021,2021-07,2021-07-25,1036
2021,2021-07,2021-07-24,954
2021,2021-07,2021-07-23,1164
2021,2021-07,2021-07-22,1364
2021,2021-07,2021-07-21,3131
2021,2021-07,2021-07-20,1277
2021,2021-07,2021-07-19,958
2021,2021-07,2021-07-18,1464
2021,2021-07,2021-07-17,887
2021,2021-07,2021-07-16,946
2021,2021-07,2021-07-15,1299
2021,2021-07,2021-07-14,1483
2021,2021-07,2021-07-13,1069
2021,2021-07,2021-07-12,1740
2021,2021-07,2021-07-11,2073
2021,2021-07,2021-07-10,990
2021,2021-07,2021-07-09,930
2021,2021-07,2021-07-08,1007
2021,2021-07,2021-07-07,1417
2021,2021-07,2021-07-06,1198
2021,2021-07,2021-07-05,935
2021,2021-07,2021-07-04,1137
2021,2021-07,2021-07-03,799
2021,2021-07,2021-07-02,937
2021,2021-07,2021-07-01,1187
2021,2021-06,2021-06-30,913
2021,2021-06,2021-06-29,1024
2021,2021-06,2021-06-28,1144
2021,2021-06,2021-06-27,969
2021,2021-06,2021-06-26,1006
2021,2021-06,2021-06-25,850
2021,2021-06,2021-06-24,850
2021,2021-06,2021-06-23,855
2021,2021-06,2021-06-22,809
2021,2021-06,2021-06-21,780
2021,2021-06,2021-06-20,954
2021,2021-06,2021-06-19,1251
2021,2021-06,2021-06-18,1040
2021,2021-06,2021-06-17,1139
2021,2021-06,2021-06-16,1499
2021,2021-06,2021-06-15,918
2021,2021-06,2021-06-14,1035
2021,2021-06,2021-06-13,1247
2021,2021-06,2021-06-12,945
2021,2021-06,2021-06-11,1014
2021,2021-06,2021-06-10,1380
2021,2021-06,2021-06-09,1408
2021,2021-06,2021-06-08,1460
2021,2021-06,2021-06-07,1200
2021,2021-06,2021-06-06,1209
2021,2021-06,2021-06-05,1003
2021,2021-06,2021-06-04,1250
2021,2021-06,2021-06-03,1243
2021,2021-06,2021-06-02,1061
2021,2021-06,2021-06-01,1057
2021,2021-05,2021-05-31,1127
2021,2021-05,2021-05-30,927
2021,2021-05,2021-05-29,936
2021,2021-05,2021-05-28,863
2021,2021-05,2021-05-27,1142
2021,2021-05,2021-05-26,1139
2021,2021-05,2021-05-25,1594
2021,2021-05,2021-05-24,2890
2021,2021-05,2021-05-23,1498
2021,2021-05,2021-05-22,866
2021,2021-05,2021-05-21,1003
2021,2021-05,2021-05-20,1055
2021,2021-05,2021-05-19,1216
2021,2021-05,2021-05-18,1363
2021,2021-05,2021-05-17,1011
2021,2021-05,2021-05-16,932
2021,2021-05,2021-05-15,866
2021,2021-05,2021-05-14,842
2021,2021-05,2021-05-13,925
2021,2021-05,2021-05-12,913
2021,2021-05,2021-05-11,1019
2021,2021-05,2021-05-10,979
2021,2021-05,2021-05-09,979
2021,2021-05,2021-05-08,946
2021,2021-05,2021-05-07,819
2021,2021-05,2021-05-06,855
2021,2021-05,2021-05-05,912
2021,2021-05,2021-05-04,958
2021,2021-05,2021-05-03,1228
2021,2021-05,2021-05-02,1177
2021,2021-05,2021-05-01,5385
2021,2021-04,2021-04-30,1189
2021,2021-04,2021-04-29,1334
2021,2021-04,2021-04-28,1083
2021,2021-04,2021-04-27,1425
2021,2021-04,2021-04-26,1069
2021,2021-04,2021-04-25,1147
2021,2021-04,2021-04-24,1142
2021,2021-04,2021-04-23,1065
2021,2021-04,2021-04-22,1264
2021,2021-04,2021-04-21,1328
2021,2021-04,2021-04-20,2144
2021,2021-04,2021-04-19,999
2021,2021-04,2021-04-18,1171
2021,2021-04,2021-04-17,909
2021,2021-04,2021-04-16,1556
2021,2021-04,2021-04-15,2450
2021,2021-04,2021-04-14,1472
2021,2021-04,2021-04-13,3147
2021,2021-04,2021-04-12,2683
2021,2021-04,2021-04-11,1278
2021,2021-04,2021-04-10,1214
2021,2021-04,2021-04-09,1418
2021,2021-04,2021-04-08,985
2021,2021-04,2021-04-07,1197
2021,2021-04,2021-04-06,1200
2021,2021-04,2021-04-05,1148
2021,2021-04,2021-04-04,997
2021,2021-04,2021-04-03,1056
2021,2021-04,2021-04-02,917
2021,2021-04,2021-04-01,1151
2021,2021-03,2021-03-31,1323
2021,2021-03,2021-03-30,2373
2021,2021-03,2021-03-29,1873
2021,2021-03,2021-03-28,1072
2021,2021-03,2021-03-27,1034
2021,2021-03,2021-03-26,1121
2021,2021-03,2021-03-25,1441
2021,2021-03,2021-03-24,2275
2021,2021-03,2021-03-23,1274
2021,2021-03,2021-03-22,1157
2021,2021-03,2021-03-21,1139
2021,2021-03,2021-03-20,1226
2021,2021-03,2021-03-19,1782
2021,2021-03,2021-03-18,2005
2021,2021-03,2021-03-17,1641
2021,2021-03,2021-03-16,1243
2021,2021-03,2021-03-15,1563
2021,2021-03,2021-03-14,1246
2021,2021-03,2021-03-13,1480
2021,2021-03,2021-03-12,1343
2021,2021-03,2021-03-11,2262
2021,2021-03,2021-03-10,1974
2021,2021-03,2021-03-09,2209
2021,2021-03,2021-03-08,2838
2021,2021-03,2021-03-07,1279
2021,2021-03,2021-03-06,1034
2021,2021-03,2021-03-05,1393
2021,2021-03,2021-03-04,1373
2021,2021-03,2021-03-03,1569
2021,2021-03,2021-03-02,1682
2021,2021-03,2021-03-01,1581
2021,2021-02,2021-02-28,1449
2021,2021-02,2021-02-27,1378
2021,2021-02,2021-02-26,1706
2021,2021-02,2021-02-25,1463
2021,2021-02,2021-02-24,1414
2021,2021-02,2021-02-23,1660
2021,2021-02,2021-02-22,1956
2021,2021-02,2021-02-21,1381
2021,2021-02,2021-02-20,1093
2021,2021-02,2021-02-19,1175
2021,2021-02,2021-02-18,1503
2021,2021-02,2021-02-17,1929
2021,2021-02,2021-02-16,1217
2021,2021-02,2021-02-15,1136
2021,2021-02,2021-02-14,1162
2021,2021-02,2021-02-13,1312
2021,2021-02,2021-02-12,1444
2021,2021-02,2021-02-11,1397
2021,2021-02,2021-02-10,1829
2021,2021-02,2021-02-09,1607
2021,2021-02,2021-02-08,1668
2021,2021-02,2021-02-07,1338
2021,2021-02,2021-02-06,2194
2021,2021-02,2021-02-05,2709
2021,2021-02,2021-02-04,1614
2021,2021-02,2021-02-03,1397
2021,2021-02,2021-02-02,1669
2021,2021-02,2021-02-01,1718
2021,2021-01,2021-01-31,1355
2021,2021-01,2021-01-30,1051
2021,2021-01,2021-01-29,1131
2021,2021-01,2021-01-28,1455
2021,2021-01,2021-01-27,1232
2021,2021-01,2021-01-26,1250
2021,2021-01,2021-01-25,1337
2021,2021-01,2021-01-24,1307
2021,2021-01,2021-01-23,1331
2021,2021-01,2021-01-22,1501
2021,2021-01,2021-01-21,1962
2021,2021-01,2021-01-20,1269
2021,2021-01,2021-01-19,1310
2021,2021-01,2021-01-18,1688
2021,2021-01,2021-01-17,1276
2021,2021-01,2021-01-16,1299
2021,2021-01,2021-01-15,1811
2021,2021-01,2021-01-14,1520
2021,2021-01,2021-01-13,1831
2021,2021-01,2021-01-12,1714
2021,2021-01,2021-01-11,3327
2021,2021-01,2021-01-10,7491
2021,2021-01,2021-01-09,3166
2021,2021-01,2021-01-08,1488
2021,2021-01,2021-01-07,2566
2021,2021-01,2021-01-06,2061
2021,2021-01,2021-01-05,1219
2021,2021-01,2021-01-04,1328
2021,2021-01,2021-01-03,1076
2021,2021-01,2021-01-02,900
2021,2021-01,2021-01-01,976
2020,2020-12,2020-12-31,1419
2020,2020-12,2020-12-30,1259
2020,2020-12,2020-12-29,1654
2020,2020-12,2020-12-28,1980
2020,2020-12,2020-12-27,1297
2020,2020-12,2020-12-26,1073
2020,2020-12,2020-12-25,913
2020,2020-12,2020-12-24,1163
2020,2020-12,2020-12-23,1085
2020,2020-12,2020-12-22,1768
2020,2020-12,2020-12-21,4058
2020,2020-12,2020-12-20,1031
2020,2020-12,2020-12-19,932
2020,2020-12,2020-12-18,999
2020,2020-12,2020-12-17,1563
2020,2020-12,2020-12-16,2796
2020,2020-12,2020-12-15,1197
2020,2020-12,2020-12-14,1071
2020,2020-12,2020-12-13,1434
2020,2020-12,2020-12-12,1053
2020,2020-12,2020-12-11,1079
2020,2020-12,2020-12-10,1200
2020,2020-12,2020-12-09,2232
2020,2020-12,2020-12-08,2828
2020,2020-12,2020-12-07,1133
2020,2020-12,2020-12-06,948
2020,2020-12,2020-12-05,1059
2020,2020-12,2020-12-04,1633
2020,2020-12,2020-12-03,2644
2020,2020-12,2020-12-02,3212
2020,2020-12,2020-12-01,1837
2020,2020-11,2020-11-30,1485
2020,2020-11,2020-11-29,1424
2020,2020-11,2020-11-28,1100
2020,2020-11,2020-11-27,1265
2020,2020-11,2020-11-26,1120
2020,2020-11,2020-11-25,1297
2020,2020-11,2020-11-24,1570
2020,2020-11,2020-11-23,1203
2020,2020-11,2020-11-22,1269
2020,2020-11,2020-11-21,1292
2020,2020-11,2020-11-20,1373
2020,2020-11,2020-11-19,1483
2020,2020-11,2020-11-18,1117
2020,2020-11,2020-11-17,1132
2020,2020-11,2020-11-16,1180
2020,2020-11,2020-11-15,1204
2020,2020-11,2020-11-14,1007
2020,2020-11,2020-11-13,1110
2020,2020-11,2020-11-12,1166
2020,2020-11,2020-11-11,1657
2020,2020-11,2020-11-10,2112
