year,month_year,date,day_count
2021,2021-12,2021-12-04,199852
2021,2021-12,2021-12-03,177807
2021,2021-12,2021-12-02,267205
2021,2021-12,2021-12-01,265973
2021,2021-11,2021-11-30,344919
2021,2021-11,2021-11-29,228505
2021,2021-11,2021-11-28,96831
2021,2021-11,2021-11-27,120197
2021,2021-11,2021-11-26,136333
2021,2021-11,2021-11-25,191626
2021,2021-11,2021-11-24,154302
2021,2021-11,2021-11-23,216451
2021,2021-11,2021-11-22,284340
2021,2021-11,2021-11-21,152742
2021,2021-11,2021-11-20,187655
2021,2021-11,2021-11-19,219261
2021,2021-11,2021-11-18,209142
2021,2021-11,2021-11-17,172889
2021,2021-11,2021-11-16,153745
2021,2021-11,2021-11-15,440974
2021,2021-11,2021-11-14,347214
2021,2021-11,2021-11-13,224262
2021,2021-11,2021-11-12,117227
2021,2021-11,2021-11-11,125114
2021,2021-11,2021-11-10,132162
2021,2021-11,2021-11-09,178878
2021,2021-11,2021-11-08,208266
2021,2021-11,2021-11-07,245402
2021,2021-11,2021-11-06,208001
2021,2021-11,2021-11-05,128694
2021,2021-11,2021-11-04,184885
2021,2021-11,2021-11-03,251359
2021,2021-11,2021-11-02,296182
2021,2021-11,2021-11-01,314383
2021,2021-10,2021-10-31,276713
2021,2021-10,2021-10-30,162539
2021,2021-10,2021-10-29,306595
2021,2021-10,2021-10-28,193071
2021,2021-10,2021-10-27,199002
2021,2021-10,2021-10-26,226078
2021,2021-10,2021-10-25,278576
2021,2021-10,2021-10-24,236506
2021,2021-10,2021-10-23,158314
2021,2021-10,2021-10-22,188841
2021,2021-10,2021-10-21,245796
2021,2021-10,2021-10-20,165090
2021,2021-10,2021-10-19,255646
2021,2021-10,2021-10-18,322527
2021,2021-10,2021-10-17,159437
2021,2021-10,2021-10-16,86458
2021,2021-10,2021-10-15,111683
2021,2021-10,2021-10-14,187846
2021,2021-10,2021-10-13,94526
2021,2021-10,2021-10-12,99236
2021,2021-10,2021-10-11,105471
2021,2021-10,2021-10-10,101392
2021,2021-10,2021-10-09,125348
2021,2021-10,2021-10-08,105900
2021,2021-10,2021-10-07,123054
2021,2021-10,2021-10-06,84620
2021,2021-10,2021-10-05,98675
2021,2021-10,2021-10-04,143379
