,reporting_district,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
294,455,0,0,0,1,0,0,0,0,0,0
295,507,1,0,0,0,1,0,0,0,0,0
296,509,1,0,0,0,0,0,0,0,0,0
297,511,50,3,0,0,0,0,0,0,0,0
298,513,4,2,0,0,0,0,1,0,0,0
299,517,0,1,0,0,0,0,0,0,0,0
300,519,1,0,0,0,0,0,0,1,0,0
301,459,0,0,1,0,0,0,0,0,0,0
302,427,0,0,0,0,1,0,0,0,0,0
303,705,0,0,2,0,0,0,0,0,4,0
304,399,1,7,2,0,0,0,0,0,0,0
305,376,1,6,0,0,0,0,0,0,0,0
306,379,0,0,0,2,0,0,0,0,0,0
307,392,0,0,0,0,0,0,0,0,2,0
308,393,1,0,0,0,0,0,1,0,0,0
309,396,0,1,0,0,0,0,0,0,0,0
310,398,0,0,2,0,0,0,0,0,0,0
311,401,0,0,0,1,0,0,0,0,0,0
312,424,0,0,0,1,0,0,0,0,0,0
313,402,23,3,1,2,0,0,0,0,0,0
314,403,0,1,0,0,0,0,0,0,0,0
315,404,0,0,0,1,0,0,0,0,0,0
316,408,0,1,0,0,0,0,0,0,0,0
317,409,0,0,0,0,1,0,0,0,0,0
318,422,0,0,0,0,1,0,0,0,0,0
319,521,0,0,0,0,0,0,0,1,1,0
320,525,4,0,0,0,0,0,0,1,0,0
321,526,0,0,0,0,0,0,0,0,2,0
322,649,10,4,6,3,1,1,7,3,0,0
323,631,0,1,0,0,0,0,0,0,0,0
324,632,2,0,2,0,0,1,1,0,0,0
325,638,2,7,10,4,13,8,9,3,14,0
326,639,0,2,3,0,2,2,4,6,0,0
327,642,0,0,1,16,0,7,1,3,1,0
328,647,11,29,57,52,22,15,2,7,8,0
329,657,4,0,0,0,0,0,0,2,0,0
330,529,0,0,0,0,0,0,0,3,6,0
331,659,4,2,12,2,2,0,11,0,1,0
332,665,95,75,64,31,3,3,1,1,5,0
333,678,0,0,1,2,1,2,0,0,0,0
334,679,1,0,0,0,1,3,6,2,3,0
335,698,0,1,0,0,0,0,0,0,0,0
336,702,0,0,3,1,0,0,0,0,2,0
337,629,0,0,1,0,0,0,0,0,0,0
338,628,0,4,0,1,0,0,0,0,1,0
339,627,0,1,1,0,0,0,0,0,0,0
340,626,3,14,6,4,6,2,4,3,0,0
341,625,4,9,3,4,0,13,1,0,1,0
342,622,0,0,0,1,0,0,0,0,0,0
343,615,0,0,0,0,0,0,0,0,6,0
344,585,1,0,0,0,0,0,0,0,1,0
345,569,0,0,0,0,0,0,1,0,0,0
346,567,0,0,0,0,0,1,16,1,5,0
347,565,0,0,0,1,0,0,3,0,3,0
348,564,0,0,0,0,0,2,6,7,2,0
349,563,0,0,0,0,0,0,2,0,0,0
350,559,0,0,0,0,0,0,2,0,0,0
351,557,1,0,0,0,0,5,9,2,0,0
352,541,24,0,0,0,0,0,0,0,0,0
353,531,4,0,0,0,0,0,0,0,1,0
354,2002,0,2,0,0,0,0,0,0,0,0
355,1954,0,1,0,0,0,0,0,0,0,0
356,1998,0,0,0,0,0,4,1,0,0,0
357,1331,0,0,4,10,4,2,0,0,0,0
358,1342,0,3,1,2,0,0,0,0,0,0
359,1343,3,5,2,0,0,1,0,0,0,0
360,1344,0,0,1,0,0,0,0,3,0,0
361,1345,0,1,0,0,1,0,0,0,0,0
362,1346,0,0,4,0,0,0,0,0,0,0
363,1351,1,6,13,1,7,28,3,0,0,0
364,1352,0,1,2,15,47,18,1,0,0,0
365,1353,0,0,8,2,21,2,0,0,0,0
366,1354,0,1,0,0,10,3,0,0,0,0
367,1361,1,1,7,1,17,22,0,0,0,0
368,1362,5,0,4,3,4,4,0,0,0,0
369,1363,0,0,4,4,1,1,0,0,0,0
370,1364,3,3,5,4,0,0,0,0,0,0
371,1365,0,0,0,2,0,0,0,0,0,0
372,1367,6,1,1,3,0,0,0,0,0,0
373,1341,0,3,11,19,17,14,0,0,0,0
374,133,0,0,4,2,3,1,1,0,0,0
375,1372,0,2,10,5,0,1,0,0,0,0
376,1327,0,1,2,9,3,0,0,0,0,0
377,1265,0,0,0,0,0,1,0,0,0,0
378,1267,0,0,0,0,3,0,0,0,0,0
379,1273,0,0,0,0,0,0,6,0,0,0
380,1283,0,0,0,0,0,0,1,0,0,0
