name,club,position,height_cm,foot,age,rating,position_second,height_inches
Christian Stuani,Girona FC,F(C),184,Right,36,87,,72.44
Rony Lopes,Sevilla,AM(RLC),174,Left,26,87,F(RL),68.5
Hany Mukhtar,Nashville SC,M,174,Both,27,87,AM(C),68.5
Emmanuel Dennis,Nottingham Forest,AM(RL),174,Right,25,87,F(RLC),68.5
Mario Lemina,OGC Nice,DM,184,Right,29,87,M(C),72.44
Enner Valencia,Fenerbahçe SK,AM(RL),174,Right,33,87,F(RLC),68.5
Javier Hernández,Los Angeles Galaxy,F(C),174,Both,34,87,,68.5
Luciano Víetto,Al Hilal SC,AM,174,Right,28,87,F(RLC),68.5
Simone Verdi,Torino,M(C),174,Both,30,87,"AM,F(RLC)",68.5
Danny da Costa,1. FSV Mainz 05,D,185,Right,29,87,"DM,M(R)",72.83
Mert Müldür,US Sassuolo,D(RC),185,Both,23,87,"DM,M(R)",72.83
Angelo Fulgini,1. FSV Mainz 05,M,187,Right,26,87,AM(RC),73.62
Fedor Smolov,Dynamo Moskva,F(C),185,Both,32,87,,72.83
Stefan Ortega,Manchester City,Gk,185,Right,30,87,,72.83
Rogelio Funes Mori,Monterrey,F(C),185,Right,31,87,,72.83
Héctor Moreno,Monterrey,D(C),185,Left,34,87,,72.83
Stephane Singo,Torino,D,185,Right,21,87,"DM,M(R)",72.83
Luis Suárez,Olympique Marseille,AM(RL),185,Right,24,87,F(RLC),72.83
Alex Teixeira,Vasco da Gama,AM,173,Both,32,87,F(RLC),68.11
Serhiy Sydorchuk,Dynamo Kyiv,DM,185,Right,31,87,M(C),72.83
Damián Suárez,Getafe CF,D,173,Right,34,87,"DM,M(R)",68.11
Giovanni Reyna,Borussia Dortmund,M(C),185,Right,20,87,AM(RLC),72.83
Danny Welbeck,Brighton and Hove Albion,AM(RL),185,Right,31,87,F(RLC),72.83
Gaël Kakuta,Amiens SC,AM(RLC),173,Left,31,87,F(RL),68.11
Patson Daka,Leicester City,F(C),185,Right,24,87,,72.83
Michy Batshuayi,Fenerbahçe SK,F(C),185,Right,29,87,,72.83
Eberechi Eze,Crystal Palace,M,173,Right,24,87,AM(RLC),68.11
Orel Mangala,Nottingham Forest,DM,185,Right,24,87,M(C),72.83
Adam Lallana,Brighton and Hove Albion,M(C),173,Both,34,87,AM(RLC),68.11
Mark Uth,1. FC Köln,AM,185,Left,31,87,F(C),72.83
Armindo Bruma,PSV,AM,173,Right,28,87,F(RL),68.11
Will Hughes,Crystal Palace,M(C),185,Left,27,87,AM(RLC),72.83
Jerdy Schouten,Bologna FC,DM,185,Right,25,87,M(C),72.83
Joseph Aidoo,Celta Vigo,D(C),185,Right,27,87,,72.83
Andrea Pinamonti,US Sassuolo,F(C),185,Right,23,87,,72.83
Dylan Bronn,US Salernitana,D(C),185,Right,27,87,,72.83
Igor Julio,ACF Fiorentina,D(LC),185,Left,24,87,,72.83
Kaan Ayhan,US Sassuolo,D(RC),185,Right,28,87,,72.83
Stefano Denswil,Trabzonspor,D(LC),185,Left,29,87,,72.83
Curtis Jones,Liverpool,M,185,Right,21,87,AM(LC),72.83
Víctor Ruíz,Real Betis,D(C),185,Left,33,87,,72.83
Sergi Gómez,RCD Espanyol,D(C),185,Right,30,87,,72.83
Adam Webster,Brighton and Hove Albion,D(C),185,Right,27,87,,72.83
Luke Ayling,Leeds United,D(RC),185,Right,31,87,"DM,M(R)",72.83
Carlos Neva,Granada CF,D,174,Left,26,87,"DM,M(L)",68.5
Lorenzo de Silvestri,Bologna FC,D,186,Right,34,87,"DM,M(R)",73.23
André Almeida,SL Benfica,D(RL),186,Right,32,87,DM(R),73.23
Tino Kadewere,Olympique Lyonnais,AM(RL),183,Right,26,87,F(RLC),72.05
Alexander Djiku,RC Strasbourg Alsace,D,186,Right,28,87,DM(C),73.23
Jesús Vallejo,Real Madrid,D(C),183,Right,25,87,,72.05
Kevin Lasagna,Hellas Verona,AM,186,Left,30,87,F(C),73.23
Adama Soumaoro,Bologna FC,D(C),186,Right,30,87,,73.23
Jeremías Ledesma,Cádiz CF,Gk,186,Right,29,87,,73.23
Igor Akinfeev,CSKA Moskva,Gk,186,Right,36,87,,73.23
Álvaro Negredo,Cádiz CF,F(C),186,Left,37,87,,73.23
Ferreira Vitinha,Paris Saint-Germain,M,172,Right,22,87,AM(C),67.72
Habib Diallo,RC Strasbourg Alsace,AM(RL),186,Right,27,87,F(RLC),73.23
Barbosa Evanilson,FC Porto,F(C),183,Both,23,87,,72.05
Lucas Boyé,Elche CF,AM(RL),183,Right,26,87,F(RLC),72.05
Grzegorz Krychowiak,FC Krasnodar,DM,186,Right,32,87,M(C),73.23
Miguel Borja,River Plate,F(C),183,Right,29,87,,72.05
David Raya,Brentford,Gk,183,Right,27,87,,72.05
Saša Lukić,Torino,DM,183,Right,26,87,"M,AM(C)",72.05
Pol Lirola,Olympique Marseille,D,183,Right,25,87,"DM,M(R)",72.05
Oriol Romeu,Girona FC,DM,183,Right,31,87,M(C),72.05
Silvan Widmer,1. FSV Mainz 05,D,183,Right,29,87,"DM,M(R)",72.05
Dimitri Foulquier,Valencia CF,D,183,Right,29,87,"DM,M(RL)",72.05
Manolo Gabbiadini,Sampdoria,AM,186,Left,30,87,F(RC),73.23
Aleksandar Dragović,Crvena Zvezda,D(RC),186,Both,31,87,,73.23
Arne Maier,FC Augsburg,DM,183,Right,23,87,M(C),72.05
Gonzalo Melero,UD Almería,M,183,Right,28,87,AM(C),72.05
Carlos Izquierdoz,Real Sporting,D(C),186,Right,34,87,,73.23
Kévin Gameiro,RC Strasbourg Alsace,F(C),172,Right,35,87,,67.72
Guus Til,PSV,M,186,Right,24,87,AM(C),73.23
Chimy Ávila,CA Osasuna,AM(RL),172,Left,28,87,F(RLC),67.72
Diogo Dalot,Manchester United,D,183,Right,23,87,"DM,M(RL)",72.05
Stuart Armstrong,Southampton,M,183,Right,30,87,AM(RLC),72.05
Dani García,Athletic Club,DM,183,Right,32,87,M(C),72.05
Tomasz Kędziora,Dynamo Kyiv,D(RC),183,Right,28,87,DM(R),72.05
Jeff Reine-Adelaïde,Olympique Lyonnais,M(C),183,Right,24,87,AM(RLC),72.05
Rasmus Kristensen,Leeds United,D,186,Right,25,87,"DM,M(R)",73.23
Armando Izzo,Torino,D(RC),183,Right,30,87,,72.05
Frank Fabra,Boca Juniors,D,172,Left,31,87,"DM,M(L)",67.72
Youssouf Sabaly,Real Betis,D,174,Right,29,87,"DM,M(RL)",68.5
Ozan Kabak,TSG 1899 Hoffenheim,D(C),186,Right,22,87,,73.23
Karim Rekik,Sevilla,D(LC),186,Left,27,87,,73.23
Rubén Vargas,FC Augsburg,AM,174,Right,24,87,F(RL),68.5
Grischa Prömel,TSG 1899 Hoffenheim,DM,183,Right,27,87,M(C),72.05
Marcos Rojo,Boca Juniors,D(LC),186,Left,32,87,,73.23
Khvicha Kvaratskhelia,SSC Napoli,AM(LC),183,Both,21,87,F(L),72.05
Cédric Soares,Arsenal,D,172,Right,31,87,"DM,M(RL)",67.72
Jeison Murillo,Sampdoria,D(C),182,Right,30,87,,71.65
Gonçalo Inácio,Sporting CP,D(LC),186,Left,21,87,,73.23
Luiz Adriano,Antalyaspor,F(C),183,Right,35,87,,72.05
Jean-Philippe Gbamin,Everton,D,186,Right,27,87,DM(C),73.23
Renato Augusto,Corinthians,DM,186,Right,34,87,"M,AM(C)",73.23
Robin Quaison,Al Ettifaq,AM,183,Right,29,87,F(LC),72.05
Jonathan Burkardt,1. FSV Mainz 05,AM,183,Right,22,87,F(RLC),72.05
Rúben Vezo,Levante UD,D(C),183,Right,28,87,,72.05
Johan Mojica,Villarreal CF,D,172,Left,30,87,"DM,M(L)",67.72
Albin Ekdal,Spezia Calcio,DM,186,Right,33,87,M(C),73.23
Milan Badelj,Genoa CFC,DM,186,Right,33,87,M(C),73.23
Morten Thorsby,1. FC Union Berlin,DM,186,Right,26,87,"M,AM(C)",73.23
Leandro Barreiro,1. FSV Mainz 05,DM,174,Right,22,87,"M,AM(C)",68.5
Adrià Pedrosa,RCD Espanyol,D,172,Left,24,87,"DM,M,AM(L)",67.72
Christian Norgaard,Brentford,D,186,Right,28,87,"DM,M(C)",73.23
Gary Medel,Bologna FC,D,172,Right,35,87,DM(C),67.72
Jasmin Kurtič,Parma,DM,186,Right,33,87,"M,AM(C)",73.23
Andros Townsend,Everton,AM,183,Left,31,87,F(RL),72.05
Piero Hincapié,Bayer Leverkusen,D(LC),183,Left,20,87,,72.05
Jordan Teze,PSV,D(RC),183,Right,23,87,DM(R),72.05
Rodrigo Dourado,Atlético San Luis,DM,186,Right,28,87,M(C),73.23
Bruno Valdez,Club América,D(C),183,Both,30,87,,72.05
Dominik Livaković,Dinamo Zagreb,Gk,187,Right,27,87,,73.62
Giulio Maggiore,US Salernitana,DM,184,Right,24,87,"M,AM(C)",72.44
Álvaro González,Al Nassr,D,182,Right,32,87,DM(C),71.65
Matheus Magalhães,Sporting de Braga,Gk,190,Right,30,87,,74.8
Arthur Masuaku,West Ham United,D,179,Left,29,87,"DM,M(L)",70.47
Ángel Romero,Cruz Azul,AM(RL),176,Right,30,87,F(RLC),69.29
Maximilian Mittelstädt,Hertha BSC,D,179,Left,25,87,"DM,M(L)",70.47
Rafael Carioca,Tigres UANL,DM,179,Right,33,87,M(C),70.47
Sebastian Rudy,TSG 1899 Hoffenheim,D(R),179,Right,32,87,"DM,M(RC)",70.47
Ryan Bertrand,Leicester City,D,179,Left,33,87,"DM,M(L)",70.47
Óscar Rodríguez,Sevilla,M(C),176,Right,24,87,AM(RLC),69.29
Florian Müller,VfB Stuttgart,Gk,190,Left,25,87,,74.8
Paul Bernardoni,Angers SCO,Gk,190,Left,25,87,,74.8
Christian Benteke,D.C. United,F(C),190,Right,31,87,,74.8
Germán Cano,Fluminense,F(C),176,Both,34,87,,69.29
Ante Budimir,CA Osasuna,F(C),190,Left,31,87,,74.8
Vicente Guaita,Crystal Palace,Gk,190,Right,35,87,,74.8
Carlos Vinícius,Fulham,F(C),190,Right,27,87,,74.8
Mathias Normann,FC Rostov,DM,179,Left,26,87,M(C),70.47
Jonas Wind,VfL Wolfsburg,AM,190,Right,23,87,F(C),74.8
Sebastian Rode,Eintracht Frankfurt,DM,179,Right,32,87,M(C),70.47
Juan Fernando Quintero,Shenzhen FC,AM(RLC),169,Left,29,87,,66.54
Ben Mee,Brentford,D(C),180,Left,33,87,,70.87
Samuel Umtiti,Barcelona,D(C),180,Left,29,87,,70.87
Thomas Foket,Stade de Reims,D,179,Right,28,87,"DM,M(R)",70.47
Mikkel Damsgaard,Brentford,M(RL),176,Right,22,87,AM(RLC),69.29
Marko Rog,Cagliari,DM,180,Right,27,87,"M,AM(C)",70.87
Radja Nainggolan,Royal Antwerp,DM,176,Right,34,87,"M,AM(C)",69.29
Niklas Dorsch,FC Augsburg,DM,176,Right,24,87,M(C),69.29
Sanmartín Joselu,RCD Espanyol,F(C),191,Right,32,87,,75.2
Eric Maxim Choupo-Moting,Bayern München,AM,191,Both,33,87,F(LC),75.2
Mislav Oršić,Dinamo Zagreb,AM(RL),179,Right,29,87,F(RLC),70.47
César Montes,Monterrey,D(C),191,Right,25,87,,75.2
Josef Souza,Beşiktaş JK,DM,176,Right,33,87,M(C),69.29
Sánchez Joaquín,Real Betis,AM(RLC),179,Right,41,87,F(RL),70.47
Marash Kumbulla,AS Roma,D(C),191,Right,22,87,,75.2
Marco Silvestri,Udinese Calcio,Gk,191,Right,31,87,,75.2
Bartlomiej Drągowski,Spezia Calcio,Gk,191,Right,25,87,,75.2
Marko Grujić,FC Porto,DM,191,Right,26,87,M(C),75.2
Martin Dúbravka,Newcastle United,Gk,191,Right,33,87,,75.2
Karol Linetty,Torino,DM,176,Both,27,87,"M,AM(C)",69.29
Owen Wijndal,Ajax,D,176,Left,22,87,"DM,M(L)",69.29
Carlos Rodríguez,Cruz Azul,DM,176,Right,25,87,"M,AM(C)",69.29
Jean-Paul Boëtius,Hertha BSC,M(C),179,Both,28,87,AM(RLC),70.47
Fredrik Midtsjo,Galatasaray SK,DM,176,Right,29,87,M(C),69.29
Borges Wendell,FC Porto,D,176,Left,29,87,"DM,M(L)",69.29
Nahuel Guzmán,Tigres UANL,Gk,191,Right,36,87,,75.2
Jordan Amavi,Olympique Marseille,D,176,Left,28,87,"DM,M(L)",69.29
Viktor Kovalenko,Atalanta BC,M,182,Right,26,87,AM(C),71.65
Morgan Sanson,Aston Villa,M,180,Right,28,87,AM(C),70.87
Jorge Molina,Granada CF,F(C),189,Right,40,87,,74.41
Makoto Hasebe,Eintracht Frankfurt,D,180,Right,38,87,DM(C),70.87
Adel Taarabt,Al Nasr SC,M,180,Both,33,87,AM(C),70.87
Mohamed Elneny,Arsenal,DM,180,Right,30,87,M(C),70.87
Adrien Tameze,Hellas Verona,D,180,Right,28,87,"DM(C),M(RC)",70.87
Andriy Yarmolenko,Al Ain,AM,189,Left,33,87,F(RL),74.41
Cheick Doucouré,Crystal Palace,DM,180,Right,22,87,M(C),70.87
Mesut Özil,Istanbul Başakşehir,AM(RLC),180,Left,34,87,,70.87
David Luiz,Flamengo,D(C),189,Both,35,87,,74.41
Edwin Cardona,Racing Club,AM(LC),180,Right,29,87,,70.87
Josip Brekalo,VfL Wolfsburg,AM,180,Right,24,87,F(RLC),70.87
Iñigo Lekue,Athletic Club,D,180,Right,29,87,"DM,M(RL)",70.87
Aarón Martín,1. FSV Mainz 05,D,180,Left,25,87,"DM,M(L)",70.87
Valentino Lazaro,Internazionale,D,180,Right,26,87,"DM(R),M,AM(RL)",70.87
Davide Faraoni,Hellas Verona,D,180,Right,31,87,"DM,M(R)",70.87
Cheikhou Kouyaté,Nottingham Forest,D,189,Both,32,87,"DM,M(C)",74.41
Danilo D'Ambrosio,Internazionale,D(RLC),180,Right,34,87,DM(RL),70.87
Óscar de Marcos,Athletic Club,D,180,Right,33,87,"DM,M,AM(R)",70.87
Maximiliano Meza,Monterrey,M,180,Right,30,87,AM(RL),70.87
Franck Honorat,Stade Brestois 29,M,180,Right,26,87,"AM(RL),F(RLC)",70.87
Joshua King,Fenerbahçe SK,AM(RL),180,Right,30,87,F(RLC),70.87
Martin Braithwaite,RCD Espanyol,AM(RL),180,Both,31,87,F(RLC),70.87
Myron Boadu,AS Monaco,F(C),180,Both,21,87,,70.87
Loren Morón,Real Betis,F(C),180,Right,28,87,,70.87
Lucas Torró,CA Osasuna,DM,190,Right,28,87,M(C),74.8
Rubén Duarte,Deportivo Alavés,D(LC),180,Left,27,87,DM(L),70.87
Luan Peres,Fenerbahçe SK,D(LC),190,Left,28,87,,74.8
Trevoh Chalobah,Chelsea,D,190,Right,23,87,DM(C),74.8
Michael Ngadeu,KAA Gent,D(C),190,Right,31,87,,74.8
Robin Knoche,1. FC Union Berlin,D(C),190,Right,30,87,,74.8
Carles Aleña,Getafe CF,DM,180,Left,24,87,"M,AM(C)",70.87
Min-Jae Kim,SSC Napoli,D(C),190,Right,26,87,,74.8
Jean Clair Todibo,OGC Nice,D,190,Right,22,87,"DM,M(C)",74.8
Javi Martínez,Qatar SC,D,190,Right,34,87,DM(C),74.8
Daniele Rugani,Juventus,D(C),190,Right,28,87,,74.8
Steven Nzonzi,Al Rayyan,DM,190,Right,33,87,M(C),74.8
Fabien Centonze,FC Nantes,D,180,Right,26,87,"DM,M(R)",70.87
Okay Yokuslu,West Bromwich Albion,DM,190,Right,28,87,M(C),74.8
Yunis Abdelhamid,Stade de Reims,D(C),190,Right,35,87,,74.8
Matías Viña,AS Roma,D,180,Left,25,87,"DM,M(L)",70.87
Nacho Vidal,CA Osasuna,D,180,Right,27,87,"DM,M(R)",70.87
Sander Berge,Sheffield United,DM,190,Right,24,87,M(C),74.8
Teemu Pukki,Norwich City,AM,180,Right,32,87,F(C),70.87
Darío Benedetto,Boca Juniors,F(C),180,Right,32,87,,70.87
Zouhair Feddal,Real Valladolid,D(C),190,Left,33,87,,74.8
Marcel Tisserand,Al Ettifaq,D(RC),190,Right,29,87,,74.8
Matz Sels,RC Strasbourg Alsace,Gk,191,Right,30,87,,75.2
Sebastiaan Bornauw,VfL Wolfsburg,D(C),191,Right,23,87,,75.2
Mbaye Diagne,Fatih Karagümrük,F(C),191,Right,31,87,,75.2
Ibrahima Sissoko,RC Strasbourg Alsace,DM,194,Right,25,87,M(C),76.38
Christopher Jullien,Montpellier HSC,D(C),195,Right,29,87,,76.77
Willy Boly,Nottingham Forest,D(C),195,Right,31,87,,76.77
Agustín Rossi,Boca Juniors,Gk,195,Right,27,87,,76.77
Cristian Pavón,Atlético Mineiro,AM(RL),167,Right,26,87,F(RLC),65.75
Fabricio Bustos,SC Internacional,D,167,Right,26,87,"DM,M(R)",65.75
Max Kilman,Wolverhampton Wanderers,D(LC),194,Left,25,87,DM(L),76.38
Kevin Vogt,TSG 1899 Hoffenheim,D,194,Right,31,87,DM(C),76.38
Andreas Luthe,1. FC Kaiserslautern,Gk,194,Right,35,87,,76.38
Vedat Muriqi,RCD Mallorca,F(C),194,Left,28,87,,76.38
Alfred Gomis,Stade Rennais,Gk,194,Right,29,87,,76.38
Exequiel Palacios,Bayer Leverkusen,M,177,Right,24,87,AM(C),69.69
Ander Guevara,Real Sociedad,DM,178,Right,25,87,M(C),70.08
Alan Patrick,SC Internacional,M,178,Right,31,87,AM(C),70.08
Nicolás de la Cruz,River Plate,M,167,Right,25,87,AM(RLC),65.75
Jens Toornstra,FC Utrecht,DM,178,Right,33,87,"M,AM(C)",70.08
Raúl Ruidíaz,Seattle Sounders,F(C),167,Right,32,87,,65.75
José Callejón,Granada CF,AM,178,Right,35,87,F(RC),70.08
Sebastián Villa,Boca Juniors,AM(RL),178,Right,26,87,F(RLC),70.08
Alfred Duncan,ACF Fiorentina,DM,178,Left,29,87,M(C),70.08
James Mcarthur,Crystal Palace,DM,178,Right,35,87,M(C),70.08
Franco Cervi,Celta Vigo,M,166,Left,28,87,AM(RL),65.35
Victor Moses,Spartak Moskva,M,177,Right,31,87,AM(RL),69.69
Khéphren Thuram,OGC Nice,DM,191,Right,21,87,M(C),75.2
Illan Meslier,Leeds United,Gk,196,Left,22,87,,77.17
Dan Burn,Newcastle United,D(LC),201,Left,30,87,DM(L),79.13
Yeferson Soteldo,Tigres UANL,AM(RLC),160,Right,25,87,F(RL),62.99
Milton Casco,River Plate,D,177,Right,34,87,"DM,M(RL)",69.69
Ryan Fraser,Newcastle United,M,163,Right,28,87,AM(RL),64.17
Mikel Balenziaga,Athletic Club,D,177,Left,34,87,"DM,M(L)",69.69
Guilherme Marinato,Lokomotiv Moskva,Gk,197,Right,36,87,,77.56
Bouna Sarr,Bayern München,D,177,Right,30,87,"DM,M,AM(R)",69.69
Jesús Gallardo,Monterrey,D,177,Left,28,87,"DM,M,AM(L)",69.69
Milot Rashica,Norwich City,AM,177,Right,26,87,F(RLC),69.69
Jiri Pavlenka,Werder Bremen,Gk,196,Right,30,87,,77.17
Max Gradel,Sivasspor,AM(RLC),177,Right,34,87,F(RL),69.69
Alfredo Morelos,Rangers,F(C),177,Left,26,87,,69.69
Carlos Vela,Los Angeles FC,AM,177,Left,33,87,F(RLC),69.69
Radamel Falcao,Rayo Vallecano,F(C),177,Both,36,87,,69.69
Emanuel Reynoso,Minnesota United,M(C),177,Left,27,87,AM(RLC),69.69
Anton Miranchuk,Lokomotiv Moskva,AM(RLC),177,Right,27,87,,69.69
Rogério Oliveira,US Sassuolo,D,177,Left,24,87,"DM,M(L)",69.69
Dan-Axel Zagadou,VfB Stuttgart,D(LC),196,Left,23,87,,77.17
Ramos Cássio,Corinthians,Gk,195,Left,35,87,,76.77
Oliveira Danilo,Palmeiras,DM,177,Left,21,87,M(C),69.69
Moses Simon,FC Nantes,AM,168,Right,27,87,F(RLC),66.14
Rodrigues Jair,Atlético Mineiro,DM,178,Right,28,87,M(C),70.08
Orbelín Pineda,Celta Vigo,M(C),168,Left,26,87,AM(RLC),66.14
Felipe Éverson,Atlético Mineiro,Gk,192,Right,32,87,,75.59
Felix Uduokhai,FC Augsburg,D(C),192,Left,25,87,,75.59
Álvaro García,Rayo Vallecano,M,168,Both,30,87,AM(RL),66.14
Matvey Safonov,FC Krasnodar,Gk,192,Right,23,87,,75.59
Jean-Philippe Mateta,Crystal Palace,F(C),192,Right,25,87,,75.59
Sven Ulreich,Bayern München,Gk,192,Right,34,87,,75.59
Timo Horn,1. FC Köln,Gk,192,Left,29,87,,75.59
Salvatore Sirigu,SSC Napoli,Gk,192,Right,35,87,,75.59
Roman Yaremchuk,Club Brugge KV,AM(RL),192,Right,26,87,F(RLC),75.59
Predrag Rajković,RCD Mallorca,Gk,192,Right,27,87,,75.59
Arthur Theate,Stade Rennais,D(LC),192,Left,22,87,,75.59
Andreas Cornelius,FC København,F(C),193,Left,29,87,,75.98
Amos Pieper,Werder Bremen,D(C),192,Right,24,87,,75.59
David Terans,Athletico Paranaense,AM,176,Left,28,87,F(RLC),69.29
Attila Szalai,Fenerbahçe SK,D(LC),192,Left,24,87,DM(L),75.59
Roger Martí,Elche CF,F(C),179,Right,31,87,,70.47
Gustavo Scarpa,Palmeiras,M,176,Left,28,87,AM(RLC),69.29
Yao Kouassi Gervinho,Aris Thessaloniki,AM(RL),179,Right,35,87,F(RLC),70.47
Ander Capa,Athletic Club,D,176,Right,30,87,"DM,M,AM(R)",69.29
Mikel Vesga,Athletic Club,DM,191,Left,29,87,M(C),75.2
Carlos Fernández,Real Sociedad,AM,191,Left,26,87,F(C),75.2
Konstantinos Mavropanos,VfB Stuttgart,D(RC),192,Right,24,87,,75.59
Omar Colley,Sampdoria,D(C),192,Left,30,87,,75.59
Filip Djuričić,Sampdoria,M(C),176,Right,30,87,AM(RLC),69.29
Amin Younes,Al Ettifaq,AM(RLC),168,Both,29,87,F(RL),66.14
Bruno Petković,Dinamo Zagreb,AM,193,Right,28,87,F(C),75.98
Guimarães Artur,RB Bragantino,AM(RLC),168,Left,24,87,F(RL),66.14
Alex Mccarthy,Southampton,Gk,193,Right,32,87,,75.98
Paulo Díaz,River Plate,D(RLC),178,Right,28,87,,70.08
Marwin Hitz,FC Basel,Gk,193,Both,35,87,,75.98
Nicolae Stanciu,Wuhan Three Towns,M,168,Right,29,87,AM(C),66.14
Benjamin Hübner,TSG 1899 Hoffenheim,D(C),193,Left,33,87,,75.98
Marvin Friedrich,Borussia Mönchengladbach,D(C),193,Right,26,87,,75.98
Daley Sinkgraven,Bayer Leverkusen,D,178,Left,27,87,"DM(L),M(LC)",70.08
Wataru Endo,VfB Stuttgart,D,178,Right,29,87,"DM,M(C)",70.08
Nikola Maksimović,Genoa CFC,D(RC),193,Right,30,87,,75.98
Passos Otávio,Atlético Mineiro,DM,176,Right,28,87,M(C),69.29
Hassane Kamara,Udinese Calcio,D,168,Left,28,87,"DM,M(L)",66.14
Nampalys Mendy,Leicester City,DM,168,Right,30,87,M(C),66.14
Marcos Rocha,Palmeiras,D,176,Right,33,87,"DM,M(R)",69.29
Callum Mcgregor,Celtic,DM,178,Left,29,87,"AM(C),M(RLC)",70.08
Ryan Christie,AFC Bournemouth,M(C),178,Right,27,87,AM(RLC),70.08
Arnaud Kalimuendo,Stade Rennais,F(C),178,Right,20,87,,70.08
Sebastián Driussi,Austin FC,AM,178,Both,26,87,F(LC),70.08
Niclas Füllkrug,Werder Bremen,F(C),189,Both,29,87,,74.41
David Brooks,AFC Bournemouth,AM(RC),173,Left,25,87,F(R),68.11
Răzvan Marin,Cagliari,DM,175,Right,26,87,"M,AM(C)",68.9
Stephy Mavididi,Montpellier HSC,AM(RL),182,Right,24,87,F(RLC),71.65
Vitor Hugo,Trabzonspor,D(C),187,Left,31,87,,73.62
Wahbi Khazri,Montpellier HSC,AM,182,Right,31,87,F(RLC),71.65
Luiz Araújo,Atlanta United,AM,175,Left,26,87,F(RL),68.9
Jonathan Rodríguez,Club América,AM(RL),181,Right,29,87,F(RLC),71.26
Mattia Caldara,AC Milan,D(C),187,Right,28,87,,73.62
Janik Haberer,1. FC Union Berlin,M(C),187,Right,28,87,"AM,F(RLC)",73.62
Irfan Kahveci,Fenerbahçe SK,M(C),175,Left,27,87,"AM,F(RC)",68.9
Zaidu Sanusi,FC Porto,D(LC),182,Left,25,87,"DM,M(L)",71.65
Almeida Rodinei,Flamengo,D,175,Right,30,87,"DM,M(R)",68.9
Samuel Gigot,Olympique Marseille,D(C),187,Right,29,87,,73.62
Bonfim Dante,OGC Nice,D(C),188,Left,39,87,,74.02
Karim Adeyemi,Borussia Dortmund,AM(RL),182,Left,20,87,F(RLC),71.65
Jeremiah St. Juste,Sporting CP,D(RC),182,Right,26,87,,71.65
Wanderson Maciel,FC Krasnodar,AM,175,Right,28,87,F(RL),68.9
Jordan Ayew,Crystal Palace,AM(RL),182,Right,31,87,F(RLC),71.65
Juan Mata,Galatasaray SK,AM(RLC),170,Left,34,87,F(RL),66.93
Pepe Reina,Villarreal CF,Gk,188,Right,40,87,,74.02
Fodé Ballo Toure,AC Milan,D,182,Left,25,87,"DM,M(L)",71.65
Matías Suárez,River Plate,AM(RL),182,Both,34,87,F(RLC),71.65
Jonathan Calleri,São Paulo FC,F(C),181,Right,29,87,,71.26
Agustín Marchesín,Celta Vigo,Gk,188,Right,34,87,,74.02
Darko Lazović,Hellas Verona,M,181,Right,32,87,AM(RL),71.26
Aderbar Santos,Flamengo,Gk,188,Right,32,87,,74.02
Craig Dawson,West Ham United,D(C),188,Right,32,87,,74.02
Marvin Plattenhardt,Hertha BSC,D,181,Left,30,87,"DM,M(L)",71.26
Pablo Rosario,OGC Nice,D,188,Right,25,87,"DM,M(C)",74.02
Jesper Lindstrom,Eintracht Frankfurt,M(C),181,Right,22,87,"AM,F(LC)",71.26
Florent Mollet,FC Schalke 04,M,175,Right,31,87,AM(C),68.9
Wylan Cyprien,Parma,DM,181,Right,27,87,"M,AM(C)",71.26
Delmino Pedrinho,Shakhtar Donetsk,M(RL),175,Left,24,87,AM(RLC),68.9
Ashley Young,Aston Villa,D,175,Both,37,87,"DM,M,AM(RL)",68.9
Carles Gil,New England Revolution,AM(RLC),170,Left,30,87,F(RL),66.93
Nemanja Gudelj,Sevilla,D,187,Right,31,87,"DM,M(C)",73.62
Borges Willian,Fulham,AM(RLC),175,Both,34,87,F(RL),68.9
Marcilio Nino,Fluminense,D(C),188,Right,25,87,,74.02
Josuha Guilavogui,VfL Wolfsburg,D,188,Right,32,87,"DM,M(C)",74.02
Jeffrey Gouweleeuw,FC Augsburg,D(C),187,Right,31,87,,73.62
Unai Vencedor,Athletic Club,DM,175,Right,22,87,M(C),68.9
Soualiho Meïté,SL Benfica,DM,187,Right,28,87,M(C),73.62
Mitchel Bakker,Bayer Leverkusen,D,188,Left,22,87,"DM,M(L)",74.02
Bryan Gil,Tottenham Hotspur,AM(RLC),175,Left,21,87,F(RL),68.9
Cardoso Tetê,Shakhtar Donetsk,AM(RLC),175,Left,22,87,F(RL),68.9
Keita Baldé,Spartak Moskva,AM(RL),181,Both,27,87,F(RLC),71.26
Jorge de Frutos,Levante UD,M,175,Right,25,87,AM(RL),68.9
Georgiy Dzhikiya,Spartak Moskva,D(C),188,Left,28,87,,74.02
Moussa Sissoko,FC Nantes,DM(C),187,Right,33,87,"M,AM(RC)",73.62
Antonio Puertas,Granada CF,M(RL),175,Right,30,87,AM(RLC),68.9
Matheus Pereira,Al Hilal SC,AM(RLC),175,Left,26,87,F(RL),68.9
Stefan Posch,TSG 1899 Hoffenheim,D(RC),188,Right,25,87,,74.02
Anwar el Ghazi,PSV,AM,188,Right,27,87,F(RL),74.02
Jack Harrison,Leeds United,AM,175,Left,25,87,F(RL),68.9
Henry Onyekuru,Olympiacos,AM,175,Right,25,87,F(RL),68.9
