Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,Matches,squad_id,season,xG,npxG,xAG,npxG+xAG,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
Pedro Mendes,pt POR,MF,28.0,18,14,1221.0,13.6,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.29,0.29,0.0,0.29,Matches,76ffc013,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Noé Pamarot,fr FRA,DF,28.0,18,14,1167.0,13.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches,76ffc013,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nwankwo Kanu,ng NGA,FW,30.0,25,13,1378.0,15.3,4.0,3.0,4.0,0.0,1.0,1.0,0.0,0.26,0.2,0.46,0.26,0.46,Matches,76ffc013,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jermain Defoe,eng ENG,FW,24.0,12,12,1064.0,11.8,8.0,1.0,6.0,2.0,2.0,2.0,0.0,0.68,0.08,0.76,0.51,0.59,Matches,76ffc013,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lassana Diarra,fr FRA,MF,22.0,12,11,1001.0,11.1,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches,76ffc013,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lauren,cm CMR,DF,30.0,15,11,978.0,10.9,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,76ffc013,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Richard Hughes,sct SCO,MF,28.0,13,8,771.0,8.6,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,76ffc013,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Milan Baroš,cz CZE,FW,25.0,12,8,615.0,6.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.15,Matches,76ffc013,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Nugent,eng ENG,FW,22.0,15,5,625.0,6.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.14,Matches,76ffc013,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matthew Taylor,eng ENG,"DF,MF",25.0,13,3,461.0,5.1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.2,0.2,0.39,0.0,0.2,Matches,76ffc013,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arnold Mvuemba,cd COD,"FW,MF",22.0,8,3,316.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,76ffc013,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamie Ashdown,eng ENG,GK,26.0,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,76ffc013,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gary O'Neil,eng ENG,MF,24.0,2,2,141.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,76ffc013,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucien Aubey,cg CGO,DF,23.0,3,1,170.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,76ffc013,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Djimi Traoré,ml MLI,DF,27.0,3,1,136.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,76ffc013,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Martin Cranie,eng ENG,DF,20.0,2,1,54.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,76ffc013,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Franck Songo'o,cm CMR,"FW,MF",20.0,1,0,26.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,76ffc013,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Richard Dunne,ie IRL,DF,27.0,36,36,3039.0,33.8,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,Matches,b8fd03ef,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Martin Petrov,bg BUL,"FW,MF",28.0,34,34,2972.0,33.0,5.0,8.0,5.0,0.0,0.0,2.0,1.0,0.15,0.24,0.39,0.15,0.39,Matches,b8fd03ef,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vedran Ćorluka,hr CRO,DF,21.0,35,34,2970.0,33.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches,b8fd03ef,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stephen Ireland,ie IRL,MF,20.0,33,32,2548.0,28.3,4.0,4.0,4.0,0.0,0.0,1.0,1.0,0.14,0.14,0.28,0.14,0.28,Matches,b8fd03ef,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elano,br BRA,MF,26.0,34,29,2437.0,27.1,8.0,9.0,6.0,2.0,2.0,3.0,0.0,0.3,0.33,0.63,0.22,0.55,Matches,b8fd03ef,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Hart,eng ENG,GK,20.0,26,26,2340.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,b8fd03ef,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dietmar Hamann,de GER,MF,33.0,29,26,2203.0,24.5,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,b8fd03ef,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Micah Richards,eng ENG,DF,19.0,25,25,2250.0,25.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,b8fd03ef,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Johnson,eng ENG,MF,19.0,23,23,1930.0,21.4,2.0,2.0,2.0,0.0,0.0,4.0,0.0,0.09,0.09,0.19,0.09,0.19,Matches,b8fd03ef,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gelson Fernandes,ch SUI,MF,20.0,26,21,1961.0,21.8,2.0,0.0,2.0,0.0,0.0,5.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches,b8fd03ef,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Javier Garrido,es ESP,DF,22.0,27,21,1898.0,21.1,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches,b8fd03ef,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darius Vassell,eng ENG,"FW,MF",27.0,27,21,1767.0,19.6,6.0,3.0,6.0,0.0,0.0,2.0,0.0,0.31,0.15,0.46,0.31,0.46,Matches,b8fd03ef,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Ball,eng ENG,DF,27.0,28,19,1875.0,20.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,b8fd03ef,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nedum Onuoha,eng ENG,DF,20.0,16,13,1222.0,13.6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.07,0.07,0.15,0.07,0.15,Matches,b8fd03ef,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benjani Mwaruwari,zw ZIM,FW,28.0,13,13,1063.0,11.8,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.25,0.08,0.34,0.25,0.34,Matches,b8fd03ef,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Émile Mpenza,be BEL,FW,29.0,15,8,743.0,8.3,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.24,0.0,0.24,0.24,0.24,Matches,b8fd03ef,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sun Jihai,cn CHN,DF,29.0,14,7,817.0,9.1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,b8fd03ef,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rolando Bianchi,it ITA,FW,24.0,19,7,769.0,8.5,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.47,0.12,0.59,0.47,0.59,Matches,b8fd03ef,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kasper Schmeichel,dk DEN,GK,20.0,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,b8fd03ef,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andreas Isaksson,se SWE,GK,25.0,5,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,b8fd03ef,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geovanni,br BRA,"FW,MF",27.0,19,2,412.0,4.6,3.0,1.0,3.0,0.0,0.0,4.0,0.0,0.66,0.22,0.87,0.66,0.87,Matches,b8fd03ef,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nery Castillo,mx MEX,"DF,FW",23.0,7,2,296.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,b8fd03ef,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Georgios Samaras,gr GRE,"FW,MF",22.0,5,2,255.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,b8fd03ef,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kelvin Etuhu,ng NGA,"FW,MF",19.0,6,2,204.0,2.3,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.44,0.44,0.88,0.44,0.88,Matches,b8fd03ef,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Sturridge,eng ENG,"FW,MF",17.0,3,2,150.0,1.7,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.0,0.6,0.6,0.6,Matches,b8fd03ef,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valeri Bojinov,bg BUL,FW,21.0,3,1,50.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,b8fd03ef,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Felipe Caicedo,ec ECU,"FW,MF",18.0,10,0,222.0,2.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,b8fd03ef,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Williamson,eng ENG,"DF,MF",19.0,1,0,37.0,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,b8fd03ef,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert Green,eng ENG,GK,27.0,38,38,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,7c21e445,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
George McCartney,nir NIR,DF,26.0,38,38,3225.0,35.8,1.0,4.0,1.0,0.0,0.0,4.0,0.0,0.03,0.11,0.14,0.03,0.14,Matches,7c21e445,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucas Neill,au AUS,DF,29.0,34,34,3060.0,34.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches,7c21e445,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hayden Mullins,eng ENG,MF,28.0,34,32,2803.0,31.1,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,7c21e445,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matthew Upson,eng ENG,DF,28.0,29,29,2582.0,28.7,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,7c21e445,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mark Noble,eng ENG,MF,20.0,31,25,2289.0,25.4,3.0,3.0,1.0,2.0,2.0,6.0,0.0,0.12,0.12,0.24,0.04,0.16,Matches,7c21e445,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anton Ferdinand,eng ENG,DF,22.0,25,22,1894.0,21.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches,7c21e445,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Freddie Ljungberg,se SWE,"FW,MF",30.0,25,22,1853.0,20.6,2.0,3.0,2.0,0.0,0.0,3.0,0.0,0.1,0.15,0.24,0.1,0.24,Matches,7c21e445,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlton Cole,eng ENG,FW,23.0,31,21,1892.0,21.0,4.0,7.0,4.0,0.0,0.0,9.0,0.0,0.19,0.33,0.52,0.19,0.52,Matches,7c21e445,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dean Ashton,eng ENG,FW,23.0,31,20,2000.0,22.2,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.45,0.0,0.45,0.45,0.45,Matches,7c21e445,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luís Boa Morte,pt POR,"FW,MF",29.0,27,18,1494.0,16.6,0.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.12,0.12,0.0,0.12,Matches,7c21e445,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scott Parker,eng ENG,MF,26.0,18,17,1425.0,15.8,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches,7c21e445,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matthew Etherington,eng ENG,MF,25.0,18,15,1305.0,14.5,3.0,1.0,3.0,0.0,0.0,2.0,0.0,0.21,0.07,0.28,0.21,0.28,Matches,7c21e445,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nolberto Solano,pe PER,MF,32.0,24,14,1269.0,14.1,4.0,1.0,4.0,0.0,0.0,3.0,0.0,0.28,0.07,0.35,0.28,0.35,Matches,7c21e445,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonathan Spector,us USA,"DF,MF",21.0,26,13,1326.0,14.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,7c21e445,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lee Bowyer,eng ENG,MF,30.0,15,12,1008.0,11.2,4.0,2.0,4.0,0.0,0.0,7.0,1.0,0.36,0.18,0.54,0.36,0.54,Matches,7c21e445,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bobby Zamora,eng ENG,FW,26.0,13,11,909.0,10.1,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.1,0.2,0.3,0.1,0.3,Matches,7c21e445,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danny Gabbidon,wls WAL,DF,27.0,10,8,768.0,8.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,7c21e445,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Craig Bellamy,wls WAL,FW,28.0,8,7,526.0,5.8,2.0,1.0,2.0,0.0,0.0,2.0,0.0,0.34,0.17,0.51,0.34,0.51,Matches,7c21e445,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Tomkins,eng ENG,"DF,MF",18.0,6,5,467.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,7c21e445,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Paintsil,gh GHA,"DF,MF",26.0,14,4,683.0,7.6,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,7c21e445,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julien Faubert,fr FRA,"DF,FW",23.0,7,4,344.0,3.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,7c21e445,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Henri Camara,sn SEN,FW,30.0,10,3,340.0,3.8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.26,0.26,0.0,0.26,Matches,7c21e445,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Collins,wls WAL,DF,23.0,3,2,199.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,7c21e445,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kieron Dyer,eng ENG,MF,28.0,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,7c21e445,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Freddie Sears,eng ENG,"FW,MF",17.0,7,1,215.0,2.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.42,0.0,0.42,0.42,0.42,Matches,7c21e445,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack Collison,wls WAL,MF,18.0,2,1,103.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,7c21e445,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyel Reid,eng ENG,MF,19.0,1,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,7c21e445,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steed Malbranque,fr FRA,MF,27.0,37,35,2840.0,31.6,4.0,2.0,4.0,0.0,0.0,4.0,0.0,0.13,0.06,0.19,0.13,0.19,Matches,361ca564,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dimitar Berbatov,bg BUL,FW,26.0,36,33,2988.0,33.2,15.0,9.0,14.0,1.0,1.0,3.0,0.0,0.45,0.27,0.72,0.42,0.69,Matches,361ca564,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robbie Keane,ie IRL,FW,27.0,36,32,2714.0,30.2,15.0,3.0,12.0,3.0,4.0,2.0,1.0,0.5,0.1,0.6,0.4,0.5,Matches,361ca564,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pascal Chimbonda,fr FRA,DF,28.0,32,31,2752.0,30.6,2.0,5.0,2.0,0.0,0.0,5.0,0.0,0.07,0.16,0.23,0.07,0.23,Matches,361ca564,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jermaine Jenas,eng ENG,MF,24.0,29,28,2475.0,27.5,4.0,6.0,4.0,0.0,0.0,3.0,0.0,0.15,0.22,0.36,0.15,0.36,Matches,361ca564,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Dawson,eng ENG,DF,23.0,27,26,2195.0,24.4,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,361ca564,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Didier Zokora,ci CIV,MF,26.0,28,25,2252.0,25.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,361ca564,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paul Robinson,eng ENG,GK,27.0,25,25,2250.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,361ca564,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Lennon,eng ENG,"FW,MF",20.0,29,25,2128.0,23.6,2.0,3.0,2.0,0.0,0.0,1.0,0.0,0.08,0.13,0.21,0.08,0.21,Matches,361ca564,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Younès Kaboul,fr FRA,DF,21.0,21,19,1605.0,17.8,3.0,1.0,3.0,0.0,0.0,1.0,0.0,0.17,0.06,0.22,0.17,0.22,Matches,361ca564,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tom Huddlestone,eng ENG,MF,20.0,28,18,1945.0,21.6,3.0,7.0,3.0,0.0,0.0,5.0,0.0,0.14,0.32,0.46,0.14,0.46,Matches,361ca564,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lee Young-pyo,kr KOR,DF,30.0,18,17,1519.0,16.9,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,361ca564,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alan Hutton,sct SCO,DF,22.0,14,14,1215.0,13.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches,361ca564,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Radek Černý,cz CZE,GK,33.0,13,13,1170.0,13.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches,361ca564,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonathan Woodgate,eng ENG,DF,27.0,12,12,1066.0,11.8,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches,361ca564,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darren Bent,eng ENG,FW,23.0,27,11,1149.0,12.8,6.0,3.0,6.0,0.0,0.0,0.0,0.0,0.47,0.23,0.7,0.47,0.7,Matches,361ca564,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamie O'Hara,eng ENG,MF,20.0,17,9,897.0,10.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches,361ca564,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gareth Bale,wls WAL,"FW,MF",18.0,8,8,610.0,6.8,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.3,0.0,0.3,0.3,0.3,Matches,361ca564,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin-Prince Boateng,gh GHA,"FW,MF",20.0,13,7,592.0,6.6,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,361ca564,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Teemu Tainio,fi FIN,MF,27.0,16,6,651.0,7.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,361ca564,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ricardo Rocha,pt POR,DF,28.0,5,4,425.0,4.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,361ca564,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Gardner,eng ENG,DF,26.0,4,4,360.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.25,0.0,0.25,0.25,0.25,Matches,361ca564,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ledley King,eng ENG,"DF,MF",26.0,4,4,289.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,361ca564,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jermain Defoe,eng ENG,FW,24.0,19,3,541.0,6.0,4.0,1.0,4.0,0.0,1.0,3.0,0.0,0.67,0.17,0.83,0.67,0.83,Matches,361ca564,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gilberto,br BRA,"DF,MF",31.0,6,3,343.0,3.8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.26,0.0,0.26,0.26,0.26,Matches,361ca564,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paul Stalteri,ca CAN,"DF,MF",29.0,3,3,234.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,361ca564,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wayne Routledge,eng ENG,"FW,MF",22.0,2,1,94.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,361ca564,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benoît Assou-Ekotto,cm CMR,DF,23.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,361ca564,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Gunter,wls WAL,"DF,MF",18.0,2,1,79.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,361ca564,2007-2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
