,name,address,city,waitTime
293,Hermosa Valley School,1645 Valley Dr,Hermosa Beach,8
125,Citizens of Zion Missionary Church,12930 S Lime Ave,Los Angeles,8
126,City of Refuge,14527 San Pedro St,Gardena,8
17,Alvarado Intermediate School,1901 Desire Ave,Rowland Heights,8
114,Cesar E Chavez Park,401 Golden Ave,Long Beach,8
18,Amargosa Creek Middle School,44333 27th Street West,Lancaster,8
289,Hawthorne High School,4859 W El Segundo Blvd,Hawthorne,8
288,Haskell STEM Academy,11525 Del Amo Blvd,Cerritos,8
287,Harrison Elementary School,3529 City Terrace Dr,Los Angeles,8
286,Hammer Museum,10899 Wilshire Blvd,Los Angeles,8
285,Hamilton Adult School,2606 W 182nd St,Torrance,8
283,Hacienda Heights Comm and Rec Center,1234 Valencia Ave,Hacienda Heights,8
274,Grand Central Market,317 S Broadway,Los Angeles,8
282,Hacienda - La Puente USD Office,15959 E Gale Ave,City of Industry,8
127,Claremont Center for Spiritual Living,509 S College Ave,Claremont,8
113,Cesar Chavez Elementary School,12110 Walnut St,Norwalk,8
281,H&H Jivalagian Youth Center,2242 E Foothill Blvd,Pasadena,8
280,Great Commission Worship Center,8644 East Avenue T,Littlerock,8
112,Cesar Chavez Alternative School,12501 Wilmington Ave,Compton,8
278,Gratts Elementary School,309 Lucas Ave,Los Angeles,8
101,Castaic Sports Complex,31230 Castaic Rd,Castaic,8
20,Anderson W Clark Magnet High School,4747 New York Ave,Glendale,8
21,Animo Florence-Firestone Charter School,8255 Beach St,Los Angeles,8
275,Grandview College Preparatory Academy,795 Grandview Ln S,La Puente,8
14,Alondra Community Regional Park,3535 Redondo Beach  Blvd,Torrance,8
115,Chaparral Middle School,1405 Spruce Tree Dr,Diamond Bar,8
295,Higher Vision Church,28776 The Old Rd,Valencia,8
116,Charles Kim Elementary School,225 S Oxford Ave,Los Angeles,8
314,Huerta Elementary School,15415 Pioneer Blvd,Norwalk,8
312,Hotel Figueroa,939 S Figueroa St,Los Angeles,8
2,A C Bilbrew Library,150 E El Segundo Blvd,Los Angeles,8
119,Chimbole Cultural Center,38350 Sierra Hwy,Palmdale,8
308,Holy Angels Church of the Deaf,4433 S Santa Fe Ave,Vernon,8
117,Chevy Chase Branch Library,3301 E Chevy Chase Dr,Glendale,8
4,A V Fair and Event Center,2551 West Avenue H,Lancaster,8
5,Abraham Lincoln High School,3501 N Broadway,Los Angeles,8
305,Hollywood Park,1000 S Prairie Ave,Inglewood,8
6,ACF Beshir Mardirossian Youth Center,75 E Santa Anita Ave,Burbank,8
7,Acton Elementary School,32248 Crown Valley Rd,Acton,8
121,Christ The Good Shepherd Chr,3303 W Vernon Ave,Los Angeles,8
303,Hollywood Palladium,6215 Sunset Blvd,Los Angeles,8
302,Hollywood Hotel,1160 N Vermont Ave,Los Angeles,8
9,Adat Ari El,12020 Burbank Blvd,Valley Village,8
301,Hollywood Bowl,2301 N Highland Ave,Los Angeles,8
10,Agoura Hills/Calabasas Community Center,27040 Malibu Hills Rd,Calabasas,8
122,Christ the King School,617 N Arden Blvd,Los Angeles,8
300,Hollydale Community Center,12221 Industrial Ave,South Gate,8
11,Agua Dulce Airpark,33638 Agua Dulce Canyon Rd,Santa Clarita,8
299,Hollingworth Elementary School,3003 E Hollingworth St,Los Angeles,8
298,Hilton LA North/Glendale & Exec Ctr,100 West Glenoaks Blvd,Glendale,8
123,Christian Life Church,3400 Pacific Ave,Long Beach,8
111,Century Villages at Cabrillo,2001 River Ave,Long Beach,8
19,American Gold Star Manor,3021 N Gold Star Dr,Long Beach,8
22,Animo Pat Brown Charter High School,8205 Beach St,Los Angeles,8
102,Castelar Elementary School,840 Yale St,Los Angeles,8
105,Cathy Hensel Youth Center,236 George Hensel Dr,Montebello,8
251,Garey High School,321 W Lexington Ave,Pomona,8
252,Garvey Center,9108 Garvey Ave,Rosemead,8
28,Artesia DES Portuguese Hall,11903 Ashworth St,Artesia,8
29,Athens Park,12603 S Broadway,Los Angeles,8
144,Corvallis Middle School,11032 Leffingwell Rd,Norwalk,8
104,Catalina Casino,1 Casino Way,Avalon,8
138,Community Christian Church,10193 Tujunga Canyon Blvd,Tujunga,8
143,Cortez Park Community and Senior Center,2501 E Cortez St,West Covina,8
23,Antelope Valley Church of God in Christ,37827 97th Street East,Littlerock,8
258,Glassell Park Recreation Center,3650 Verdugo Rd,Los Angeles,8
253,George K Porter Middle School,15960 Kingsbury St,Granada Hills,8
254,George Lane Park,5520 West Avenue L8,Lancaster,8
257,Gidley Elementary School,10226 Lower Azusa Rd,El Monte,8
256,George Washington Prep High School,10860 South Denker Ave,Los Angeles,8
142,Cortada Elementary School,3111 Potrero Ave,El Monte,8
140,Compton College,1111 E Artesia Blvd,Compton,8
32,Avenue of the Stars,10050 Constellation Blvd,Los Angeles,8
106,Center of Hope,9550 Crenshaw Blvd,Inglewood,8
265,Glendale Youth Center,211 W Chestnut St,Glendale,8
107,Centinela Elementary School,1123 N Marlborough Ave,Inglewood,8
24,Applied Technology Center High School,1200 W Mines Ave,Montebello,8
109,Central Lutheran Church,6425 Tyrone Ave,Van Nuys,8
35,Azusa Women's Club,1003 N Azusa Ave,Azusa,8
272,Grace United Methodist Church,4112 W Slauson Ave,Los Angeles,8
129,Clark Building,861 Valley Dr,Hermosa Beach,8
108,Central City Neighborhood Partners,501 S Bixel St,Los Angeles,8
266,Glendora United Methodist Church,201 E Bennett Ave,Glendora,8
246,Fremont High School,7676 S San Pedro St,Los Angeles,8
247,Friendship Auditorium,3201 Riverside Dr,Los Angeles,8
34,Awaken LA Church,5853 Laurel Canyon Blvd,Valley Village,8
269,Goodwill Community Enrichment Center,3150 N San Fernando Rd,Los Angeles,8
27,Armstrong Elementary School,22750 Beaverhead Dr,Diamond Bar,8
268,Good Shepherd MBC of LA,510 W 53rd St,Los Angeles,8
33,Aviation Gymnasium,1935 Manhattan Beach Blvd,Redondo Beach,8
146,Courtyard Thousand Oaks - Agoura Hills,29505 Agoura Rd,Agoura Hills,8
141,Coolidge Elementary School,421 N Mission Dr,San Gabriel,8
79,Cahuenga Elementary School,220 S Hobart Blvd,Los Angeles,7
429,MacArthur Park,1321 E Anaheim St,Long Beach,7
311,Hot and Cool Cafe,4331 Degnan Blvd,Los Angeles,7
753,Williams Elementary School,7530 Arnett St,Downey,7
408,Longfellow Elementary School,6005 Magnolia Ave,Whittier,7
562,Riviera United Methodist Church,375 Palos Verdes Blvd,Redondo Beach,7
139,Community Church of Los Angeles,10611 S Hoover St,Los Angeles,7
500,Olive Vista Middle School,14600 Tyler St,Sylmar,7
276,Grant Elementary School,2368 Pearl St,Santa Monica,7
731,Watts Labor Community Action Committee,10950 S Central Ave,Los Angeles,7
683,ToolBox LA,9410 Owensmouth Ave,Chatsworth,7
489,North High School,3620 W 182nd St,Torrance,7
61,Bnai David Judea,8906 W Pico Blvd,Los Angeles,7
214,Epoca Hall,6624 Atlantic Ave,Bell,7
626,South Gate Park Sports Center,9520 Hildreth Ave,South Gate,7
401,LiUNA Local 1309,3971 Pixie Ave,Lakewood,7
612,Sherman Oaks Elementary Charter,14755 Greenleaf St,Sherman Oaks,7
503,Orangewood Elementary School,1440 S Orange Ave,West Covina,7
192,Echo Community Center,313 Patton St,Los Angeles,7
260,Glen Oak Elementary School,1000 N Sunflower Ave,Covina,7
672,The Valley Vineyard Christian Church,6642 Reseda Blvd,Reseda,7
31,Augustus Hawkins High School,825 W 60th St,Los Angeles,7
515,Pan American Park,5157 E Centralia St,Long Beach,7
296,Hillcrest Elementary School,795 Pepper St,Monterey Park,7
161,Dapple Gray Elementary School,3011 Palos Verdes Dr N,Rolling Hills Estates,7
137,Columbus Middle School,22250 Elkwood St,Canoga Park,6
567,Roosevelt Elementary School,801 Montana Ave,Santa Monica,6
636,St Ignatius Church,6025 Monte Vista St,Los Angeles,6
50,Bell Gardens Veterans Park,6662 Loveland St,Bell Gardens,6
546,Ramona Hall Community Center,4580 N Figueroa St,Los Angeles,6
415,Los Angeles High School,4650 W Olympic Blvd,Los Angeles,6
337,Jane Addams Middle School,4535 W 153rd Pl,Lawndale,6
297,Hillview Middle School,40525 Peonza Ln,Palmdale,6
290,Hawthorne Library,12700 Grevillea Ave,Hawthorne,6
362,Kimpton La Peer Hotel,627 N La Peer Dr,West Hollywood,6
267,Golden Poppy Elementary School,37802 Rockie Ln,Palmdale,6
719,Virginia Road Elementary School,2925 Virginia Rd,Los Angeles,6
404,Lomita Park,24428 Eshelman Ave,Lomita,6
411,Los Angeles Academy Middle School,644 E 56th St,Los Angeles,6
412,Los Angeles City College,855 N Vermont Ave,Los Angeles,6
407,Long Beach Convention Center,300 E Ocean Blvd,Long Beach,6
678,Thomas Jefferson Middle School,750 Euclid Ave,Long Beach,6
71,Brockton Avenue Elementary School,1309 Armacost Ave,Los Angeles,6
294,High Desert School,3620 Antelope Woods Rd,Acton,5
363,Kingsley Elementary School,5200 W Virginia Ave,Los Angeles,5
623,South Bay Adult School,3401 Inglewood Ave,Redondo Beach,5
270,Goodwill Southern California,14565 Lanark St,Panorama City,5
383,Laborers Local 300,14800 Devonshire St,Mission Hills,5
264,Glendale Police Department,131 N Isabel St,Glendale,5
263,Glendale High School,1440 E Broadway,Glendale,5
135,Columbia College Hollywood,18618 W Oxnard St,Tarzana,5
587,San Gabriel High School,801 S Ramona St,San Gabriel,5
395,Levy Adult Center,3420 W 229th Pl,Torrance,5
649,Stevenson Ranch Library,25950 The Old Rd,Stevenson Ranch,5
88,Cameron Park Community Center,1305 E Cameron Ave,West Covina,5
581,Salesian High School,960 S Soto St,Los Angeles,5
255,George Nakano Theater,3301 Torrance Blvd,Torrance,5
378,La Mirada Library,13800 La Mirada Blvd,La Mirada,5
570,Rosemead Community Recreation Center,3936 Muscatel Ave,Rosemead,5
3,A C Stelle Middle School,22450 Mulholland Hwy,Calabasas,5
225,Faith In Christ Ministries,4501 S Western Ave,Los Angeles,5
218,Esperanza Elementary School,680 Little St,Los Angeles,5
250,Ganesha High School,1151 Fairplex Dr,Pomona,5
176,DoubleTree San Pedro Port of LA,2800 Via Cabrillo-Marina,San Pedro,5
227,FAME Renaissance Center,1968 W Adams Blvd,Los Angeles,5
446,Mayfair Park,5720 Clark Ave,Lakewood,5
148,Covina Woman's Club,128 S San Jose Ave,Covina,5
445,Maxine Waters Employment Center,10925 S Central Ave,Los Angeles,5
235,Former Fire Station 1,1444 7th St,Santa Monica,5
426,Lutheran Church of the Master,725 East Avenue J,Lancaster,5
711,Veterans Memorial Complex,4117 Overland Ave,Culver City,5
87,Calvary Grace Church,2520 Peck Rd,Monrovia,4
763,Winnetka Avenue Elementary School,8240 Winnetka Ave,Winnetka,4
13,Alfred B Nobel Charter Middle School,9950 Tampa Ave,Northridge,4
757,Wilmington Senior Citizen Center,1371 Eubank Ave,Wilmington,4
16,Altadena Senior Center,560 E Mariposa St,Altadena,4
748,Whitney High School,16800 Shoemaker Ave,Cerritos,4
740,Westfield Century City,10250 Santa Monica Blvd,Los Angeles,4
698,Universal CityWalk Hollywood,100 Universal City Plaza,Universal City,4
30,Atwater Avenue Elementary School,3271 Silver Lake Blvd,Los Angeles,4
736,West Covina Library,1601 W West Covina Pkwy,West Covina,4
728,Warner Center Marriott Woodland Hills,21850 W Oxnard St,Woodland Hills,4
699,University of Southern California,3400 South Figueroa St,Los Angeles,4
721,Wabash Recreation Center,2765 Wabash Ave,Los Angeles,4
70,Brightwood Elementary School,1701 Brightwood St,Monterey Park,4
67,Brenda Villa Aquatic Center,5600 Harbor St,Commerce,4
82,"Cal State University, Long Beach",6200 Atherton St,Long Beach,4
686,Torch Middle School,751 Vineland Ave,City of Industry,4
103,Castlebay Lane Charter Elementary,19010 Castlebay Ln,Porter Ranch,4
37,Banc of California Stadium,3939 S Figueroa St,Los Angeles,4
100,Castaic Middle School,28900 Hillcrest Pkwy,Castaic,4
40,Barrington Recreation Center,333 S Barrington Ave,Los Angeles,4
44,Bassett Street Elementary School,15756 Bassett St,Van Nuys,4
118,Chevy Chase Country Club,3067 E Chevy Chase Dr,Glendale,4
316,Huntington Park Library,6518 Miles Ave,Huntington Park,4
768,YWCA- Harbor Area,437 W 9th St,San Pedro,4
510,Palmdale Elks Lodge,2705 East Avenue Q,Palmdale,4
477,Neff Park Barn,14300 San Cristobal Dr,La Mirada,4
484,Newcomb Academy,3351 Val Verde Ave,Long Beach,4
196,El Camino Real Charter High School,5440 Valley Circle Blvd,Woodland Hills,4
376,La Mirada Activity Center,13810 La Mirada Blvd,La Mirada,4
191,Eastside High School,3200 East Avenue J 8,Lancaster,4
375,La Mesa Junior High School,26623 May Way,Santa Clarita,4
371,La Crescenta Womans Club,4004 La Crescenta Ave,Glendale,4
553,Regis House Community Center,2212 Beverly Blvd,Los Angeles,4
249,Gahr High School,11111 Artesia Blvd,Cerritos,4
524,Perry Park,2301 Grant Ave,Redondo Beach,4
291,Henning Youth Center,11409 Birch St,Lynwood,4
548,Rancho Los Amigos National Rehab Center,7601 E Imperial Hwy,Downey,4
292,Hermosa Beach Community Center,710 Pier Ave,Hermosa Beach,4
343,JF Chen,830 N Highland Ave,Hollywood,4
476,National Typewriter Company,1666 Euclid St,Santa Monica,4
213,Episcopal Church - The Ascension,25 E Laurel Ave,Sierra Madre,4
470,Moose Lodge,13212 S Inglewood Ave,Hawthorne,4
381,La Serna High School,15301 Youngwood Dr,Whittier,4
385,Lancaster Library,601 W Lancaster Blvd,Lancaster,4
222,Fairfax Senior Citizen Center,7929 Melrose Ave,Los Angeles,4
457,Millikan Middle School,5041 Sunnyslope Ave,Sherman Oaks,4
229,Felicitas & Gonzalo Mendez High School,1200 Plaza Del Sol E,Los Angeles,4
441,Mason Recreation Center,10500 Mason Ave,Chatsworth,4
437,Marina Del Rey Middle School,12500 Braddock Dr,Los Angeles,4
434,Malibu Lake Mountain,29033 Lake Vista Dr,Agoura Hills,4
430,Maclay Middle School,12540 Pierce St,Pacoima,4
261,Glendale Church of Christ,2021 W Glenoaks Blvd,Glendale,4
428,Lyons Station Shopping Center,23414 Lyons Ave Unit A,Santa Clarita,4
424,Loyola Marymount University,1 Loyola Marymount University Dr,Los Angeles,4
399,Lindero Canyon Middle School,5844 Larboard Ln,Agoura Hills,4
403,Lockwood Avenue Elementary School,4345 Lockwood Ave,Los Angeles,4
159,Dana Middle School,5504 W 135th St,Hawthorne,4
522,Pasadena Convention Center,300 E Green St,Pasadena,4
326,In Christ Community Church,19514 Rinaldi St,Northridge,4
330,International City Masonic Center,5155 Pacific Coast Hwy,Long Beach,4
576,Roxbury Park,471 S Roxbury Dr,Beverly Hills,4
328,Independence Elementary School,8435 Victoria Ave,South Gate,4
147,Covina Senior and Community Center,815 N Barranca Ave,Covina,4
565,Rockdale Elementary School,1303 Yosemite Dr,Los Angeles,4
590,San Pedro High School,1001 W 15th St,San Pedro,4
133,Cloverly Elementary School,5476 Cloverly Ave,Temple City,4
307,Hollywood Recreation Center,1122 Cole Ave,Los Angeles,4
336,James Monroe High School,9229 Haskell Ave,North Hills,4
309,Hope Community Church,1429 Clark Ave,Long Beach,4
598,Sato Academy,1100 Iroquois Ave,Long Beach,4
150,Crescenta Valley High School,2900 Community Ave,La Crescenta,4
564,Robinson Park Recreation Center,1081 N Fair Oaks Ave,Pasadena,4
124,Christian Science Church-Malibu,28635 Pacific Coast Hwy,Malibu,4
679,Thompson Park Building,14001 Bellflower Blvd,Bellflower,3
158,Dan Diaz Recreation Center,16053 Calle De Paseo,Irwindale,3
647,STAPLES Center,1111 S Figueroa,Los Angeles,3
304,Hollywood Pantages Theatre,6233 Hollywood Blvd,Los Angeles,3
26,Armenian Cilicia Evangelical Church,339 S Santa Anita Ave,Pasadena,3
464,Monrovia Community Center,119 W Palm Ave,Monrovia,3
128,Claremont Helen Renwick Library,208 N Harvard Ave,Claremont,3
259,Glen A Wilson High School,16455 Wedgeworth Dr,Hacienda Heights,3
756,Wilmington Park Elementary School,1140 Mahar Ave,Wilmington,3
732,Webster Elementary School,3602 Winter Canyon Rd,Malibu,3
68,Bret Harte Middle School,9301 S Hoover St,Los Angeles,3
183,Eagle Rock Plaza,2700 Colorado Blvd,Los Angeles,3
533,Plummer Park Community Center,7377 Santa Monica Blvd,West Hollywood,3
511,Palmdale High School,2137 East Avenue R,Palmdale,3
373,La Fetra Center,333 E Foothill Blvd,Glendora,2
474,Museum of Latin American Art,628 Alamitos Ave,Long Beach,2
596,Santa Monica Community College,1900 Pico Blvd,Santa Monica,2
541,Promenade at Downey,8980 Apollo Way,Downey,2
335,James Madison Middle School,13000 Hart St,North Hollywood,2
242,Frank Del Olmo Elementary School,100 N New Hampshire Ave,Los Angeles,2
262,Glendale Express Hotel,450 W Pioneer Dr,Glendale,2
766,WODOC & Sooky Goldman Nature Center,2600 Franklin Canyon Dr,Beverly Hills,2
120,Christ Temple Church,3125 W 54th St,Los Angeles,2
92,Caravalho Santa Clarita Sports Complex,20870 Centre Pointe Pkwy,Santa Clarita,2
742,Westfield Topanga and The Village,6600 Topanga Canyon Blvd,Canoga Park,2
15,Alondra Middle School,16200 Downey Ave,Paramount,2
741,Westfield Fashion Square,14006 Riverside Dr,Sherman Oaks,2
558,Rio Norte Junior High School,28771 Rio Norte Dr,Santa Clarita,2
379,La Mirada Theater,14900 La Mirada Blvd,La Mirada,2
487,Nogales High School,401 Nogales St,La Puente,2
767,YMCA of Greater Whittier,12510 Hadley St,Whittier,2
273,Granada Park,2000 W Hellman Ave,Alhambra,2
339,Jefferson Middle School,1372 E Las Tunas Dr,San Gabriel,2
571,Rosemont Pavilion,700 Seco St,Pasadena,2
64,Boyle Heights Senior Center,2839 E 3rd St,Los Angeles,2
746,Westmont Park Recreation Center,1808 W 9th St,Pomona,2
724,Walnut Park Elementary School,2642 Olive St,Walnut Park,1
601,Schurr High School,820 N Wilcox Ave,Montebello,1
248,Fries Avenue Elementary School,1301 N Fries Ave,Wilmington,1
306,Hollywood Production Center,121 W Lexington Dr,Los Angeles,0
310,Horace Mann Elementary School,8701 Charleville Blvd,Beverly Hills,0
351,Jordan Downs Recreation Center,9900 Grape St,Los Angeles,0
353,Juan Cabrillo Elementary School,30237 Morning View Dr,Malibu,0
333,ISANA Achernar Academy - Willard School,310 E El Segundo Blvd,Compton,0
759,Wilshire Park Elementary School,4063 Ingraham St,Los Angeles,0
25,Arlington Heights Elementary School,1717 7th Ave,Los Angeles,0
347,John Marshall Middle School,1921 Arroyo Ave,Pomona,0
8,Acton Rehabilitation Center,30500 Arrastre Canyon Rd,Acton,0
397,Liberty II Facility,19033 Studebaker Rd,Cerritos,0
279,Grazide Elementary School,2850 Leopold Ave,Hacienda Heights,0
368,LA County Arboretum Botanic Garden,301 N Baldwin Ave,Arcadia,0
277,Grant Elementary School,1530 N Wilton Pl,Los Angeles,0
406,Long Beach City College - Pacific Coast,1305 E Pacific Coast Hwy,Long Beach,0
727,Ward Villas for Seniors,1177 W Adams Blvd,Los Angeles,0
611,Sheraton Gateway Los Angeles Hotel,6101 W Century Blvd,Los Angeles,0
421,Los Feliz Charter School for the Arts,2709 Media Center Dr,Los Angleles,0
637,St Johns Episcopal Church,4745 Wheeler Ave,La Verne,0
162,Darby Park,3400 W Arbor Vitae St,Inglewood,0
549,Raul R Perez Memorial Park,6208 Alameda St,Huntington Park,0
653,Sunkist Library,840 N Puente Ave,La Puente,0
86,Calvary Chapel Golden Springs,22324 Golden Springs Dr,Diamond Bar,0
550,RCCG Victory House Hollywood,16730 Schoenborn St,North Hills,0
555,Ridgecrest Intermediate School,28915 Northbay Rd,Rancho Palos Verdes,0
93,Caravan 4 Justice,646 W Pacific Coast Hwy,Long Beach,0
559,Rio Vista Elementary School,4300 Esto Ave,El Monte,0
154,Curtiss Middle School,1254 E Helmick St,Carson,0
152,Crozier Middle School,120 W Regent St,Inglewood,0
145,Courtyard by Marriott LA West Side,6333 Bristol Pkwy,Culver City,0
530,Playa Las Tunas Banquet Hall,1911 4th Ave,Los Angeles,0
632,St Cecilia Catholic Church,4230 S Normandie Ave,Los Angeles,0
136,Columbia Elementary School,3400 California Ave,El Monte,0
134,College of the Canyons,26455 Rockwell Canyon Rd,Santa Clarita,0
628,Southeast Academy High School,12940 Foster Rd,Norwalk,0
132,CLOSED - La Quinta Inn and Suites by Wyndham LAX,5249 West Century Blvd,Los Angeles,0
131,CLOSED - Debbie Allen Dance Academy,3791 Santa Rosalia Dr,Los Angeles,0
130,CLOSED - Alliance Alice M Baxter College Ready,461 W 9th St,San Pedro,0
110,Centro de Vida Victoriosa AG,715 Brady Ave,Los Angeles,0
597,Santa Monica High School,601 Pico Blvd,Santa Monica,0
604,Second Home Hollywood,1370 N St Andrews Pl,Los Angeles,0
81,"Cal State University, Dominguez Hills",1000 E Victoria St,Carson,0
528,Pioneer High School,10800 Benavon St,Whittier,0
422,Los Molinos Elementary School,3112 Las Marias Ave,Hacienda Heights,0
473,Murphy Ranch Elementary School,16021 Janine Dr,Whittier,0
245,Franklin Elementary School,2400 Montana Ave,Santa Monica,0
427,Lynwood Middle School,12124 Bullis Rd,Lynwood,0
710,Vermont Avenue Elementary School,1435 W 27th St,Los Angeles,0
708,Vasquez High School,33630 Red Rover Mine Rd,Acton,0
707,Van Nuys Recreation Center,14301 Vanowen St,Van Nuys,0
431,Magee Academy of Arts and Sciences,8200 Serapis Ave,Pico Rivera,0
221,EXPO Center,3980 Bill Robertson Ln,Los Angeles,0
466,Montara Avenue Elementary School,10018 Montara Ave,South Gate,0
216,Ernest McBride Park & Cal Rec Comm Ctr,1550 Martin Luther King Jr Ave,Long Beach,0
693,Uber - Redondo Beach,2400 Marine Ave,Redondo Beach,0
486,Nimitz Middle School,6021 Carmelita Ave,Huntington Park,0
663,The Brewery Artist Lofts,600 Moulton Ave #101B,Los Angeles,0
491,North Weddington Recreation Center,10844 Acama St,North Hollywood,0
63,Bouquet Canyon Elementary,28110 Wellston Dr,Saugus,0
498,Oakwood Recreation Center,767 California Ave,Venice,0
189,East Whittier Middle School,14421 Whittier Blvd,Whittier,0
673,The Village at Indian Hill,1460 E Holt Ave Unit 4,Pomona,0
69,Bridges Academy,3921 Laurel Canyon Blvd,Studio City,0
668,The Mountain Mermaid,20421 Callon Dr,Topanga,0
517,Pantera Elementary School,801 Pantera Dr,Diamond Bar,0
180,Durfee Elementary School,4220 Durfee Ave,Pico Rivera,0
76,C Robert Lee Activity Center,21815 Pioneer Blvd,Hawaiian Gardens,0
471,Mountainview Family Center,2740 Mountainview Rd,El Monte,0
