"Gas Day Start";"Gas in storage (TWh)";"Full (%)";"Trend (%)";"Consumption (TWh)";"Full/Cons (%)";"Injection (GWh/d)";"Withdrawal (GWh/d)";"Working gas volume (TWh)";"Injection capacity (GWh/d)";"Withdrawal capacity (GWh/d)"
"2022-01-14";"115.2486";"47.32";"-0.85";"995.2735";"11.58";"33.34";"2115.2";"243.5619";"3903.72";"6720.52"
"2022-01-13";"117.3143";"48.17";"-0.86";"995.2735";"11.79";"42.52";"2128.5";"243.5619";"3903.72";"6720.52"
"2022-01-12";"119.387";"49.02";"-0.93";"995.2735";"12";"31.13";"2304.6";"243.5619";"3903.72";"6720.52"
"2022-01-11";"121.6662";"49.95";"-1";"995.2735";"12.22";"42.46";"2466.6";"243.5619";"3903.72";"6720.52"
"2022-01-10";"124.0857";"50.96";"-0.94";"995.2735";"12.47";"53.12";"2333.6";"243.5111";"3903.72";"6720.52"
"2022-01-09";"126.3228";"51.9";"-0.41";"995.2735";"12.69";"96.77";"1085.4";"243.3769";"3900.42";"6713.92"
"2022-01-08";"127.3079";"52.31";"-0.41";"995.2735";"12.79";"64.8";"1054.2";"243.3769";"3900.42";"6713.92"
"2022-01-07";"128.3071";"52.72";"-0.58";"995.2735";"12.89";"68.08";"1468.4";"243.3769";"3900.42";"6713.92"
"2022-01-06";"129.7094";"53.3";"-0.56";"995.2735";"13.03";"43.97";"1398.6";"243.3769";"3900.42";"6713.92"
"2022-01-05";"131.0545";"53.85";"-0.51";"995.2735";"13.17";"90.81";"1333.8";"243.3769";"3900.42";"6713.92"
"2022-01-04";"132.2818";"54.35";"-0.15";"995.2735";"13.29";"466.77";"837.9";"243.3769";"3900.42";"6713.92"
"2022-01-03";"132.6489";"54.5";"0.04";"995.2735";"13.33";"692.1";"596.4";"243.3769";"3900.42";"6713.92"
"2022-01-02";"132.4838";"54.44";"0.25";"995.2735";"13.31";"957.88";"342.7";"243.3603";"3900.01";"6713.1"
"2022-01-01";"131.8489";"54.18";"0.34";"995.2735";"13.25";"1137.52";"312.8";"243.3603";"3900.01";"6713.1"
