name,url,letter,height,height_display,height_cm,height_inches,name_gender,rank_for_gender
Vicky Binns,https://www.celebheights.com/s/Vicky-Binns-47044.html,B,5ft 0 (152cm),5ft 0 ,152.0,59.84,female,164.0
Juliette Binoche,https://www.celebheights.com/s/Juliette-Binoche-1930.html,B,5ft 6 (168cm),5ft 6 ,168.0,66.14,female,3683.0
Leila Birch,https://www.celebheights.com/s/Leila-Birch-6499.html,B,5ft 2 ½ (159cm),5ft 2 ½ ,159.0,62.6,female,994.0
Thora Birch,https://www.celebheights.com/s/Thora-Birch-752.html,B,5ft 4 (163cm),5ft 4 ,163.0,64.17,female,2007.0
Larry Bird,https://www.celebheights.com/s/Larry-Bird-48565.html,B,6ft 9 (206cm),6ft 9 ,206.0,81.1,male,5502.0
Simon Bird,https://www.celebheights.com/s/Simon-Bird-47886.html,B,5ft 5 ½ (166cm),5ft 5 ½ ,166.0,65.35,male,416.0
Birdman,https://www.celebheights.com/s/-Birdman-49203.html,B,5ft 8 (173cm),5ft 8 ,173.0,68.11,unknown,977.0
Jesse Birdsall,https://www.celebheights.com/s/Jesse-Birdsall-3691.html,B,5ft 10 (178cm),5ft 10 ,178.0,70.08,male,2475.0
Mary Birdsong,https://www.celebheights.com/s/Mary-Birdsong-7544.html,B,5ft 2 (157cm),5ft 2 ,157.0,61.81,mostly_female,82.0
Birdy,https://www.celebheights.com/s/-Birdy-5657.html,B,5ft 3 (160cm),5ft 3 ,160.0,62.99,unknown,234.0
Lauren Birkell,https://www.celebheights.com/s/Lauren-Birkell-51176.html,B,5ft 0 (152cm),5ft 0 ,152.0,59.84,mostly_female,21.0
Jane Birkin,https://www.celebheights.com/s/Jane-Birkin-50954.html,B,5ft 7 (170cm),5ft 7 ,170.0,66.93,female,4377.0
Gil Birmingham,https://www.celebheights.com/s/Gil-Birmingham-47304.html,B,5ft 11 ½ (182cm),5ft 11 ½ ,182.0,71.65,male,3373.0
Laura Birn,https://www.celebheights.com/s/Laura-Birn-51284.html,B,5ft 6 (168cm),5ft 6 ,168.0,66.14,female,3683.0
Eva Birthistle,https://www.celebheights.com/s/Eva-Birthistle-5462.html,B,5ft 2 (157cm),5ft 2 ,157.0,61.81,female,813.0
David Bisbal,https://www.celebheights.com/s/David-Bisbal-50789.html,B,5ft 7 ½ (171cm),5ft 7 ½ ,171.0,67.32,male,1015.0
Kerry BishÃ©,https://www.celebheights.com/s/Kerry-Bishe-5227.html,B,5ft 8 (173cm),5ft 8 ,173.0,68.11,mostly_female,451.0
Summer Bishil,https://www.celebheights.com/s/Summer-Bishil-49210.html,B,5ft 2 (157cm),5ft 2 ,157.0,61.81,andy,22.0
Ed Bishop,https://www.celebheights.com/s/Ed-Bishop-50658.html,B,5ft 11 (180cm),5ft 11 ,180.0,70.87,male,3053.0
Joey Bishop,https://www.celebheights.com/s/Joey-Bishop-2997.html,B,5ft 8 (173cm),5ft 8 ,173.0,68.11,male,1343.0
John Bishop,https://www.celebheights.com/s/John-Bishop-5261.html,B,5ft 11 (180cm),5ft 11 ,180.0,70.87,male,3053.0
Nic Bishop,https://www.celebheights.com/s/Nic-Bishop-50454.html,B,5ft 9 (175cm),5ft 9 ,175.0,68.9,male,1812.0
Stephen Bishop,https://www.celebheights.com/s/Stephen-Bishop-51101.html,B,6ft 2 (188cm),6ft 2 ,188.0,74.02,male,4729.0
Michael Bisping,https://www.celebheights.com/s/Michael-Bisping-49664.html,B,6ft  ½ in (184cm),6ft  ½ in ,184.0,72.44,male,3911.0
Jacqueline Bisset,https://www.celebheights.com/s/Jacqueline-Bisset-2746.html,B,5ft 6 ½ (169cm),5ft 6 ½ ,169.0,66.54,female,3894.0
Josie Bissett,https://www.celebheights.com/s/Josie-Bissett-51493.html,B,5ft 6 (168cm),5ft 6 ,168.0,66.14,female,3683.0
Gemma Bissix,https://www.celebheights.com/s/Gemma-Bissix-4898.html,B,5ft 6 (168cm),5ft 6 ,168.0,66.14,female,3683.0
Chris Bisson,https://www.celebheights.com/s/Chris-Bisson-50413.html,B,5ft 10 (178cm),5ft 10 ,178.0,70.08,mostly_male,328.0
Yannick Bisson,https://www.celebheights.com/s/Yannick-Bisson-49818.html,B,5ft 9 (175cm),5ft 9 ,175.0,68.9,male,1812.0
Ingrid Bisu,https://www.celebheights.com/s/Ingrid-Bisu-7073.html,B,5ft 6 (168cm),5ft 6 ,168.0,66.14,female,3683.0
Danielle Bisutti,https://www.celebheights.com/s/Danielle-Bisutti-5241.html,B,5ft 8 (173cm),5ft 8 ,173.0,68.11,female,4873.0
Kylie Bisutti,https://www.celebheights.com/s/Kylie-Bisutti-5242.html,B,5ft 10 (178cm),5ft 10 ,178.0,70.08,female,5410.0
Bill Bixby,https://www.celebheights.com/s/Bill-Bixby-1231.html,B,5ft 9 (175cm),5ft 9 ,175.0,68.9,male,1812.0
Lethal Bizzle,https://www.celebheights.com/s/Lethal-Bizzle-49302.html,B,6ft  ½ in (184cm),6ft  ½ in ,184.0,72.44,unknown,1372.0
Bjork,https://www.celebheights.com/s/-Bjork-1528.html,B,5ft 4 (163cm),5ft 4 ,163.0,64.17,unknown,367.0
Nadia Bjorlin,https://www.celebheights.com/s/Nadia-Bjorlin-2284.html,B,5ft 7 ¾ (172cm),5ft 7 ¾ ,172.0,67.72,female,4579.0
Hafthor Julius Bjornsson,https://www.celebheights.com/s/Hafthor-Julius-Bjornsson-48697.html,B,6ft 7 ¾ (203cm),6ft 7 ¾ ,203.0,79.92,unknown,1593.0
Aleister Black,https://www.celebheights.com/s/Aleister-Black-51454.html,B,5ft 11 ½ (182cm),5ft 11 ½ ,182.0,71.65,unknown,1313.0
Ashley Nicole Black,https://www.celebheights.com/s/Ashley-Nicole-Black-52707.html,B,5ft 6 (168cm),5ft 6 ,168.0,66.14,mostly_female,338.0
Cilla Black,https://www.celebheights.com/s/Cilla-Black-3153.html,B,5ft 6 ½ (169cm),5ft 6 ½ ,169.0,66.54,female,3894.0
Claudia Black,https://www.celebheights.com/s/Claudia-Black-2470.html,B,5ft 7 ¼ (171cm),5ft 7 ¼ ,171.0,67.32,female,4529.0
Clint Black,https://www.celebheights.com/s/Clint-Black-51737.html,B,5ft 8 ½ (174cm),5ft 8 ½ ,174.0,68.5,male,1501.0
Jack Black,https://www.celebheights.com/s/Jack-Black-46.html,B,5ft 6 (168cm),5ft 6 ,168.0,66.14,male,579.0
Kaitlyn Black,https://www.celebheights.com/s/Kaitlyn-Black-6914.html,B,5ft 6 (168cm),5ft 6 ,168.0,66.14,female,3683.0
Karen Black,https://www.celebheights.com/s/Karen-Black-48561.html,B,5ft 7 (170cm),5ft 7 ,170.0,66.93,female,4377.0
Kodak Black,https://www.celebheights.com/s/Kodak-Black-50299.html,B,5ft 5 ½ (166cm),5ft 5 ½ ,166.0,65.35,unknown,570.0
Lucas Black,https://www.celebheights.com/s/Lucas-Black-969.html,B,5ft 8 ½ (174cm),5ft 8 ½ ,174.0,68.5,male,1501.0
Pippa Black,https://www.celebheights.com/s/Pippa-Black-5602.html,B,5ft 3 (160cm),5ft 3 ,160.0,62.99,female,1322.0
Porcelain Black,https://www.celebheights.com/s/Porcelain-Black-5673.html,B,5ft 9 (175cm),5ft 9 ,175.0,68.9,unknown,1085.0
Rebecca Black,https://www.celebheights.com/s/Rebecca-Black-47721.html,B,5ft 4 (163cm),5ft 4 ,163.0,64.17,female,2007.0
Robin Black,https://www.celebheights.com/s/Robin-Black-2414.html,B,5ft 5 (165cm),5ft 5 ,165.0,64.96,mostly_male,90.0
Shane Black,https://www.celebheights.com/s/Shane-Black-51320.html,B,5ft 11 (180cm),5ft 11 ,180.0,70.87,male,3053.0
Tori Black,https://www.celebheights.com/s/Tori-Black-5980.html,B,5ft 8 (173cm),5ft 8 ,173.0,68.11,female,4873.0
Sofia Black D'Elia,https://www.celebheights.com/s/Sofia-Black-DElia-47509.html,B,5ft 4 (163cm),5ft 4 ,163.0,64.17,female,2007.0
Greta Blackburn,https://www.celebheights.com/s/Greta-Blackburn-52559.html,B,5ft 9 (175cm),5ft 9 ,175.0,68.9,female,5184.0
Tyler Blackburn,https://www.celebheights.com/s/Tyler-Blackburn-6806.html,B,5ft 9 ¾ (177cm),5ft 9 ¾ ,177.0,69.69,mostly_male,291.0
Honor Blackman,https://www.celebheights.com/s/Honor-Blackman-4200.html,B,5ft 5 (165cm),5ft 5 ,165.0,64.96,mostly_female,264.0
Niamh Blackshaw,https://www.celebheights.com/s/Niamh-Blackshaw-7774.html,B,5ft 0 (152cm),5ft 0 ,152.0,59.84,female,164.0
Paul Blackthorne,https://www.celebheights.com/s/Paul-Blackthorne-3150.html,B,6ft 3 (191cm),6ft 3 ,191.0,75.2,male,5094.0
Caitlin Blackwood,https://www.celebheights.com/s/Caitlin-Blackwood-7657.html,B,5ft 8 (173cm),5ft 8 ,173.0,68.11,female,4873.0
Richard Blackwood,https://www.celebheights.com/s/Richard-Blackwood-52893.html,B,5ft 11 ¼ (181cm),5ft 11 ¼ ,181.0,71.26,male,3128.0
Vas Blackwood,https://www.celebheights.com/s/Vas-Blackwood-3149.html,B,5ft 9 (175cm),5ft 9 ,175.0,68.9,unknown,1085.0
Jay Blades,https://www.celebheights.com/s/Jay-Blades-52942.html,B,6ft 3 (191cm),6ft 3 ,191.0,75.2,male,5094.0
RubÃ©n Blades,https://www.celebheights.com/s/Ruben-Blades-6654.html,B,5ft 9 ½ (177cm),5ft 9 ½ ,177.0,69.69,unknown,1131.0
George Blagden,https://www.celebheights.com/s/George-Blagden-5772.html,B,5ft 8 ½ (174cm),5ft 8 ½ ,174.0,68.5,male,1501.0
Ser'Darius Blain,https://www.celebheights.com/s/SerDarius-Blain-51348.html,B,6ft 2 ½ (189cm),6ft 2 ½ ,189.0,74.41,unknown,1482.0
David Blaine,https://www.celebheights.com/s/David-Blaine-658.html,B,5ft 11 ¾ (182cm),5ft 11 ¾ ,182.0,71.65,male,3373.0
Bre Blair,https://www.celebheights.com/s/Bre-Blair-52218.html,B,5ft 6 (168cm),5ft 6 ,168.0,66.14,unknown,695.0
Janet Blair,https://www.celebheights.com/s/Janet-Blair-48669.html,B,5ft 4 (163cm),5ft 4 ,163.0,64.17,female,2007.0
Linda Blair,https://www.celebheights.com/s/Linda-Blair-47089.html,B,5ft 2 (157cm),5ft 2 ,157.0,61.81,female,813.0
Natalie Blair,https://www.celebheights.com/s/Natalie-Blair-6220.html,B,5ft 5 (165cm),5ft 5 ,165.0,64.96,female,2784.0
Patricia Blair,https://www.celebheights.com/s/Patricia-Blair-50831.html,B,5ft 7 (170cm),5ft 7 ,170.0,66.93,female,4377.0
Selma Blair,https://www.celebheights.com/s/Selma-Blair-465.html,B,5ft 2 ½ (159cm),5ft 2 ½ ,159.0,62.6,female,994.0
Tony Blair,https://www.celebheights.com/s/Tony-Blair-1034.html,B,5ft 11 ¾ (182cm),5ft 11 ¾ ,182.0,71.65,male,3373.0
Luna Blaise,https://www.celebheights.com/s/Luna-Blaise-7088.html,B,5ft 5 (165cm),5ft 5 ,165.0,64.96,female,2784.0
James Blake,https://www.celebheights.com/s/James-Blake-51556.html,B,6ft 5 (196cm),6ft 5 ,196.0,77.17,male,5386.0
Rachael Blake,https://www.celebheights.com/s/Rachael-Blake-1466.html,B,5ft 7 (170cm),5ft 7 ,170.0,66.93,female,4377.0
Robert Blake,https://www.celebheights.com/s/Robert-Blake-3525.html,B,5ft 4 (163cm),5ft 4 ,163.0,64.17,male,218.0
Rachel Blakely,https://www.celebheights.com/s/Rachel-Blakely-181.html,B,5ft 7 (170cm),5ft 7 ,170.0,66.93,female,4377.0
Susan Blakely,https://www.celebheights.com/s/Susan-Blakely-51672.html,B,5ft 8 ½ (174cm),5ft 8 ½ ,174.0,68.5,female,4998.0
Jolene Blalock,https://www.celebheights.com/s/Jolene-Blalock-628.html,B,5ft 5 (165cm),5ft 5 ,165.0,64.96,female,2784.0
Jennifer Blanc,https://www.celebheights.com/s/Jennifer-Blanc-3857.html,B,5ft 4 ½ (164cm),5ft 4 ½ ,164.0,64.57,female,2254.0
Mari Blanchard,https://www.celebheights.com/s/Mari-Blanchard-51739.html,B,5ft 4 ½ (164cm),5ft 4 ½ ,164.0,64.57,female,2254.0
Rachel Blanchard,https://www.celebheights.com/s/Rachel-Blanchard-1702.html,B,5ft 7 (170cm),5ft 7 ,170.0,66.93,female,4377.0
Rowan Blanchard,https://www.celebheights.com/s/Rowan-Blanchard-48788.html,B,5ft 4 (163cm),5ft 4 ,163.0,64.17,mostly_male,66.0
Tammy Blanchard,https://www.celebheights.com/s/Tammy-Blanchard-4885.html,B,5ft 5 ½ (166cm),5ft 5 ½ ,166.0,65.35,female,3063.0
Cate Blanchett,https://www.celebheights.com/s/Cate-Blanchett-666.html,B,5ft 8 ¼ (173cm),5ft 8 ¼ ,173.0,68.11,female,4873.0
Blanca Blanco,https://www.celebheights.com/s/Blanca-Blanco-50752.html,B,5ft 9 (175cm),5ft 9 ,175.0,68.9,female,5184.0
Barbie Blank,https://www.celebheights.com/s/Barbie-Blank-5121.html,B,5ft 4 ½ (164cm),5ft 4 ½ ,164.0,64.57,female,2254.0
Kirby Bliss Blanton,https://www.celebheights.com/s/Kirby-Bliss-Blanton-5413.html,B,5ft 4 (163cm),5ft 4 ,163.0,64.17,mostly_male,66.0
Rosa Blasi,https://www.celebheights.com/s/Rosa-Blasi-6059.html,B,5ft 2 ½ (159cm),5ft 2 ½ ,159.0,62.6,female,994.0
Natasha Blasick,https://www.celebheights.com/s/Natasha-Blasick-7979.html,B,5ft 9 (175cm),5ft 9 ,175.0,68.9,female,5184.0
Christine Bleakley,https://www.celebheights.com/s/Christine-Bleakley-47800.html,B,5ft 8 (173cm),5ft 8 ,173.0,68.11,female,4873.0
Alexis Bledel,https://www.celebheights.com/s/Alexis-Bledel-1383.html,B,5ft 5 (165cm),5ft 5 ,165.0,64.96,male,344.0
Neal Bledsoe,https://www.celebheights.com/s/Neal-Bledsoe-52508.html,B,6ft 3 (191cm),6ft 3 ,191.0,75.2,male,5094.0
Yasmine Bleeth,https://www.celebheights.com/s/Yasmine-Bleeth-1381.html,B,5ft 4 ¾ (164cm),5ft 4 ¾ ,164.0,64.57,female,2254.0
Brian Blessed,https://www.celebheights.com/s/Brian-Blessed-1396.html,B,5ft 9 ½ (177cm),5ft 9 ½ ,177.0,69.69,male,2107.0
Brenda Blethyn,https://www.celebheights.com/s/Brenda-Blethyn-2819.html,B,5ft 2 (157cm),5ft 2 ,157.0,61.81,female,813.0
Corbin Bleu,https://www.celebheights.com/s/Corbin-Bleu-2988.html,B,5ft 7 ½ (171cm),5ft 7 ½ ,171.0,67.32,male,1015.0
Jessica Blevins,https://www.celebheights.com/s/Jessica-Blevins-52210.html,B,5ft 2 ½ (159cm),5ft 2 ½ ,159.0,62.6,female,994.0
Tyler Blevins,https://www.celebheights.com/s/Tyler-Blevins-51545.html,B,6ft 1 ¾ (187cm),6ft 1 ¾ ,187.0,73.62,mostly_male,509.0
Karen Blick,https://www.celebheights.com/s/Karen-Blick-51833.html,B,5ft 1 (155cm),5ft 1 ,155.0,61.02,female,373.0
Mary J. Blige,https://www.celebheights.com/s/Mary-J-Blige-1285.html,B,5ft 5 (165cm),5ft 5 ,165.0,64.96,mostly_female,264.0
Alexa Bliss,https://www.celebheights.com/s/Alexa-Bliss-49898.html,B,5ft 0 (152cm),5ft 0 ,152.0,59.84,female,164.0
Boti Bliss,https://www.celebheights.com/s/Boti-Bliss-4562.html,B,5ft 6 ½ (169cm),5ft 6 ½ ,169.0,66.54,unknown,744.0
Caroline Bliss,https://www.celebheights.com/s/Caroline-Bliss-4094.html,B,5ft 6 ½ (169cm),5ft 6 ½ ,169.0,66.54,female,3894.0
Wolf Blitzer,https://www.celebheights.com/s/Wolf-Blitzer-6935.html,B,5ft 9 (175cm),5ft 9 ,175.0,68.9,male,1812.0
Georgia Blizzard,https://www.celebheights.com/s/Georgia-Blizzard-52403.html,B,5ft 10 (178cm),5ft 10 ,178.0,70.08,female,5410.0
Dan Blocker,https://www.celebheights.com/s/Dan-Blocker-4589.html,B,6ft 3 (191cm),6ft 3 ,191.0,75.2,male,5094.0
Thylane Blondeau,https://www.celebheights.com/s/Thylane-Blondeau-50352.html,B,5ft 6 (168cm),5ft 6 ,168.0,66.14,unknown,695.0
Joan Blondell,https://www.celebheights.com/s/Joan-Blondell-48389.html,B,5ft 2 (157cm),5ft 2 ,157.0,61.81,female,813.0
Nikki Blonsky,https://www.celebheights.com/s/Nikki-Blonsky-46918.html,B,4ft 10 (147cm),4ft 10 ,147.0,57.87,female,15.0
Nick Blood,https://www.celebheights.com/s/Nick-Blood-6109.html,B,5ft 8 ½ (174cm),5ft 8 ½ ,174.0,68.5,male,1501.0
Moon Bloodgood,https://www.celebheights.com/s/Moon-Bloodgood-47394.html,B,5ft 8 (173cm),5ft 8 ,173.0,68.11,andy,126.0
Claire Bloom,https://www.celebheights.com/s/Claire-Bloom-48464.html,B,5ft 3 (160cm),5ft 3 ,160.0,62.99,female,1322.0
Matt Bloom,https://www.celebheights.com/s/Matt-Bloom-52785.html,B,6ft 6 (198cm),6ft 6 ,198.0,77.95,male,5446.0
Orlando Bloom,https://www.celebheights.com/s/Orlando-Bloom-261.html,B,5ft 10 ½ (179cm),5ft 10 ½ ,179.0,70.47,male,2668.0
Rachel Bloom,https://www.celebheights.com/s/Rachel-Bloom-49119.html,B,5ft 3 (160cm),5ft 3 ,160.0,62.99,female,1322.0
Vail Bloom,https://www.celebheights.com/s/Vail-Bloom-48540.html,B,5ft 5 (165cm),5ft 5 ,165.0,64.96,unknown,523.0
Verna Bloom,https://www.celebheights.com/s/Verna-Bloom-7836.html,B,5ft 3 (160cm),5ft 3 ,160.0,62.99,female,1322.0
Mike Bloomberg,https://www.celebheights.com/s/Mike-Bloomberg-52141.html,B,5ft 6 ½ (169cm),5ft 6 ½ ,169.0,66.54,male,652.0
Lisa Blount,https://www.celebheights.com/s/Lisa-Blount-52554.html,B,5ft 4 (163cm),5ft 4 ,163.0,64.17,female,2007.0
Marc Blucas,https://www.celebheights.com/s/Marc-Blucas-544.html,B,6ft 2 (188cm),6ft 2 ,188.0,74.02,male,4729.0
Callum Blue,https://www.celebheights.com/s/Callum-Blue-357.html,B,6ft 1 (185cm),6ft 1 ,185.0,72.83,male,4265.0
David Blue,https://www.celebheights.com/s/David-Blue-47694.html,B,5ft 11 (180cm),5ft 11 ,180.0,70.87,male,3053.0
Sarayu Blue,https://www.celebheights.com/s/Sarayu-Blue-7083.html,B,5ft  ½ in (154cm),5ft  ½ in ,154.0,60.63,unknown,43.0
Edward Bluemel,https://www.celebheights.com/s/Edward-Bluemel-53344.html,B,5ft 10 (178cm),5ft 10 ,178.0,70.08,male,2475.0
Steve Blum,https://www.celebheights.com/s/Steve-Blum-52728.html,B,5ft 10 ½ (179cm),5ft 10 ½ ,179.0,70.47,male,2668.0
Alan Blumenfeld,https://www.celebheights.com/s/Alan-Blumenfeld-47232.html,B,5ft 8 ½ (174cm),5ft 8 ½ ,174.0,68.5,male,1501.0
Emily Blunt,https://www.celebheights.com/s/Emily-Blunt-2063.html,B,5ft 6 ½ (169cm),5ft 6 ½ ,169.0,66.54,female,3894.0
James Blunt,https://www.celebheights.com/s/James-Blunt-2452.html,B,5ft 7 ¼ (171cm),5ft 7 ¼ ,171.0,67.32,male,1015.0
Ann Blyth,https://www.celebheights.com/s/Ann-Blyth-234.html,B,5ft 2 (157cm),5ft 2 ,157.0,61.81,female,813.0
Tom Blyth,https://www.celebheights.com/s/Tom-Blyth-53256.html,B,6ft 0 (183cm),6ft 0 ,183.0,72.05,male,3729.0
JÃ©rÃ´me Boateng,https://www.celebheights.com/s/Jerome-Boateng-52618.html,B,6ft 3 (191cm),6ft 3 ,191.0,75.2,unknown,1515.0
Daniela Bobadilla,https://www.celebheights.com/s/Daniela-Bobadilla-5337.html,B,5ft 0 (152cm),5ft 0 ,152.0,59.84,female,164.0
Andrea Bocelli,https://www.celebheights.com/s/Andrea-Bocelli-3082.html,B,6ft 1 ½ (187cm),6ft 1 ½ ,187.0,73.62,female,5588.0
Hart Bochner,https://www.celebheights.com/s/Hart-Bochner-49823.html,B,6ft 0 (183cm),6ft 0 ,183.0,72.05,unknown,1355.0
Alana Boden,https://www.celebheights.com/s/Alana-Boden-51001.html,B,5ft 3 (160cm),5ft 3 ,160.0,62.99,female,1322.0
Kim Bodnia,https://www.celebheights.com/s/Kim-Bodnia-51028.html,B,5ft 10 (178cm),5ft 10 ,178.0,70.08,mostly_female,524.0
Alisha Boe,https://www.celebheights.com/s/Alisha-Boe-6502.html,B,5ft 4 (163cm),5ft 4 ,163.0,64.17,female,2007.0
Lauren Boebert,https://www.celebheights.com/s/Lauren-Boebert-53205.html,B,5ft 0 (152cm),5ft 0 ,152.0,59.84,mostly_female,21.0
Katherine Boecher,https://www.celebheights.com/s/Katherine-Boecher-3661.html,B,5ft 5 (165cm),5ft 5 ,165.0,64.96,female,2784.0
Dirk Bogarde,https://www.celebheights.com/s/Dirk-Bogarde-3846.html,B,5ft 9 (175cm),5ft 9 ,175.0,68.9,male,1812.0
Andrea Bogart,https://www.celebheights.com/s/Andrea-Bogart-7575.html,B,5ft 6 ½ (169cm),5ft 6 ½ ,169.0,66.54,female,3894.0
Humphrey Bogart,https://www.celebheights.com/s/Humphrey-Bogart-736.html,B,5ft 8 (173cm),5ft 8 ,173.0,68.11,male,1343.0
Muggsy Bogues,https://www.celebheights.com/s/Muggsy-Bogues-49501.html,B,5ft 3 (160cm),5ft 3 ,160.0,62.99,unknown,234.0
Heidi Bohay,https://www.celebheights.com/s/Heidi-Bohay-6721.html,B,5ft 5 (165cm),5ft 5 ,165.0,64.96,female,2784.0
Ian Bohen,https://www.celebheights.com/s/Ian-Bohen-49088.html,B,5ft 10 ¼ (178cm),5ft 10 ¼ ,178.0,70.08,male,2475.0
Krissi Bohn,https://www.celebheights.com/s/Krissi-Bohn-50415.html,B,5ft 6 ¾ (170cm),5ft 6 ¾ ,170.0,66.93,unknown,840.0
Big Boi,https://www.celebheights.com/s/Big-Boi-651.html,B,5ft 6 (168cm),5ft 6 ,168.0,66.14,unknown,695.0
Yinka Bokinni,https://www.celebheights.com/s/Yinka-Bokinni-2336.html,B,5ft 5 (165cm),5ft 5 ,165.0,64.96,unknown,523.0
Manute Bol,https://www.celebheights.com/s/Manute-Bol-49645.html,B,7ft 6 ¾ (231cm),7ft 6 ¾ ,231.0,90.94,unknown,1601.0
James Bolam,https://www.celebheights.com/s/James-Bolam-50385.html,B,5ft 9 (175cm),5ft 9 ,175.0,68.9,male,1812.0
Marc Bolan,https://www.celebheights.com/s/Marc-Bolan-52030.html,B,5ft 5 (165cm),5ft 5 ,165.0,64.96,male,344.0
Spencer Boldman,https://www.celebheights.com/s/Spencer-Boldman-53035.html,B,6ft 1 (185cm),6ft 1 ,185.0,72.83,male,4265.0
Ray Bolger,https://www.celebheights.com/s/Ray-Bolger-4424.html,B,5ft 10 ½ (179cm),5ft 10 ½ ,179.0,70.47,mostly_male,343.0
Sarah Bolger,https://www.celebheights.com/s/Sarah-Bolger-47808.html,B,5ft 4 (163cm),5ft 4 ,163.0,64.17,female,2007.0
Melissa Bolona,https://www.celebheights.com/s/Melissa-Bolona-6997.html,B,5ft 8 ½ (174cm),5ft 8 ½ ,174.0,68.5,female,4998.0
Usain Bolt,https://www.celebheights.com/s/Usain-Bolt-47529.html,B,6ft 4 ¾ (195cm),6ft 4 ¾ ,195.0,76.77,unknown,1554.0
Michael Bolton,https://www.celebheights.com/s/Michael-Bolton-1066.html,B,5ft 9 ½ (177cm),5ft 9 ½ ,177.0,69.69,male,2107.0
Nathalie Boltt,https://www.celebheights.com/s/Nathalie-Boltt-6509.html,B,5ft 4 ½ (164cm),5ft 4 ½ ,164.0,64.57,female,2254.0
Matt Bomer,https://www.celebheights.com/s/Matt-Bomer-4248.html,B,5ft 11 (180cm),5ft 11 ,180.0,70.87,male,3053.0
Jon Bon Jovi,https://www.celebheights.com/s/Jon-Bon-Jovi-579.html,B,5ft 9 (175cm),5ft 9 ,175.0,68.9,male,1812.0
Kate Bond,https://www.celebheights.com/s/Kate-Bond-51883.html,B,5ft 6 (168cm),5ft 6 ,168.0,66.14,female,3683.0
Samantha Bond,https://www.celebheights.com/s/Samantha-Bond-2368.html,B,5ft 6 (168cm),5ft 6 ,168.0,66.14,female,3683.0
Ward Bond,https://www.celebheights.com/s/Ward-Bond-48204.html,B,6ft 2 (188cm),6ft 2 ,188.0,74.02,male,4729.0
Bobby Bones,https://www.celebheights.com/s/Bobby-Bones-52398.html,B,5ft 10 ¾ (180cm),5ft 10 ¾ ,180.0,70.87,male,3053.0
Lisa Bonet,https://www.celebheights.com/s/Lisa-Bonet-5207.html,B,5ft 2 (157cm),5ft 2 ,157.0,61.81,female,813.0
Diego Boneta,https://www.celebheights.com/s/Diego-Boneta-49017.html,B,5ft 8 (173cm),5ft 8 ,173.0,68.11,male,1343.0
Helena Bonham Carter,https://www.celebheights.com/s/Helena-Bonham-Carter-106.html,B,5ft 2 (157cm),5ft 2 ,157.0,61.81,female,813.0
Nazanin Boniadi,https://www.celebheights.com/s/Nazanin-Boniadi-5637.html,B,5ft 3 (160cm),5ft 3 ,160.0,62.99,female,1322.0
Daniel Bonjour,https://www.celebheights.com/s/Daniel-Bonjour-7039.html,B,5ft 10 (178cm),5ft 10 ,178.0,70.08,male,2475.0
Mark Bonnar,https://www.celebheights.com/s/Mark-Bonnar-53083.html,B,5ft 9 (175cm),5ft 9 ,175.0,68.9,male,1812.0
Carla Bonner,https://www.celebheights.com/s/Carla-Bonner-6245.html,B,5ft 5 ¾ (167cm),5ft 5 ¾ ,167.0,65.75,female,3123.0
Hugh Bonneville,https://www.celebheights.com/s/Hugh-Bonneville-3898.html,B,6ft 1 ¾ (187cm),6ft 1 ¾ ,187.0,73.62,male,4473.0
Bono,https://www.celebheights.com/s/-Bono-433.html,B,5ft 5 ½ (166cm),5ft 5 ½ ,166.0,65.35,male,416.0
Sonny Bono,https://www.celebheights.com/s/Sonny-Bono-4149.html,B,5ft 5 (165cm),5ft 5 ,165.0,64.96,male,344.0
Cory Booker,https://www.celebheights.com/s/Cory-Booker-51618.html,B,6ft 2 ½ (189cm),6ft 2 ½ ,189.0,74.41,mostly_male,539.0
Devin Booker,https://www.celebheights.com/s/Devin-Booker-52703.html,B,6ft 4 ½ (194cm),6ft 4 ½ ,194.0,76.38,mostly_male,574.0
Booker T,https://www.celebheights.com/s/-Booker-T-47533.html,B,6ft 1 ½ (187cm),6ft 1 ½ ,187.0,73.62,male,4473.0
Megan Boone,https://www.celebheights.com/s/Megan-Boone-5395.html,B,5ft 5 (165cm),5ft 5 ,165.0,64.96,female,2784.0
Pat Boone,https://www.celebheights.com/s/Pat-Boone-48790.html,B,5ft 9 ¾ (177cm),5ft 9 ¾ ,177.0,69.69,andy,148.0
Richard Boone,https://www.celebheights.com/s/Richard-Boone-3052.html,B,6ft  ½ in (184cm),6ft  ½ in ,184.0,72.44,male,3911.0
Tiffany Boone,https://www.celebheights.com/s/Tiffany-Boone-7418.html,B,5ft 2 (157cm),5ft 2 ,157.0,61.81,female,813.0
Mark Boone Junior,https://www.celebheights.com/s/Mark-Boone-Junior-49013.html,B,5ft 7 ½ (171cm),5ft 7 ½ ,171.0,67.32,male,1015.0
Mika Boorem,https://www.celebheights.com/s/Mika-Boorem-4825.html,B,5ft 2 ½ (159cm),5ft 2 ½ ,159.0,62.6,male,100.0
Imogen Boorman,https://www.celebheights.com/s/Imogen-Boorman-6740.html,B,5ft 4 ½ (164cm),5ft 4 ½ ,164.0,64.57,female,2254.0
