,stock_number,item,quantity,value,year
133,5836-DS-TVF-LTSC,TV FLAT SCREEN,1,430.0,2019
194,6515-01-622-1984,"PLUG,EAR",10,415.0,2019
232,7310-DS-RAN-GE00,RANGE,2,402.0,4038
197,6530-01-325-6590,"BED,ADJUSTABLE",6,401.0,2019
23,1240-01-533-0941,"SIGHT,REFLEX",4,400.0,2018
165,5860-01-471-2091,"BORELIGHT SYSTEM,LA",1,388.0,2017
300,8465-01-580-0981,ASSAULT PACK,13,385.0,10099
7,1005-20-002-4811,"MODIFICATION KIT,GUN,WEAPON",10,379.0,2017
257,8415-01-538-6289,"PARKA,EXTREME COLD WEATHER",10,372.0,6060
70,3510-DS-DRY-ER00,CLOTHES DRYER,2,371.0,2019
85,3940-01-626-0976,"SLING,EYE",4,354.0,2019
89,4140-DS-FAN-0000,FAN,1,350.0,2019
148,5855-01-533-0996,"ILLUMINATOR,INTEGRATED,SMALL ARMS",10,350.0,2019
295,8465-01-524-7632,MEDIC SET,7,345.0,4040
71,3510-DS-WAS-HER6,CLOTHES WASHER,1,333.0,2019
196,6530-01-265-3583,"EXTRACTION DEVICE,SPINE SPLINT ASSEMBLY",4,329.0,2019
24,1240-01-540-3690,"SIGHT,REFLEX",10,321.0,2019
170,5965-25-150-9696,HEADSET-MICROPHONE,100,305.0,2019
