OBJECTID,GbCity,City_CH,City_EN,GbProv,Prov_CH,Prov_EN,count,longitude,latitude
"92","3303",温州市,Wenzhou,33.00000000000,浙江省,Zhejiang,"0",,
"93","3304",嘉兴市,Jiaxing,33.00000000000,浙江省,Zhejiang,"0",,
"94","3305",湖州市,Huzhou,33.00000000000,浙江省,Zhejiang,"0",,
"95","3306",绍兴市,Shaoxing,33.00000000000,浙江省,Zhejiang,"0",,
"96","3307",金华市,Jinhua,33.00000000000,浙江省,Zhejiang,"0",,
"97","3308",衢州市,Quzhou,33.00000000000,浙江省,Zhejiang,"0",,
"98","3309",舟山市,Zhoushan,33.00000000000,浙江省,Zhejiang,"0",,
"100","3311",丽水市,Lishui,33.00000000000,浙江省,Zhejiang,"0",,
"102","3402",芜湖市,Wuhu,34.00000000000,安徽省,Anhui,"0",,
"103","3403",蚌埠市,Bengbu,34.00000000000,安徽省,Anhui,"0",,
"104","3404",淮南市,Huainan,34.00000000000,安徽省,Anhui,"0",,
"105","3405",马鞍山市,Maanshan,34.00000000000,安徽省,Anhui,"0",,
"106","3406",淮北市,Huaibei,34.00000000000,安徽省,Anhui,"0",,
"107","3407",铜陵市,Tongling,34.00000000000,安徽省,Anhui,"0",,
"108","3408",安庆市,Anqing,34.00000000000,安徽省,Anhui,"0",,
"109","3410",黄山市,Huangshan,34.00000000000,安徽省,Anhui,"0",,
"110","3411",滁州市,Chuzhou,34.00000000000,安徽省,Anhui,"0",,
"111","3412",阜阳市,Fuyang,34.00000000000,安徽省,Anhui,"0",,
"113","3414",巢湖市,Chaohu,34.00000000000,安徽省,Anhui,"0",,
"114","3415",六安市,Liuan,34.00000000000,安徽省,Anhui,"0",,
"115","3416",亳州市,Bozhou,34.00000000000,安徽省,Anhui,"0",,
"116","3417",池州市,Chizhou,34.00000000000,安徽省,Anhui,"0",,
"117","3418",宣城市,Xuancheng,34.00000000000,安徽省,Anhui,"0",,
"119","3502",厦门市,Xiamen,35.00000000000,福建省,Fujian,"0",,
"120","3503",莆田市,Putian,35.00000000000,福建省,Fujian,"0",,
"121","3504",三明市,Sanming,35.00000000000,福建省,Fujian,"0",,
"122","3505",泉州市,Quanzhou,35.00000000000,福建省,Fujian,"0",,
"123","3506",漳州市,Zhangzhou,35.00000000000,福建省,Fujian,"0",,
"124","3507",南平市,Nanping,35.00000000000,福建省,Fujian,"0",,
"125","3508",龙岩市,Longyan,35.00000000000,福建省,Fujian,"0",,
"126","3509",宁德市,Ningde,35.00000000000,福建省,Fujian,"0",,
"130","3604",九江市,Jiujiang,36.00000000000,江西省,Jiangxi,"0",,
"132","3606",鹰潭市,Yingtan,36.00000000000,江西省,Jiangxi,"0",,
"134","3608",吉安市,Jian,36.00000000000,江西省,Jiangxi,"0",,
"137","3611",上饶市,Shangrao,36.00000000000,江西省,Jiangxi,"0",,
"140","3703",淄博市,Zibo,37.00000000000,山东省,Shandong,"0",,
"141","3704",枣庄市,Zaozhuang,37.00000000000,山东省,Shandong,"0",,
"142","3705",东营市,Dongying,37.00000000000,山东省,Shandong,"0",,
"144","3707",潍坊市,Weifang,37.00000000000,山东省,Shandong,"0",,
"145","3708",济宁市,Jining,37.00000000000,山东省,Shandong,"0",,
"146","3709",泰安市,Taian,37.00000000000,山东省,Shandong,"0",,
"147","3710",威海市,Weihai,37.00000000000,山东省,Shandong,"0",,
"148","3711",日照市,Rizhao,37.00000000000,山东省,Shandong,"0",,
"149","3712",莱芜市,Laiwu,37.00000000000,山东省,Shandong,"0",,
"150","3713",临沂市,Linyi,37.00000000000,山东省,Shandong,"0",,
"151","3714",德州市,Dezhou,37.00000000000,山东省,Shandong,"0",,
"152","3715",聊城市,Liaocheng,37.00000000000,山东省,Shandong,"0",,
"153","3716",滨州市,Binzhou,37.00000000000,山东省,Shandong,"0",,
"154","3717",菏泽市,Heze,37.00000000000,山东省,Shandong,"0",,
"158","4104",平顶山市,Pingdingshan,41.00000000000,河南省,Henan,"0",,
"160","4106",鹤壁市,Hebi,41.00000000000,河南省,Henan,"0",,
"162","4108",焦作市,Jiaozuo,41.00000000000,河南省,Henan,"0",,
"163","4109",濮阳市,Puyang,41.00000000000,河南省,Henan,"0",,
"166","4112",三门峡市,Sanmenxia,41.00000000000,河南省,Henan,"0",,
"169","4115",信阳市,Xinyang,41.00000000000,河南省,Henan,"0",,
"173","4202",黄石市,Huangshi,42.00000000000,湖北省,Hubei,"0",,
"174","4203",十堰市,Shiyan,42.00000000000,湖北省,Hubei,"0",,
"175","4205",宜昌市,Yichang,42.00000000000,湖北省,Hubei,"0",,
"180","4210",荆州市,Jingzhou,42.00000000000,湖北省,Hubei,"0",,
"181","4211",黄冈市,Huanggang,42.00000000000,湖北省,Hubei,"0",,
"184","4228",恩施土家族苗族自治州,Enshitujiazumiaozu,42.00000000000,湖北省,Hubei,"0",,
"185","4290",省直辖行政单位,Hubei (Direct Units),42.00000000000,湖北省,Hubei,"0",,
"193","4308",张家界市,Zhangjiajie,43.00000000000,湖南省,Hunan,"0",,
"194","4309",益阳市,Yiyang,43.00000000000,湖南省,Hunan,"0",,
"198","4313",娄底市,Loudi,43.00000000000,湖南省,Hunan,"0",,
"199","4331",湘西土家族苗族自治州,Xiangxitujiazumiaozu,43.00000000000,湖南省,Hunan,"0",,
"201","4402",韶关市,Shaoguan,44.00000000000,广东省,Guangdong,"0",,
"203","4404",珠海市,Zhuhai,44.00000000000,广东省,Guangdong,"0",,
"205","4406",佛山市,Foshan,44.00000000000,广东省,Guangdong,"0",,
"206","4407",江门市,Jiangmen,44.00000000000,广东省,Guangdong,"0",,
"208","4409",茂名市,Maoming,44.00000000000,广东省,Guangdong,"0",,
"209","4412",肇庆市,Zhaoqing,44.00000000000,广东省,Guangdong,"0",,
"210","4413",惠州市,Huizhou,44.00000000000,广东省,Guangdong,"0",,
"211","4414",梅州市,Meizhou,44.00000000000,广东省,Guangdong,"0",,
"212","4415",汕尾市,Shanwei,44.00000000000,广东省,Guangdong,"0",,
"213","4416",河源市,Heyuan,44.00000000000,广东省,Guangdong,"0",,
"214","4417",阳江市,Yangjiang,44.00000000000,广东省,Guangdong,"0",,
"215","4418",清远市,Qingyuan,44.00000000000,广东省,Guangdong,"0",,
"216","4419",东莞市,Dongguan,44.00000000000,广东省,Guangdong,"0",,
"218","4451",潮州市,Chaozhou,44.00000000000,广东省,Guangdong,"0",,
"220","4453",云浮市,Yunfu,44.00000000000,广东省,Guangdong,"0",,
"226","4506",防城港市,Fangchenggang,45.00000000000,广西省,Guangxi,"0",,
"228","4508",贵港市,Guigang,45.00000000000,广西省,Guangxi,"0",,
"231","4522",柳州地区,Liuzhoudiqu,45.00000000000,广西省,Guangxi,"0",,
"232","4524",贺州地区,Hezhoudiqu,45.00000000000,广西省,Guangxi,"0",,
"233","4526",百色地区,Baisediqu,45.00000000000,广西省,Guangxi,"0",,
"234","4527",河池地区,Hechidiqu,45.00000000000,广西省,Guangxi,"0",,
"235","4601",海口市,Haikou,46.00000000000,海南省,Hainan,"0",,
"236","4602",三亚市,Sanya,46.00000000000,海南省,Hainan,"0",,
"237","4690",模拟地区,Munidiqu,46.00000000000,海南省,Hainan,"0",,
"241","5103",自贡市,Zigong,51.00000000000,四川省,Sichuan,"0",,
"242","5104",攀枝花市,Panzhihua,51.00000000000,四川省,Sichuan,"0",,
"245","5107",绵阳市,Mianyang,51.00000000000,四川省,Sichuan,"0",,
"246","5108",广元市,Guangyuan,51.00000000000,四川省,Sichuan,"0",,
"247","5109",遂宁市,Suining,51.00000000000,四川省,Sichuan,"0",,
"248","5110",内江市,Neijiang,51.00000000000,四川省,Sichuan,"0",,
"249","5111",乐山市,Leshan,51.00000000000,四川省,Sichuan,"0",,
"252","5115",宜宾市,Yibin,51.00000000000,四川省,Sichuan,"0",,
"254","5117",达州市,Dazhou,51.00000000000,四川省,Sichuan,"0",,
"255","5118",雅安市,Yaan,51.00000000000,四川省,Sichuan,"0",,
