season,team,gp,w,l,wl%,bat#,pa,ab,r,h,1b,2b,3b,hr,rbi,sb,cs,bb,so,ba,obp,slg,ops,ops+,tb,gidp,hbp,sh,sf,ibb,lob,r/gm,decade,series_win,hr/gm,h/gm,bb/gm,sb/gm
1920,Brooklyn Robins,155,93,61,0.604,29,5971,5399,660,1493,1161,205,99,28,566.0,70.0,80.0,359,391.0,0.277,0.324,0.367,0.691,96,1980,,19,189.0,,,1073.0,4.3,1920s,No win,0.18,9.63,2.32,0.45
1919,Brooklyn Robins,141,69,71,0.493,28,5285,4844,525,1272,1014,167,66,25,452.0,112.0,,258,405.0,0.263,0.304,0.34,0.644,92,1646,,28,153.0,,,916.0,3.7,1910s,No win,0.18,9.02,1.83,0.79
1918,Brooklyn Robins,126,57,69,0.452,35,4581,4212,360,1052,859,121,62,10,303.0,113.0,,212,326.0,0.25,0.291,0.315,0.607,86,1327,,36,118.0,,,788.0,2.9,1910s,No win,0.08,8.35,1.68,0.9
1917,Brooklyn Robins,156,70,81,0.464,31,5778,5251,511,1299,1037,159,78,25,429.0,130.0,,334,527.0,0.247,0.296,0.322,0.618,88,1689,,29,162.0,,,990.0,3.3,1910s,No win,0.16,8.33,2.14,0.83
1916,Brooklyn Robins,156,94,60,0.61,32,5834,5234,585,1366,1063,195,80,28,493.0,187.0,,355,550.0,0.261,0.313,0.345,0.658,99,1805,,41,203.0,,,1032.0,3.8,1910s,No win,0.18,8.76,2.28,1.2
1915,Brooklyn Robins,154,80,72,0.526,33,5638,5120,536,1268,1014,165,75,14,449.0,131.0,126.0,313,496.0,0.248,0.295,0.317,0.612,83,1625,,27,175.0,,,957.0,3.5,1910s,No win,0.09,8.23,2.03,0.85
1914,Brooklyn Robins,154,75,79,0.487,28,5763,5152,622,1386,1093,172,90,31,529.0,173.0,,376,559.0,0.269,0.323,0.355,0.678,100,1831,,33,190.0,,,1019.0,4.0,1910s,No win,0.2,9.0,2.44,1.12
1913,Brooklyn Superbas,152,65,84,0.436,33,5712,5165,595,1394,1076,193,86,39,502.0,188.0,149.0,361,555.0,0.27,0.321,0.363,0.685,94,1876,,31,147.0,,,979.0,3.9,1910s,No win,0.26,9.17,2.38,1.24
1912,Brooklyn Dodgers,153,58,95,0.379,30,5834,5141,651,1377,1052,220,73,32,561.0,179.0,,490,584.0,0.268,0.336,0.358,0.694,93,1839,,40,159.0,,,1069.0,4.3,1910s,No win,0.21,9.0,3.2,1.17
1911,Brooklyn Dodgers,154,64,86,0.427,36,5694,5059,539,1198,948,151,71,28,465.0,184.0,,425,683.0,0.237,0.301,0.311,0.612,74,1575,,39,157.0,,,991.0,3.5,1910s,No win,0.18,7.78,2.76,1.19
1910,Brooklyn Superbas,156,64,90,0.416,31,5792,5125,497,1174,910,166,73,25,408.0,151.0,,434,706.0,0.229,0.294,0.305,0.599,77,1561,,40,183.0,,,993.0,3.2,1910s,No win,0.16,7.53,2.78,0.97
1909,Brooklyn Superbas,155,55,98,0.359,31,5604,5056,442,1158,907,176,59,16,370.0,141.0,,330,644.0,0.229,0.279,0.297,0.576,82,1500,,20,173.0,,,941.0,2.9,1900s,No win,0.1,7.47,2.13,0.91
1908,Brooklyn Superbas,154,53,101,0.344,24,5434,4897,375,1044,846,110,60,28,306.0,113.0,,323,608.0,0.213,0.266,0.277,0.543,77,1358,,29,166.0,,,918.0,2.4,1900s,No win,0.18,6.78,2.1,0.73
1907,Brooklyn Superbas,153,65,83,0.439,24,5488,4895,446,1135,912,142,63,18,380.0,121.0,,336,629.0,0.232,0.287,0.298,0.584,90,1457,,40,197.0,,,956.0,2.9,1900s,No win,0.12,7.42,2.2,0.79
1906,Brooklyn Superbas,153,66,86,0.434,24,5496,4897,495,1156,922,141,68,25,407.0,175.0,,388,664.0,0.236,0.297,0.308,0.605,95,1508,,36,163.0,,,923.0,3.2,1900s,No win,0.16,7.56,2.54,1.14
1905,Brooklyn Superbas,155,48,104,0.316,23,5616,5100,506,1255,1012,154,60,29,430.0,186.0,,327,606.0,0.246,0.297,0.317,0.614,89,1616,,41,136.0,,,977.0,3.3,1900s,No win,0.19,8.1,2.11,1.2
1904,Brooklyn Superbas,154,56,97,0.366,28,5520,4916,497,1142,915,159,53,15,390.0,205.0,,411,688.0,0.232,0.297,0.295,0.592,86,1452,,42,128.0,,,940.0,3.2,1900s,No win,0.1,7.42,2.67,1.33
1903,Brooklyn Superbas,139,70,66,0.515,28,5270,4534,666,1201,953,177,56,15,539.0,273.0,,522,516.0,0.265,0.348,0.339,0.686,97,1535,,53,124.0,,,960.0,4.8,1900s,No win,0.11,8.64,3.76,1.96
1902,Brooklyn Superbas,141,75,63,0.543,26,5358,4845,564,1242,1027,147,49,19,476.0,145.0,,319,491.0,0.256,0.311,0.319,0.629,95,1544,,62,118.0,,,1013.0,4.0,1900s,No win,0.13,8.81,2.26,1.03
1901,Brooklyn Superbas,137,79,57,0.581,24,5328,4879,744,1399,1068,206,93,32,633.0,178.0,,312,446.0,0.287,0.335,0.387,0.722,106,1887,,41,80.0,,,954.0,5.4,1900s,No win,0.23,10.21,2.28,1.3
1900,Brooklyn Superbas,142,82,54,0.603,23,5440,4860,816,1423,1117,199,81,26,676.0,274.0,,421,269.0,0.293,0.359,0.383,0.742,100,1862,,81,78.0,,,,5.8,1900s,No win,0.18,10.02,2.96,1.93
1899,Brooklyn Superbas,150,101,47,0.682,27,5614,4937,892,1436,1134,178,97,27,723.0,271.0,,477,263.0,0.291,0.368,0.383,0.751,104,1889,,125,75.0,,,,6.0,1890s,No win,0.18,9.57,3.18,1.81
1898,Brooklyn Bridegrooms,149,54,91,0.372,26,5610,5126,638,1314,1075,156,66,17,563.0,130.0,,328,316.0,0.256,0.309,0.322,0.632,81,1653,,65,91.0,,,,4.3,1890s,No win,0.11,8.82,2.2,0.87
1897,Brooklyn Bridegrooms,136,61,71,0.462,20,5334,4810,802,1343,1045,202,72,24,644.0,187.0,,351,251.0,0.279,0.336,0.366,0.702,90,1761,,58,115.0,,,,5.9,1890s,No win,0.18,9.88,2.58,1.38
1896,Brooklyn Bridegrooms,133,58,73,0.443,20,5025,4548,692,1292,1003,174,87,28,557.0,198.0,,344,269.0,0.284,0.34,0.379,0.719,94,1724,,39,94.0,,,,5.2,1890s,No win,0.21,9.71,2.59,1.49
1895,Brooklyn Grooms,134,71,60,0.542,23,5284,4757,879,1346,1036,191,78,41,725.0,184.0,,397,319.0,0.283,0.346,0.382,0.728,94,1816,,63,67.0,,,,6.6,1890s,No win,0.31,10.04,2.96,1.37
1894,Brooklyn Grooms,135,70,61,0.534,24,5453,4851,1024,1514,1111,231,130,42,869.0,282.0,,467,295.0,0.312,0.377,0.439,0.816,103,2131,,35,100.0,,,,7.6,1890s,No win,0.31,11.21,3.46,2.09
1893,Brooklyn Grooms,130,65,63,0.508,21,5024,4511,775,1200,899,173,83,45,644.0,213.0,,473,296.0,0.266,0.341,0.371,0.712,93,1674,,40,,,,,6.0,1890s,No win,0.35,9.23,3.64,1.64
1892,Brooklyn Grooms,158,95,59,0.617,17,6168,5485,935,1439,1121,183,105,30,719.0,409.0,,629,508.0,0.262,0.344,0.35,0.694,112,1922,,54,,,,,5.9,1890s,No win,0.19,9.11,3.98,2.59
1891,Brooklyn Grooms,137,61,76,0.445,19,5249,4748,765,1233,941,200,69,23,603.0,337.0,,465,435.0,0.26,0.33,0.345,0.676,99,1640,,36,,,,,5.6,1890s,No win,0.17,9.0,3.39,2.46
1890,Brooklyn Bridegrooms,129,86,43,0.667,17,4977,4419,884,1166,864,184,75,43,691.0,349.0,,517,361.0,0.264,0.346,0.369,0.715,107,1629,,41,,,,,6.9,1890s,No win,0.33,9.04,4.01,2.71
1889,Brooklyn Bridegrooms,140,93,44,0.679,15,5414,4815,995,1265,951,188,79,47,761.0,389.0,,550,401.0,0.263,0.344,0.364,0.708,107,1752,,49,,,,,7.2,1880s,No win,0.34,9.04,3.93,2.78
1888,Brooklyn Bridegrooms,143,88,52,0.629,20,5280,4871,758,1177,910,172,70,25,574.0,334.0,,353,444.0,0.242,0.3,0.321,0.621,99,1564,,56,,,,,5.3,1880s,No win,0.17,8.23,2.47,2.34
1887,Brooklyn Grays,138,60,74,0.448,19,5420,4913,904,1281,974,200,82,25,689.0,409.0,,456,357.0,0.261,0.33,0.35,0.68,88,1720,,51,,,,,6.6,1880s,No win,0.18,9.28,3.3,2.96
1886,Brooklyn Grays,141,76,61,0.555,19,5504,5053,832,1261,969,196,80,16,569.0,248.0,,433,,0.25,0.311,0.33,0.641,101,1665,,18,,,,,5.9,1880s,No win,0.11,8.94,3.07,1.76
1885,Brooklyn Grays,112,53,59,0.473,21,4223,3943,624,966,766,121,65,14,428.0,,,238,,0.245,0.295,0.319,0.614,93,1259,,42,,,,,5.6,1880s,No win,0.12,8.62,2.12,
1884,Brooklyn Atlantics,109,40,64,0.385,18,3958,3763,476,845,670,112,47,16,,,,179,,0.225,0.263,0.292,0.555,80,1099,,16,,,,,4.4,1880s,No win,0.15,7.75,1.64,
