team,attendance,avg_attend,year
Pittsburgh Pirates,1560950.0,19271.0,1998
San Diego Padres,2555874.0,31554.0,1998
Seattle Mariners,2651511.0,32735.0,1998
San Francisco Giants,1925364.0,23770.0,1998
St. Louis Cardinals,3195691.0,38972.0,1998
Tampa Bay Rays,2506293.0,30942.0,1998
Texas Rangers,2927399.0,36141.0,1998
Toronto Blue Jays,2454303.0,30300.0,1998
Los Angeles Angels,2253123.0,27816.0,1999
Arizona Diamondbacks,3019654.0,37280.0,1999
Atlanta Braves,3284897.0,40554.0,1999
Baltimore Orioles,3433150.0,42385.0,1999
Boston Red Sox,2446162.0,30200.0,1999
Chicago Cubs,2813854.0,34739.0,1999
Chicago White Sox,1338851.0,16529.0,1999
Cincinnati Reds,2061222.0,25137.0,1999
Cleveland Guardians,3468456.0,42820.0,1999
Colorado Rockies,3481065.0,42976.0,1999
Detroit Tigers,2026441.0,25018.0,1999
Miami Marlins,1369421.0,17118.0,1999
Houston Astros,2706017.0,33000.0,1999
Kansas City Royals,1506068.0,18826.0,1999
Los Angeles Dodgers,3095346.0,38214.0,1999
Milwaukee Brewers,1701796.0,21272.0,1999
Minnesota Twins,1202829.0,14850.0,1999
Montreal Expos,773277.0,9547.0,1999
New York Mets,2725668.0,33650.0,1999
New York Yankees,3292736.0,40651.0,1999
Oakland Athletics,1434610.0,17711.0,1999
Philadelphia Phillies,1825337.0,22535.0,1999
Pittsburgh Pirates,1638023.0,20223.0,1999
San Diego Padres,2523538.0,31155.0,1999
Seattle Mariners,2916346.0,36004.0,1999
San Francisco Giants,2078399.0,25659.0,1999
St. Louis Cardinals,3225334.0,40317.0,1999
Tampa Bay Rays,1562827.0,19294.0,1999
Texas Rangers,2771469.0,34216.0,1999
Toronto Blue Jays,2163464.0,26709.0,1999
Los Angeles Angels,2066982.0,25518.0,2000
Arizona Diamondbacks,2942251.0,36324.0,2000
Atlanta Braves,3234304.0,39930.0,2000
Baltimore Orioles,3297031.0,40704.0,2000
Boston Red Sox,2585895.0,31925.0,2000
Chicago Cubs,2789511.0,34438.0,2000
Chicago White Sox,1947799.0,24047.0,2000
Cincinnati Reds,2577371.0,31431.0,2000
Cleveland Guardians,3456278.0,42670.0,2000
Colorado Rockies,3295129.0,40681.0,2000
Detroit Tigers,2438617.0,30106.0,2000
Miami Marlins,1218326.0,15041.0,2000
Houston Astros,3056139.0,37730.0,2000
Kansas City Royals,1564847.0,19319.0,2000
Los Angeles Dodgers,2880242.0,35559.0,2000
Milwaukee Brewers,1573621.0,19427.0,2000
Minnesota Twins,1000760.0,12355.0,2000
Montreal Expos,926272.0,11435.0,2000
New York Mets,2820530.0,34821.0,2000
New York Yankees,3055435.0,38193.0,2000
Oakland Athletics,1603744.0,19799.0,2000
Philadelphia Phillies,1612769.0,19911.0,2000
Pittsburgh Pirates,1748908.0,21591.0,2000
San Diego Padres,2352443.0,29043.0,2000
Seattle Mariners,2914624.0,35983.0,2000
San Francisco Giants,3318800.0,40973.0,2000
St. Louis Cardinals,3336493.0,41191.0,2000
Tampa Bay Rays,1449673.0,18121.0,2000
Texas Rangers,2588401.0,31956.0,2000
Toronto Blue Jays,1705712.0,21058.0,2000
Los Angeles Angels,2000919.0,24703.0,2001
Arizona Diamondbacks,2736451.0,33783.0,2001
Atlanta Braves,2823530.0,34858.0,2001
Baltimore Orioles,3094841.0,38686.0,2001
Boston Red Sox,2625333.0,32412.0,2001
Chicago Cubs,2779465.0,34314.0,2001
Chicago White Sox,1766172.0,21805.0,2001
Cincinnati Reds,1879757.0,23207.0,2001
Cleveland Guardians,3175523.0,39694.0,2001
Colorado Rockies,3166821.0,39097.0,2001
Detroit Tigers,1921305.0,23720.0,2001
Miami Marlins,1261226.0,15765.0,2001
Houston Astros,2904277.0,35855.0,2001
Kansas City Royals,1536371.0,18968.0,2001
Los Angeles Dodgers,3017143.0,37249.0,2001
Milwaukee Brewers,2811041.0,34704.0,2001
Minnesota Twins,1782929.0,22011.0,2001
Montreal Expos,642745.0,7935.0,2001
New York Mets,2658330.0,32819.0,2001
New York Yankees,3264907.0,40811.0,2001
Oakland Athletics,2133277.0,26337.0,2001
Philadelphia Phillies,1782054.0,22001.0,2001
Pittsburgh Pirates,2464870.0,30430.0,2001
San Diego Padres,2378128.0,29360.0,2001
Seattle Mariners,3507326.0,43300.0,2001
San Francisco Giants,3311958.0,40888.0,2001
St. Louis Cardinals,3109578.0,37922.0,2001
Tampa Bay Rays,1298365.0,16029.0,2001
Texas Rangers,2831021.0,34525.0,2001
Toronto Blue Jays,1915438.0,23359.0,2001
Los Angeles Angels,2305547.0,28464.0,2002
Arizona Diamondbacks,3198977.0,39494.0,2002
Atlanta Braves,2603484.0,32142.0,2002
Baltimore Orioles,2682439.0,33117.0,2002
Boston Red Sox,2650862.0,32727.0,2002
Chicago Cubs,2693096.0,33248.0,2002
Chicago White Sox,1676911.0,20703.0,2002
Cincinnati Reds,1855787.0,22911.0,2002
Cleveland Guardians,2616940.0,32308.0,2002
Colorado Rockies,2737838.0,33800.0,2002
Detroit Tigers,1503623.0,18795.0,2002
Miami Marlins,813118.0,10038.0,2002
Houston Astros,2517357.0,31078.0,2002
Kansas City Royals,1323036.0,16334.0,2002
Los Angeles Dodgers,3131255.0,38657.0,2002
Milwaukee Brewers,1969153.0,24311.0,2002
Minnesota Twins,1924473.0,23759.0,2002
Montreal Expos,812045.0,10025.0,2002
New York Mets,2804838.0,34628.0,2002
New York Yankees,3465807.0,43323.0,2002
Oakland Athletics,2169811.0,26788.0,2002
Philadelphia Phillies,1618467.0,20231.0,2002
Pittsburgh Pirates,1784988.0,22312.0,2002
San Diego Padres,2220601.0,27415.0,2002
Seattle Mariners,3542938.0,43740.0,2002
San Francisco Giants,3253203.0,40163.0,2002
St. Louis Cardinals,3011756.0,37182.0,2002
Tampa Bay Rays,1065742.0,13157.0,2002
Texas Rangers,2352397.0,29042.0,2002
Toronto Blue Jays,1637900.0,20221.0,2002
Los Angeles Angels,3061094.0,37330.0,2003
Arizona Diamondbacks,2805542.0,34636.0,2003
Atlanta Braves,2401084.0,29643.0,2003
Baltimore Orioles,2454523.0,30303.0,2003
Boston Red Sox,2724165.0,33632.0,2003
Chicago Cubs,2962630.0,36576.0,2003
Chicago White Sox,1939524.0,23945.0,2003
Cincinnati Reds,2355259.0,29077.0,2003
Cleveland Guardians,1730002.0,21358.0,2003
Colorado Rockies,2334085.0,28816.0,2003
Detroit Tigers,1368245.0,16892.0,2003
Miami Marlins,1303215.0,16089.0,2003
Houston Astros,2454241.0,30299.0,2003
Kansas City Royals,1779895.0,22249.0,2003
Los Angeles Dodgers,3138626.0,38748.0,2003
Milwaukee Brewers,1700354.0,20992.0,2003
Minnesota Twins,1946011.0,24025.0,2003
Montreal Expos,1025639.0,12662.0,2003
New York Mets,2140599.0,26757.0,2003
New York Yankees,3465600.0,42263.0,2003
Oakland Athletics,2216596.0,27365.0,2003
Philadelphia Phillies,2259948.0,27901.0,2003
Pittsburgh Pirates,1636751.0,20207.0,2003
San Diego Padres,2030084.0,25063.0,2003
Seattle Mariners,3268509.0,40352.0,2003
San Francisco Giants,3264898.0,40307.0,2003
St. Louis Cardinals,2910386.0,35931.0,2003
Tampa Bay Rays,1058695.0,13070.0,2003
Texas Rangers,2094394.0,25857.0,2003
Toronto Blue Jays,1799458.0,22216.0,2003
Los Angeles Angels,3375677.0,41675.0,2004
Arizona Diamondbacks,2519560.0,31106.0,2004
Atlanta Braves,2327565.0,28735.0,2004
Baltimore Orioles,2744018.0,33877.0,2004
Boston Red Sox,2837294.0,35028.0,2004
Chicago Cubs,3170154.0,38660.0,2004
Chicago White Sox,1930537.0,23834.0,2004
Cincinnati Reds,2287250.0,28238.0,2004
Cleveland Guardians,1814401.0,22400.0,2004
Colorado Rockies,2338069.0,28865.0,2004
Detroit Tigers,1917004.0,23667.0,2004
Miami Marlins,1723105.0,21539.0,2004
Houston Astros,3087872.0,38122.0,2004
Kansas City Royals,1661478.0,20768.0,2004
Los Angeles Dodgers,3488283.0,43065.0,2004
Milwaukee Brewers,2062382.0,25462.0,2004
Minnesota Twins,1911490.0,23599.0,2004
Montreal Expos,749550.0,9369.0,2004
New York Mets,2318951.0,28629.0,2004
New York Yankees,3775292.0,46609.0,2004
Oakland Athletics,2201516.0,27179.0,2004
Philadelphia Phillies,3250092.0,40125.0,2004
Pittsburgh Pirates,1580031.0,19750.0,2004
San Diego Padres,3016752.0,37244.0,2004
Seattle Mariners,2940731.0,35863.0,2004
San Francisco Giants,3256854.0,39718.0,2004
St. Louis Cardinals,3048427.0,37635.0,2004
Tampa Bay Rays,1274911.0,15936.0,2004
Texas Rangers,2513685.0,31033.0,2004
Toronto Blue Jays,1900041.0,23457.0,2004
Arizona Diamondbacks,2059424.0,25425.0,2005
Atlanta Braves,2521167.0,31126.0,2005
Baltimore Orioles,2624740.0,32404.0,2005
Boston Red Sox,2847888.0,35159.0,2005
Chicago Cubs,3099992.0,38272.0,2005
Chicago White Sox,2342833.0,28924.0,2005
Cincinnati Reds,1943067.0,23696.0,2005
Cleveland Guardians,2013763.0,24861.0,2005
Colorado Rockies,1914389.0,23634.0,2005
Detroit Tigers,2024431.0,24993.0,2005
Miami Marlins,1852608.0,22872.0,2005
Houston Astros,2804760.0,34627.0,2005
Kansas City Royals,1371181.0,16928.0,2005
Los Angeles Angels,3404686.0,42033.0,2005
Los Angeles Dodgers,3603646.0,44489.0,2005
Milwaukee Brewers,2211023.0,27297.0,2005
Minnesota Twins,2034243.0,25114.0,2005
New York Mets,2829929.0,34937.0,2005
New York Yankees,4090696.0,50502.0,2005
Oakland Athletics,2109118.0,26038.0,2005
Philadelphia Phillies,2665304.0,32905.0,2005
Pittsburgh Pirates,1817245.0,22435.0,2005
San Diego Padres,2869787.0,35429.0,2005
Seattle Mariners,2725459.0,33648.0,2005
San Francisco Giants,3181023.0,39272.0,2005
St. Louis Cardinals,3538988.0,43691.0,2005
Tampa Bay Rays,1141669.0,14095.0,2005
Texas Rangers,2525221.0,31176.0,2005
Toronto Blue Jays,2014995.0,24876.0,2005
Washington Nationals,2731993.0,33728.0,2005
Arizona Diamondbacks,2091685.0,25823.0,2006
Atlanta Braves,2550524.0,31488.0,2006
Baltimore Orioles,2153139.0,26582.0,2006
Boston Red Sox,2930588.0,36180.0,2006
Chicago Cubs,3123215.0,38558.0,2006
Chicago White Sox,2957414.0,36511.0,2006
Cincinnati Reds,2134607.0,26353.0,2006
Cleveland Guardians,1997995.0,24667.0,2006
Colorado Rockies,2104362.0,25980.0,2006
Detroit Tigers,2595937.0,32049.0,2006
Miami Marlins,1164134.0,14372.0,2006
Houston Astros,3022763.0,37318.0,2006
Kansas City Royals,1372638.0,16946.0,2006
Los Angeles Angels,3406790.0,42059.0,2006
Los Angeles Dodgers,3758545.0,46402.0,2006
Milwaukee Brewers,2335643.0,28835.0,2006
Minnesota Twins,2285018.0,28210.0,2006
New York Mets,3379535.0,41723.0,2006
New York Yankees,4248067.0,52445.0,2006
Oakland Athletics,1976625.0,24403.0,2006
Philadelphia Phillies,2701815.0,33356.0,2006
Pittsburgh Pirates,1861549.0,22982.0,2006
San Diego Padres,2659757.0,32837.0,2006
Seattle Mariners,2481165.0,30632.0,2006
San Francisco Giants,3130313.0,38646.0,2006
St. Louis Cardinals,3407104.0,42589.0,2006
Tampa Bay Rays,1368950.0,16901.0,2006
Texas Rangers,2388757.0,29491.0,2006
Toronto Blue Jays,2302212.0,28422.0,2006
Washington Nationals,2153056.0,26581.0,2006
Arizona Diamondbacks,2325249.0,28707.0,2007
Atlanta Braves,2745207.0,33891.0,2007
Baltimore Orioles,2164822.0,26726.0,2007
Boston Red Sox,2970755.0,36676.0,2007
Chicago Cubs,3252462.0,40154.0,2007
Chicago White Sox,2684395.0,33141.0,2007
Cincinnati Reds,2058593.0,25415.0,2007
Cleveland Guardians,2275912.0,28449.0,2007
Colorado Rockies,2376250.0,28979.0,2007
Detroit Tigers,3047133.0,37619.0,2007
Miami Marlins,1370511.0,16920.0,2007
Houston Astros,3020405.0,37289.0,2007
Kansas City Royals,1616867.0,19961.0,2007
Los Angeles Angels,3365632.0,41551.0,2007
Los Angeles Dodgers,3857036.0,47618.0,2007
Milwaukee Brewers,2869144.0,35422.0,2007
Minnesota Twins,2296383.0,28350.0,2007
New York Mets,3853955.0,47580.0,2007
New York Yankees,4271083.0,52729.0,2007
Oakland Athletics,1921844.0,23726.0,2007
Philadelphia Phillies,3108325.0,38374.0,2007
Pittsburgh Pirates,1749142.0,21594.0,2007
San Diego Padres,2790074.0,34445.0,2007
Seattle Mariners,2672223.0,32588.0,2007
San Francisco Giants,3223215.0,39793.0,2007
St. Louis Cardinals,3552180.0,43854.0,2007
Tampa Bay Rays,1387603.0,17131.0,2007
Texas Rangers,2353862.0,29060.0,2007
Toronto Blue Jays,2360644.0,29144.0,2007
Washington Nationals,1943812.0,23998.0,2007
Arizona Diamondbacks,2509924.0,30987.0,2008
Atlanta Braves,2532834.0,31270.0,2008
Baltimore Orioles,1950075.0,24376.0,2008
Boston Red Sox,3048250.0,37633.0,2008
Chicago Cubs,3300200.0,40743.0,2008
Chicago White Sox,2500648.0,30496.0,2008
Cincinnati Reds,2058632.0,25415.0,2008
Cleveland Guardians,2169760.0,26787.0,2008
Colorado Rockies,2650218.0,32719.0,2008
Detroit Tigers,3202645.0,39539.0,2008
Miami Marlins,1335076.0,16482.0,2008
Houston Astros,2779487.0,34744.0,2008
Kansas City Royals,1578922.0,19493.0,2008
Los Angeles Angels,3336747.0,41194.0,2008
Los Angeles Dodgers,3730553.0,46056.0,2008
Milwaukee Brewers,3068458.0,37882.0,2008
Minnesota Twins,2302431.0,28425.0,2008
New York Mets,4042045.0,49902.0,2008
New York Yankees,4298655.0,53070.0,2008
Oakland Athletics,1665256.0,20559.0,2008
Philadelphia Phillies,3422583.0,42254.0,2008
Pittsburgh Pirates,1609076.0,19865.0,2008
San Diego Padres,2427535.0,29970.0,2008
Seattle Mariners,2329702.0,28762.0,2008
San Francisco Giants,2863837.0,35356.0,2008
St. Louis Cardinals,3432917.0,42382.0,2008
Tampa Bay Rays,1811986.0,22370.0,2008
Texas Rangers,1945677.0,24021.0,2008
Toronto Blue Jays,2399786.0,29627.0,2008
Washington Nationals,2320400.0,29005.0,2008
Arizona Diamondbacks,2128765.0,26281.0,2009
Atlanta Braves,2373631.0,29304.0,2009
Baltimore Orioles,1907163.0,23545.0,2009
Boston Red Sox,3062699.0,37811.0,2009
Chicago Cubs,3168859.0,39611.0,2009
Chicago White Sox,2284163.0,28200.0,2009
Cincinnati Reds,1747919.0,21579.0,2009
Cleveland Guardians,1766242.0,21805.0,2009
Colorado Rockies,2665080.0,32902.0,2009
Detroit Tigers,2567165.0,31693.0,2009
Miami Marlins,1464109.0,18075.0,2009
Houston Astros,2521076.0,31124.0,2009
Kansas City Royals,1797891.0,22196.0,2009
Los Angeles Angels,3240386.0,40005.0,2009
Los Angeles Dodgers,3761655.0,46440.0,2009
Milwaukee Brewers,3037451.0,37499.0,2009
Minnesota Twins,2416237.0,29466.0,2009
New York Mets,3168571.0,39118.0,2009
New York Yankees,3719358.0,45918.0,2009
Oakland Athletics,1408783.0,17392.0,2009
Philadelphia Phillies,3600693.0,44453.0,2009
Pittsburgh Pirates,1577853.0,19480.0,2009
San Diego Padres,1919603.0,23699.0,2009
Seattle Mariners,2195533.0,27105.0,2009
San Francisco Giants,2862110.0,35335.0,2009
St. Louis Cardinals,3343252.0,41275.0,2009
Tampa Bay Rays,1874962.0,23148.0,2009
Texas Rangers,2156016.0,26617.0,2009
Toronto Blue Jays,1876129.0,23162.0,2009
Washington Nationals,1817226.0,22435.0,2009
Arizona Diamondbacks,2056697.0,25391.0,2010
Atlanta Braves,2510119.0,30989.0,2010
Baltimore Orioles,1733019.0,21395.0,2010
Boston Red Sox,3046445.0,37610.0,2010
Chicago Cubs,3062973.0,37814.0,2010
Chicago White Sox,2194378.0,27091.0,2010
Cincinnati Reds,2060550.0,25439.0,2010
Cleveland Guardians,1391644.0,17181.0,2010
Colorado Rockies,2875245.0,35497.0,2010
Detroit Tigers,2461237.0,30386.0,2010
Miami Marlins,1524894.0,18826.0,2010
Houston Astros,2331490.0,28784.0,2010
Kansas City Royals,1615327.0,19942.0,2010
Los Angeles Angels,3250814.0,40134.0,2010
Los Angeles Dodgers,3562320.0,43979.0,2010
Milwaukee Brewers,2776531.0,34278.0,2010
Minnesota Twins,3223640.0,39798.0,2010
New York Mets,2559738.0,31602.0,2010
New York Yankees,3765807.0,46491.0,2010
Oakland Athletics,1418391.0,17511.0,2010
Philadelphia Phillies,3777322.0,44968.0,2010
Pittsburgh Pirates,1613399.0,19919.0,2010
San Diego Padres,2131774.0,26318.0,2010
Seattle Mariners,2085630.0,25749.0,2010
San Francisco Giants,3037443.0,37499.0,2010
St. Louis Cardinals,3301218.0,40756.0,2010
Tampa Bay Rays,1864999.0,23025.0,2010
Texas Rangers,2505171.0,30928.0,2010
Toronto Blue Jays,1495482.0,19173.0,2010
Washington Nationals,1828066.0,22569.0,2010
Arizona Diamondbacks,2105432.0,25993.0,2011
Atlanta Braves,2372940.0,29296.0,2011
Baltimore Orioles,1755461.0,21672.0,2011
Boston Red Sox,3054001.0,37704.0,2011
Chicago Cubs,3017966.0,37259.0,2011
Chicago White Sox,2001117.0,24705.0,2011
Cincinnati Reds,2213588.0,27328.0,2011
Cleveland Guardians,1840835.0,22726.0,2011
Colorado Rockies,2909777.0,35923.0,2011
Detroit Tigers,2642045.0,32618.0,2011
Miami Marlins,1520562.0,18772.0,2011
Houston Astros,2067016.0,25519.0,2011
Kansas City Royals,1724450.0,21290.0,2011
Los Angeles Angels,3166321.0,39090.0,2011
Los Angeles Dodgers,2935139.0,36236.0,2011
Milwaukee Brewers,3071373.0,37918.0,2011
Minnesota Twins,3168116.0,39113.0,2011
New York Mets,2352596.0,29044.0,2011
New York Yankees,3653680.0,45107.0,2011
Oakland Athletics,1476791.0,18232.0,2011
Philadelphia Phillies,3680718.0,45441.0,2011
Pittsburgh Pirates,1940429.0,23956.0,2011
San Diego Padres,2143018.0,26457.0,2011
Seattle Mariners,1896321.0,23411.0,2011
San Francisco Giants,3387303.0,41819.0,2011
St. Louis Cardinals,3093954.0,38197.0,2011
Tampa Bay Rays,1529188.0,18879.0,2011
Texas Rangers,2946949.0,36382.0,2011
Toronto Blue Jays,1818103.0,22446.0,2011
Washington Nationals,1940478.0,24256.0,2011
Arizona Diamondbacks,2177617.0,26884.0,2012
Atlanta Braves,2420171.0,29879.0,2012
Baltimore Orioles,2102240.0,25954.0,2012
Boston Red Sox,3043003.0,37568.0,2012
Chicago Cubs,2882756.0,35590.0,2012
Chicago White Sox,1965955.0,24271.0,2012
Cincinnati Reds,2347251.0,28978.0,2012
Cleveland Guardians,1603596.0,19797.0,2012
Colorado Rockies,2630458.0,32475.0,2012
Detroit Tigers,3028033.0,37383.0,2012
Houston Astros,1607733.0,19849.0,2012
Kansas City Royals,1739859.0,21480.0,2012
Los Angeles Angels,3061770.0,37800.0,2012
Los Angeles Dodgers,3324246.0,41040.0,2012
Miami Marlins,2219444.0,27401.0,2012
Milwaukee Brewers,2831385.0,34955.0,2012
Minnesota Twins,2776354.0,34276.0,2012
New York Mets,2242803.0,27689.0,2012
New York Yankees,3542406.0,43733.0,2012
Oakland Athletics,1679013.0,20729.0,2012
Philadelphia Phillies,3565718.0,44021.0,2012
Pittsburgh Pirates,2091918.0,25826.0,2012
San Diego Padres,2123721.0,26219.0,2012
Seattle Mariners,1721920.0,21258.0,2012
San Francisco Giants,3377371.0,41696.0,2012
St. Louis Cardinals,3262109.0,40273.0,2012
Tampa Bay Rays,1559681.0,19255.0,2012
Texas Rangers,3460280.0,42720.0,2012
Toronto Blue Jays,2099663.0,25922.0,2012
Washington Nationals,2370794.0,29269.0,2012
Arizona Diamondbacks,2134895.0,26357.0,2013
Atlanta Braves,2548679.0,31465.0,2013
Baltimore Orioles,2357561.0,29106.0,2013
Boston Red Sox,2833333.0,34979.0,2013
Chicago Cubs,2642682.0,32626.0,2013
Chicago White Sox,1768413.0,21832.0,2013
Cincinnati Reds,2492101.0,31151.0,2013
Cleveland Guardians,1572926.0,19419.0,2013
Colorado Rockies,2793828.0,34492.0,2013
Detroit Tigers,3083397.0,38067.0,2013
Houston Astros,1651883.0,20394.0,2013
Kansas City Royals,1750754.0,21614.0,2013
Los Angeles Angels,3019505.0,37278.0,2013
Los Angeles Dodgers,3743527.0,46216.0,2013
Miami Marlins,1586322.0,19584.0,2013
Milwaukee Brewers,2531105.0,31248.0,2013
Minnesota Twins,2477644.0,30588.0,2013
New York Mets,2135657.0,26366.0,2013
New York Yankees,3279589.0,40489.0,2013
Oakland Athletics,1809302.0,22337.0,2013
Philadelphia Phillies,3012403.0,37190.0,2013
Pittsburgh Pirates,2256862.0,27862.0,2013
San Diego Padres,2166691.0,26749.0,2013
Seattle Mariners,1761546.0,21747.0,2013
San Francisco Giants,3369106.0,41087.0,2013
St. Louis Cardinals,3369769.0,41602.0,2013
Tampa Bay Rays,1510300.0,18646.0,2013
Texas Rangers,3178273.0,38759.0,2013
Toronto Blue Jays,2536562.0,31316.0,2013
Washington Nationals,2652422.0,32746.0,2013
Arizona Diamondbacks,2073730.0,25602.0,2014
Atlanta Braves,2354305.0,29065.0,2014
Baltimore Orioles,2464473.0,30426.0,2014
Boston Red Sox,2956089.0,36495.0,2014
Chicago Cubs,2652113.0,32742.0,2014
Chicago White Sox,1650821.0,20381.0,2014
Cincinnati Reds,2476664.0,30576.0,2014
Cleveland Guardians,1437393.0,17746.0,2014
Colorado Rockies,2680329.0,33090.0,2014
Detroit Tigers,2917209.0,36015.0,2014
Houston Astros,1751829.0,21628.0,2014
Kansas City Royals,1956482.0,24154.0,2014
Los Angeles Angels,3095935.0,38221.0,2014
Los Angeles Dodgers,3782337.0,46696.0,2014
Miami Marlins,1732283.0,21386.0,2014
Milwaukee Brewers,2797384.0,34536.0,2014
Minnesota Twins,2250606.0,27785.0,2014
New York Mets,2148808.0,26528.0,2014
New York Yankees,3401624.0,41995.0,2014
Oakland Athletics,2003628.0,24736.0,2014
Philadelphia Phillies,2423852.0,29924.0,2014
Pittsburgh Pirates,2442564.0,30155.0,2014
San Diego Padres,2195373.0,27103.0,2014
Seattle Mariners,2064334.0,25486.0,2014
San Francisco Giants,3368697.0,41589.0,2014
St. Louis Cardinals,3540649.0,43712.0,2014
Tampa Bay Rays,1446464.0,17858.0,2014
Texas Rangers,2718733.0,33565.0,2014
Toronto Blue Jays,2375525.0,29327.0,2014
Washington Nationals,2579389.0,31844.0,2014
Arizona Diamondbacks,2080145.0,25681.0,2015
Atlanta Braves,2001392.0,24709.0,2015
Baltimore Orioles,2281202.0,29246.0,2015
Boston Red Sox,2880694.0,35564.0,2015
Chicago Cubs,2919122.0,36039.0,2015
Chicago White Sox,1755810.0,21677.0,2015
Cincinnati Reds,2419506.0,29870.0,2015
Cleveland Guardians,1388905.0,17361.0,2015
Colorado Rockies,2506789.0,30948.0,2015
Detroit Tigers,2726048.0,33655.0,2015
Houston Astros,2153585.0,26587.0,2015
Kansas City Royals,2708549.0,33439.0,2015
Los Angeles Angels,3012765.0,37195.0,2015
Los Angeles Dodgers,3764815.0,46479.0,2015
Miami Marlins,1752235.0,21633.0,2015
Milwaukee Brewers,2542558.0,31390.0,2015
Minnesota Twins,2220054.0,27408.0,2015
New York Mets,2569753.0,31725.0,2015
New York Yankees,3193795.0,39430.0,2015
Oakland Athletics,1768175.0,21829.0,2015
Philadelphia Phillies,1831080.0,22606.0,2015
Pittsburgh Pirates,2498596.0,30847.0,2015
San Diego Padres,2459752.0,30367.0,2015
Seattle Mariners,2193581.0,27081.0,2015
San Francisco Giants,3375882.0,41678.0,2015
St. Louis Cardinals,3520889.0,43468.0,2015
Tampa Bay Rays,1287054.0,15322.0,2015
Texas Rangers,2491875.0,30764.0,2015
Toronto Blue Jays,2794891.0,34505.0,2015
Washington Nationals,2619843.0,32344.0,2015
Arizona Diamondbacks,2036216.0,25138.0,2016
Atlanta Braves,2020914.0,24950.0,2016
Baltimore Orioles,2172344.0,26819.0,2016
Boston Red Sox,2955434.0,36487.0,2016
Chicago Cubs,3232420.0,39906.0,2016
Chicago White Sox,1746293.0,21559.0,2016
Cincinnati Reds,1894085.0,23384.0,2016
Cleveland Guardians,1591667.0,19650.0,2016
Colorado Rockies,2602524.0,32130.0,2016
Detroit Tigers,2493859.0,31173.0,2016
Houston Astros,2306623.0,28477.0,2016
Kansas City Royals,2557712.0,31577.0,2016
Los Angeles Angels,3016142.0,37236.0,2016
Los Angeles Dodgers,3703312.0,45720.0,2016
Miami Marlins,1712417.0,21405.0,2016
Milwaukee Brewers,2314614.0,28575.0,2016
Minnesota Twins,1963912.0,24246.0,2016
New York Mets,2789602.0,34440.0,2016
New York Yankees,3063405.0,37820.0,2016
Oakland Athletics,1521506.0,18784.0,2016
Philadelphia Phillies,1915144.0,23644.0,2016
Pittsburgh Pirates,2249201.0,27768.0,2016
San Diego Padres,2351422.0,29030.0,2016
Seattle Mariners,2267928.0,27999.0,2016
San Francisco Giants,3365256.0,41546.0,2016
St. Louis Cardinals,3444490.0,42525.0,2016
Tampa Bay Rays,1286163.0,15879.0,2016
Texas Rangers,2710402.0,33462.0,2016
Toronto Blue Jays,3392099.0,41878.0,2016
Washington Nationals,2481938.0,30641.0,2016
Arizona Diamondbacks,2134375.0,26350.0,2017
Atlanta Braves,2505252.0,30929.0,2017
Baltimore Orioles,2028424.0,25042.0,2017
Boston Red Sox,2917678.0,36021.0,2017
Chicago Cubs,3199562.0,39501.0,2017
Chicago White Sox,1629470.0,20117.0,2017
Cincinnati Reds,1836917.0,22678.0,2017
Cleveland Guardians,2048138.0,25286.0,2017
Colorado Rockies,2953650.0,36465.0,2017
Detroit Tigers,2321599.0,28662.0,2017
Houston Astros,2403671.0,29675.0,2017
Kansas City Royals,2220370.0,27412.0,2017
Los Angeles Angels,3019585.0,37279.0,2017
Los Angeles Dodgers,3765856.0,46492.0,2017
Miami Marlins,1583014.0,20295.0,2017
Milwaukee Brewers,2627705.0,31282.0,2017
Minnesota Twins,2051279.0,25324.0,2017
New York Mets,2460622.0,30378.0,2017
New York Yankees,3154938.0,38950.0,2017
Oakland Athletics,1475721.0,18219.0,2017
Philadelphia Phillies,1905354.0,23523.0,2017
Pittsburgh Pirates,1919447.0,23697.0,2017
San Diego Padres,2138491.0,26401.0,2017
Seattle Mariners,2135445.0,26364.0,2017
San Francisco Giants,3303652.0,40786.0,2017
St. Louis Cardinals,3448337.0,42572.0,2017
Tampa Bay Rays,1253619.0,15477.0,2017
Texas Rangers,2507760.0,30960.0,2017
Toronto Blue Jays,3203886.0,39554.0,2017
Washington Nationals,2524980.0,31173.0,2017
Arizona Diamondbacks,2242695.0,27688.0,2018
Atlanta Braves,2555781.0,31553.0,2018
Baltimore Orioles,1564192.0,19311.0,2018
Boston Red Sox,2895575.0,35748.0,2018
Chicago Cubs,3181089.0,38794.0,2018
Chicago White Sox,1608817.0,19862.0,2018
Cincinnati Reds,1629356.0,20116.0,2018
Cleveland Guardians,1926701.0,23786.0,2018
Colorado Rockies,3015880.0,37233.0,2018
Detroit Tigers,1856970.0,22926.0,2018
Houston Astros,2980549.0,36797.0,2018
Kansas City Royals,1665107.0,20557.0,2018
Los Angeles Angels,3020216.0,37287.0,2018
Los Angeles Dodgers,3857500.0,47043.0,2018
Miami Marlins,811104.0,10014.0,2018
Milwaukee Brewers,2850875.0,35196.0,2018
Minnesota Twins,1959197.0,24188.0,2018
New York Mets,2224995.0,27469.0,2018
New York Yankees,3482855.0,42998.0,2018
Oakland Athletics,1573616.0,19427.0,2018
