city,street,state,zip,country,latitude,longitude
Houston,2767 Gessner Drive,TX,77080,US,29.82189906781724,-95.54558002938944
Paducah,2800 Lone Oak Road,KY,42003,US,37.04055915379214,-88.65992723839139
Oakland,2800 Telegraph Avenue,CA,94609,US,37.81717319412984,-122.26735151595591
Los Angeles,2801 North Broadway,CA,90031,US,34.073865064277825,-118.21290667717756
Greeley,2804 West 10th Avenue,CO,80634,US,40.42251925825299,-104.7259724779272
Pickens,2809 Gentry Memorial Highway,SC,29671,US,34.872904634712285,-82.69488456009026
Mobile,2850 Springhill Ave,AL,36607,US,30.699145706964767,-88.10862758642736
Rochester,2851 West Henrietta Road,NY,14623,US,43.0947628102237,-77.63329531522368
Hemet,2890 West Florida Avenue,CA,92545,US,33.747648181663365,-117.00201730705089
Phoenix,2902 N 7th Ave,AZ,85013,US,33.4806254,-112.0834322
Long Beach,2970 Bellflower Boulevard,CA,90815,US,33.8098190912731,-118.12350944768394
Laguna Niguel,30071 Alicia Parkway,CA,92677,US,33.52624353456206,-117.71734474560856
Tucson,2980 W Ina Rd,AZ,85741,US,32.33781653151887,-111.0318824089033
Tallahassee,3008 Apalachee Parkway,FL,32301,US,30.427784284229563,-84.22733335276126
Napa,295 Soscol Ave,CA,94559,US,38.284763064591885,-122.27521791931935
Elizabethtown,301 S. Poplar Street,NC,28337,US,34.62586689296734,-78.60646641410352
Bakersfield,3011 Brundage Ln,CA,93304,US,35.35381110320388,-119.03808121379677
Susanville,3010 Riverside Drive,CA,96130,US,40.40583169641484,-120.63153218646727
Saratoga Springs,3010 Route 50,NY,12866,US,43.099540198448935,-73.74922230303486
Nashville,3035 Dickerson Rd,TN,37207,US,36.22731614943285,-86.75917389600579
Paris,304 Letton Drive,KY,40361,US,38.196776534746725,-84.27510002084944
Fort Gratiot,3040 Kraft Road,MI,48059,US,43.02553782691568,-82.45764509468819
Piedmont,3100 Highway 153,SC,29673,US,34.778901470333075,-82.46876978711987
Colorado Springs,3101 W. Colorado Avenue,CO,80904,US,38.85305007205478,-104.87264138623084
Hildebran,311 Highway 70 East,NC,28637,US,35.71597821869595,-81.40821973615175
Marina,3134 Del Monte Ave,CA,93933,US,36.686031260764686,-121.8006221282244
Goodlettsville,314 Long Hollow Pike,TN,37072,US,36.32639407836426,-86.70104953436055
San Jose,3144 South Bascom Avenue,CA,95124,US,37.266667,-121.940225
Huntington,315 Washington Ave,WV,25701,US,38.417167007039275,-82.46142987163455
Jackson,3198 West Northside Drive,MS,39213,US,32.35645235702331,-90.23016408159731
San Diego,3195 Market Street,CA,92102,US,32.71143741260573,-117.12564320183509
