NAME,B01003_001E,B01003_001EA,B01003_001M,B01003_001MA,urban area
"Ridgeland, SC Urban Cluster (2010)",5282.0,,651.0,,74854
"Monticello, NY Urban Cluster (2010)",7530.0,,348.0,,58843
"Cedar Springs, MI Urban Cluster (2010)",3689.0,,48.0,,14779
"Crossville, TN Urban Cluster (2010)",17089.0,,755.0,,21394
"Madera, CA Urbanized Area (2010)",81655.0,,1147.0,,52984
"Preston, ID Urban Cluster (2010)",4242.0,,356.0,,72181
"Marion Oaks, FL Urban Cluster (2010)",16176.0,,1682.0,,54739
"Lake Mills, WI Urban Cluster (2010)",7014.0,,249.0,,46882
"Traverse City, MI Urban Cluster (2010)",49652.0,,848.0,,88300
"Marysville, KS Urban Cluster (2010)",2806.0,,129.0,,55279
"Pecan Acres, TX Urban Cluster (2010)",6467.0,,708.0,,68228
"Beebe, AR Urban Cluster (2010)",6784.0,,709.0,,06247
"Caruthersville, MO Urban Cluster (2010)",5509.0,,112.0,,14374
"El Reno, OK Urban Cluster (2010)",16769.0,,336.0,,27280
"Falfurrias, TX Urban Cluster (2010)",4610.0,,517.0,,29008
"Lawrenceville, VA Urban Cluster (2010)",4048.0,,390.0,,48367
"Farmerville, LA Urban Cluster (2010)",3699.0,,363.0,,29170
"Fort Payne, AL Urban Cluster (2010)",6424.0,,683.0,,30844
"Hagerstown, MD--WV--PA Urbanized Area (2010)",193316.0,,1842.0,,36190
"Medford, OR Urbanized Area (2010)",163464.0,,1395.0,,55981
"Barnesville, GA Urban Cluster (2010)",7191.0,,221.0,,05113
"Wisconsin Rapids, WI Urban Cluster (2010)",27954.0,,395.0,,96832
"Wadesboro, NC Urban Cluster (2010)",5286.0,,210.0,,91108
"Hollandale, MS Urban Cluster (2010)",2224.0,,250.0,,39457
"Mercer, PA Urban Cluster (2010)",3693.0,,230.0,,56278
"Mount Vernon, KY Urban Cluster (2010)",2760.0,,419.0,,60409
"Chaparral, NM Urban Cluster (2010)",12385.0,,1359.0,,15292
"Twentynine Palms Base, CA Urban Cluster (2010)",9492.0,,584.0,,89218
"Ellenville, NY Urban Cluster (2010)",6224.0,,346.0,,27010
"Lorain--Elyria, OH Urbanized Area (2010)",179208.0,,679.0,,51364
"Annandale, MN Urban Cluster (2010)",3352.0,,18.0,,02590
"Green River, WY Urban Cluster (2010)",12711.0,,292.0,,35083
"Punxsutawney, PA Urban Cluster (2010)",6154.0,,92.0,,72775
"Macon, MO Urban Cluster (2010)",4899.0,,247.0,,52876
