NAME,B01003_001E,B01003_001EA,B01003_001M,B01003_001MA,state,school district (elementary)
"Mesa Union Elementary School District, California",3887.0,,545.0,,06,24720
"Rincon Valley Union Elementary School District, California",40452.0,,1094.0,,06,32640
"Le Grand Union Elementary School District, California",2008.0,,208.0,,06,21240
"Meadows Union Elementary School District, California",2882.0,,533.0,,06,24390
"Winton School District, California",11722.0,,1033.0,,06,42960
"Shiloh Elementary School District, California",807.0,,193.0,,06,36660
"Fortuna Elementary School District, California",14141.0,,640.0,,06,01420
"Maple Creek Elementary School District, California",12.0,,11.0,,06,23730
"Mount Baldy Joint Elementary School District, California",290.0,,82.0,,06,26340
"Fruitvale Elementary School District, California",19772.0,,956.0,,06,14700
"Roseland School District, California",10883.0,,848.0,,06,33510
"Delano Union Elementary School District, California",54175.0,,671.0,,06,10890
"Las Lomitas Elementary School District, California",12606.0,,619.0,,06,22380
"Burton Elementary School District, California",18585.0,,1265.0,,06,06570
"Julian Union Elementary School District, California",2701.0,,445.0,,06,19140
"Newcastle Elementary School District, California",2677.0,,256.0,,06,27120
"Ballard Elementary School District, California",1321.0,,280.0,,06,03720
"Dixie Elementary School District, California",22127.0,,878.0,,06,11220
"Summerville Elementary School District, California",4111.0,,713.0,,06,38250
"Belmont-Redwood Shores Elementary School District, California",43428.0,,527.0,,06,04530
"Berryessa Union Elementary School District, California",85205.0,,1850.0,,06,04800
"Spreckels Union Elementary School District, California",5568.0,,609.0,,06,37710
"Saugus Union Elementary School District, California",107817.0,,1555.0,,06,35970
"Earlimart Elementary School District, California",10382.0,,789.0,,06,11760
"Delphic Elementary School District, California",151.0,,78.0,,06,10980
"Central Elementary School District, California",40459.0,,1796.0,,06,07950
"Kings River Union Elementary School District, California",3263.0,,405.0,,06,19740
"Moraga Elementary School District, California",17538.0,,90.0,,06,25740
"Anaheim Elementary School District, California",204522.0,,2441.0,,06,02610
"Norris Elementary School District, California",27890.0,,1504.0,,06,27450
"Hope Elementary School District (Santa Barbara County), California",15650.0,,967.0,,06,17490
"Los Nietos Elementary School District, California",15014.0,,958.0,,06,22890
"Terra Bella Union Elementary School District, California",5670.0,,641.0,,06,39060
"Winship Robbins Elementary School District, California",654.0,,122.0,,06,42900
"Bitterwater-Tully Union Elementary School District, California",165.0,,85.0,,06,05190
"Bass Lake Joint Union Elementary School District, California",12290.0,,932.0,,06,04080
"Westmorland Union Elementary School District, California",2937.0,,366.0,,06,42180
"Trinity Center Elementary School District, California",312.0,,90.0,,06,39750
"Alisal Union Elementary School District, California",58350.0,,1192.0,,06,01950
"Guadalupe Union Elementary School District, California",7350.0,,27.0,,06,16260
"Rescue Union Elementary School District, California",35516.0,,1118.0,,06,32310
"Hydesville Elementary School District, California",1124.0,,187.0,,06,18120
"North Cow Creek Elementary School District, California",1703.0,,233.0,,06,27510
"Burnt Ranch Elementary School District, California",712.0,,162.0,,06,06510
"Corning Union Elementary School District, California",14628.0,,986.0,,06,09780
"Westminster School District, California",84151.0,,1424.0,,06,42150
"Jefferson Elementary School District (San Mateo County), California",93028.0,,1173.0,,06,18870
"Santa Cruz City Elementary School District, California",66522.0,,485.0,,06,35590
"Franklin Elementary School District, California",2541.0,,309.0,,06,14340
"Stanislaus Union Elementary School District, California",31477.0,,1306.0,,06,37950
"Wright Elementary School District, California",19191.0,,1232.0,,06,43200
"Modesto City Elementary School District, California",116607.0,,2223.0,,06,25130
"Evergreen Elementary School District, California",105147.0,,1666.0,,06,13140
"Twin Hills Union Elementary School District, California",6588.0,,699.0,,06,40230
"Savanna Elementary School District, California",28963.0,,1645.0,,06,36030
"Solana Beach Elementary School District, California",39709.0,,1507.0,,06,36990
"Junction Elementary School District (Shasta County), California",3492.0,,487.0,,06,19200
"Sunnyvale Elementary School District, California",92008.0,,1400.0,,06,38460
"Pollock Pines Elementary School District, California",8064.0,,776.0,,06,31290
"Reeds Creek Elementary School District, California",1326.0,,217.0,,06,32250
"Horicon Elementary School District, California",1453.0,,223.0,,06,17580
"East Whittier City Elementary School District, California",75757.0,,1784.0,,06,11850
"Castaic Union School District, California",29602.0,,661.0,,06,07740
"Brentwood Union Elementary School District, California",63817.0,,837.0,,06,05910
"Buena Vista Elementary School District, California",333.0,,112.0,,06,06420
"Clear Creek Elementary School District, California",1813.0,,296.0,,06,08880
"Rio Bravo-Greeley Union Elementary School District, California",4331.0,,751.0,,06,32710
"Hornbrook Elementary School District, California",682.0,,101.0,,06,17620
"Alexander Valley Union School District, California",897.0,,165.0,,06,01890
"Fieldbrook Elementary School District, California",973.0,,152.0,,06,13740
"Graves Elementary School District, California",195.0,,117.0,,06,15870
"San Mateo-Foster City Elementary School District, California",139648.0,,390.0,,06,34920
"Caliente Union Elementary School District, California",798.0,,136.0,,06,06960
"Grass Valley Elementary School District, California",25559.0,,931.0,,06,15780
"Brittan Elementary School District, California",3558.0,,353.0,,06,06090
"Centralia Elementary School District, California",56205.0,,1892.0,,06,08070
"Moreland School District, California",49283.0,,1278.0,,06,25770
"Loleta Union Elementary School District, California",1233.0,,277.0,,06,22320
"Peninsula Union Elementary School District, California",447.0,,143.0,,06,30090
"Spencer Valley Elementary School District, California",467.0,,141.0,,06,37680
"Vallecitos Elementary School District, California",2206.0,,273.0,,06,40710
"Plainsburg Union Elementary School District, California",379.0,,97.0,,06,30810
"Galt Joint Union Elementary School District, California",31510.0,,899.0,,06,14790
"Sonora Elementary School District, California",9289.0,,767.0,,06,37230
"Oak Run Elementary School District, California",465.0,,134.0,,06,27870
"Atwater Elementary School District, California",34349.0,,768.0,,06,03420
"Liberty Elementary School District (Sonoma County), California",2341.0,,289.0,,06,21540
"Lowell Joint Elementary School District, California",35060.0,,1339.0,,06,23010
"Happy Valley Union Elementary School District, California",5481.0,,773.0,,06,16570
"Vallecito Union Elementary School District, California",8307.0,,767.0,,06,40680
"Loomis Union Elementary School District, California",23261.0,,1167.0,,06,22560
"Twin Ridges Elementary School District, California",2204.0,,411.0,,06,00012
"Placerville Union Elementary School District, California",15246.0,,635.0,,06,30780
"Alvina Elementary School District, California",582.0,,185.0,,06,02370
"Manzanita Elementary School District, California",1325.0,,315.0,,06,23700
"Orchard Elementary School District, California",19930.0,,1004.0,,06,28680
"Pioneer Union Elementary School District (Kings County), California",10681.0,,954.0,,06,30510
"Lucerne Elementary School District, California",3316.0,,549.0,,06,23040
"Mark West Union Elementary School District, California",13940.0,,960.0,,06,24000
"Alta-Dutch Flat Union Elementary School District, California",1555.0,,202.0,,06,02250
"Dry Creek Joint Elementary School District, California",55991.0,,1567.0,,06,11490
"Lost Hills Union Elementary School District, California",2081.0,,274.0,,06,22950
"Sequoia Union Elementary School District, California",1731.0,,284.0,,06,36360
"Snelling-Merced Falls Union Elementary School District, California",565.0,,152.0,,06,36960
"Washington Colony Elementary School District, California",2817.0,,340.0,,06,41460
"Roseville City Elementary School District, California",95785.0,,1166.0,,06,33600
"Perris Elementary School District, California",49237.0,,2040.0,,06,30180
"Wheatland Elementary School District, California",7496.0,,400.0,,06,42330
"Island Union Elementary School District, California",1573.0,,260.0,,06,18510
"Lemoore Union Elementary School District, California",28044.0,,456.0,,06,21360
"Panama-Buena Vista School District, California",128902.0,,2764.0,,06,06390
"Fallbrook Union Elementary School District, California",64507.0,,2272.0,,06,13500
"Buttonwillow Union Elementary School District, California",1879.0,,356.0,,06,06720
"Redwood City Elementary School District, California",102099.0,,1118.0,,06,32130
"Semitropic Elementary School District, California",198.0,,62.0,,06,36330
"French Gulch-Whiskeytown Elementary School District, California",510.0,,88.0,,06,14490
"Goleta Union Elementary School District, California",81113.0,,1304.0,,06,15510
"Meridian Elementary School District, California",702.0,,132.0,,06,24690
"Piner-Olivet Union Elementary School District, California",16414.0,,861.0,,06,30450
"Harmony Union School District, California",4624.0,,591.0,,06,16620
"Liberty Elementary School District (Tulare County), California",2435.0,,537.0,,06,21570
"Pioneer Union Elementary School District (Butte County), California",1279.0,,233.0,,06,30520
"Westside Elementary School District, California",1332.0,,236.0,,06,42210
"Santee School District, California",60254.0,,561.0,,06,35880
"Laguna Joint Elementary School District, California",431.0,,90.0,,06,20430
"Latrobe Elementary School District, California",3609.0,,442.0,,06,21180
"Pacific Union Elementary School District (Fresno County), California",3543.0,,504.0,,06,29400
"Oroville City Elementary School District, California",26287.0,,886.0,,06,29100
"Bonny Doon Union Elementary School District, California",3222.0,,358.0,,06,05640
"Lake Elementary School District, California",503.0,,141.0,,06,20610
"Garfield Elementary School District, California",365.0,,83.0,,06,14910
"Ross Elementary School District, California",2635.0,,235.0,,06,33660
"Union Hill Elementary School District, California",2658.0,,450.0,,06,40380
"Hickman Community Charter School District, California",1199.0,,189.0,,06,17160
"Fort Ross Elementary School District, California",654.0,,107.0,,06,14130
"Sulphur Springs Union Elementary School District, California",64480.0,,1241.0,,06,38220
"Lewiston Elementary School District, California",1807.0,,274.0,,06,21480
"Oakley Union Elementary School District, California",37326.0,,1110.0,,06,28080
"Kernville Union Elementary School District, California",10506.0,,1065.0,,06,19590
"Seeley Union Elementary School District, California",3070.0,,552.0,,06,36210
"Wilmar Union Elementary School District, California",3539.0,,424.0,,06,42750
"Outside Creek Elementary School District, California",948.0,,480.0,,06,29160
"Saratoga Union Elementary School District, California",20773.0,,770.0,,06,35910
"Chula Vista Elementary School District, California",307475.0,,2030.0,,06,08610
"Pacifica School District, California",38453.0,,245.0,,06,20460
"Woodville Elementary School District, California",2898.0,,383.0,,06,43170
"Merced City Elementary School District, California",89361.0,,1619.0,,06,24600
"Beardsley Elementary School District, California",16997.0,,1195.0,,06,04260
"Panoche Elementary School District, California",181.0,,74.0,,06,29770
"Bangor Union Elementary School District, California",954.0,,210.0,,06,03780
"Greenfield Union School District, California",53442.0,,2218.0,,06,16050
"Mountain Elementary School District, California",1287.0,,186.0,,06,26070
"Ocean View Elementary School District (Orange County), California",99104.0,,1433.0,,06,28140
"Richland Union School District, California",21121.0,,543.0,,06,21450
"Manchester Union Elementary School District, California",814.0,,210.0,,06,23550
"Springville Union Elementary School District, California",3316.0,,456.0,,06,37770
"Empire Union Elementary School District, California",25853.0,,1219.0,,06,12690
"Larkspur Elementary School District, California",13849.0,,558.0,,06,20910
"McCabe Union Elementary School District, California",6690.0,,876.0,,06,24180
"Flournoy Union Elementary School District, California",307.0,,98.0,,06,13860
"Jefferson Elementary School District (San Benito County), California",212.0,,58.0,,06,18810
"Forks of Salmon Elementary School District, California",166.0,,55.0,,06,14040
"Chowchilla Elementary School District, California",21826.0,,386.0,,06,08520
"Tulare City Elementary School District, California",63729.0,,604.0,,06,39870
"Twain Harte School District, California",5451.0,,777.0,,06,40200
"Bridgeville Elementary School District, California",490.0,,100.0,,06,06000
"Armona Union Elementary School District, California",6725.0,,819.0,,06,03180
"Big Creek Elementary School District, California",323.0,,90.0,,06,04860
"Indian Springs Elementary School District, California",162.0,,59.0,,06,18270
"Belridge Elementary School District, California",91.0,,46.0,,06,04560
"Gerber Union Elementary School District, California",3659.0,,513.0,,06,15090
"Tipton Elementary School District, California",4108.0,,450.0,,06,39300
"Weed Union Elementary School District, California",3860.0,,368.0,,06,41980
"Jamestown Elementary School District, California",7255.0,,646.0,,06,18690
"Willow Grove Union Elementary School District, California",254.0,,72.0,,06,42630
"Klamath River Union Elementary School District, California",475.0,,85.0,,06,19920
"Lincoln Elementary School District, California",275.0,,85.0,,06,21660
"Central Union Elementary School District, California",10381.0,,721.0,,06,07980
"Buckeye Union Elementary School District, California",39181.0,,1246.0,,06,06270
"Evergreen Union Elementary School District, California",9122.0,,772.0,,06,13170
"Burrel Union Elementary School District, California",409.0,,122.0,,06,06540
"Silver Fork Elementary School District, California",147.0,,60.0,,06,36810
"Bolinas-Stinson Union Elementary School District, California",1849.0,,275.0,,06,05520
"Mark Twain Union Elementary School District, California",9526.0,,616.0,,06,23970
"Millville Elementary School District, California",1445.0,,217.0,,06,24930
"Bellevue Union School District, California",26678.0,,1512.0,,06,04380
"El Monte City School District, California",85271.0,,2013.0,,06,12090
"Mission Union Elementary School District, California",331.0,,94.0,,06,25110
"Mill Valley Elementary School District, California",32317.0,,690.0,,06,24870
"Montague Elementary School District, California",2097.0,,235.0,,06,25380
"Fullerton Elementary School District, California",121100.0,,1219.0,,06,14730
"Jefferson Elementary School District (San Joaquin County), California",14416.0,,931.0,,06,18840
"Washington Union Elementary School District, California",6201.0,,492.0,,06,41610
"Grenada Elementary School District, California",1357.0,,233.0,,06,16110
"Hillsborough City Elementary School District, California",11439.0,,23.0,,06,17190
"Victor Elementary School District, California",100230.0,,2758.0,,06,41040
"Eureka Union Elementary School District, California",29005.0,,895.0,,06,13080
"North County Joint Union Elementary School District, California",3325.0,,389.0,,06,27480
"Petaluma City Elementary School District, California",32623.0,,1102.0,,06,30230
"Mount Pleasant Elementary School District, California",23676.0,,1042.0,,06,26400
"Etiwanda Elementary School District, California",98090.0,,2280.0,,06,12960
"Pomfret School District, Connecticut",4173.0,,15.0,,09,03360
"Andover School District, Connecticut",3223.0,,122.0,,09,00030
"Ashford School District, Connecticut",4234.0,,20.0,,09,00090
"Barkhamsted School District, Connecticut",3671.0,,22.0,,09,00150
"Bethany School District, Connecticut",5504.0,,17.0,,09,00240
"Bozrah School District, Connecticut",2567.0,,17.0,,09,00390
"Brooklyn School District, Connecticut",8243.0,,28.0,,09,00570
"Canaan School District, Connecticut",1196.0,,127.0,,09,00630
"Canterbury School District, Connecticut",5074.0,,22.0,,09,00660
"Chaplin School District, Connecticut",2329.0,,151.0,,09,00720
"Chester School District, Connecticut",4268.0,,27.0,,09,00780
"Colebrook School District, Connecticut",1518.0,,155.0,,09,00870
"Columbia School District, Connecticut",5421.0,,21.0,,09,00900
"Cornwall School District, Connecticut",1302.0,,127.0,,09,00930
"Deep River School District, Connecticut",4493.0,,29.0,,09,01080
"Eastford School District, Connecticut",1721.0,,118.0,,09,01380
"Easton School District, Connecticut",7558.0,,31.0,,09,01410
"Essex School District, Connecticut",6599.0,,36.0,,09,01500
"Franklin School District, Connecticut",1842.0,,93.0,,09,01590
"Hampton School District, Connecticut",1861.0,,103.0,,09,01890
"Hebron School District, Connecticut",9522.0,,19.0,,09,02010
"Kent School District, Connecticut",2824.0,,18.0,,09,02040
"Lisbon School District, Connecticut",4272.0,,21.0,,09,02190
"Mansfield School District, Connecticut",25977.0,,54.0,,09,02340
"Marlborough School District, Connecticut",6394.0,,21.0,,09,02370
"New Hartford School District, Connecticut",6755.0,,40.0,,09,02760
"Norfolk School District, Connecticut",1503.0,,140.0,,09,02940
"North Canaan School District, Connecticut",3302.0,,21.0,,09,03000
"Orange School District, Connecticut",13937.0,,37.0,,09,03210
"Salisbury School District, Connecticut",3631.0,,22.0,,09,03930
"Preston School District, Connecticut",4666.0,,21.0,,09,03420
"Redding School District, Connecticut",9209.0,,20.0,,09,03510
"Salem School District, Connecticut",4126.0,,22.0,,09,03900
"Sprague School District, Connecticut",2929.0,,33.0,,09,04260
"Scotland School District, Connecticut",1653.0,,164.0,,09,03960
"Sharon School District, Connecticut",2721.0,,27.0,,09,04020
"Sherman School District, Connecticut",3641.0,,21.0,,09,04080
"Sterling School District, Connecticut",3762.0,,34.0,,09,04350
"Union School District, Connecticut",873.0,,124.0,,09,04650
"Voluntown School District, Connecticut",2559.0,,23.0,,09,04710
"Willington School District, Connecticut",5912.0,,22.0,,09,05100
"Woodbridge School District, Connecticut",8868.0,,31.0,,09,05310
"Woodstock School District, Connecticut",7813.0,,37.0,,09,05370
"Remainder of Connecticut, Connecticut",3365817.0,,272.0,,09,99999
"Hartland School District, Connecticut",2041.0,,150.0,,09,01950
"Fort Benning Schools, Georgia",18036.0,,606.0,,13,00002
"Remainder of Georgia, Georgia",10279448.0,,606.0,,13,99999
"Laraway Community Consolidated School District 70C, Illinois",3129.0,,357.0,,17,22050
"LaSalle Elementary School District 122, Illinois",8727.0,,81.0,,17,22080
"Libertyville School District 70, Illinois",18762.0,,428.0,,17,22800
"Lick Creek Community Consolidated School District 16, Illinois",1468.0,,249.0,,17,22860
"Limestone Walters Community Consolidated School District 316, Illinois",1908.0,,250.0,,17,22920
"Lincoln Elementary School District 27, Illinois",12234.0,,405.0,,17,22980
"Lincolnshire-Prairieview School District 103, Illinois",13321.0,,668.0,,17,23090
"Lincolnwood School District 74, Illinois",12539.0,,49.0,,17,23100
"Lisbon Community Consolidated School District 90, Illinois",1081.0,,174.0,,17,23160
"Lombard School District 44, Illinois",35814.0,,915.0,,17,23460
"Ludlow Community Consolidated School District 142, Illinois",893.0,,153.0,,17,23700
"Will County School District 92, Illinois",15692.0,,778.0,,17,23730
"Lyons School District 103, Illinois",22277.0,,578.0,,17,23850
"Maercker School District 60, Illinois",17635.0,,744.0,,17,24000
"Malden Community Consolidated School District 84, Illinois",650.0,,118.0,,17,24120
"Manhattan School District 114, Illinois",9859.0,,107.0,,17,24270
"Mannheim School District 83, Illinois",20638.0,,1128.0,,17,24330
"Northbrook/Glenview School District 30, Illinois",11271.0,,483.0,,17,24420
"Prairie-Hills Elementary School District 144, Illinois",21190.0,,764.0,,17,24720
"Marquardt School District 15, Illinois",25891.0,,1023.0,,17,24780
"Matteson Elementary School District 162, Illinois",25115.0,,985.0,,17,25020
"Maywood-Melrose Park-Broadview School District 89, Illinois",44483.0,,702.0,,17,25110
"Mazon-Verona-Kinsman Elementary School District 2C, Illinois",2770.0,,226.0,,17,25190
"McClellan Community Consolidated School District 12, Illinois",876.0,,156.0,,17,25260
"McHenry Community Consolidated School District 15, Illinois",42954.0,,910.0,,17,25290
"Medinah School District 11, Illinois",7291.0,,560.0,,17,25500
"Mendota Community Consolidated School District 289, Illinois",10405.0,,442.0,,17,25620
"Metamora Community Consolidated School District 1, Illinois",6909.0,,282.0,,17,25740
"Midlothian School District 143, Illinois",15809.0,,597.0,,17,25920
"Millburn Community Consolidated School District 24, Illinois",7885.0,,528.0,,17,26100
"Millstadt Consolidated Community School District 160, Illinois",8697.0,,481.0,,17,26190
"Miller Township Community Consolidated School District, Illinois",2379.0,,300.0,,17,26250
"Minooka Community Consolidated School District 201, Illinois",24678.0,,482.0,,17,26310
"Mokena School District 159, Illinois",17873.0,,526.0,,17,26370
"Golf Elementary School District 67, Illinois",6933.0,,543.0,,17,26820
"Monroe School District 70, Illinois",3102.0,,343.0,,17,26490
"Montmorency Community Consolidated School District 145, Illinois",2697.0,,106.0,,17,26590
"Morris School District 54, Illinois",11752.0,,378.0,,17,26610
"Morton Grove School District 70, Illinois",9753.0,,549.0,,17,26850
"Mount Prospect School District 57, Illinois",20538.0,,751.0,,17,27210
"Mount Vernon School District 80, Illinois",13537.0,,360.0,,17,27340
"Mundelein Elementary School District 75, Illinois",14389.0,,760.0,,17,27540
"Nashville Consolidated Community School District 49, Illinois",6097.0,,260.0,,17,27720
"Nettle Creek Community Consolidated School District 24C, Illinois",1052.0,,186.0,,17,27930
"New Hope Community Consolidated School District 6, Illinois",1520.0,,192.0,,17,28110
"New Lenox School District 122, Illinois",40620.0,,423.0,,17,28140
"New Simpson Hill Consolidated District 32, Illinois",2113.0,,244.0,,17,28160
"Newark Community Consolidated School District 66, Illinois",2834.0,,219.0,,17,28270
"Niles Elementary School District 71, Illinois",7673.0,,325.0,,17,28500
"Norridge School District 80, Illinois",12660.0,,645.0,,17,28650
"North Palos School District 117, Illinois",28161.0,,557.0,,17,28890
"North Pekin-Marquette Heights School District 102, Illinois",4895.0,,377.0,,17,28920
"Northbrook School District 28, Illinois",14348.0,,541.0,,17,28980
"Norwood Elementary School District 63, Illinois",3386.0,,369.0,,17,29040
"Oak Grove School District 68 (Peoria County), Illinois",4164.0,,347.0,,17,29100
"Oak Grove School District 68 (Lake County), Illinois",7163.0,,341.0,,17,29130
"Oak Lawn-Hometown School District 123, Illinois",35697.0,,823.0,,17,29190
"Oak Park Elementary School District 97, Illinois",52225.0,,42.0,,17,29250
"Oakdale Community Consolidated School District 1, Illinois",636.0,,138.0,,17,29310
"Odell Community Consolidated School District 435, Illinois",1296.0,,182.0,,17,29520
"Oglesby Elementary School District 125, Illinois",4569.0,,145.0,,17,29670
"Ohio Community Consolidated School District 17, Illinois",793.0,,114.0,,17,29700
"O'Fallon Community Consolidated School District 90, Illinois",29978.0,,430.0,,17,29760
"Orland School District 135, Illinois",56515.0,,830.0,,17,30220
"Ottawa Elementary School District 141, Illinois",19292.0,,309.0,,17,30300
"Palatine Community Consolidated School District 15, Illinois",119285.0,,659.0,,17,30420
"Community Consolidated School District 180, Illinois",5823.0,,794.0,,17,30510
"Palos Heights School District 128, Illinois",10654.0,,509.0,,17,30570
"Palos Community Consolidated School District 118, Illinois",23475.0,,582.0,,17,30600
"Park Forest School District 163, Illinois",15665.0,,504.0,,17,30810
"Park Ridge Consolidated Community School District 64, Illinois",40318.0,,737.0,,17,30840
"General George Patton School District 133, Illinois",1674.0,,201.0,,17,30900
"Pekin Public School District108, Illinois",33017.0,,762.0,,17,31080
"Pembroke Consolidated Community School District 259, Illinois",1718.0,,319.0,,17,31140
"Pennoyer School District 79, Illinois",5577.0,,410.0,,17,31200
"Peru Elementary School District 124, Illinois",10040.0,,98.0,,17,31380
"Community Consolidated School District 204, Illinois",3815.0,,330.0,,17,31560
"Pleasant Hill School District 69, Illinois",2061.0,,304.0,,17,31860
"Pleasant Valley School District 62, Illinois",4018.0,,542.0,,17,31950
"Pleasantdale School District 107, Illinois",7512.0,,505.0,,17,32040
"Potomac Community Unit School District 10, Illinois",1232.0,,191.0,,17,32090
"Prairie du Rocher Community Consolidated School District 134, Illinois",873.0,,121.0,,17,32490
"Pontiac Community Consolidated School District 429, Illinois",13355.0,,191.0,,17,32160
"Pontiac-William Holliday School District 105, Illinois",8723.0,,499.0,,17,32190
"Posen-Robbins Elementary School District 143-5, Illinois",12086.0,,736.0,,17,32370
"Prairie Grove Community School District 46, Illinois",6856.0,,486.0,,17,32520
"Prairie Hill Community Consolidated School District 133, Illinois",5626.0,,604.0,,17,32550
"Princeton Elementary School District 115, Illinois",11377.0,,231.0,,17,32670
"Prospect Heights School District 23, Illinois",17866.0,,637.0,,17,32850
"Queen Bee School District 16, Illinois",17491.0,,824.0,,17,32970
"Raccoon Consolidated School District 1, Illinois",2294.0,,281.0,,17,33030
"Rankin Community School District 98, Illinois",3186.0,,576.0,,17,33120
"Rantoul City School District 137, Illinois",12725.0,,289.0,,17,33210
"Rhodes School District 84-5, Illinois",4619.0,,398.0,,17,33390
"Richland School District 88A, Illinois",9833.0,,542.0,,17,33450
"Ridgeland School District 122, Illinois",21706.0,,952.0,,17,33690
"Riley Community Consolidated School District 18, Illinois",2539.0,,507.0,,17,33750
"River Forest School District 90, Illinois",11064.0,,24.0,,17,33810
"River Grove School District 85-5, Illinois",7955.0,,370.0,,17,33840
"River Trails School District 26, Illinois",15385.0,,556.0,,17,33870
"Riverside School District 96, Illinois",13661.0,,501.0,,17,33990
"Riverview Consolidated Community School District 2, Illinois",2500.0,,281.0,,17,34110
"Robein School District 85, Illinois",2189.0,,238.0,,17,34170
"Rochelle Community Consolidated District 231, Illinois",13139.0,,222.0,,17,34260
"Rock Falls Elementary School District 13, Illinois",8738.0,,212.0,,17,34350
"Rockdale School District 84, Illinois",2223.0,,231.0,,17,34470
"Rockton School District 140, Illinois",11776.0,,621.0,,17,34540
"Rome Community Consolidated School District 2, Illinois",2562.0,,298.0,,17,34590
"Rondout School District 72, Illinois",1633.0,,283.0,,17,34620
"Rooks Creek Community Consolidated School District 425, Illinois",580.0,,119.0,,17,34650
"Roselle School District 12, Illinois",6953.0,,493.0,,17,34710
"Schaumburg Community Consolidated School District 54, Illinois",133664.0,,598.0,,17,34740
"Rosemont Elementary School District 78, Illinois",2318.0,,209.0,,17,34770
"Rutland Community Consolidated School District 230, Illinois",733.0,,101.0,,17,35100
"Salem School District 111, Illinois",8670.0,,351.0,,17,35160
"Salt Creek School District 48, Illinois",8473.0,,533.0,,17,35220
"Sandridge School District 172, Illinois",3841.0,,807.0,,17,35340
"Saratoga Community Consolidated School District 60C, Illinois",6242.0,,198.0,,17,35400
"Community Consolidated School District 168, Illinois",10538.0,,202.0,,17,35460
"Schiller Park School District 81, Illinois",13282.0,,371.0,,17,35640
"Selmaville Community Consolidated School District 10, Illinois",1705.0,,186.0,,17,35770
"Seneca Community Consolidated School District 170, Illinois",3860.0,,344.0,,17,35820
"Shiloh Village School District 85, Illinois",4805.0,,360.0,,17,36210
"Shirland Community Consolidated School District 134, Illinois",1500.0,,165.0,,17,36240
"Elementary School District 159, Illinois",20598.0,,841.0,,17,36300
"Signal Hill School District 181, Illinois",2943.0,,354.0,,17,36330
"Silvis School District 34, Illinois",5342.0,,610.0,,17,36360
"Skokie School District 68, Illinois",21568.0,,821.0,,17,36450
"Skokie School District 69, Illinois",18194.0,,1123.0,,17,36480
"South Pekin School District 137, Illinois",1523.0,,219.0,,17,36780
"Smithton Community Consolidated School District 130, Illinois",4801.0,,373.0,,17,36510
"South Holland School District 150, Illinois",9845.0,,575.0,,17,36720
"South Holland School District 151, Illinois",14218.0,,859.0,,17,36750
"Burbank School District 111, Illinois",29993.0,,327.0,,17,36810
"South Wilmington Consolidated School District 74, Illinois",1065.0,,169.0,,17,36840
"Spring Lake Community Consolidated School District 606, Illinois",744.0,,100.0,,17,37020
"Spring Valley Community Consolidated School District 99, Illinois",5909.0,,156.0,,17,37050
"St. Anne Consolidated Community School District 256, Illinois",2908.0,,231.0,,17,37120
"St. George Community Consolidated School District 258, Illinois",3630.0,,346.0,,17,37320
"St. Joseph Community Consolidated School District 169, Illinois",6247.0,,257.0,,17,37380
"St. Libory Consolidated School District 30, Illinois",797.0,,147.0,,17,37440
"St. Rose School District 14-15, Illinois",1402.0,,152.0,,17,37470
"Steger School District 194, Illinois",13836.0,,649.0,,17,37680
"Steward Elementary School District 220, Illinois",624.0,,106.0,,17,37800
"Central Stickney School District 110, Illinois",3112.0,,316.0,,17,37860
"Summersville School District 79, Illinois",1945.0,,219.0,,17,38190
"Summit Hill School District 161, Illinois",24171.0,,689.0,,17,38220
"Sunnybrook School District 171, Illinois",11283.0,,732.0,,17,38370
"Sunset Ridge School District 29, Illinois",4246.0,,235.0,,17,38400
"Taft School District 90, Illinois",3078.0,,309.0,,17,38520
"Tamaroa School District 5, Illinois",860.0,,132.0,,17,38550
"Thomasboro Community Consolidated School District 130, Illinois",2123.0,,283.0,,17,38790
"Thornton School District 154, Illinois",3185.0,,385.0,,17,38910
"Community Consolidated School District 146, Illinois",26519.0,,1064.0,,17,39030
"Tonica Community Consolidated School District 79, Illinois",1571.0,,159.0,,17,39180
"Troy Community Consolidated School District 30C, Illinois",38006.0,,663.0,,17,39510
"Union School District 81, Illinois",1507.0,,250.0,,17,39660
"Union Ridge School District 86, Illinois",6078.0,,512.0,,17,39780
"Unity Point Community Consolidated School District 140, Illinois",6496.0,,759.0,,17,39930
"Vienna School District 55, Illinois",5624.0,,352.0,,17,40260
"Villa Park School District 45, Illinois",36707.0,,858.0,,17,40350
"Glen Ellyn Community Consolidated School District 89, Illinois",22320.0,,780.0,,17,40500
"Wallace Community Consolidated School District 195, Illinois",2672.0,,293.0,,17,40530
"Waltham Community Consolidated School District 185, Illinois",2634.0,,260.0,,17,40620
"North Wamac School District 186, Illinois",901.0,,148.0,,17,40680
"District 50 Schools, Illinois",6303.0,,515.0,,17,41010
"Washington School District 52, Illinois",8889.0,,687.0,,17,41040
"Calumet City School District 155, Illinois",10508.0,,842.0,,17,41520
"West Chicago School District 33, Illinois",31240.0,,645.0,,17,41550
"West Lincoln-Broadwell Elementary School District 92, Illinois",4771.0,,152.0,,17,41600
"West Northfield School District 31, Illinois",9381.0,,601.0,,17,41700
"Westchester School District 92-5, Illinois",15479.0,,315.0,,17,41790
"Western Springs School District 101, Illinois",10335.0,,329.0,,17,41820
