NAME,B01003_001E,B01003_001EA,B01003_001M,B01003_001MA,state,school district (secondary)
"Passaic County Manchester Regional School District, New Jersey",22645.0,,40.0,,34,12600
"Pinelands Regional School District, New Jersey",27324.0,,274.0,,34,13000
"Ramapo-Indian Hill Regional School District, New Jersey",40939.0,,40.0,,34,13560
"Rancocas Valley Regional School District, New Jersey",42565.0,,83.0,,34,13620
"Red Bank Regional School District, New Jersey",22072.0,,54.0,,34,13750
"Rumson-Fair Haven Regional School District, New Jersey",12748.0,,23.0,,34,14400
"Shore Regional School District, New Jersey",18240.0,,152.0,,34,14940
"Delsea Regional High School School District, New Jersey",20625.0,,48.0,,34,15450
"Southern Regional School District, New Jersey",34338.0,,231.0,,34,15480
"Wallkill Valley Regional School District, New Jersey",18159.0,,144.0,,34,16870
"Warren Hills Regional School District, New Jersey",23425.0,,56.0,,34,16970
"Watchung Hills Regional School District, New Jersey",30476.0,,41.0,,34,17220
"West Essex Regional School District, New Jersey",22075.0,,51.0,,34,17460
"West Morris Regional School District, New Jersey",38673.0,,128.0,,34,17550
"Remainder of New Jersey, New Jersey",7251905.0,,773.0,,34,99999
"Sterling High School School District, New Jersey",16663.0,,40.0,,34,02880
"Black Horse Pike Regional School District, New Jersey",83443.0,,86.0,,34,01770
"Carlstadt-East Rutherford School District, New Jersey",15657.0,,46.0,,34,02800
"Central Regional School District, New Jersey",49365.0,,338.0,,34,02910
"Clearview Regional School District, New Jersey",27922.0,,50.0,,34,03210
"Cumberland Regional School District, New Jersey",23167.0,,237.0,,34,03620
"Delaware Valley Regional School District, New Jersey",16297.0,,217.0,,34,03750
"Eastern Camden County Regional School District, New Jersey",38987.0,,145.0,,34,04380
"Freehold Regional School District, New Jersey",192339.0,,178.0,,34,05610
"Gateway Regional School District, New Jersey",12386.0,,80.0,,34,05820
"Greater Egg Harbor Regional School District, New Jersey",72795.0,,59.0,,34,06060
"Hanover Park Regional School District, New Jersey",37183.0,,36.0,,34,06660
"Henry Hudson Regional School District, New Jersey",9107.0,,24.0,,34,07050
"High Point Regional School District, New Jersey",21487.0,,215.0,,34,07140
"Hunterdon Central Regional School District, New Jersey",50929.0,,67.0,,34,07590
"Lenape Regional School District, New Jersey",139018.0,,299.0,,34,08490
"Kingsway Regional School District, New Jersey",28529.0,,34.0,,34,07980
"Kittatinny Regional School District, New Jersey",13997.0,,182.0,,34,08060
"Lakeland Regional School District, New Jersey",23965.0,,43.0,,34,08190
"Lenape Valley Regional School District, New Jersey",14596.0,,45.0,,34,08500
"Lower Cape May Regional School District, New Jersey",26432.0,,180.0,,34,09090
"Mainland Regional School District, New Jersey",25630.0,,61.0,,34,09360
"North Warren Regional School District, New Jersey",12601.0,,172.0,,34,09550
"Monmouth Regional School District, New Jersey",31022.0,,179.0,,34,10440
"Morris Hills Regional School District, New Jersey",54384.0,,47.0,,34,10740
"North Hunterdon-Voorhees Regional School District, New Jersey",49855.0,,249.0,,34,11610
"Northern Burlington Regional School District, New Jersey",22492.0,,228.0,,34,11700
"Northern Highlands Regional School District, New Jersey",15004.0,,41.0,,34,11730
"Northern Valley Regional School District, New Jersey",38319.0,,65.0,,34,11760
"Bellmore-Merrick Central High School District, New York",68407.0,,1275.0,,36,19020
"Sewanhaka Central High School District, New York",126690.0,,2034.0,,36,26520
"Valley Stream Central High School District, New York",62562.0,,1673.0,,36,29520
"Remainder of New York, New York",19360794.0,,2313.0,,36,99999
"Frederick Public Schools in Davidson (9-12), Oklahoma",484.0,,103.0,,40,99001
"Secondary Coverage Area in White Oak Public Schools (9-12), Oklahoma",832.0,,90.0,,40,40001
"Remainder of Oklahoma, Oklahoma",3916821.0,,136.0,,40,99999
"Harney County Union High School District 1J, Oregon",1314.0,,181.0,,41,03630
"Remainder of Oregon, Oregon",4080629.0,,181.0,,41,99999
"Foster-Glocester Regional School District, Rhode Island",14751.0,,31.0,,44,00420
"Remainder of Rhode Island, Rhode Island",1041860.0,,31.0,,44,99999
"Beaufort County School District within Beaufort Marine Corps Air Station, South Carolina",765.0,,228.0,,45,45013
"Richland County School District 2 within Fort Jackson, South Carolina",16240.0,,835.0,,45,45079
"Remainder of South Carolina, South Carolina",4938920.0,,852.0,,45,99999
"Arlington Community Schools in Lakeland (9-12), Tennessee",10309.0,,486.0,,47,47002
"Anderson County School District in Clinton, Tennessee",9908.0,,24.0,,47,47001
"Cocke County School District in Newport, Tennessee",6757.0,,22.0,,47,47029
"Coffee County School District in Manchester, Tennessee",10537.0,,27.0,,47,47031
"Crockett County School District in Alamo, Tennessee",3910.0,,366.0,,47,47033
"Crockett County School District in Bells, Tennessee",3923.0,,303.0,,47,47034
"Hawkins County School District in Rogersville, Tennessee",4341.0,,22.0,,47,47073
"Henderson County School District in Lexington, Tennessee",7735.0,,26.0,,47,47077
"Henry County School District in Paris, Tennessee",12051.0,,407.0,,47,47079
"McMinn County School District in Athens, Tennessee",13752.0,,26.0,,47,47107
"McMinn County School District in Etowah, Tennessee",3474.0,,27.0,,47,47108
"Monroe County School District in Sweetwater, Tennessee",11725.0,,707.0,,47,47123
"Rhea County School District in Dayton, Tennessee",7340.0,,29.0,,47,47143
"Rutherford County School District in Murfreesboro, Tennessee",130972.0,,154.0,,47,47149
"Williamson County School District in Franklin, Tennessee",39025.0,,1098.0,,47,47187
"Wilson County School District in Lebanon, Tennessee",33907.0,,985.0,,47,47189
"Remainder of Tennessee, Tennessee",6341423.0,,1811.0,,47,99999
"Hallettsville Independent School District (9-12) in Vysehrad, Texas",832.0,,179.0,,48,48285
"Remainder of Texas, Texas",27882136.0,,362.0,,48,99999
"Mount Pleasant Independent School District (9-12) in Winfield, Texas",1068.0,,234.0,,48,48449
"Stephenville Independent School District (9-12) in Bluff Dale, Texas",1159.0,,229.0,,48,48143
"Essex Community Education Center, Vermont",21225.0,,52.0,,50,00006
"Remainder of Vermont, Vermont",603752.0,,52.0,,50,99999
"Lake Geneva-Genoa City Union High School District, Wisconsin",24470.0,,538.0,,55,07650
"Lakeland Union High School District, Wisconsin",17876.0,,356.0,,55,09630
"Westosha Central High School District, Wisconsin",20687.0,,643.0,,55,13290
"Union Grove Union High School District, Wisconsin",13562.0,,339.0,,55,15150
"Big Foot Union High School District, Wisconsin",9448.0,,360.0,,55,15480
"Waterford Union High School District, Wisconsin",18727.0,,412.0,,55,15600
"Wilmot Union High School District, Wisconsin",19030.0,,494.0,,55,16770
"Remainder of Wisconsin, Wisconsin",5561452.0,,1128.0,,55,99999
"Nicolet Union High School District, Wisconsin",25627.0,,60.0,,55,05490
"Hartford Union High School District, Wisconsin",32925.0,,547.0,,55,06120
"Arrowhead Union High School District, Wisconsin",34590.0,,615.0,,55,06180
