NAME,B01003_001E,B01003_001EA,B01003_001M,B01003_001MA,state,state legislative district (upper chamber)
"State Senate District 31 (2018), Idaho",45551.0,,-555555555.0,*****,16,031
"State Senate District 32 (2018), Idaho",46215.0,,569.0,,16,032
"State Senate District 33 (2018), Idaho",45587.0,,910.0,,16,033
"State Senate District 34 (2018), Idaho",46314.0,,716.0,,16,034
"State Senate District 35 (2018), Idaho",44613.0,,105.0,,16,035
"State Senate District 1 (2018), Illinois",212679.0,,3509.0,,17,001
"State Senate District 2 (2018), Illinois",216431.0,,3226.0,,17,002
"State Senate District 3 (2018), Illinois",217809.0,,3808.0,,17,003
"State Senate District 4 (2018), Illinois",216863.0,,2931.0,,17,004
"State Senate District 5 (2018), Illinois",224721.0,,3509.0,,17,005
"State Senate District 6 (2018), Illinois",231764.0,,2861.0,,17,006
"State Senate District 7 (2018), Illinois",224280.0,,3334.0,,17,007
"State Senate District 8 (2018), Illinois",222985.0,,2915.0,,17,008
"State Senate District 9 (2018), Illinois",219560.0,,1664.0,,17,009
"State Senate District 10 (2018), Illinois",224114.0,,3233.0,,17,010
"State Senate District 11 (2018), Illinois",219453.0,,4077.0,,17,011
"State Senate District 12 (2018), Illinois",214514.0,,2603.0,,17,012
"State Senate District 13 (2018), Illinois",227795.0,,3645.0,,17,013
"State Senate District 14 (2018), Illinois",210226.0,,2931.0,,17,014
"State Senate District 15 (2018), Illinois",218518.0,,2219.0,,17,015
"State Senate District 16 (2018), Illinois",210726.0,,3396.0,,17,016
"State Senate District 17 (2018), Illinois",212509.0,,3246.0,,17,017
"State Senate District 18 (2018), Illinois",217459.0,,2248.0,,17,018
"State Senate District 19 (2018), Illinois",220668.0,,2014.0,,17,019
"State Senate District 20 (2018), Illinois",213874.0,,3464.0,,17,020
"State Senate District 21 (2018), Illinois",218731.0,,1721.0,,17,021
"State Senate District 22 (2018), Illinois",217944.0,,2192.0,,17,022
"State Senate District 23 (2018), Illinois",218677.0,,1637.0,,17,023
"State Senate District 24 (2018), Illinois",224236.0,,1400.0,,17,024
"State Senate District 25 (2018), Illinois",227702.0,,1891.0,,17,025
"State Senate District 26 (2018), Illinois",217915.0,,1632.0,,17,026
"State Senate District 27 (2018), Illinois",214893.0,,1891.0,,17,027
"State Senate District 28 (2018), Illinois",219919.0,,2194.0,,17,028
"State Senate District 29 (2018), Illinois",217585.0,,2143.0,,17,029
"State Senate District 30 (2018), Illinois",218096.0,,1528.0,,17,030
"State Senate District 31 (2018), Illinois",217214.0,,1464.0,,17,031
"State Senate District 32 (2018), Illinois",217338.0,,1226.0,,17,032
"State Senate District 33 (2018), Illinois",230704.0,,2447.0,,17,033
"State Senate District 34 (2018), Illinois",210611.0,,905.0,,17,034
"State Senate District 35 (2018), Illinois",214422.0,,1431.0,,17,035
"State Senate District 36 (2018), Illinois",212340.0,,388.0,,17,036
"State Senate District 37 (2018), Illinois",211808.0,,1466.0,,17,037
"State Senate District 38 (2018), Illinois",215272.0,,1808.0,,17,038
"State Senate District 39 (2018), Illinois",213878.0,,2542.0,,17,039
"State Senate District 40 (2018), Illinois",217297.0,,1731.0,,17,040
"State Senate District 44 (2018), Illinois",214494.0,,1686.0,,17,044
"State Senate District 41 (2018), Illinois",219530.0,,1441.0,,17,041
"State Senate District 42 (2018), Illinois",220824.0,,1741.0,,17,042
"State Senate District 43 (2018), Illinois",215487.0,,1567.0,,17,043
"State Senate District 45 (2018), Illinois",210092.0,,934.0,,17,045
"State Senate District 46 (2018), Illinois",212166.0,,1306.0,,17,046
"State Senate District 47 (2018), Illinois",209181.0,,793.0,,17,047
"State Senate District 48 (2018), Illinois",209817.0,,1675.0,,17,048
"State Senate District 49 (2018), Illinois",231618.0,,1833.0,,17,049
"State Senate District 50 (2018), Illinois",214825.0,,1520.0,,17,050
"State Senate District 51 (2018), Illinois",219066.0,,1144.0,,17,051
"State Senate District 52 (2018), Illinois",218611.0,,864.0,,17,052
"State Senate District 53 (2018), Illinois",216683.0,,1028.0,,17,053
"State Senate District 54 (2018), Illinois",213751.0,,963.0,,17,054
"State Senate District 55 (2018), Illinois",211316.0,,424.0,,17,055
"State Senate District 56 (2018), Illinois",215401.0,,1213.0,,17,056
"State Senate District 57 (2018), Illinois",209546.0,,1317.0,,17,057
"State Senate District 58 (2018), Illinois",214319.0,,1459.0,,17,058
"State Senate District 59 (2018), Illinois",211240.0,,1015.0,,17,059
"State Senate Districts not defined (2018), Illinois",0.0,,11.0,,17,ZZZ
"State Senate District 1 (2018), Indiana",126525.0,,1231.0,,18,001
"State Senate District 2 (2018), Indiana",122448.0,,1907.0,,18,002
"State Senate District 3 (2018), Indiana",126408.0,,1355.0,,18,003
"State Senate District 4 (2018), Indiana",129563.0,,732.0,,18,004
"State Senate District 5 (2018), Indiana",130756.0,,765.0,,18,005
"State Senate District 6 (2018), Indiana",134153.0,,730.0,,18,006
"State Senate District 7 (2018), Indiana",132040.0,,982.0,,18,007
"State Senate District 8 (2018), Indiana",126861.0,,1156.0,,18,008
"State Senate District 9 (2018), Indiana",132651.0,,909.0,,18,009
"State Senate District 10 (2018), Indiana",130155.0,,1157.0,,18,010
"State Senate District 11 (2018), Indiana",130629.0,,1399.0,,18,011
"State Senate District 12 (2018), Indiana",132247.0,,776.0,,18,012
"State Senate District 13 (2018), Indiana",133046.0,,369.0,,18,013
"State Senate District 14 (2018), Indiana",134410.0,,972.0,,18,014
"State Senate District 15 (2018), Indiana",134812.0,,1643.0,,18,015
"State Senate District 16 (2018), Indiana",133545.0,,1466.0,,18,016
"State Senate District 17 (2018), Indiana",126057.0,,612.0,,18,017
"State Senate District 18 (2018), Indiana",126479.0,,491.0,,18,018
"State Senate District 19 (2018), Indiana",127219.0,,504.0,,18,019
"State Senate District 20 (2018), Indiana",150429.0,,790.0,,18,020
"State Senate District 21 (2018), Indiana",125768.0,,724.0,,18,021
"State Senate District 22 (2018), Indiana",144030.0,,781.0,,18,022
"State Senate District 23 (2018), Indiana",131695.0,,664.0,,18,023
"State Senate District 24 (2018), Indiana",141716.0,,551.0,,18,024
"State Senate District 25 (2018), Indiana",128486.0,,807.0,,18,025
"State Senate District 26 (2018), Indiana",130292.0,,852.0,,18,026
"State Senate District 27 (2018), Indiana",124252.0,,688.0,,18,027
"State Senate District 28 (2018), Indiana",133942.0,,1346.0,,18,028
"State Senate District 29 (2018), Indiana",140481.0,,2476.0,,18,029
"State Senate District 30 (2018), Indiana",138853.0,,1748.0,,18,030
"State Senate District 31 (2018), Indiana",143919.0,,1859.0,,18,031
"State Senate District 32 (2018), Indiana",137281.0,,1755.0,,18,032
"State Senate District 36 (2018), Indiana",136244.0,,1757.0,,18,036
"State Senate District 33 (2018), Indiana",142543.0,,2573.0,,18,033
"State Senate District 34 (2018), Indiana",136018.0,,2836.0,,18,034
"State Senate District 35 (2018), Indiana",138803.0,,1332.0,,18,035
"State Senate District 37 (2018), Indiana",132995.0,,958.0,,18,037
"State Senate District 38 (2018), Indiana",127756.0,,255.0,,18,038
"State Senate District 39 (2018), Indiana",127749.0,,626.0,,18,039
"State Senate District 40 (2018), Indiana",138071.0,,297.0,,18,040
"State Senate District 41 (2018), Indiana",138781.0,,878.0,,18,041
"State Senate District 42 (2018), Indiana",125895.0,,760.0,,18,042
"State Senate District 43 (2018), Indiana",130306.0,,657.0,,18,043
"State Senate District 44 (2018), Indiana",133488.0,,1107.0,,18,044
"State Senate District 45 (2018), Indiana",132509.0,,742.0,,18,045
"State Senate District 46 (2018), Indiana",132063.0,,511.0,,18,046
"State Senate District 47 (2018), Indiana",129813.0,,365.0,,18,047
"State Senate District 48 (2018), Indiana",129820.0,,586.0,,18,048
"State Senate District 49 (2018), Indiana",130073.0,,1062.0,,18,049
"State Senate District 50 (2018), Indiana",133351.0,,1029.0,,18,050
"State Senate District 1 (2018), Iowa",60308.0,,-555555555.0,*****,19,001
"State Senate District 2 (2018), Iowa",61145.0,,181.0,,19,002
"State Senate District 3 (2018), Iowa",60768.0,,1165.0,,19,003
"State Senate District 4 (2018), Iowa",58889.0,,-555555555.0,*****,19,004
"State Senate District 5 (2018), Iowa",58844.0,,245.0,,19,005
"State Senate District 6 (2018), Iowa",60197.0,,211.0,,19,006
"State Senate District 7 (2018), Iowa",61400.0,,1198.0,,19,007
"State Senate District 8 (2018), Iowa",60249.0,,423.0,,19,008
"State Senate District 9 (2018), Iowa",58921.0,,393.0,,19,009
"State Senate District 10 (2018), Iowa",65089.0,,468.0,,19,010
"State Senate District 11 (2018), Iowa",61022.0,,480.0,,19,011
"State Senate District 12 (2018), Iowa",58628.0,,-555555555.0,*****,19,012
"State Senate District 13 (2018), Iowa",64806.0,,65.0,,19,013
"State Senate District 14 (2018), Iowa",59791.0,,485.0,,19,014
"State Senate District 15 (2018), Iowa",66831.0,,907.0,,19,015
"State Senate District 16 (2018), Iowa",64577.0,,1251.0,,19,016
"State Senate District 17 (2018), Iowa",63477.0,,1418.0,,19,017
"State Senate District 18 (2018), Iowa",64071.0,,1488.0,,19,018
"State Senate District 19 (2018), Iowa",75909.0,,983.0,,19,019
"State Senate District 20 (2018), Iowa",68542.0,,664.0,,19,020
"State Senate District 21 (2018), Iowa",64038.0,,1229.0,,19,021
"State Senate District 22 (2018), Iowa",75792.0,,671.0,,19,022
"State Senate District 23 (2018), Iowa",68469.0,,634.0,,19,023
"State Senate District 24 (2018), Iowa",59768.0,,670.0,,19,024
"State Senate District 25 (2018), Iowa",59900.0,,632.0,,19,025
"State Senate District 26 (2018), Iowa",59257.0,,273.0,,19,026
"State Senate District 27 (2018), Iowa",59167.0,,260.0,,19,027
"State Senate District 28 (2018), Iowa",58829.0,,330.0,,19,028
"State Senate District 29 (2018), Iowa",63221.0,,474.0,,19,029
"State Senate District 30 (2018), Iowa",63085.0,,838.0,,19,030
"State Senate District 31 (2018), Iowa",60130.0,,884.0,,19,031
"State Senate District 32 (2018), Iowa",61568.0,,469.0,,19,032
"State Senate District 33 (2018), Iowa",61534.0,,1230.0,,19,033
"State Senate District 34 (2018), Iowa",66778.0,,1104.0,,19,034
"State Senate District 35 (2018), Iowa",64541.0,,1155.0,,19,035
"State Senate District 39 (2018), Iowa",67149.0,,646.0,,19,039
"State Senate District 36 (2018), Iowa",60658.0,,355.0,,19,036
"State Senate District 37 (2018), Iowa",65129.0,,811.0,,19,037
"State Senate District 38 (2018), Iowa",60438.0,,-555555555.0,*****,19,038
"State Senate District 40 (2018), Iowa",59920.0,,514.0,,19,040
"State Senate District 41 (2018), Iowa",62476.0,,433.0,,19,041
"State Senate District 42 (2018), Iowa",58423.0,,401.0,,19,042
"State Senate District 43 (2018), Iowa",66511.0,,805.0,,19,043
"State Senate District 44 (2018), Iowa",60050.0,,457.0,,19,044
"State Senate District 45 (2018), Iowa",60993.0,,1205.0,,19,045
"State Senate District 46 (2018), Iowa",62523.0,,1142.0,,19,046
"State Senate District 47 (2018), Iowa",66057.0,,1151.0,,19,047
"State Senate District 48 (2018), Iowa",60493.0,,821.0,,19,048
"State Senate District 49 (2018), Iowa",60823.0,,422.0,,19,049
"State Senate District 50 (2018), Iowa",61315.0,,334.0,,19,050
"State Senate District 1 (2018), Kansas",70665.0,,208.0,,20,001
"State Senate District 5 (2018), Kansas",74997.0,,882.0,,20,005
"State Senate District 2 (2018), Kansas",86298.0,,1227.0,,20,002
"State Senate District 3 (2018), Kansas",76598.0,,1267.0,,20,003
"State Senate District 4 (2018), Kansas",74219.0,,1386.0,,20,004
"State Senate District 6 (2018), Kansas",70089.0,,1509.0,,20,006
"State Senate District 7 (2018), Kansas",73076.0,,1013.0,,20,007
"State Senate District 8 (2018), Kansas",72847.0,,1186.0,,20,008
"State Senate District 9 (2018), Kansas",79805.0,,1091.0,,20,009
"State Senate District 10 (2018), Kansas",73567.0,,433.0,,20,010
"State Senate District 11 (2018), Kansas",75090.0,,1145.0,,20,011
"State Senate District 12 (2018), Kansas",68721.0,,464.0,,20,012
"State Senate District 13 (2018), Kansas",70933.0,,395.0,,20,013
"State Senate District 14 (2018), Kansas",68478.0,,592.0,,20,014
"State Senate District 15 (2018), Kansas",67332.0,,262.0,,20,015
"State Senate District 16 (2018), Kansas",76678.0,,1397.0,,20,016
"State Senate District 17 (2018), Kansas",72851.0,,821.0,,20,017
"State Senate District 18 (2018), Kansas",70478.0,,1190.0,,20,018
"State Senate District 19 (2018), Kansas",69433.0,,1240.0,,20,019
"State Senate District 20 (2018), Kansas",73035.0,,1260.0,,20,020
"State Senate District 21 (2018), Kansas",76544.0,,857.0,,20,021
"State Senate District 22 (2018), Kansas",87096.0,,682.0,,20,022
"State Senate District 23 (2018), Kansas",73147.0,,914.0,,20,023
"State Senate District 27 (2018), Kansas",74577.0,,1726.0,,20,027
"State Senate District 24 (2018), Kansas",69121.0,,332.0,,20,024
"State Senate District 25 (2018), Kansas",72224.0,,1973.0,,20,025
"State Senate District 26 (2018), Kansas",73835.0,,1379.0,,20,026
"State Senate District 28 (2018), Kansas",70786.0,,2237.0,,20,028
"State Senate District 29 (2018), Kansas",68225.0,,1947.0,,20,029
"State Senate District 30 (2018), Kansas",72878.0,,1540.0,,20,030
"State Senate District 31 (2018), Kansas",73554.0,,948.0,,20,031
"State Senate District 32 (2018), Kansas",67589.0,,340.0,,20,032
"State Senate District 33 (2018), Kansas",68480.0,,219.0,,20,033
"State Senate District 34 (2018), Kansas",68781.0,,164.0,,20,034
"State Senate District 35 (2018), Kansas",68253.0,,396.0,,20,035
"State Senate District 36 (2018), Kansas",67277.0,,191.0,,20,036
"State Senate District 37 (2018), Kansas",79728.0,,1175.0,,20,037
"State Senate District 38 (2018), Kansas",69819.0,,77.0,,20,038
"State Senate District 39 (2018), Kansas",69098.0,,112.0,,20,039
"State Senate District 40 (2018), Kansas",72574.0,,183.0,,20,040
"State Senate District 27 (2018), Kentucky",117676.0,,-555555555.0,*****,21,027
"State Senate District 28 (2018), Kentucky",114390.0,,1360.0,,21,028
"State Senate District 29 (2018), Kentucky",102249.0,,-555555555.0,*****,21,029
"State Senate District 30 (2018), Kentucky",113202.0,,-555555555.0,*****,21,030
"State Senate District 31 (2018), Kentucky",108987.0,,-555555555.0,*****,21,031
"State Senate District 32 (2018), Kentucky",126427.0,,-555555555.0,*****,21,032
"State Senate District 33 (2018), Kentucky",109759.0,,2446.0,,21,033
"State Senate District 34 (2018), Kentucky",120627.0,,653.0,,21,034
"State Senate District 35 (2018), Kentucky",120934.0,,2972.0,,21,035
"State Senate District 36 (2018), Kentucky",120804.0,,1345.0,,21,036
"State Senate District 37 (2018), Kentucky",120713.0,,2398.0,,21,037
"State Senate District 38 (2018), Kentucky",126190.0,,1352.0,,21,038
"State Senate District 1 (2018), Kentucky",109378.0,,-555555555.0,*****,21,001
"State Senate District 5 (2018), Kentucky",119489.0,,-555555555.0,*****,21,005
"State Senate District 2 (2018), Kentucky",109381.0,,-555555555.0,*****,21,002
"State Senate District 3 (2018), Kentucky",111462.0,,-555555555.0,*****,21,003
"State Senate District 4 (2018), Kentucky",105167.0,,-555555555.0,*****,21,004
"State Senate District 6 (2018), Kentucky",113561.0,,-555555555.0,*****,21,006
"State Senate District 7 (2018), Kentucky",118051.0,,-555555555.0,*****,21,007
"State Senate District 8 (2018), Kentucky",117987.0,,-555555555.0,*****,21,008
"State Senate District 9 (2018), Kentucky",114198.0,,-555555555.0,*****,21,009
"State Senate District 10 (2018), Kentucky",121052.0,,846.0,,21,010
"State Senate District 11 (2018), Kentucky",129095.0,,-555555555.0,*****,21,011
"State Senate District 12 (2018), Kentucky",117408.0,,1800.0,,21,012
"State Senate District 13 (2018), Kentucky",123091.0,,2095.0,,21,013
"State Senate District 14 (2018), Kentucky",121775.0,,1154.0,,21,014
"State Senate District 15 (2018), Kentucky",118516.0,,-555555555.0,*****,21,015
"State Senate District 16 (2018), Kentucky",117669.0,,-555555555.0,*****,21,016
"State Senate District 17 (2018), Kentucky",125799.0,,553.0,,21,017
"State Senate District 18 (2018), Kentucky",111146.0,,-555555555.0,*****,21,018
"State Senate District 19 (2018), Kentucky",121867.0,,1966.0,,21,019
"State Senate District 20 (2018), Kentucky",118044.0,,1196.0,,21,020
"State Senate District 24 (2018), Kentucky",115093.0,,-555555555.0,*****,21,024
"State Senate District 21 (2018), Kentucky",118860.0,,-555555555.0,*****,21,021
"State Senate District 22 (2018), Kentucky",116661.0,,863.0,,21,022
"State Senate District 23 (2018), Kentucky",117321.0,,553.0,,21,023
"State Senate District 25 (2018), Kentucky",106614.0,,-555555555.0,*****,21,025
"State Senate District 26 (2018), Kentucky",119561.0,,1190.0,,21,026
"State Senate District 1 (2018), Louisiana",125427.0,,2141.0,,22,001
"State Senate District 2 (2018), Louisiana",112260.0,,2492.0,,22,002
"State Senate District 3 (2018), Louisiana",130613.0,,1873.0,,22,003
"State Senate District 4 (2018), Louisiana",125504.0,,2034.0,,22,004
"State Senate District 5 (2018), Louisiana",123325.0,,1933.0,,22,005
"State Senate District 6 (2018), Louisiana",126764.0,,2619.0,,22,006
"State Senate District 7 (2018), Louisiana",115181.0,,2557.0,,22,007
"State Senate District 8 (2018), Louisiana",119313.0,,2100.0,,22,008
"State Senate District 9 (2018), Louisiana",121902.0,,1653.0,,22,009
"State Senate District 10 (2018), Louisiana",120668.0,,1660.0,,22,010
"State Senate District 11 (2018), Louisiana",138025.0,,2362.0,,22,011
"State Senate District 12 (2018), Louisiana",124733.0,,2160.0,,22,012
"State Senate District 13 (2018), Louisiana",127756.0,,2185.0,,22,013
"State Senate District 14 (2018), Louisiana",113873.0,,2493.0,,22,014
"State Senate District 15 (2018), Louisiana",118707.0,,2478.0,,22,015
"State Senate District 16 (2018), Louisiana",119193.0,,2434.0,,22,016
"State Senate District 17 (2018), Louisiana",109051.0,,1765.0,,22,017
"State Senate District 18 (2018), Louisiana",131240.0,,2178.0,,22,018
"State Senate District 19 (2018), Louisiana",111631.0,,1347.0,,22,019
"State Senate District 20 (2018), Louisiana",114894.0,,2051.0,,22,020
"State Senate District 21 (2018), Louisiana",121487.0,,1981.0,,22,021
"State Senate District 22 (2018), Louisiana",122465.0,,1361.0,,22,022
"State Senate District 23 (2018), Louisiana",135957.0,,1893.0,,22,023
"State Senate District 24 (2018), Louisiana",122730.0,,2438.0,,22,024
"State Senate District 25 (2018), Louisiana",124380.0,,1939.0,,22,025
"State Senate District 26 (2018), Louisiana",128036.0,,2451.0,,22,026
"State Senate District 30 (2018), Louisiana",114049.0,,1333.0,,22,030
"State Senate District 27 (2018), Louisiana",120212.0,,1814.0,,22,027
"State Senate District 28 (2018), Louisiana",116789.0,,1171.0,,22,028
"State Senate District 29 (2018), Louisiana",113958.0,,2081.0,,22,029
"State Senate District 31 (2018), Louisiana",110924.0,,1851.0,,22,031
"State Senate District 32 (2018), Louisiana",111804.0,,1503.0,,22,032
"State Senate District 33 (2018), Louisiana",112812.0,,1758.0,,22,033
"State Senate District 34 (2018), Louisiana",112674.0,,1621.0,,22,034
"State Senate District 35 (2018), Louisiana",112295.0,,2306.0,,22,035
"State Senate District 36 (2018), Louisiana",111923.0,,1317.0,,22,036
"State Senate District 37 (2018), Louisiana",116249.0,,1953.0,,22,037
"State Senate District 38 (2018), Louisiana",112534.0,,2339.0,,22,038
"State Senate District 39 (2018), Louisiana",112278.0,,2278.0,,22,039
"State Senate Districts not defined (2018), Louisiana",0.0,,12.0,,22,ZZZ
"State Senate District 1 (2018), Maine",34459.0,,407.0,,23,001
"State Senate District 2 (2018), Maine",37686.0,,449.0,,23,002
"State Senate District 6 (2018), Maine",35084.0,,260.0,,23,006
"State Senate District 3 (2018), Maine",35615.0,,384.0,,23,003
"State Senate District 4 (2018), Maine",35272.0,,443.0,,23,004
"State Senate District 5 (2018), Maine",38218.0,,424.0,,23,005
"State Senate District 7 (2018), Maine",39492.0,,371.0,,23,007
"State Senate District 8 (2018), Maine",38147.0,,568.0,,23,008
"State Senate District 9 (2018), Maine",37965.0,,35.0,,23,009
"State Senate District 10 (2018), Maine",36339.0,,423.0,,23,010
"State Senate District 11 (2018), Maine",39418.0,,-555555555.0,*****,23,011
"State Senate District 12 (2018), Maine",38358.0,,179.0,,23,012
"State Senate District 13 (2018), Maine",36213.0,,308.0,,23,013
"State Senate District 14 (2018), Maine",37005.0,,287.0,,23,014
"State Senate District 15 (2018), Maine",37798.0,,42.0,,23,015
"State Senate District 16 (2018), Maine",38880.0,,150.0,,23,016
"State Senate District 17 (2018), Maine",36198.0,,219.0,,23,017
"State Senate District 18 (2018), Maine",36829.0,,428.0,,23,018
"State Senate District 19 (2018), Maine",39427.0,,439.0,,23,019
"State Senate District 20 (2018), Maine",39907.0,,52.0,,23,020
"State Senate District 21 (2018), Maine",36097.0,,25.0,,23,021
"State Senate District 22 (2018), Maine",36621.0,,236.0,,23,022
"State Senate District 23 (2018), Maine",37168.0,,233.0,,23,023
"State Senate District 24 (2018), Maine",39243.0,,203.0,,23,024
"State Senate District 25 (2018), Maine",41610.0,,568.0,,23,025
"State Senate District 26 (2018), Maine",38003.0,,169.0,,23,026
"State Senate District 27 (2018), Maine",39562.0,,752.0,,23,027
"State Senate District 28 (2018), Maine",41152.0,,943.0,,23,028
"State Senate District 29 (2018), Maine",37202.0,,312.0,,23,029
"State Senate District 30 (2018), Maine",41517.0,,542.0,,23,030
"State Senate District 31 (2018), Maine",37932.0,,441.0,,23,031
"State Senate District 32 (2018), Maine",38847.0,,266.0,,23,032
"State Senate District 33 (2018), Maine",39159.0,,327.0,,23,033
"State Senate District 34 (2018), Maine",40071.0,,598.0,,23,034
"State Senate District 35 (2018), Maine",40319.0,,652.0,,23,035
"State Senate District 1 (2018), Maryland",120118.0,,791.0,,24,001
"State Senate District 2 (2018), Maryland",131046.0,,791.0,,24,002
"State Senate District 3 (2018), Maryland",128753.0,,1170.0,,24,003
"State Senate District 7 (2018), Maryland",131798.0,,2069.0,,24,007
"State Senate District 4 (2018), Maryland",132688.0,,1245.0,,24,004
"State Senate District 5 (2018), Maryland",127436.0,,838.0,,24,005
"State Senate District 6 (2018), Maryland",123233.0,,1592.0,,24,006
"State Senate District 8 (2018), Maryland",124666.0,,2201.0,,24,008
"State Senate District 9 (2018), Maryland",137525.0,,1782.0,,24,009
"State Senate District 10 (2018), Maryland",122838.0,,2268.0,,24,010
"State Senate District 11 (2018), Maryland",125572.0,,1996.0,,24,011
"State Senate District 12 (2018), Maryland",124670.0,,2346.0,,24,012
"State Senate District 13 (2018), Maryland",137266.0,,2008.0,,24,013
"State Senate District 14 (2018), Maryland",131027.0,,2072.0,,24,014
"State Senate District 15 (2018), Maryland",126120.0,,1770.0,,24,015
"State Senate District 16 (2018), Maryland",126318.0,,1630.0,,24,016
"State Senate District 20 (2018), Maryland",127764.0,,2217.0,,24,020
"State Senate District 17 (2018), Maryland",141731.0,,650.0,,24,017
"State Senate District 18 (2018), Maryland",126981.0,,2017.0,,24,018
"State Senate District 19 (2018), Maryland",129974.0,,2114.0,,24,019
"State Senate District 21 (2018), Maryland",136818.0,,2091.0,,24,021
"State Senate District 22 (2018), Maryland",132534.0,,2232.0,,24,022
"State Senate District 23 (2018), Maryland",125294.0,,1715.0,,24,023
"State Senate District 24 (2018), Maryland",123339.0,,2672.0,,24,024
"State Senate District 25 (2018), Maryland",118584.0,,2220.0,,24,025
"State Senate District 26 (2018), Maryland",122380.0,,2660.0,,24,026
"State Senate District 27 (2018), Maryland",137550.0,,1913.0,,24,027
"State Senate District 28 (2018), Maryland",139156.0,,1144.0,,24,028
"State Senate District 29 (2018), Maryland",131925.0,,825.0,,24,029
"State Senate District 30 (2018), Maryland",125530.0,,1793.0,,24,030
"State Senate District 31 (2018), Maryland",132989.0,,1752.0,,24,031
"State Senate District 32 (2018), Maryland",145276.0,,2018.0,,24,032
"State Senate District 33 (2018), Maryland",135068.0,,1875.0,,24,033
"State Senate District 34 (2018), Maryland",124779.0,,1309.0,,24,034
"State Senate District 35 (2018), Maryland",129180.0,,1398.0,,24,035
"State Senate District 36 (2018), Maryland",129894.0,,1053.0,,24,036
"State Senate District 37 (2018), Maryland",127414.0,,1389.0,,24,037
"State Senate District 38 (2018), Maryland",129764.0,,1309.0,,24,038
"State Senate District 39 (2018), Maryland",130218.0,,2003.0,,24,039
"State Senate District 40 (2018), Maryland",110341.0,,2759.0,,24,040
"State Senate District 41 (2018), Maryland",116245.0,,2108.0,,24,041
"State Senate District 42 (2018), Maryland",126713.0,,1958.0,,24,042
"State Senate District 43 (2018), Maryland",118068.0,,2190.0,,24,043
"State Senate District 44 (2018), Maryland",117430.0,,2516.0,,24,044
"State Senate District 45 (2018), Maryland",114883.0,,2424.0,,24,045
"State Senate District 46 (2018), Maryland",116800.0,,2095.0,,24,046
"State Senate District 47 (2018), Maryland",127739.0,,2025.0,,24,047
"State Senate Districts not defined (2018), Maryland",0.0,,12.0,,24,ZZZ
"First Suffolk District (2018), Massachusetts",178854.0,,2821.0,,25,001
"Second Suffolk District (2018), Massachusetts",171663.0,,2807.0,,25,002
"Hampden District (2018), Massachusetts",158926.0,,1365.0,,25,003
"Berkshire, Hampshire, Franklin & Hampden District (2018); Massachusetts",151789.0,,379.0,,25,004
"Second Hampden & Hampshire District (2018), Massachusetts",158887.0,,863.0,,25,005
"Hampshire, Franklin & Worcester District (2018); Massachusetts",158155.0,,362.0,,25,006
"First Worcester District (2018), Massachusetts",174273.0,,1597.0,,25,010
"First Hampden & Hampshire District (2018), Massachusetts",162646.0,,1376.0,,25,007
"Worcester, Hampden, Hampshire & Middlesex District (2018); Massachusetts",166421.0,,267.0,,25,008
"Worcester & Middlesex District (2018), Massachusetts",163311.0,,573.0,,25,009
"Second Worcester District (2018), Massachusetts",176301.0,,1738.0,,25,011
"Worcester & Norfolk District (2018), Massachusetts",170498.0,,671.0,,25,012
"First Middlesex District (2018), Massachusetts",174444.0,,106.0,,25,013
"Middlesex & Worcester District (2018), Massachusetts",179305.0,,521.0,,25,014
"Second Middlesex & Norfolk District (2018), Massachusetts",168824.0,,812.0,,25,015
"First Essex District (2018), Massachusetts",180184.0,,548.0,,25,019
"Third Middlesex District (2018), Massachusetts",178092.0,,678.0,,25,016
"Norfolk, Bristol & Middlesex District (2018); Massachusetts",168639.0,,1535.0,,25,017
"Second Essex & Middlesex District (2018), Massachusetts",177718.0,,58.0,,25,018
"First Essex & Middlesex District (2018), Massachusetts",179250.0,,548.0,,25,020
"Second Essex District (2018), Massachusetts",172080.0,,78.0,,25,021
"Third Essex District (2018), Massachusetts",173360.0,,51.0,,25,022
"Fifth Middlesex District (2018), Massachusetts",174850.0,,366.0,,25,023
"Fourth Middlesex District (2018), Massachusetts",177646.0,,582.0,,25,024
"Second Middlesex District (2018), Massachusetts",183708.0,,887.0,,25,025
"Middlesex & Suffolk District (2018), Massachusetts",187046.0,,1794.0,,25,026
"First Suffolk & Middlesex District (2018), Massachusetts",186282.0,,2030.0,,25,027
"Second Suffolk & Middlesex District (2018), Massachusetts",178399.0,,2129.0,,25,028
"First Middlesex & Norfolk District (2018), Massachusetts",165536.0,,531.0,,25,029
"Norfolk & Suffolk District (2018), Massachusetts",168747.0,,1715.0,,25,030
"Bristol & Norfolk District (2018), Massachusetts",163187.0,,892.0,,25,031
"Norfolk, Bristol & Plymouth District (2018); Massachusetts",165638.0,,1012.0,,25,032
"Norfolk & Plymouth District (2018), Massachusetts",164114.0,,584.0,,25,033
"Plymouth & Norfolk District (2018), Massachusetts",169590.0,,67.0,,25,034
"Second Plymouth & Bristol District (2018), Massachusetts",164111.0,,709.0,,25,035
"First Plymouth & Bristol District (2018), Massachusetts",176460.0,,62.0,,25,036
"First Bristol & Plymouth District (2018), Massachusetts",165933.0,,45.0,,25,037
"Second Bristol & Plymouth District (2018), Massachusetts",162206.0,,62.0,,25,038
