NAME,B01003_001E,B01003_001EA,B01003_001M,B01003_001MA,zip code tabulation area
ZCTA5 30094,34928.0,,1802.0,,30094
ZCTA5 30113,6649.0,,809.0,,30113
ZCTA5 30125,23814.0,,852.0,,30125
ZCTA5 30145,7142.0,,840.0,,30145
ZCTA5 30148,861.0,,489.0,,30148
ZCTA5 30152,43310.0,,1837.0,,30152
ZCTA5 30204,12940.0,,623.0,,30204
ZCTA5 30215,36441.0,,1252.0,,30215
ZCTA5 30217,9144.0,,407.0,,30217
ZCTA5 30218,1628.0,,441.0,,30218
ZCTA5 30223,36986.0,,1351.0,,30223
ZCTA5 30233,23245.0,,957.0,,30233
ZCTA5 30248,25161.0,,1661.0,,30248
ZCTA5 30253,55176.0,,1803.0,,30253
ZCTA5 30256,2589.0,,430.0,,30256
ZCTA5 30268,10434.0,,1215.0,,30268
ZCTA5 30273,14663.0,,1561.0,,30273
ZCTA5 30274,35347.0,,1927.0,,30274
ZCTA5 30288,9230.0,,1303.0,,30288
ZCTA5 30296,28671.0,,1818.0,,30296
ZCTA5 30303,6719.0,,695.0,,30303
ZCTA5 30501,29629.0,,1365.0,,30501
ZCTA5 30513,11753.0,,886.0,,30513
ZCTA5 30519,46415.0,,2185.0,,30519
ZCTA5 30545,698.0,,156.0,,30545
ZCTA5 30549,24892.0,,927.0,,30549
ZCTA5 30571,3545.0,,431.0,,30571
ZCTA5 30602,2824.0,,291.0,,30602
ZCTA5 30828,4205.0,,239.0,,30828
ZCTA5 30016,54242.0,,1538.0,,30016
ZCTA5 30101,58041.0,,1866.0,,30101
ZCTA5 30582,5038.0,,538.0,,30582
ZCTA5 30665,67.0,,37.0,,30665
ZCTA5 30734,3779.0,,755.0,,30734
ZCTA5 30328,37111.0,,1265.0,,30328
ZCTA5 30345,25562.0,,1229.0,,30345
ZCTA5 30411,4766.0,,354.0,,30411
ZCTA5 30516,2012.0,,424.0,,30516
ZCTA5 30525,7305.0,,497.0,,30525
ZCTA5 30541,1580.0,,324.0,,30541
ZCTA5 30683,6601.0,,729.0,,30683
ZCTA5 30547,3209.0,,350.0,,30547
ZCTA5 30555,2273.0,,388.0,,30555
ZCTA5 30746,940.0,,325.0,,30746
ZCTA5 30725,4646.0,,685.0,,30725
ZCTA5 30728,20609.0,,1019.0,,30728
ZCTA5 30747,15438.0,,596.0,,30747
ZCTA5 30752,8463.0,,465.0,,30752
ZCTA5 30906,58114.0,,2053.0,,30906
ZCTA5 30002,5920.0,,516.0,,30002
ZCTA5 30011,15428.0,,1203.0,,30011
ZCTA5 30033,32968.0,,1564.0,,30033
ZCTA5 30040,70510.0,,1244.0,,30040
ZCTA5 30043,90675.0,,2441.0,,30043
ZCTA5 30079,2824.0,,498.0,,30079
ZCTA5 30104,4960.0,,801.0,,30104
ZCTA5 30106,21742.0,,1706.0,,30106
ZCTA5 30121,23373.0,,1449.0,,30121
ZCTA5 30122,25786.0,,1632.0,,30122
ZCTA5 30182,2498.0,,481.0,,30182
ZCTA5 30184,6612.0,,809.0,,30184
ZCTA5 30187,7918.0,,807.0,,30187
ZCTA5 30189,38550.0,,1294.0,,30189
ZCTA5 30236,49694.0,,2043.0,,30236
ZCTA5 30252,46286.0,,1740.0,,30252
ZCTA5 30257,4345.0,,553.0,,30257
ZCTA5 30258,3047.0,,405.0,,30258
