location,precinct,vbm_only,registration,biden,trump,others,total_votes,biden_pct,trump_pct,others_pct,winner
BALDWIN PARK,0600012A,N,2216,1267,326,28,1621,78.16,20.11,1.73,Biden
BALDWIN PARK,0600014A,N,1665,887,334,31,1252,70.85,26.68,2.48,Biden
BALDWIN PARK,0600016A,N,2263,1158,374,31,1563,74.09,23.93,1.98,Biden
BALDWIN PARK,0600017A,Y,555,263,118,8,389,67.61,30.33,2.06,Biden
BALDWIN PARK,0600017B,Y,0,0,0,0,0,,,,No votes
BALDWIN PARK,0600019A,N,2202,1106,462,29,1597,69.25,28.93,1.82,Biden
BALDWIN PARK,0600024B,N,1852,915,375,20,1310,69.85,28.63,1.53,Biden
BALDWIN PARK,0600025A,N,2409,1250,396,25,1671,74.81,23.7,1.5,Biden
BALDWIN PARK,0600026A,N,2010,1073,303,26,1402,76.53,21.61,1.85,Biden
BALDWIN PARK,0600027A,N,2231,1138,372,32,1542,73.8,24.12,2.08,Biden
BALDWIN PARK,0600029A,N,2052,1029,336,22,1387,74.19,24.22,1.59,Biden
BALDWIN PARK,0600030D,Y,0,0,0,0,0,,,,No votes
BALDWIN PARK,0600030F,Y,244,146,32,2,180,81.11,17.78,1.11,Biden
BALDWIN PARK,0600030G,Y,4,1,2,0,3,33.33,66.67,0.0,Trump
BALDWIN PARK,0600030H,Y,0,0,0,0,0,,,,No votes
BALDWIN PARK,0600035A,N,2293,1165,377,33,1575,73.97,23.94,2.1,Biden
BALDWIN PARK,0600036A,N,1923,1026,326,35,1387,73.97,23.5,2.52,Biden
BALDWIN PARK,0600037A,N,2326,1174,379,48,1601,73.33,23.67,3.0,Biden
BALDWIN PARK,0600041B,N,2106,1067,391,31,1489,71.66,26.26,2.08,Biden
BALDWIN PARK,0600052B,Y,0,0,0,0,0,,,,No votes
BALDWIN PARK,0600052C,Y,0,0,0,0,0,,,,No votes
BASSETT,0670001A,Y,0,0,0,0,0,,,,No votes
BASSETT,0670004A,Y,0,1,0,0,1,100.0,0.0,0.0,Biden
BASSETT,0670006A,N,2138,1126,326,28,1480,76.08,22.03,1.89,Biden
BASSETT,0670010A,N,1810,977,305,23,1305,74.87,23.37,1.76,Biden
BASSETT,0670142A,N,1923,1077,284,23,1384,77.82,20.52,1.66,Biden
BASSETT,0670143B,Y,0,0,0,0,0,,,,No votes
BASSETT,0670143C,N,1629,847,324,29,1200,70.58,27.0,2.42,Biden
BELL,0700001C,N,2087,1139,262,42,1443,78.93,18.16,2.91,Biden
BELL,0700003A,Y,2,2,0,0,2,100.0,0.0,0.0,Biden
BELL,0700005A,N,2084,1133,240,45,1418,79.9,16.93,3.17,Biden
BELL,0700005E,Y,86,27,8,1,36,75.0,22.22,2.78,Biden
BELL,0700007B,N,2016,1002,230,34,1266,79.15,18.17,2.69,Biden
BELL,0700008A,N,2024,1021,264,37,1322,77.23,19.97,2.8,Biden
