,name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,unsheltered,unshelteredoutside,2010-rate,2011-rate,2012-rate,2013-rate,2014-rate,2015-rate,2016-rate,2017-rate,2018-rate,2019-rate,2010-z,2011-z,2012-z,2013-z,2014-z,2015-z,2016-z,2017-z,2018-z,2019-z
40,Tujunga,2,0,6,0,4,0,0,0,0,0,88.85408846,31.99055592,2.250881231,0,6.752643693,0,4.501762462,0,0,0,0,0,-1.284942895,-2.251204331,-2.324184834,-4.83001436,-3.255159339,-4.48080858,-4.875513411,-5.047292165,-3.680667354,-1.518983718
50,Arlington Heights,1,0,1,1,0,0,0,0,0,0,62.99208117,34.61723204,1.587501129,0,1.587501129,1.587501129,0,0,0,0,0,0,-1.316777802,-1.895479912,-3.082904465,-3.75634473,-3.677462445,-3.772772883,-4.105108365,-4.249743472,-3.099066103,-1.278961258
44,Central-Alameda,10,15,21,17,1,3,0,0,0,0,289.0580423,125.5502523,3.459512809,5.189269214,7.2649769,5.881171776,0.345951281,1.037853843,0,0,0,0,-1.400913934,-0.155476153,-3.952782655,-6.24793563,-7.723476237,-7.626759014,-8.793751238,-9.103581098,-6.638659435,-2.739724789
42,South Park,8,8,34,24,29,34,3,0,0,0,253.2604592,103.562505,3.158803401,3.158803401,13.42491445,9.476410203,11.45066233,13.42491445,1.184551275,0,0,0,-1.52478443,-1.575718808,-1.007384445,-4.438492527,-2.596550146,-2.054831107,-7.769273128,-8.521252451,-6.214004398,-2.564472851
9,West Los Angeles,1,0,2,0,0,12,6,45,16,9,76.44977082,51.63118305,1.308048395,0,2.61609679,0,0,15.69658074,7.848290369,58.86217777,20.92877432,11.77243555,-1.559633703,-2.088162545,-3.149270671,-4.48020419,-4.051290277,-0.616703369,-2.840749473,7.685830788,1.986881467,5.144531634
43,Silver Lake,3,1,10,1,5,9,13,1,1,0,134.0659169,84.48120516,2.237705204,0.745901735,7.459017348,0.745901735,3.729508674,6.713115613,9.696722553,0.745901735,0.745901735,0,-1.585159365,-2.383000135,-2.630256202,-5.720120941,-4.232871468,-3.499311529,-3.237381962,-5.992278213,-4.266223797,-1.865836575
6,San Pedro,20,0,0,1,0,9,81,35,91,15,533.7446003,247.8485724,3.747110508,0,0,0.187355525,0,1.686199728,15.17579756,6.557443388,17.04935281,2.810332881,-1.607239633,-5.517507788,-9.981313831,-11.73129576,-10.70463873,-9.977378698,-3.357489624,-8.729974302,2.604598564,0.410846719
16,Rancho Park,0,0,0,0,0,1,2,29,4,4,47.49217822,25.51728151,0,0,0,0,0,2.105609887,4.211219773,61.06268671,8.422439547,8.422439547,-1.631395534,-1.645838632,-2.977364515,-3.531187337,-3.193127884,-2.90164727,-2.853248303,6.422197226,-0.97778132,2.584938978
34,Sherman Oaks,2,1,2,4,0,2,3,1,1,1,112.6240435,65.13269553,1.775819743,0.887909872,1.775819743,3.551639487,0,1.775819743,2.663729615,0.887909872,0.887909872,0.887909872,-1.671544825,-2.117437237,-4.067341589,-4.509105459,-4.917233431,-4.558633616,-4.796294137,-5.456010143,-3.86572879,-1.110199144
57,West Hills,0,6,0,0,0,0,0,0,0,0,52.05027065,12.04154122,0,11.52731758,0,0,0,0,0,0,0,0,-1.707889312,1.957886028,-3.116968833,-3.696759606,-3.342849034,-3.429487146,-3.731583323,-3.863058038,-2.817081148,-1.16258819
75,Hansen Dam,0,0,1,0,0,0,0,0,0,0,53.26546277,30.1026124,0,0,1.877389115,0,0,0,0,0,0,0,-1.727710915,-1.743006714,-2.776803527,-3.739663851,-3.381645825,-3.469289452,-3.774891728,-3.907892327,-2.849775927,-1.176081079
82,Fairfax,1,2,4,2,0,0,0,0,6,0,86.95887771,62.96969261,1.149968843,2.299937686,4.599875373,2.299937686,0,0,0,0,6.899813059,0,-1.729140461,-1.27780292,-2.850653454,-4.249764278,-4.320780764,-4.43276437,-4.823237089,-4.993173995,-1.742158959,-1.502696842
18,Tarzana,0,1,1,1,3,0,2,2,10,3,58.46384355,22.16299821,0,1.710458874,1.710458874,1.710458874,5.131376622,0,3.420917748,3.420917748,17.10458874,5.131376622,-1.810055563,-1.247225001,-2.944206741,-3.595647618,-2.514240153,-3.634639693,-3.313802974,-3.465587218,0.874486165,1.265890297
72,Harvard Park,1,0,0,0,0,0,1,0,0,0,93.00488596,34.80556628,1.075212329,0,0,0,0,0,1.075212329,0,0,0,-1.820402923,-2.303186413,-4.166523598,-4.941543199,-4.468462834,-4.584273982,-4.733982846,-5.16383812,-3.765656865,-1.554058249
68,Chatsworth,1,0,2,0,0,0,1,3,3,0,94.79434501,22.51863584,1.054915248,0,2.109830497,0,0,0,1.054915248,3.164745745,3.164745745,0,-1.846647904,-2.325238059,-3.64220316,-4.988855547,-4.511245718,-4.62816569,-4.78415076,-4.472838202,-2.892277902,-1.568937436
83,Elysian Park,0,0,0,0,0,0,1,0,0,0,64.75137576,39.71709792,0,0,0,0,0,0,1.544368731,0,0,0,-1.904902382,-1.921766895,-3.476525856,-4.123198224,-3.728462401,-3.825094627,-3.857494942,-4.308679962,-3.142044716,-1.296698208
47,Elysian Valley,0,0,0,0,0,0,0,1,0,0,65.16600392,6.713450359,0,0,0,0,0,0,0,1.53454246,0,0,-1.910991564,-1.927909986,-3.487638866,-4.136378377,-3.740380747,-3.837321867,-4.175343331,-4.024773032,-3.152088528,-1.300843214
78,Granada Hills,0,1,1,1,0,0,0,1,6,0,65.21451587,14.18797765,0,1.533400941,1.533400941,1.533400941,0,0,0,1.533400941,9.200405645,0,-1.911702737,-1.380550408,-3.148817129,-3.832799412,-3.741772726,-3.838749922,-4.176897181,-4.026492369,-0.960357004,-1.301327322
56,Baldwin Hills/Crenshaw,1,3,4,3,0,0,1,0,0,0,100.1116304,66.9092397,0.99888494,2.996654821,3.995539761,2.996654821,0,0,0.99888494,0,0,0,-1.922742232,-1.062496281,-3.224732286,-4.388078911,-4.636043849,-4.75619827,-4.930236997,-5.357497834,-3.906880508,-1.612340184
92,Pacific Palisades,0,1,1,0,2,1,4,8,1,0,67.39493056,22.63800421,0,1.483791127,1.483791127,0,2.967582255,1.483791127,5.93516451,11.87032902,1.483791127,0,-1.943398395,-1.421465481,-3.212210166,-4.206523593,-3.165140843,-3.588239397,-3.052103383,-2.054025112,-2.846018766,-1.322903075
98,Mid-Wilshire,0,1,3,2,0,0,0,1,1,0,72.12856518,58.03699288,0,1.386413271,4.159239814,2.772826542,0,0,0,1.386413271,1.386413271,0,-2.010489787,-1.507142252,-2.699004442,-3.77149206,-3.935128461,-4.037116944,-4.392737928,-4.264559131,-2.968680317,-1.368573282
79,Gramercy Park,0,0,0,0,0,0,9,0,0,0,73.80856647,16.77218198,0,0,0,0,0,0,12.19370654,0,0,0,-2.033768938,-2.051774334,-3.711712666,-4.402132388,-3.980692706,-4.083862098,-1.87637665,-4.600161958,-3.354603892,-1.384419781
25,Jefferson Park,0,5,2,8,0,3,0,0,0,1,75.45922922,33.73876519,0,6.626094716,2.650437887,10.60175155,0,3.97565683,0,0,0,1.325218943,-2.056384904,0.472987969,-3.120608386,-2.181877553,-4.024958901,-3.238590044,-4.4930146,-4.65131679,-3.391907839,-0.666884031
89,Encino,0,0,3,0,0,1,0,0,0,0,78.46044842,30.6286989,0,0,3.823582532,0,0,1.274527511,0,0,0,0,-2.096880194,-2.115444328,-2.89664321,-4.53873793,-4.104220268,-3.919429695,-4.581493137,-4.742912688,-3.45870287,-1.427380646
35,Sunland,0,1,0,1,0,0,0,0,0,0,81.92896984,42.83411706,0,1.220569479,0,1.220569479,0,0,0,0,0,0,-2.14272764,-1.67271327,-3.910566816,-4.365754591,-4.1939574,-4.302654069,-4.68166565,-4.846614575,-3.534326023,-1.458589752
19,Eagle Rock,1,0,1,14,5,0,6,4,2,3,118.1738974,48.1310928,0.846210561,0,0.846210561,11.84694786,4.231052806,0,5.077263367,3.384842245,1.692421122,2.538631683,-2.163044208,-2.596193074,-4.443916362,-2.396921514,-3.831148444,-5.167475934,-4.270081067,-4.936552934,-3.701703511,0.005269495
97,Mission Hills,0,1,0,0,0,0,0,2,3,0,84.5472785,18.56082927,0,1.182770182,0,0,0,0,0,2.365540365,3.548310547,0,-2.176697312,-1.714614804,-3.972562878,-4.711503633,-4.260446186,-4.370866074,-4.755886304,-4.400764844,-2.627388911,-1.481713463
93,Northridge,0,3,4,1,5,1,1,0,0,0,84.92105837,23.22437016,0,3.532692665,4.710256887,1.177564222,5.887821108,1.177564222,1.177564222,0,0,0,-2.181503549,-0.759938549,-2.789115115,-4.454524489,-2.84745171,-4.100650172,-4.500457724,-4.934321421,-3.598285016,-1.484985147
65,Vermont Knolls,0,0,0,0,1,6,4,0,0,0,88.14060092,39.70695496,0,0,0,0,1.134550922,6.80730553,4.538203686,0,0,0,-2.222471642,-2.242147664,-4.056102928,-4.810583059,-4.070803855,-2.814534119,-3.811788124,-5.026986749,-3.665859913,-1.512872798
21,Studio City,1,4,11,26,14,20,1,5,34,2,124.0802201,99.80564346,0.805930227,3.223720908,8.865232498,20.9541859,11.28302318,16.11860454,0.805930227,4.029651135,27.40162772,1.611860454,-2.236455523,-1.070920149,-2.100169425,0.043555055,-1.86641147,-0.664428344,-5.541464607,-4.885812463,4.659329215,-0.651869171
99,Mid-City,3,14,3,4,2,6,1,7,27,0,196.6539681,84.93872601,1.52552223,7.119103742,1.52552223,2.034029641,1.01701482,3.051044461,0.50850741,3.559551871,13.72970007,0,-2.365368263,1.069562671,-5.471011408,-6.482739474,-6.123769168,-5.562590621,-7.078503513,-6.309291347,0.206983118,-2.259777956
28,Mar Vista,2,0,0,1,3,5,3,8,17,1,174.0483953,65.33217081,1.149105682,0,0,0.574552841,1.723658523,2.872764205,1.723658523,4.596422727,9.767398296,0.574552841,-2.446800146,-3.150730227,-5.699752207,-6.573200073,-5.516664133,-5.293780053,-6.266384797,-5.606879423,-1.348124544,-1.643335784
52,Winnetka,0,1,4,1,0,0,0,0,1,0,107.8163708,42.99247266,0,0.927502932,3.710011726,0.927502932,0,0,0,0,0.927502932,0,-2.458049244,-2.05355401,-3.427954507,-5.083195182,-4.811135875,-4.935828233,-5.37061477,-5.55983741,-3.770185264,-1.673234325
60,West Adams,0,13,3,1,0,0,0,1,1,0,108.1709143,73.16646146,0,12.01801804,2.77338878,0.924462927,0,0,0,0.924462927,0.924462927,0,-2.462087453,3.048365874,-3.701147806,-5.092325174,-4.819039855,-4.943937065,-5.379437891,-5.337921946,-3.777312308,-1.6759832
12,Woodland Hills,0,0,2,3,0,1,3,7,10,9,111.5685695,45.98385858,0,0,1.79261956,2.68892934,0,0.89630978,2.68892934,6.274168459,8.963097799,8.066788019,-2.500455657,-2.522592732,-4.043363929,-4.712457795,-4.894137879,-4.77681364,-4.767243709,-4.063227252,-1.330102666,3.722786439
17,Valley Village,0,0,4,1,1,1,4,2,3,3,113.386236,63.64026806,0,0,3.527765044,0.881941261,0.881941261,0.881941261,3.527765044,1.763882522,2.645823783,2.645823783,-2.52074198,-2.543058654,-3.568686771,-5.224796659,-4.687648947,-4.81951412,-4.587027668,-5.250295058,-3.326305224,0.07783281
81,El Sereno,0,1,0,0,2,0,0,0,0,0,117.9485712,58.8750117,0,0.847827142,0,0,1.695654283,0,0,0,0,0,-2.570955543,-2.186179426,-4.692100501,-5.564883235,-4.54935348,-5.162547083,-5.617304798,-5.815219057,-4.24066732,-1.75009149
