index,year,type,population,employer,department,position,overtime,wages,benefits,employercounty,adjusted_overtime,adjusted_wages,adjusted_benefits,employerfull,fire
934316,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC,17392.0,168036.0,81373.0,LOS ANGELES,17392.0,168036.0,81373.0,GLENDALE_CITY,True
934317,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC,95248.0,231517.0,85478.0,LOS ANGELES,95248.0,231517.0,85478.0,GLENDALE_CITY,True
934318,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC,73458.0,220251.0,86858.0,LOS ANGELES,73458.0,220251.0,86858.0,GLENDALE_CITY,True
934319,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC,56518.0,206541.0,88545.0,LOS ANGELES,56517.99999999999,206541.0,88545.0,GLENDALE_CITY,True
934320,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC,56279.0,209702.0,88808.0,LOS ANGELES,56279.0,209702.0,88808.0,GLENDALE_CITY,True
934321,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC,92575.0,213383.0,86858.0,LOS ANGELES,92575.0,213383.0,86858.0,GLENDALE_CITY,True
934322,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC,153599.0,294013.0,88545.0,LOS ANGELES,153599.0,294013.0,88545.0,GLENDALE_CITY,True
934323,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC,7596.0,155019.0,86162.0,LOS ANGELES,7596.0,155019.0,86162.0,GLENDALE_CITY,True
934324,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC,103951.0,240196.0,73925.0,LOS ANGELES,103951.0,240196.0,73925.0,GLENDALE_CITY,True
934325,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC,19196.0,107458.0,40774.0,LOS ANGELES,19196.0,107458.0,40774.0,GLENDALE_CITY,True
934326,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC,68337.0,218120.0,88308.0,LOS ANGELES,68337.0,218120.00000000003,88308.0,GLENDALE_CITY,True
934327,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC,78384.0,216681.0,78830.0,LOS ANGELES,78384.0,216681.0,78830.0,GLENDALE_CITY,True
934328,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC,71877.0,217399.0,81820.0,LOS ANGELES,71877.0,217399.0,81820.0,GLENDALE_CITY,True
934329,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN PARAMEDIC,42865.0,173221.0,57803.0,LOS ANGELES,42865.0,173221.0,57803.0,GLENDALE_CITY,True
