area,population,week_8,week_9,week_10,week_11,week_12,week_13,week_14,change_week8_to_14
Los Angeles - South Carthay,8350.0,62.34,145.46,158.56,191.31,221.7,262.22,149.84,140.0
Los Angeles - South Carthay,8489.0,,,,,,,45.11,
Los Angeles - South Park,26088.0,20.31,47.39,54.87,73.57,94.69,122.85,70.2,246.0
Los Angeles - South Park,27305.0,,,,,,,22.28,
Los Angeles - St Elmo Village,3466.0,31.17,72.73,81.73,104.23,124.39,151.27,86.44,177.0
Los Angeles - St Elmo Village,3590.0,,,,,,,27.05,
Los Angeles - Studio City,18611.0,60.45,141.05,154.49,188.09,222.08,267.4,152.8,153.0
Los Angeles - Studio City,18996.0,,,,,,,48.82,
Los Angeles - Sun Valley,39885.0,38.79,90.51,100.17,124.32,148.47,180.67,103.24,166.0
Los Angeles - Sun Valley,41254.0,,,,,,,32.09,
Los Angeles - Sunland,17070.0,50.76,118.44,127.76,151.06,172.15,200.27,114.44,125.0
Los Angeles - Sunland,17414.0,,,,,,,34.21,
Los Angeles - Sycamore Square,551.0,33.21,77.49,89.47,119.42,156.44,205.8,117.6,254.0
Los Angeles - Sycamore Square,556.0,,,,,,,38.85,
Los Angeles - Sylmar,61824.0,42.72,99.68,110.44,137.34,164.04,199.64,114.08,167.0
Los Angeles - Sylmar,64481.0,,,,,,,34.76,
Los Angeles - Tarzana,24965.0,78.39,182.91,194.81,224.56,250.18,284.34,162.48,107.0
Los Angeles - Tarzana,25656.0,,,,,,,47.64,
Los Angeles - Temple-Beaudry,30759.0,31.47,73.43,83.47,108.57,133.77,167.37,95.64,204.0
Los Angeles - Temple-Beaudry,31707.0,,,,,,,30.29,
Los Angeles - Thai Town,8596.0,21.63,50.47,59.67,82.67,109.04,144.2,82.4,281.0
Los Angeles - Thai Town,8726.0,,,,,,,27.97,
Los Angeles - Toluca Lake,7548.0,46.23,107.87,120.03,150.43,184.81,230.65,131.8,185.0
Los Angeles - Toluca Lake,7639.0,,,,,,,42.82,
Los Angeles - Toluca Terrace,977.0,57.72,134.68,145.54,172.69,205.54,249.34,142.48,147.0
Los Angeles - Toluca Terrace,995.0,,,,,,,43.02,
Los Angeles - Toluca Woods,1562.0,53.19,124.11,137.43,170.73,202.8,245.56,140.32,164.0
Los Angeles - Toluca Woods,1595.0,,,,,,,47.52,
Los Angeles - Tujunga,22814.0,47.31,110.39,118.79,139.79,161.09,189.49,108.28,129.0
Los Angeles - Tujunga,23381.0,,,,,,,32.52,
Los Angeles - University Hills,2819.0,34.47,80.43,91.51,119.21,141.35,170.87,97.64,183.0
Los Angeles - University Hills,2882.0,,,,,,,29.7,
Los Angeles - University Park,23588.0,19.38,45.22,53.54,74.34,102.6,140.28,80.16,314.0
Los Angeles - University Park,23956.0,,,,,,,25.15,
Los Angeles - Valley Glen,23760.0,36.63,85.47,94.43,116.83,140.14,171.22,97.84,167.0
Los Angeles - Valley Glen,24410.0,,,,,,,30.85,
Los Angeles - Valley Village,20238.0,48.66,113.54,125.38,154.98,185.37,225.89,129.08,165.0
Los Angeles - Valley Village,20651.0,,,,,,,40.67,
Los Angeles - Van Nuys,69836.0,31.71,73.99,82.01,102.06,123.54,152.18,86.96,174.0
Los Angeles - Van Nuys,72201.0,,,,,,,27.54,
Los Angeles - Venice,28262.0,43.65,101.85,113.59,142.94,175.1,217.98,124.56,185.0
Los Angeles - Venice,28698.0,,,,,,,42.27,
Los Angeles - Vermont Knolls,12638.0,25.71,59.99,68.99,91.49,113.48,142.8,81.6,217.0
Los Angeles - Vermont Knolls,13177.0,,,,,,,25.04,
Los Angeles - Vermont Square,5658.0,29.64,69.16,81.22,111.37,140.53,179.41,102.52,246.0
Los Angeles - Vermont Square,5871.0,,,,,,,30.85,
Los Angeles - Vermont Vista,28185.0,18.69,43.61,50.43,67.48,86.11,110.95,63.4,239.0
Los Angeles - Vermont Vista,29572.0,,,,,,,20.7,
Los Angeles - Vernon Central,35744.0,19.56,45.64,53.3,72.45,93.87,122.43,69.96,258.0
Los Angeles - Vernon Central,37519.0,,,,,,,22.51,
Los Angeles - Victoria Park,6416.0,31.08,72.52,82.94,108.99,137.13,174.65,99.8,221.0
Los Angeles - Victoria Park,6618.0,,,,,,,31.31,
Los Angeles - View Heights,3038.0,44.73,104.37,119.31,156.66,184.8,222.32,127.04,184.0
Los Angeles - View Heights,3122.0,,,,,,,36.58,
Los Angeles - Watts,28307.0,21.84,50.96,57.54,73.99,92.74,117.74,67.28,208.0
Los Angeles - Watts,29875.0,,,,,,,21.42,
Los Angeles - Wellington Square,3743.0,35.28,82.32,95.98,130.13,157.4,193.76,110.72,214.0
Los Angeles - Wellington Square,3867.0,,,,,,,33.13,
Los Angeles - West Adams,21042.0,41.25,96.25,108.15,137.9,165.65,202.65,115.8,181.0
Los Angeles - West Adams,21748.0,,,,,,,34.07,
Los Angeles - West Hills,33945.0,70.41,164.29,178.71,214.76,245.06,285.46,163.12,132.0
Los Angeles - West Hills,34938.0,,,,,,,48.41,
Los Angeles - West Los Angeles,32337.0,55.86,130.34,142.12,171.57,200.76,239.68,136.96,145.0
Los Angeles - West Los Angeles,32711.0,,,,,,,44.0,
Los Angeles - West Vernon,39282.0,26.46,61.74,71.32,95.27,119.93,152.81,87.32,230.0
Los Angeles - West Vernon,40802.0,,,,,,,26.8,
Los Angeles - Westchester,42616.0,50.49,117.81,131.07,164.22,194.49,234.85,134.2,166.0
Los Angeles - Westchester,43503.0,,,,,,,43.07,
Los Angeles - Westlake,46290.0,26.91,62.79,69.63,86.73,104.43,128.03,73.16,172.0
Los Angeles - Westlake,47668.0,,,,,,,22.88,
Los Angeles - Westwood,48461.0,59.22,138.18,147.12,169.47,188.37,213.57,122.04,106.0
Los Angeles - Westwood,49020.0,,,,,,,35.76,
Los Angeles - Wholesale District,31989.0,40.2,93.8,104.2,130.2,162.78,206.22,117.84,193.0
Los Angeles - Wholesale District,32528.0,,,,,,,37.91,
Los Angeles - Wilmington,40636.0,28.86,67.34,75.6,96.25,119.56,150.64,86.08,198.0
Los Angeles - Wilmington,42449.0,,,,,,,26.47,
Los Angeles - Wilshire Center,39616.0,35.58,83.02,93.24,118.79,145.13,180.25,103.0,189.0
Los Angeles - Wilshire Center,40599.0,,,,,,,32.93,
Los Angeles - Winnetka,40246.0,47.82,111.58,123.4,152.95,181.51,219.59,125.48,162.0
Los Angeles - Winnetka,41471.0,,,,,,,38.15,
Los Angeles - Woodland Hills,55829.0,69.6,162.4,175.92,209.72,238.1,275.94,157.68,127.0
Los Angeles - Woodland Hills,57284.0,,,,,,,47.81,
Unincorporated - Acton,6783.0,30.87,72.03,79.91,99.61,116.8,139.72,79.84,159.0
Unincorporated - Acton,6961.0,,,,,,,23.73,
Unincorporated - Agua Dulce,3648.0,38.4,89.6,98.1,119.35,135.31,156.59,89.48,133.0
Unincorporated - Agua Dulce,3736.0,,,,,,,25.64,
Unincorporated - Altadena,35764.0,64.71,150.99,166.71,206.01,236.37,276.85,158.2,144.0
Unincorporated - Altadena,36812.0,,,,,,,46.74,
Unincorporated - Anaverde,1238.0,35.13,81.97,89.57,108.57,129.15,156.59,89.48,155.0
Unincorporated - Anaverde,1278.0,,,,,,,26.6,
Unincorporated - Angeles National Forest,1075.0,18.15,42.35,46.43,56.63,96.26,149.1,85.2,369.0
Unincorporated - Angeles National Forest,1096.0,,,,,,,27.01,
Unincorporated - Arcadia,6424.0,64.26,149.94,166.44,207.69,241.65,286.93,163.96,155.0
Unincorporated - Arcadia,6604.0,,,,,,,47.55,
Unincorporated - Athens Village,3643.0,41.34,96.46,104.96,126.21,153.66,190.26,108.72,163.0
Unincorporated - Athens Village,3802.0,,,,,,,32.56,
Unincorporated - Athens-Westmont,31407.0,25.26,58.94,66.88,86.73,108.51,137.55,78.6,211.0
Unincorporated - Athens-Westmont,32690.0,,,,,,,24.14,
Unincorporated - Avocado Heights,5184.0,33.03,77.07,87.31,112.91,141.32,179.2,102.4,210.0
Unincorporated - Avocado Heights,5387.0,,,,,,,31.45,
Unincorporated - Azusa,11706.0,35.13,81.97,90.61,112.21,142.39,182.63,104.36,197.0
Unincorporated - Azusa,12142.0,,,,,,,32.12,
Unincorporated - Bassett,11310.0,42.63,99.47,112.01,143.36,176.87,221.55,126.6,197.0
Unincorporated - Bassett,11723.0,,,,,,,37.54,
Unincorporated - Bouquet Canyon,882.0,32.31,75.39,83.55,103.95,119.25,139.65,79.8,147.0
Unincorporated - Bouquet Canyon,909.0,,,,,,,25.19,
Unincorporated - Bradbury,280.0,275.37,642.53,646.09,654.99,654.99,654.99,374.28,36.0
Unincorporated - Canyon Country,1522.0,39.81,92.89,102.49,126.49,147.58,175.7,100.4,152.0
Unincorporated - Canyon Country,1575.0,,,,,,,28.83,
Unincorporated - Castaic,22023.0,34.53,80.57,90.07,113.82,137.22,168.42,96.24,179.0
Unincorporated - Castaic,22736.0,,,,,,,28.23,
Unincorporated - Cerritos,450.0,61.32,143.08,154.64,183.54,208.2,241.08,137.76,125.0
Unincorporated - Cerritos,459.0,,,,,,,41.83,
Unincorporated - Charter Oak,19.0,,,,,94.74,221.06,163.16,
Unincorporated - Claremont,536.0,45.33,105.77,116.59,143.64,164.91,193.27,110.44,144.0
Unincorporated - Claremont,574.0,,,,,,,32.75,
Unincorporated - Covina,13359.0,45.33,105.77,118.87,151.62,185.28,230.16,131.52,190.0
Unincorporated - Covina,13789.0,,,,,,,38.99,
Unincorporated - Covina (Charter Oak),10639.0,43.23,100.87,111.65,138.6,168.18,207.62,118.64,174.0
Unincorporated - Covina (Charter Oak),10961.0,,,,,,,35.44,
Unincorporated - Del Aire,3491.0,41.76,97.44,113.32,153.02,186.02,230.02,131.44,215.0
Unincorporated - Del Aire,3580.0,,,,,,,40.75,
Unincorporated - Del Rey,364.0,45.33,105.77,120.61,157.71,189.84,232.68,132.96,193.0
Unincorporated - Del Rey,373.0,,,,,,,44.77,
Unincorporated - Del Sur,2078.0,22.53,52.57,61.71,84.56,103.91,129.71,74.12,229.0
Unincorporated - Del Sur,2129.0,,,,,,,23.2,
Unincorporated - Desert View Highlands,1943.0,28.41,66.29,71.23,83.58,107.19,138.67,79.24,179.0
Unincorporated - Desert View Highlands,2010.0,,,,,,,24.08,
Unincorporated - Duarte,3315.0,39.54,92.26,103.48,131.53,160.69,199.57,114.04,188.0
Unincorporated - Duarte,3440.0,,,,,,,34.83,
Unincorporated - East Covina,305.0,68.85,160.65,169.83,192.78,222.3,261.66,149.52,117.0
Unincorporated - East Covina,311.0,,,,,,,45.66,
Unincorporated - East La Mirada,4324.0,46.29,108.01,122.11,157.36,187.87,228.55,130.6,182.0
Unincorporated - East La Mirada,4455.0,,,,,,,39.03,
Unincorporated - East Lancaster,90.0,,,17.78,62.23,82.24,108.92,62.24,
Unincorporated - East Lancaster,94.0,,,,,,,22.34,
Unincorporated - East Los Angeles,90890.0,34.11,79.59,92.51,124.81,150.7,185.22,105.84,210.0
Unincorporated - East Los Angeles,94756.0,,,,,,,32.28,
Unincorporated - East Pasadena,6254.0,70.95,165.55,180.87,219.17,250.01,291.13,166.36,134.0
Unincorporated - East Pasadena,6432.0,,,,,,,49.22,
Unincorporated - East Rancho Dominguez,10660.0,23.31,54.39,63.49,86.24,109.13,139.65,79.8,242.0
Unincorporated - East Rancho Dominguez,11160.0,,,,,,,24.88,
Unincorporated - East Whittier,4179.0,40.14,93.66,104.8,132.65,158.63,193.27,110.44,175.0
Unincorporated - East Whittier,4315.0,,,,,,,32.91,
Unincorporated - El Camino Village,6573.0,58.14,135.66,147.32,176.47,202.24,236.6,135.2,133.0
Unincorporated - El Camino Village,6806.0,,,,,,,40.21,
Unincorporated - El Monte,98.0,24.48,57.12,65.28,85.68,116.31,157.15,89.8,267.0
Unincorporated - El Monte,103.0,,,,,,,27.18,
Unincorporated - Elizabeth Lake,1410.0,15.54,36.26,41.78,55.58,71.75,93.31,53.32,243.0
Unincorporated - Elizabeth Lake,1444.0,,,,,,,16.62,
Unincorporated - Florence-Firestone,45509.0,20.28,47.32,55.54,76.09,103.51,140.07,80.04,295.0
Unincorporated - Florence-Firestone,47572.0,,,,,,,25.36,
Unincorporated - Glendora,578.0,52.41,122.29,135.79,169.54,195.49,230.09,131.48,151.0
Unincorporated - Glendora,591.0,,,,,,,36.72,
Unincorporated - Hacienda Heights,46574.0,52.53,122.57,135.93,169.33,203.89,249.97,142.84,172.0
Unincorporated - Hacienda Heights,47816.0,,,,,,,42.69,
Unincorporated - Hawthorne,1856.0,30.06,70.14,82.22,112.42,142.48,182.56,104.32,247.0
Unincorporated - Hawthorne,1933.0,,,,,,,33.01,
Unincorporated - Hi Vista,852.0,15.84,36.96,40.48,49.28,74.63,108.43,61.96,291.0
Unincorporated - Hi Vista,874.0,,,,,,,20.02,
Unincorporated - Kagel/Lopez Canyons,1057.0,26.67,62.23,68.49,84.14,106.25,135.73,77.56,191.0
Unincorporated - Kagel/Lopez Canyons,1095.0,,,,,,,26.85,
Unincorporated - La Crescenta-Montrose,16603.0,60.6,141.4,154.76,188.16,216.93,255.29,145.88,141.0
Unincorporated - La Crescenta-Montrose,17058.0,,,,,,,45.16,
Unincorporated - La Habra Heights,595.0,21.69,50.61,59.67,82.32,98.97,121.17,69.24,219.0
Unincorporated - La Habra Heights,606.0,,,,,,,21.45,
Unincorporated - La Rambla,1643.0,40.71,94.99,106.19,134.19,154.11,180.67,103.24,154.0
Unincorporated - La Rambla,1672.0,,,,,,,32.78,
Unincorporated - La Verne,1616.0,69.63,162.47,176.45,211.4,234.8,266.0,152.0,118.0
Unincorporated - La Verne,1697.0,,,,,,,42.72,
Unincorporated - Ladera Heights,6058.0,77.49,180.81,196.13,234.43,261.58,297.78,170.16,120.0
Unincorporated - Ladera Heights,6192.0,,,,,,,47.48,
Unincorporated - Lake Hughes,499.0,15.63,36.47,38.47,43.47,54.9,70.14,40.08,156.0
Unincorporated - Lake Hughes,526.0,,,,,,,12.74,
Unincorporated - Lake Los Angeles,9635.0,17.58,41.02,47.46,63.56,83.48,110.04,62.88,258.0
Unincorporated - Lake Los Angeles,10027.0,,,,,,,19.11,
Unincorporated - Lake Manor,1380.0,38.49,89.81,102.27,133.42,160.15,195.79,111.88,191.0
Unincorporated - Lake Manor,1408.0,,,,,,,35.09,
Unincorporated - Lakewood,104.0,54.81,127.89,135.59,154.84,172.12,195.16,111.52,103.0
Unincorporated - Lakewood,109.0,,,,,,,28.44,
Unincorporated - Lennox,16313.0,21.87,51.03,60.57,84.42,111.57,147.77,84.44,286.0
Unincorporated - Lennox,17008.0,,,,,,,27.16,
Unincorporated - Leona Valley,1547.0,30.24,70.56,76.0,89.6,105.5,126.7,72.4,139.0
Unincorporated - Leona Valley,1584.0,,,,,,,21.09,
Unincorporated - Littlerock,3194.0,17.1,39.9,45.4,59.15,77.66,102.34,58.48,242.0
Unincorporated - Littlerock,3302.0,,,,,,,19.44,
Unincorporated - Littlerock/Juniper Hills,1210.0,35.7,83.3,92.4,115.15,137.2,166.6,95.2,167.0
Unincorporated - Littlerock/Juniper Hills,1234.0,,,,,,,27.55,
Unincorporated - Littlerock/Pearblossom,2757.0,16.77,39.13,45.57,61.67,83.99,113.75,65.0,288.0
Unincorporated - Littlerock/Pearblossom,2856.0,,,,,,,21.74,
Unincorporated - Llano,734.0,17.97,41.93,46.85,59.15,78.35,103.95,59.4,231.0
Unincorporated - Llano,749.0,,,,,,,18.96,
Unincorporated - Long Beach,1229.0,72.0,168.0,180.54,211.89,243.36,285.32,163.04,126.0
Unincorporated - Long Beach,1262.0,,,,,,,46.28,
Unincorporated - Marina del Rey,8322.0,48.84,113.96,124.22,149.87,181.4,223.44,127.68,161.0
Unincorporated - Marina del Rey,8381.0,,,,,,,44.08,
Unincorporated - Monrovia,3124.0,56.07,130.83,145.17,181.02,207.54,242.9,138.8,148.0
Unincorporated - Monrovia,3223.0,,,,,,,39.68,
Unincorporated - Newhall,175.0,29.13,67.97,80.55,112.0,136.0,168.0,96.0,230.0
Unincorporated - Newhall,182.0,,,,,,,29.67,
Unincorporated - North Lancaster,1021.0,40.56,94.64,101.1,117.25,136.63,162.47,92.84,129.0
Unincorporated - North Lancaster,1038.0,,,,,,,28.03,
Unincorporated - North Whittier,6521.0,52.23,121.87,138.29,179.34,207.75,245.63,140.36,169.0
Unincorporated - North Whittier,6767.0,,,,,,,40.86,
Unincorporated - Northeast San Gabriel,19550.0,56.7,132.3,146.6,182.35,211.63,250.67,143.24,153.0
Unincorporated - Northeast San Gabriel,20100.0,,,,,,,43.69,
Unincorporated - Padua Hills,128.0,96.09,224.21,233.59,257.04,275.79,300.79,171.88,79.0
Unincorporated - Padua Hills,181.0,,,,,,,38.12,
Unincorporated - Palmdale,589.0,6.63,15.47,18.85,27.3,45.66,70.14,40.08,505.0
Unincorporated - Palmdale,616.0,,,,,,,11.2,
Unincorporated - Palos Verdes Peninsula,547.0,60.87,142.03,159.21,202.16,227.39,261.03,149.16,145.0
Unincorporated - Palos Verdes Peninsula,568.0,,,,,,,45.07,
Unincorporated - Pearblossom/Llano,1630.0,13.26,30.94,35.48,46.83,55.83,67.83,38.76,192.0
Unincorporated - Pearblossom/Llano,1671.0,,,,,,,12.81,
Unincorporated - Pellissier Village,454.0,39.0,91.0,102.0,129.5,169.16,222.04,126.88,225.0
Unincorporated - Pellissier Village,475.0,,,,,,,38.11,
Unincorporated - Placerita Canyon,335.0,14.34,33.46,38.82,52.22,63.86,79.38,45.36,216.0
Unincorporated - Placerita Canyon,352.0,,,,,,,12.78,
Unincorporated - Pomona,1792.0,10.38,24.22,26.68,32.83,41.02,51.94,29.68,186.0
Unincorporated - Pomona,1807.0,,,,,,,8.85,
Unincorporated - Quartz Hill,10420.0,33.66,78.54,86.18,105.28,128.65,159.81,91.32,171.0
Unincorporated - Quartz Hill,10745.0,,,,,,,26.29,
Unincorporated - Rancho Dominguez,2239.0,43.02,100.38,111.28,138.53,161.69,192.57,110.04,156.0
Unincorporated - Rancho Dominguez,2294.0,,,,,,,35.18,
Unincorporated - Roosevelt,701.0,18.39,42.91,46.35,54.95,79.76,112.84,64.48,251.0
Unincorporated - Roosevelt,727.0,,,,,,,21.6,
Unincorporated - Rosewood,1027.0,29.79,69.51,80.03,106.33,129.1,159.46,91.12,206.0
Unincorporated - Rosewood,1061.0,,,,,,,26.86,
Unincorporated - Rosewood/East Gardena,975.0,39.39,91.91,104.83,137.13,170.67,215.39,123.08,212.0
Unincorporated - Rosewood/East Gardena,1005.0,,,,,,,37.51,
Unincorporated - Rosewood/West Rancho Dominguez,2572.0,23.67,55.23,61.45,77.0,96.14,121.66,69.52,194.0
Unincorporated - Rosewood/West Rancho Dominguez,2673.0,,,,,,,22.15,
Unincorporated - Rowland Heights,42449.0,49.86,116.34,128.8,159.95,192.02,234.78,134.16,169.0
Unincorporated - Rowland Heights,43531.0,,,,,,,41.13,
Unincorporated - San Francisquito Canyon/Bouquet Canyon,137.0,111.69,260.61,273.75,306.6,335.04,372.96,213.12,91.0
Unincorporated - San Francisquito Canyon/Bouquet Canyon,143.0,,,,,,,62.24,
Unincorporated - San Jose Hills,15181.0,32.7,76.3,86.26,111.16,139.0,176.12,100.64,208.0
Unincorporated - San Jose Hills,15761.0,,,,,,,30.86,
Unincorporated - San Pasqual,1605.0,76.65,178.85,197.65,244.65,281.49,330.61,188.92,146.0
Unincorporated - San Pasqual,1649.0,,,,,,,56.58,
Unincorporated - Sand Canyon,277.0,71.49,166.81,175.47,197.12,222.02,255.22,145.84,104.0
Unincorporated - Sand Canyon,283.0,,,,,,,42.76,
Unincorporated - Santa Catalina Island,247.0,26.73,62.37,65.61,73.71,72.48,70.84,40.48,51.0
Unincorporated - Santa Catalina Island,249.0,,,,,,,12.85,
Unincorporated - Santa Monica Mountains,15724.0,55.56,129.64,140.06,166.11,190.95,224.07,128.04,130.0
Unincorporated - Santa Monica Mountains,16297.0,,,,,,,39.63,
Unincorporated - Saugus,133.0,103.77,242.13,287.23,399.98,501.5,636.86,363.92,251.0
Unincorporated - Saugus/Canyon Country,332.0,117.48,274.12,283.14,305.69,325.58,352.1,201.2,71.0
Unincorporated - Saugus/Canyon Country,336.0,,,,,,,50.6,
Unincorporated - South Antelope Valley,413.0,17.43,40.67,48.91,69.51,89.85,116.97,66.84,283.0
Unincorporated - South Antelope Valley,418.0,,,,,,,19.62,
Unincorporated - South El Monte,1340.0,24.39,56.91,69.01,99.26,128.15,166.67,95.24,290.0
Unincorporated - South El Monte,1394.0,,,,,,,27.55,
Unincorporated - South San Gabriel,7371.0,59.64,139.16,154.72,193.62,225.18,267.26,152.72,156.0
Unincorporated - South San Gabriel,7548.0,,,,,,,46.36,
Unincorporated - South Whittier,45651.0,35.79,83.51,94.25,121.1,148.7,185.5,106.0,196.0
Unincorporated - South Whittier,47333.0,,,,,,,32.48,
Unincorporated - Southeast Antelope Valley,614.0,21.99,51.31,57.17,71.82,94.29,124.25,71.0,223.0
Unincorporated - Southeast Antelope Valley,633.0,,,,,,,23.06,
Unincorporated - Stevenson Ranch,16712.0,54.87,128.03,139.75,169.05,198.12,236.88,135.36,147.0
Unincorporated - Stevenson Ranch,17460.0,,,,,,,40.84,
Unincorporated - Sun Village,4525.0,18.69,43.61,50.69,68.39,92.18,123.9,70.8,279.0
Unincorporated - Sun Village,4709.0,,,,,,,22.93,
Unincorporated - Sunrise Village,1022.0,49.62,115.78,128.1,158.9,185.6,221.2,126.4,155.0
Unincorporated - Sunrise Village,1059.0,,,,,,,37.68,
Unincorporated - Twin Lakes/Oat Mountain,1362.0,52.2,121.8,134.88,167.58,196.41,234.85,134.2,157.0
Unincorporated - Twin Lakes/Oat Mountain,1394.0,,,,,,,39.81,
Unincorporated - Universal City,0.0,,,,,inf,inf,inf,
Unincorporated - Val Verde,2619.0,31.05,72.45,81.61,104.51,128.9,161.42,92.24,197.0
Unincorporated - Val Verde,2720.0,,,,,,,26.47,
Unincorporated - Valencia,2192.0,59.52,138.88,154.68,194.18,228.92,275.24,157.28,164.0
Unincorporated - Valencia,2325.0,,,,,,,47.96,
Unincorporated - Valinda,17856.0,40.92,95.48,107.04,135.94,168.01,210.77,120.44,194.0
Unincorporated - Valinda,18507.0,,,,,,,35.58,
Unincorporated - View Park/Windsor Hills,9812.0,58.2,135.8,153.66,198.31,228.43,268.59,153.48,164.0
Unincorporated - View Park/Windsor Hills,10084.0,,,,,,,42.92,
Unincorporated - Walnut Park,12006.0,33.87,79.03,90.91,120.61,147.43,183.19,104.68,209.0
Unincorporated - Walnut Park,12469.0,,,,,,,32.53,
Unincorporated - West Antelope Valley,1318.0,22.32,52.08,56.78,68.53,80.35,96.11,54.92,146.0
Unincorporated - West Antelope Valley,1348.0,,,,,,,17.28,
Unincorporated - West Carson,18052.0,65.19,152.11,165.35,198.45,225.36,261.24,149.28,129.0
Unincorporated - West Carson,18482.0,,,,,,,44.59,
Unincorporated - West LA,868.0,30.42,70.98,79.96,102.41,107.24,113.68,64.96,114.0
Unincorporated - West LA,879.0,,,,,,,16.15,
Unincorporated - West Puente Valley,7626.0,39.69,92.61,104.09,132.79,165.61,209.37,119.64,201.0
Unincorporated - West Puente Valley,7882.0,,,,,,,36.35,
Unincorporated - West Rancho Dominguez,1056.0,31.53,73.57,82.67,105.42,128.13,158.41,90.52,187.0
Unincorporated - West Rancho Dominguez,1099.0,,,,,,,26.84,
Unincorporated - West Whittier/Los Nietos,20804.0,41.4,96.6,110.96,146.86,176.38,215.74,123.28,198.0
Unincorporated - West Whittier/Los Nietos,21564.0,,,,,,,37.27,
Unincorporated - Westfield/Academy Hills,1121.0,94.2,219.8,235.86,276.01,306.25,346.57,198.04,110.0
Unincorporated - Westfield/Academy Hills,1159.0,,,,,,,58.41,
Unincorporated - Westhills,751.0,77.91,181.79,195.63,230.23,256.18,290.78,166.16,113.0
Unincorporated - Westhills,770.0,,,,,,,47.53,
Unincorporated - White Fence Farms,3272.0,33.75,78.75,87.37,108.92,130.37,158.97,90.84,169.0
Unincorporated - White Fence Farms,3342.0,,,,,,,27.41,
Unincorporated - Whittier,3155.0,70.35,164.15,182.93,229.88,258.5,296.66,169.52,141.0
Unincorporated - Whittier,3218.0,,,,,,,48.04,
Unincorporated - Whittier Narrows,10.0,,,100.0,350.0,200.0,,,
Unincorporated - Willowbrook,25308.0,24.18,56.42,64.92,86.17,107.65,136.29,77.88,222.0
Unincorporated - Willowbrook,26433.0,,,,,,,24.86,
Unincorporated - Wiseburn,4721.0,46.77,109.13,124.51,162.96,194.16,235.76,134.72,188.0
Unincorporated - Wiseburn,4846.0,,,,,,,42.57,
