,date,tweet,retweet
795,2013-07-04,10.0,
796,2013-07-05,35.0,
797,2013-07-06,29.0,
798,2013-07-07,9.0,
799,2013-07-08,37.0,
800,2013-07-09,29.0,
801,2013-07-10,44.0,
802,2013-07-11,8.0,
803,2013-07-12,35.0,
804,2013-07-13,46.0,
805,2013-07-14,15.0,
806,2013-07-15,16.0,
807,2013-07-16,50.0,
808,2013-07-17,43.0,
809,2013-07-18,32.0,
810,2013-07-19,21.0,
811,2013-07-20,9.0,
812,2013-07-21,8.0,
813,2013-07-22,8.0,
814,2013-07-23,100.0,
815,2013-07-24,50.0,
816,2013-07-25,13.0,
817,2013-07-26,20.0,
818,2013-07-27,11.0,
819,2013-07-28,23.0,
820,2013-07-29,23.0,
821,2013-07-30,13.0,
822,2013-07-31,36.0,
823,2013-08-01,44.0,
824,2013-08-02,19.0,
825,2013-08-03,1.0,
826,2013-08-04,9.0,
827,2013-08-05,30.0,
828,2013-08-06,23.0,
829,2013-08-07,25.0,
830,2013-08-08,26.0,
831,2013-08-09,29.0,
832,2013-08-10,4.0,
833,2013-08-11,21.0,
834,2013-08-12,38.0,
835,2013-08-13,36.0,
836,2013-08-14,16.0,
837,2013-08-15,49.0,
838,2013-08-16,15.0,
839,2013-08-17,10.0,
840,2013-08-18,14.0,
841,2013-08-19,16.0,
842,2013-08-20,35.0,
843,2013-08-21,35.0,
844,2013-08-22,26.0,
845,2013-08-23,3.0,
846,2013-08-24,11.0,
847,2013-08-25,17.0,
848,2013-08-26,18.0,
849,2013-08-27,10.0,
850,2013-08-28,48.0,
851,2013-08-29,40.0,
852,2013-08-30,26.0,
853,2013-08-31,17.0,
854,2013-09-01,22.0,
855,2013-09-02,24.0,
856,2013-09-03,25.0,
857,2013-09-04,33.0,
858,2013-09-05,35.0,
859,2013-09-06,19.0,
860,2013-09-07,43.0,
861,2013-09-08,22.0,
862,2013-09-09,24.0,
863,2013-09-10,76.0,
864,2013-09-11,34.0,
865,2013-09-12,22.0,
866,2013-09-13,19.0,
867,2013-09-14,20.0,
868,2013-09-15,5.0,
869,2013-09-16,11.0,
870,2013-09-17,19.0,
871,2013-09-18,22.0,
872,2013-09-19,18.0,
873,2013-09-20,27.0,
874,2013-09-21,21.0,
875,2013-09-22,19.0,
876,2013-09-23,15.0,
877,2013-09-24,15.0,
878,2013-09-25,10.0,
879,2013-09-26,28.0,
880,2013-09-27,19.0,
881,2013-09-28,3.0,
882,2013-09-29,5.0,
883,2013-09-30,17.0,
884,2013-10-01,20.0,
885,2013-10-02,23.0,
886,2013-10-03,22.0,
887,2013-10-04,20.0,
888,2013-10-05,1.0,
889,2013-10-06,1.0,
890,2013-10-07,17.0,
891,2013-10-08,18.0,
892,2013-10-09,16.0,
893,2013-10-10,22.0,
894,2013-10-11,47.0,
895,2013-10-12,1.0,
896,2013-10-13,5.0,
897,2013-10-14,24.0,
898,2013-10-15,6.0,
899,2013-10-16,13.0,
900,2013-10-17,37.0,
901,2013-10-18,51.0,
902,2013-10-19,17.0,
903,2013-10-20,12.0,
904,2013-10-21,19.0,
905,2013-10-22,8.0,
906,2013-10-23,18.0,
907,2013-10-24,21.0,
908,2013-10-25,1.0,
909,2013-10-26,18.0,
910,2013-10-27,33.0,
911,2013-10-28,16.0,
912,2013-10-29,18.0,
913,2013-10-30,14.0,
914,2013-10-31,20.0,
915,2013-11-01,6.0,
916,2013-11-02,2.0,
917,2013-11-03,10.0,
918,2013-11-04,19.0,
919,2013-11-05,17.0,
920,2013-11-06,20.0,
921,2013-11-07,15.0,
