,zipcode,tie,herb_wesson,holly_mitchell,total,winner_dist_two,winner_total
567,92656,0,1500,0,1500,Herb Wesson,1500
800,96813,0,1500,0,1500,Herb Wesson,1500
672,94513,0,0,1500,1500,Holly Mitchell,1500
594,92886,0,1500,0,1500,Herb Wesson,1500
656,94123,0,0,1500,1500,Holly Mitchell,1500
802,98004,0,0,1500,1500,Holly Mitchell,1500
589,92865,0,1500,0,1500,Herb Wesson,1500
62,20601,0,1500,0,1500,Herb Wesson,1500
61,20191,0,0,1500,1500,Holly Mitchell,1500
580,92821,0,1500,0,1500,Herb Wesson,1500
581,92823,0,1500,0,1500,Herb Wesson,1500
669,94404,0,0,1500,1500,Holly Mitchell,1500
297,90270,0,1500,0,1500,Herb Wesson,1500
58,20076,0,0,1500,1500,Holly Mitchell,1500
607,93308,0,1500,0,1500,Herb Wesson,1500
519,92260,0,1500,0,1500,Herb Wesson,1500
689,94579,0,0,1500,1500,Holly Mitchell,1500
74,22046,0,1500,0,1500,Herb Wesson,1500
524,92335,0,1500,0,1500,Herb Wesson,1500
609,93314,0,1500,0,1500,Herb Wesson,1500
608,93309,0,1500,0,1500,Herb Wesson,1500
200,8889,0,0,1500,1500,Holly Mitchell,1500
686,94574,0,1500,0,1500,Herb Wesson,1500
685,94566,0,0,1500,1500,Holly Mitchell,1500
43,19103,0,0,1500,1500,Holly Mitchell,1500
678,94541,0,1500,0,1500,Herb Wesson,1500
677,94536,0,0,1500,1500,Holly Mitchell,1500
645,94108,0,0,1500,1500,Holly Mitchell,1500
547,92563,0,1500,0,1500,Herb Wesson,1500
548,92585,0,1500,0,1500,Herb Wesson,1500
70,2110,0,1500,0,1500,Herb Wesson,1500
201,89011,0,1500,0,1500,Herb Wesson,1500
552,92610,0,1500,0,1500,Herb Wesson,1500
68,21046,0,0,1500,1500,Holly Mitchell,1500
2,10003,0,0,1500,1500,Holly Mitchell,1500
124,45209,0,0,1500,1500,Holly Mitchell,1500
120,38115,0,0,1500,1500,Holly Mitchell,1500
129,48854,0,0,1500,1500,Holly Mitchell,1500
18,10038,0,1500,0,1500,Herb Wesson,1500
455,91731,0,1500,0,1500,Herb Wesson,1500
123,43222,0,1500,0,1500,Herb Wesson,1500
10,10017,0,1500,0,1500,Herb Wesson,1500
746,95353,0,0,1500,1500,Holly Mitchell,1500
1,10001,0,0,1500,1500,Holly Mitchell,1500
165,75248,0,1500,0,1500,Herb Wesson,1500
745,95252,0,0,1500,1500,Holly Mitchell,1500
324,90603,0,1500,0,1500,Herb Wesson,1500
164,75202,0,0,1500,1500,Holly Mitchell,1500
410,91351,0,1500,0,1500,Herb Wesson,1500
741,95124,0,0,1500,1500,Holly Mitchell,1500
19,10153,0,0,1500,1500,Holly Mitchell,1500
168,76134,0,0,1500,1500,Holly Mitchell,1500
736,95112,0,0,1500,1500,Holly Mitchell,1500
113,37160,0,0,1500,1500,Holly Mitchell,1500
112,33634,0,0,1500,1500,Holly Mitchell,1500
111,33558,0,1500,0,1500,Herb Wesson,1500
419,91372,0,1500,0,1500,Herb Wesson,1500
131,53589,0,0,1500,1500,Holly Mitchell,1500
341,90712,0,1500,0,1500,Herb Wesson,1500
22,10577,0,0,1500,1500,Holly Mitchell,1500
368,91010,0,1500,0,1500,Herb Wesson,1500
156,65101,0,1500,0,1500,Herb Wesson,1500
160,6880,0,1500,0,1500,Herb Wesson,1500
154,63301,0,1500,0,1500,Herb Wesson,1500
152,63132,0,1500,0,1500,Herb Wesson,1500
174,78288,0,0,1500,1500,Holly Mitchell,1500
150,63127,0,1500,0,1500,Herb Wesson,1500
161,75063,0,1500,0,1500,Herb Wesson,1500
17,10036,0,0,1500,1500,Holly Mitchell,1500
146,6156,0,0,1500,1500,Holly Mitchell,1500
344,90717,0,1500,0,1500,Herb Wesson,1500
134,55343,0,0,1500,1500,Holly Mitchell,1500
177,78730,0,0,1500,1500,Holly Mitchell,1500
178,78731,0,1500,0,1500,Herb Wesson,1500
374,91040,0,1500,0,1500,Herb Wesson,1500
343,90716,0,1500,0,1500,Herb Wesson,1500
141,60610,0,1500,0,1500,Herb Wesson,1500
139,60062,0,0,1500,1500,Holly Mitchell,1500
180,7901,0,0,1500,1500,Holly Mitchell,1500
138,60045,0,1500,0,1500,Herb Wesson,1500
383,91201,0,1500,0,1500,Herb Wesson,1500
20,10154,0,0,1500,1500,Holly Mitchell,1500
158,67205,0,1500,0,1500,Herb Wesson,1500
728,94954,0,1500,0,1500,Herb Wesson,1500
98,30349,0,1500,0,1500,Herb Wesson,1500
450,91711,0,0,1500,1500,Holly Mitchell,1500
5,1001,0,0,1500,1500,Holly Mitchell,1500
24,11001,0,1500,0,1500,Herb Wesson,1500
433,91501,0,1500,0,1500,Herb Wesson,1500
104,33024,0,1500,0,1500,Herb Wesson,1500
192,85004,0,1500,0,1500,Herb Wesson,1500
25,11201,0,1500,0,1500,Herb Wesson,1500
99,30350,0,0,1500,1500,Holly Mitchell,1500
93,30134,0,1500,0,1500,Herb Wesson,1500
106,33139,0,1500,0,1500,Herb Wesson,1500
