intldes,norad_cat_id,object_type,satname,country,launch,site,decay,period,inclination,apogee,perigee,comment,commentcode,rcsvalue,rcs_size,file,launch_year,launch_num,launch_piece,current,object_name,object_id,object_number
1993-036PY,34383,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,99.00,74.04,724,698,,,0,SMALL,7965,1993,36,PY,Y,COSMOS 2251 DEB,1993-036PY,34383
1993-036QS,34401,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,98.83,74.05,748,657,,,0,SMALL,7965,1993,36,QS,Y,COSMOS 2251 DEB,1993-036QS,34401
1993-036RY,34431,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,101.21,74.08,869,762,,,0,SMALL,7965,1993,36,RY,Y,COSMOS 2251 DEB,1993-036RY,34431
1993-036SG,34439,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,98.26,74.06,759,592,,,0,SMALL,7965,1993,36,SG,Y,COSMOS 2251 DEB,1993-036SG,34439
1993-036SW,34453,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,99.25,74.17,757,688,,,0,SMALL,7965,1993,36,SW,Y,COSMOS 2251 DEB,1993-036SW,34453
1993-036TM,34468,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,99.79,74.01,807,690,,,0,SMALL,7965,1993,36,TM,Y,COSMOS 2251 DEB,1993-036TM,34468
1997-051GU,34503,DEBRIS,IRIDIUM 33 DEB,US,1997-09-14,TTMTR,,98.58,86.32,699,683,,,0,SMALL,7965,1997,51,GU,Y,IRIDIUM 33 DEB,1997-051GU,34503
1997-051GZ,34508,DEBRIS,IRIDIUM 33 DEB,US,1997-09-14,TTMTR,,101.02,86.38,864,749,,,0,SMALL,7965,1997,51,GZ,Y,IRIDIUM 33 DEB,1997-051GZ,34508
1993-036UX,34561,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,98.83,74.03,731,674,,,0,SMALL,7965,1993,36,UX,Y,COSMOS 2251 DEB,1993-036UX,34561
1993-036WE,34609,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,101.81,73.74,959,729,,,0,SMALL,7965,1993,36,WE,Y,COSMOS 2251 DEB,1993-036WE,34609
1997-051KT,34696,DEBRIS,IRIDIUM 33 DEB,US,1997-09-14,TTMTR,,101.66,86.21,940,735,,,0,SMALL,7965,1997,51,KT,Y,IRIDIUM 33 DEB,1997-051KT,34696
1993-036ABF,34816,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,106.30,73.89,1343,768,,,0,SMALL,7965,1993,36,ABF,Y,COSMOS 2251 DEB,1993-036ABF,34816
1993-036ACM,34874,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,100.87,74.04,841,758,,,0,SMALL,7965,1993,36,ACM,Y,COSMOS 2251 DEB,1993-036ACM,34874
1993-036ADT,34922,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,96.43,74.16,650,525,,,0,SMALL,7965,1993,36,ADT,Y,COSMOS 2251 DEB,1993-036ADT,34922
1997-051NF,34926,DEBRIS,IRIDIUM 33 DEB,US,1997-09-14,TTMTR,,101.88,86.15,967,728,,,0,SMALL,7965,1997,51,NF,Y,IRIDIUM 33 DEB,1997-051NF,34926
1993-036AGN,35025,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,98.43,73.94,753,614,,,0,SMALL,7965,1993,36,AGN,Y,COSMOS 2251 DEB,1993-036AGN,35025
1993-036AJB,35072,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,99.07,74.09,751,678,,,0,SMALL,7965,1993,36,AJB,Y,COSMOS 2251 DEB,1993-036AJB,35072
1999-025DJS,35090,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,102.40,99.13,919,826,,,0,SMALL,7965,1999,25,DJS,Y,FENGYUN 1C DEB,1999-025DJS,35090
1999-025DKV,35117,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,100.13,98.75,803,727,,,0,SMALL,7965,1999,25,DKV,Y,FENGYUN 1C DEB,1999-025DKV,35117
1999-025DLP,35135,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,101.53,98.66,893,769,,,0,SMALL,7965,1999,25,DLP,Y,FENGYUN 1C DEB,1999-025DLP,35135
1999-025DMT,35163,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,98.98,99.10,793,626,,,0,SMALL,7965,1999,25,DMT,Y,FENGYUN 1C DEB,1999-025DMT,35163
1999-025DMZ,35169,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,99.59,99.10,869,609,,,0,SMALL,7965,1999,25,DMZ,Y,FENGYUN 1C DEB,1999-025DMZ,35169
1999-025DNX,35191,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,103.59,98.95,1005,852,,,0,SMALL,7965,1999,25,DNX,Y,FENGYUN 1C DEB,1999-025DNX,35191
1999-025DPH,35201,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,102.11,98.80,863,854,,,0,SMALL,7965,1999,25,DPH,Y,FENGYUN 1C DEB,1999-025DPH,35201
1999-025DQP,35231,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,101.81,98.92,872,817,,,0,SMALL,7965,1999,25,DQP,Y,FENGYUN 1C DEB,1999-025DQP,35231
1979-095Y,35257,DEBRIS,METEOR 2-5 DEB,CIS,1979-10-31,PKMTR,,100.43,81.19,790,768,,,0,SMALL,7965,1979,95,Y,Y,METEOR 2-5 DEB,1979-095Y,35257
1991-050N,35259,DEBRIS,ERS 1 DEB,ESA,1991-07-17,FRGUI,,99.38,98.53,744,715,,,0,SMALL,7965,1991,50,N,Y,ERS 1 DEB,1991-050N,35259
2004-035L,35268,DEBRIS,CZ-4 DEB,PRC,2004-09-08,TSC,,94.46,97.57,494,491,,,0,SMALL,7965,2004,35,L,Y,CZ-4 DEB,2004-035L,35268
1997-051PJ,35294,DEBRIS,IRIDIUM 33 DEB,US,1997-09-14,TTMTR,,98.63,86.33,704,682,,,0,SMALL,7965,1997,51,PJ,Y,IRIDIUM 33 DEB,1997-051PJ,35294
1999-057SL,35332,DEBRIS,CZ-4 DEB,PRC,1999-10-14,TSC,,100.95,98.34,892,715,,,0,SMALL,7965,1999,57,SL,Y,CZ-4 DEB,1999-057SL,35332
2001-049PU,35336,DEBRIS,PSLV DEB,IND,2001-10-22,SRI,,97.93,97.81,709,610,,,0,SMALL,7965,2001,49,PU,Y,PSLV DEB,2001-049PU,35336
2006-046J,35376,DEBRIS,CZ-4 DEB,PRC,2006-10-23,TSC,,98.99,97.71,847,574,,,0,SMALL,7965,2006,46,J,Y,CZ-4 DEB,2006-046J,35376
2006-046L,35378,DEBRIS,CZ-4 DEB,PRC,2006-10-23,TSC,,98.47,97.92,803,568,,,0,SMALL,7965,2006,46,L,Y,CZ-4 DEB,2006-046L,35378
1993-036AKM,35443,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,100.50,74.01,939,626,,,0,SMALL,7965,1993,36,AKM,Y,COSMOS 2251 DEB,1993-036AKM,35443
1993-036ALG,35462,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,101.63,74.04,913,758,,,0,SMALL,7965,1993,36,ALG,Y,COSMOS 2251 DEB,1993-036ALG,35462
1993-036ALJ,35464,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,98.18,74.02,704,639,,,0,SMALL,7965,1993,36,ALJ,Y,COSMOS 2251 DEB,1993-036ALJ,35464
1993-036ALK,35465,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,100.11,74.00,813,714,,,0,SMALL,7965,1993,36,ALK,Y,COSMOS 2251 DEB,1993-036ALK,35465
1987-068CP,35520,DEBRIS,SL-14 DEB,CIS,1987-08-18,PKMTR,,103.88,82.54,950,934,,,0,SMALL,7965,1987,68,CP,Y,SL-14 DEB,1987-068CP,35520
2007-003N,35554,DEBRIS,CZ-3A DEB,PRC,2007-02-02,XSC,,778.71,24.11,42666,653,,,0,MEDIUM,7965,2007,3,N,Y,CZ-3A DEB,2007-003N,35554
2007-003Y,35564,DEBRIS,CZ-3A DEB,PRC,2007-02-02,XSC,,763.39,25.64,42121,460,,1,0,MEDIUM,7965,2007,3,Y,Y,CZ-3A DEB,2007-003Y,35564
2008-053G,35571,DEBRIS,CZ-4B DEB,PRC,2008-10-25,TSC,,98.69,97.78,817,575,,,0,SMALL,7965,2008,53,G,Y,CZ-4B DEB,2008-053G,35571
2009-037A,35578,PAYLOAD,RAZAKSAT,MALA,2009-07-14,KWAJL,,98.15,8.99,682,658,,,0,MEDIUM,7965,2009,37,A,Y,RAZAKSAT,2009-037A,35578
1993-036AMC,35585,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,105.27,73.98,1252,763,,,0,SMALL,7965,1993,36,AMC,Y,COSMOS 2251 DEB,1993-036AMC,35585
1997-051QN,35616,DEBRIS,IRIDIUM 33 DEB,US,1997-09-14,TTMTR,,99.21,86.36,733,708,,,0,SMALL,7965,1997,51,QN,Y,IRIDIUM 33 DEB,1997-051QN,35616
1993-036ANJ,35643,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,98.47,74.01,719,652,,,0,SMALL,7965,1993,36,ANJ,Y,COSMOS 2251 DEB,1993-036ANJ,35643
1993-036ANM,35646,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,107.69,73.87,1471,769,,,0,SMALL,7965,1993,36,ANM,Y,COSMOS 2251 DEB,1993-036ANM,35646
1993-036ANN,35647,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,100.37,74.03,814,739,,,0,SMALL,7965,1993,36,ANN,Y,COSMOS 2251 DEB,1993-036ANN,35647
1993-036ANZ,35658,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,98.94,74.02,723,694,,,0,SMALL,7965,1993,36,ANZ,Y,COSMOS 2251 DEB,1993-036ANZ,35658
1993-036APX,35702,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,98.49,74.04,705,668,,,0,SMALL,7965,1993,36,APX,Y,COSMOS 2251 DEB,1993-036APX,35702
1993-036ARK,35765,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,98.87,74.12,802,608,,,0,SMALL,7965,1993,36,ARK,Y,COSMOS 2251 DEB,1993-036ARK,35765
1993-036ARW,35776,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,100.18,74.00,992,542,,,0,SMALL,7965,1993,36,ARW,Y,COSMOS 2251 DEB,1993-036ARW,35776
1993-036ASP,35793,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,99.38,74.05,738,721,,,0,SMALL,7965,1993,36,ASP,Y,COSMOS 2251 DEB,1993-036ASP,35793
1993-036ASS,35796,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,99.73,74.01,776,715,,,0,SMALL,7965,1993,36,ASS,Y,COSMOS 2251 DEB,1993-036ASS,35796
1997-051SQ,35806,DEBRIS,IRIDIUM 33 DEB,US,1997-09-14,TTMTR,,99.97,86.35,770,744,,,0,SMALL,7965,1997,51,SQ,Y,IRIDIUM 33 DEB,1997-051SQ,35806
1997-051ST,35809,DEBRIS,IRIDIUM 33 DEB,US,1997-09-14,TTMTR,,99.38,86.34,744,713,,,0,SMALL,7965,1997,51,ST,Y,IRIDIUM 33 DEB,1997-051ST,35809
1993-036ATC,35830,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,101.99,73.87,958,748,,,0,SMALL,7965,1993,36,ATC,Y,COSMOS 2251 DEB,1993-036ATC,35830
1997-051TH,35857,DEBRIS,IRIDIUM 33 DEB,US,1997-09-14,TTMTR,,98.09,86.43,711,624,,,0,SMALL,7965,1997,51,TH,Y,IRIDIUM 33 DEB,1997-051TH,35857
1993-036ATU,35881,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,100.39,74.20,823,731,,,0,SMALL,7965,1993,36,ATU,Y,COSMOS 2251 DEB,1993-036ATU,35881
1993-036AUG,35893,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,99.35,73.65,772,683,,,0,SMALL,7965,1993,36,AUG,Y,COSMOS 2251 DEB,1993-036AUG,35893
1997-051UE,35921,DEBRIS,IRIDIUM 33 DEB,US,1997-09-14,TTMTR,,100.88,86.43,904,697,,,0,SMALL,7965,1997,51,UE,Y,IRIDIUM 33 DEB,1997-051UE,35921
1993-061K,35955,DEBRIS,ARIANE 40 DEB,FR,1993-09-26,FRGUI,,98.86,98.64,706,702,,,0,SMALL,7965,1993,61,K,Y,ARIANE 40 DEB,1993-061K,35955
1993-036AVL,35970,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,98.57,74.04,717,663,,,0,SMALL,7965,1993,36,AVL,Y,COSMOS 2251 DEB,1993-036AVL,35970
1993-036AVV,35979,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,98.85,74.02,761,647,,,0,SMALL,7965,1993,36,AVV,Y,COSMOS 2251 DEB,1993-036AVV,35979
1993-036AWN,35996,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,97.06,74.02,715,520,,,0,SMALL,7965,1993,36,AWN,Y,COSMOS 2251 DEB,1993-036AWN,35996
1997-051VE,36023,DEBRIS,IRIDIUM 33 DEB,US,1997-09-14,TTMTR,,98.76,86.34,716,683,,,0,SMALL,7965,1997,51,VE,Y,IRIDIUM 33 DEB,1997-051VE,36023
1993-036AXD,36042,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,94.55,73.84,523,471,,,0,SMALL,7965,1993,36,AXD,Y,COSMOS 2251 DEB,1993-036AXD,36042
1993-036AXW,36059,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,99.68,74.01,778,708,,,0,SMALL,7965,1993,36,AXW,Y,COSMOS 2251 DEB,1993-036AXW,36059
2009-061B,36089,ROCKET BODY,CZ-2C R/B,PRC,2009-11-12,JSC,,99.32,98.24,784,668,,,0,LARGE,7965,2009,61,B,Y,CZ-2C R/B,2009-061B,36089
2009-061E,36092,DEBRIS,CZ-2C DEB,PRC,2009-11-12,JSC,,100.74,98.63,900,687,,,0,SMALL,7965,2009,61,E,Y,CZ-2C DEB,2009-061E,36092
1999-025DUG,36207,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,103.62,98.60,1049,811,,,0,SMALL,7965,1999,25,DUG,Y,FENGYUN 1C DEB,1999-025DUG,36207
1999-025DUP,36214,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,101.06,99.06,851,767,,,0,SMALL,7965,1999,25,DUP,Y,FENGYUN 1C DEB,1999-025DUP,36214
1999-025DVN,36237,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,97.90,98.94,697,619,,,0,SMALL,7965,1999,25,DVN,Y,FENGYUN 1C DEB,1999-025DVN,36237
1999-025DWQ,36263,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,101.00,99.03,839,773,,,0,SMALL,7965,1999,25,DWQ,Y,FENGYUN 1C DEB,1999-025DWQ,36263
1999-025DWT,36266,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,102.25,98.92,916,815,,,0,SMALL,7965,1999,25,DWT,Y,FENGYUN 1C DEB,1999-025DWT,36266
1999-025DXG,36279,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,101.86,98.53,893,801,,,0,SMALL,7965,1999,25,DXG,Y,FENGYUN 1C DEB,1999-025DXG,36279
1980-073M,36309,DEBRIS,METEOR 2-6 DEB,CIS,1980-09-09,PKMTR,,100.83,81.22,818,778,,,0,SMALL,7965,1980,73,M,Y,METEOR 2-6 DEB,1980-073M,36309
1982-025D,36319,DEBRIS,METEOR 2-8 DEB,CIS,1982-03-25,PKMTR,,101.81,82.53,863,826,,,0,SMALL,7965,1982,25,D,Y,METEOR 2-8 DEB,1982-025D,36319
1982-025V,36335,DEBRIS,METEOR 2-8 DEB,CIS,1982-03-25,PKMTR,,101.82,82.50,873,817,,,0,SMALL,7965,1982,25,V,Y,METEOR 2-8 DEB,1982-025V,36335
1997-051VU,36390,DEBRIS,IRIDIUM 33 DEB,US,1997-09-14,TTMTR,,99.22,86.30,754,689,,,0,SMALL,7965,1997,51,VU,Y,IRIDIUM 33 DEB,1997-051VU,36390
2010-007B,36401,PAYLOAD,COSMOS 2461 (GLONASS),CIS,2010-03-01,TTMTR,,675.73,65.97,19183,19076,,,0,LARGE,7965,2010,7,B,Y,COSMOS 2461 (GLONASS),2010-007B,36401
1993-036AZV,36422,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,97.27,74.01,705,551,,,0,SMALL,7965,1993,36,AZV,Y,COSMOS 2251 DEB,1993-036AZV,36422
1993-036BCS,36532,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,97.52,73.99,683,597,,,0,SMALL,7965,1993,36,BCS,Y,COSMOS 2251 DEB,1993-036BCS,36532
1993-036BDA,36540,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,99.88,74.03,768,738,,,0,SMALL,7965,1993,36,BDA,Y,COSMOS 2251 DEB,1993-036BDA,36540
1993-036BEQ,36626,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,95.95,74.04,667,463,,,0,SMALL,7965,1993,36,BEQ,Y,COSMOS 2251 DEB,1993-036BEQ,36626
1999-025DZC,36682,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,105.55,98.47,1203,838,,,0,SMALL,7965,1999,25,DZC,Y,FENGYUN 1C DEB,1999-025DZC,36682
1999-025EAD,36707,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,102.04,98.89,895,816,,,0,SMALL,7965,1999,25,EAD,Y,FENGYUN 1C DEB,1999-025EAD,36707
1999-025EAG,36710,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,100.49,98.51,844,719,,,0,SMALL,7965,1999,25,EAG,Y,FENGYUN 1C DEB,1999-025EAG,36710
1979-095AX,36906,DEBRIS,METEOR 2-5 DEB,CIS,1979-10-31,PKMTR,,98.74,81.18,703,693,,,0,SMALL,7965,1979,95,AX,Y,METEOR 2-5 DEB,1979-095AX,36906
1979-095BE,36913,DEBRIS,METEOR 2-5 DEB,CIS,1979-10-31,PKMTR,,98.39,81.20,694,669,,,0,SMALL,7965,1979,95,BE,Y,METEOR 2-5 DEB,1979-095BE,36913
1965-108DN,36982,DEBRIS,TITAN 3C TRANSTAGE DEB,US,1965-12-21,AFETR,,425.44,26.69,24297,422,,,0,SMALL,7965,1965,108,DN,Y,TITAN 3C TRANSTAGE DEB,1965-108DN,36982
1999-025ECT,37011,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,98.64,98.91,736,651,,,0,SMALL,7965,1999,25,ECT,Y,FENGYUN 1C DEB,1999-025ECT,37011
1999-025EEF,37047,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,105.15,99.18,1201,802,,,0,SMALL,7965,1999,25,EEF,Y,FENGYUN 1C DEB,1999-025EEF,37047
1999-025EEZ,37065,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,106.62,103.31,1298,842,,,0,SMALL,7965,1999,25,EEZ,Y,FENGYUN 1C DEB,1999-025EEZ,37065
1999-025EFR,37081,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,104.90,98.74,1270,710,,,0,SMALL,7965,1999,25,EFR,Y,FENGYUN 1C DEB,1999-025EFR,37081
1993-036BFF,37085,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,97.60,73.98,708,580,,,0,SMALL,7965,1993,36,BFF,Y,COSMOS 2251 DEB,1993-036BFF,37085
1993-036BGE,37108,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,100.85,74.05,881,717,,,0,SMALL,7965,1993,36,BGE,Y,COSMOS 2251 DEB,1993-036BGE,37108
1993-036BHJ,37270,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,106.96,73.94,1418,754,,,0,SMALL,7965,1993,36,BHJ,Y,COSMOS 2251 DEB,1993-036BHJ,37270
1993-036BHU,37280,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,102.26,74.02,978,754,,,0,SMALL,7965,1993,36,BHU,Y,COSMOS 2251 DEB,1993-036BHU,37280
1993-036BJV,37305,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,100.77,73.87,835,755,,,0,SMALL,7965,1993,36,BJV,Y,COSMOS 2251 DEB,1993-036BJV,37305
1993-036BJX,37307,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,95.29,74.02,544,522,,,0,SMALL,7965,1993,36,BJX,Y,COSMOS 2251 DEB,1993-036BJX,37307
1993-036BKG,37316,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,99.28,74.04,776,672,,,0,SMALL,7965,1993,36,BKG,Y,COSMOS 2251 DEB,1993-036BKG,37316
1999-025EFX,37405,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,98.71,98.59,755,639,,,0,SMALL,7965,1999,25,EFX,Y,FENGYUN 1C DEB,1999-025EFX,37405
1999-025EGE,37412,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,100.46,98.97,797,764,,,0,SMALL,7965,1999,25,EGE,Y,FENGYUN 1C DEB,1999-025EGE,37412
1999-025EJT,37473,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,99.03,99.21,940,484,,,0,SMALL,7965,1999,25,EJT,Y,FENGYUN 1C DEB,1999-025EJT,37473
1993-036BNN,37533,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,102.71,74.07,1016,758,,,0,SMALL,7965,1993,36,BNN,Y,COSMOS 2251 DEB,1993-036BNN,37533
2008-026D,37572,DEBRIS,CZ-4B DEB,PRC,2008-05-27,TSC,,104.67,98.83,1160,799,,,0,SMALL,7965,2008,26,D,Y,CZ-4B DEB,2008-026D,37572
1990-081DD,37617,DEBRIS,CZ-4 DEB,PRC,1990-09-03,TSC,,102.58,98.80,887,874,,,0,SMALL,7965,1990,81,DD,Y,CZ-4 DEB,1990-081DD,37617
1978-026JA,37639,DEBRIS,DELTA 1 DEB,US,1978-03-05,AFWTR,,104.11,98.78,1039,867,,,0,SMALL,7965,1978,26,JA,Y,DELTA 1 DEB,1978-026JA,37639
1978-026JF,37644,DEBRIS,DELTA 1 DEB,US,1978-03-05,AFWTR,,101.44,98.76,868,785,,,0,SMALL,7965,1978,26,JF,Y,DELTA 1 DEB,1978-026JF,37644
1978-026KF,37668,DEBRIS,DELTA 1 DEB,US,1978-03-05,AFWTR,,101.91,99.05,878,820,,,0,SMALL,7965,1978,26,KF,Y,DELTA 1 DEB,1978-026KF,37668
1999-025ELC,37687,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,105.81,98.21,1335,729,,,0,SMALL,7965,1999,25,ELC,Y,FENGYUN 1C DEB,1999-025ELC,37687
1999-025ELU,37703,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,100.93,99.11,844,762,,,0,SMALL,7965,1999,25,ELU,Y,FENGYUN 1C DEB,1999-025ELU,37703
1999-025EMJ,37717,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,99.38,98.80,817,642,,,0,SMALL,7965,1999,25,EMJ,Y,FENGYUN 1C DEB,1999-025EMJ,37717
2011-052A,37818,PAYLOAD,TACSAT 4,US,2011-09-27,KODAK,,238.91,62.99,12326,426,,,0,LARGE,7965,2011,52,A,Y,TACSAT 4,2011-052A,37818
1999-025ENC,37903,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,103.60,98.19,1173,685,,,0,SMALL,7965,1999,25,ENC,Y,FENGYUN 1C DEB,1999-025ENC,37903
1999-025ENM,37912,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,103.11,99.17,990,821,,,0,SMALL,7965,1999,25,ENM,Y,FENGYUN 1C DEB,1999-025ENM,37912
1999-025ENP,37914,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,102.34,99.09,926,813,,,0,SMALL,7965,1999,25,ENP,Y,FENGYUN 1C DEB,1999-025ENP,37914
1999-025ENV,37920,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,102.03,98.94,902,807,,,0,SMALL,7965,1999,25,ENV,Y,FENGYUN 1C DEB,1999-025ENV,37920
2011-071A,37938,PAYLOAD,COSMOS 2478 (GLONASS),CIS,2011-11-28,PKMTR,,676.01,65.99,19177,19096,,,0,LARGE,7965,2011,71,A,Y,COSMOS 2478 (GLONASS),2011-071A,37938
1997-051YM,38025,DEBRIS,IRIDIUM 33 DEB,US,1997-09-14,TTMTR,,101.13,86.50,937,688,,,0,SMALL,7965,1997,51,YM,Y,IRIDIUM 33 DEB,1997-051YM,38025
1999-025ERN,38165,DEBRIS,FENGYUN 1C DEB,PRC,1999-05-10,TSC,,100.79,99.08,822,770,,,0,SMALL,7965,1999,25,ERN,Y,FENGYUN 1C DEB,1999-025ERN,38165
1993-036BTC,38212,DEBRIS,COSMOS 2251 DEB,CIS,1993-06-16,PKMTR,,98.19,74.05,753,591,,,0,SMALL,7965,1993,36,BTC,Y,COSMOS 2251 DEB,1993-036BTC,38212
1997-051ZR,38241,DEBRIS,IRIDIUM 33 DEB,US,1997-09-14,TTMTR,,99.76,86.32,750,744,,,0,SMALL,7965,1997,51,ZR,Y,IRIDIUM 33 DEB,1997-051ZR,38241
1997-051ZT,38243,DEBRIS,IRIDIUM 33 DEB,US,1997-09-14,TTMTR,,98.39,86.37,731,632,,,0,SMALL,7965,1997,51,ZT,Y,IRIDIUM 33 DEB,1997-051ZT,38243
1979-095BR,38271,DEBRIS,METEOR 2-5 DEB,CIS,1979-10-31,PKMTR,,101.52,81.20,844,818,,,0,SMALL,7965,1979,95,BR,Y,METEOR 2-5 DEB,1979-095BR,38271
1965-027CH,38380,DEBRIS,OPS 4682 DEB,US,1965-04-03,AFWTR,,110.92,90.30,1282,1256,,,0,SMALL,7965,1965,27,CH,Y,OPS 4682 DEB,1965-027CH,38380
1965-027CJ,38381,DEBRIS,OPS 4682 DEB,US,1965-04-03,AFWTR,,110.84,90.26,1283,1248,,,0,SMALL,7965,1965,27,CJ,Y,OPS 4682 DEB,1965-027CJ,38381
1965-027DU,38415,DEBRIS,OPS 4682 DEB,US,1965-04-03,AFWTR,,110.66,90.26,1281,1234,,,0,SMALL,7965,1965,27,DU,Y,OPS 4682 DEB,1965-027DU,38415
1965-027EP,38434,DEBRIS,OPS 4682 DEB,US,1965-04-03,AFWTR,,111.14,90.28,1306,1252,,,0,SMALL,7965,1965,27,EP,Y,OPS 4682 DEB,1965-027EP,38434
1965-027FQ,38459,DEBRIS,OPS 4682 DEB,US,1965-04-03,AFWTR,,111.41,90.28,1315,1268,,,0,SMALL,7965,1965,27,FQ,Y,OPS 4682 DEB,1965-027FQ,38459
