jurisdiction_of_occurrence,mmwr_year,mmwr_week,week_ending_date,all_cause,natural_cause
Florida,2019,1,2019-01-05,4172.0,3771.0
Florida,2019,2,2019-01-12,4154.0,3803.0
Florida,2019,3,2019-01-19,4155.0,3777.0
Florida,2019,4,2019-01-26,4145.0,3813.0
Florida,2019,5,2019-02-02,4299.0,3954.0
Florida,2019,6,2019-02-09,4288.0,3879.0
Florida,2019,7,2019-02-16,4242.0,3870.0
Florida,2019,8,2019-02-23,4126.0,3759.0
Florida,2019,9,2019-03-02,4254.0,3868.0
Florida,2019,10,2019-03-09,4117.0,3779.0
Florida,2019,11,2019-03-16,4156.0,3803.0
Florida,2019,12,2019-03-23,4150.0,3778.0
Florida,2019,13,2019-03-30,4328.0,3947.0
Florida,2019,14,2019-04-06,4191.0,3793.0
Florida,2019,15,2019-04-13,4229.0,3842.0
Florida,2019,16,2019-04-20,4066.0,3690.0
Florida,2019,17,2019-04-27,4100.0,3729.0
Florida,2019,18,2019-05-04,4027.0,3655.0
Florida,2019,19,2019-05-11,4098.0,3734.0
Florida,2019,20,2019-05-18,4072.0,3710.0
Florida,2019,21,2019-05-25,3908.0,3562.0
Florida,2019,22,2019-06-01,3937.0,3578.0
Florida,2019,23,2019-06-08,3960.0,3568.0
Florida,2019,24,2019-06-15,3836.0,3481.0
Florida,2019,25,2019-06-22,3916.0,3554.0
Florida,2019,26,2019-06-29,3831.0,3492.0
Florida,2019,27,2019-07-06,3867.0,3479.0
Florida,2019,28,2019-07-13,3879.0,3519.0
Florida,2019,29,2019-07-20,3759.0,3407.0
Florida,2019,30,2019-07-27,3840.0,3510.0
Florida,2019,31,2019-08-03,3872.0,3548.0
Florida,2019,32,2019-08-10,3673.0,3351.0
Florida,2019,33,2019-08-17,3631.0,3297.0
Florida,2019,34,2019-08-24,3755.0,3384.0
Florida,2019,35,2019-08-31,3689.0,3342.0
Florida,2019,36,2019-09-07,3695.0,3325.0
Florida,2019,37,2019-09-14,3691.0,3336.0
Florida,2019,38,2019-09-21,3768.0,3392.0
Florida,2019,39,2019-09-28,3719.0,3361.0
Florida,2019,40,2019-10-05,3800.0,3431.0
Florida,2019,41,2019-10-12,3832.0,3443.0
Florida,2019,42,2019-10-19,3730.0,3362.0
Florida,2019,43,2019-10-26,3704.0,3354.0
Florida,2019,44,2019-11-02,3858.0,3464.0
Florida,2019,45,2019-11-09,3967.0,3572.0
Florida,2019,46,2019-11-16,4045.0,3644.0
Florida,2019,47,2019-11-23,4025.0,3671.0
Florida,2019,48,2019-11-30,4007.0,3591.0
Florida,2019,49,2019-12-07,4189.0,3855.0
Florida,2019,50,2019-12-14,4293.0,3924.0
Florida,2019,51,2019-12-21,4102.0,3754.0
Florida,2019,52,2019-12-28,4270.0,3878.0
Georgia,2014,1,2014-01-04,1628.0,1519.0
Georgia,2014,2,2014-01-11,1744.0,1629.0
Georgia,2014,3,2014-01-18,1680.0,1567.0
Georgia,2014,4,2014-01-25,1696.0,1550.0
Georgia,2014,5,2014-02-01,1611.0,1502.0
Georgia,2014,6,2014-02-08,1591.0,1480.0
Georgia,2014,7,2014-02-15,1527.0,1407.0
Georgia,2014,8,2014-02-22,1533.0,1415.0
Georgia,2014,9,2014-03-01,1527.0,1417.0
Georgia,2014,10,2014-03-08,1464.0,1366.0
Georgia,2014,11,2014-03-15,1458.0,1342.0
Georgia,2014,12,2014-03-22,1522.0,1406.0
Georgia,2014,13,2014-03-29,1517.0,1402.0
Georgia,2014,14,2014-04-05,1553.0,1428.0
Georgia,2014,15,2014-04-12,1440.0,1324.0
Georgia,2014,16,2014-04-19,1373.0,1253.0
Georgia,2014,17,2014-04-26,1505.0,1386.0
Georgia,2014,18,2014-05-03,1433.0,1309.0
Georgia,2014,19,2014-05-10,1484.0,1373.0
Georgia,2014,20,2014-05-17,1434.0,1331.0
Georgia,2014,21,2014-05-24,1477.0,1352.0
Georgia,2014,22,2014-05-31,1494.0,1360.0
Georgia,2014,23,2014-06-07,1425.0,1294.0
Georgia,2014,24,2014-06-14,1402.0,1281.0
Georgia,2014,25,2014-06-21,1334.0,1236.0
Georgia,2014,26,2014-06-28,1415.0,1289.0
Georgia,2014,27,2014-07-05,1363.0,1238.0
Georgia,2014,28,2014-07-12,1381.0,1277.0
Georgia,2014,29,2014-07-19,1401.0,1274.0
Georgia,2014,30,2014-07-26,1333.0,1228.0
Georgia,2014,31,2014-08-02,1313.0,1215.0
Georgia,2014,32,2014-08-09,1451.0,1332.0
Georgia,2014,33,2014-08-16,1347.0,1230.0
Georgia,2014,34,2014-08-23,1440.0,1318.0
Georgia,2014,35,2014-08-30,1364.0,1227.0
Georgia,2014,36,2014-09-06,1399.0,1276.0
Georgia,2014,37,2014-09-13,1364.0,1255.0
Georgia,2014,38,2014-09-20,1390.0,1266.0
Georgia,2014,39,2014-09-27,1367.0,1251.0
Georgia,2014,40,2014-10-04,1421.0,1291.0
Georgia,2014,41,2014-10-11,1476.0,1350.0
Georgia,2014,42,2014-10-18,1414.0,1309.0
Georgia,2014,43,2014-10-25,1417.0,1325.0
Georgia,2014,44,2014-11-01,1429.0,1330.0
Georgia,2014,45,2014-11-08,1538.0,1413.0
Georgia,2014,46,2014-11-15,1519.0,1395.0
Georgia,2014,47,2014-11-22,1487.0,1375.0
Georgia,2014,48,2014-11-29,1558.0,1432.0
Georgia,2014,49,2014-12-06,1667.0,1525.0
Georgia,2014,50,2014-12-13,1645.0,1528.0
Georgia,2014,51,2014-12-20,1708.0,1597.0
Georgia,2014,52,2014-12-27,1713.0,1610.0
Georgia,2014,53,2015-01-03,1786.0,1660.0
Georgia,2015,1,2015-01-10,1767.0,1640.0
Georgia,2015,2,2015-01-17,1721.0,1599.0
Georgia,2015,3,2015-01-24,1650.0,1526.0
Georgia,2015,4,2015-01-31,1653.0,1532.0
Georgia,2015,5,2015-02-07,1628.0,1487.0
Georgia,2015,6,2015-02-14,1656.0,1532.0
Georgia,2015,7,2015-02-21,1699.0,1585.0
Georgia,2015,8,2015-02-28,1743.0,1602.0
Georgia,2015,9,2015-03-07,1665.0,1512.0
Georgia,2015,10,2015-03-14,1698.0,1551.0
Georgia,2015,11,2015-03-21,1587.0,1446.0
Georgia,2015,12,2015-03-28,1578.0,1455.0
Georgia,2015,13,2015-04-04,1573.0,1443.0
Georgia,2015,14,2015-04-11,1539.0,1412.0
Georgia,2015,15,2015-04-18,1451.0,1331.0
Georgia,2015,16,2015-04-25,1571.0,1449.0
Georgia,2015,17,2015-05-02,1511.0,1384.0
Georgia,2015,18,2015-05-09,1497.0,1367.0
Georgia,2015,19,2015-05-16,1507.0,1377.0
Georgia,2015,20,2015-05-23,1527.0,1387.0
Georgia,2015,21,2015-05-30,1426.0,1300.0
Georgia,2015,22,2015-06-06,1456.0,1325.0
Georgia,2015,23,2015-06-13,1476.0,1336.0
Georgia,2015,24,2015-06-20,1456.0,1332.0
Georgia,2015,25,2015-06-27,1521.0,1392.0
Georgia,2015,26,2015-07-04,1435.0,1311.0
Georgia,2015,27,2015-07-11,1466.0,1325.0
Georgia,2015,28,2015-07-18,1474.0,1369.0
Georgia,2015,29,2015-07-25,1451.0,1330.0
Georgia,2015,30,2015-08-01,1463.0,1328.0
Georgia,2015,31,2015-08-08,1438.0,1321.0
Georgia,2015,32,2015-08-15,1408.0,1319.0
Georgia,2015,33,2015-08-22,1434.0,1321.0
Georgia,2015,34,2015-08-29,1412.0,1287.0
Georgia,2015,35,2015-09-05,1442.0,1325.0
Georgia,2015,36,2015-09-12,1435.0,1309.0
Georgia,2015,37,2015-09-19,1468.0,1346.0
Georgia,2015,38,2015-09-26,1458.0,1327.0
Georgia,2015,39,2015-10-03,1464.0,1332.0
Georgia,2015,40,2015-10-10,1473.0,1344.0
Georgia,2015,41,2015-10-17,1451.0,1335.0
Georgia,2015,42,2015-10-24,1514.0,1385.0
Georgia,2015,43,2015-10-31,1573.0,1434.0
Georgia,2015,44,2015-11-07,1597.0,1474.0
Georgia,2015,45,2015-11-14,1531.0,1421.0
Georgia,2015,46,2015-11-21,1572.0,1447.0
Georgia,2015,47,2015-11-28,1593.0,1480.0
Georgia,2015,48,2015-12-05,1580.0,1460.0
Georgia,2015,49,2015-12-12,1704.0,1591.0
Georgia,2015,50,2015-12-19,1555.0,1421.0
Georgia,2015,51,2015-12-26,1629.0,1504.0
Georgia,2015,52,2016-01-02,1552.0,1428.0
Georgia,2016,1,2016-01-09,1639.0,1513.0
Georgia,2016,2,2016-01-16,1665.0,1544.0
Georgia,2016,3,2016-01-23,1656.0,1533.0
Georgia,2016,4,2016-01-30,1670.0,1538.0
Georgia,2016,5,2016-02-06,1602.0,1472.0
Georgia,2016,6,2016-02-13,1700.0,1581.0
Georgia,2016,7,2016-02-20,1623.0,1497.0
Georgia,2016,8,2016-02-27,1611.0,1477.0
Georgia,2016,9,2016-03-05,1600.0,1470.0
Georgia,2016,10,2016-03-12,1700.0,1538.0
Georgia,2016,11,2016-03-19,1673.0,1527.0
Georgia,2016,12,2016-03-26,1516.0,1404.0
Georgia,2016,13,2016-04-02,1612.0,1471.0
Georgia,2016,14,2016-04-09,1546.0,1399.0
Georgia,2016,15,2016-04-16,1624.0,1485.0
Georgia,2016,16,2016-04-23,1560.0,1411.0
Georgia,2016,17,2016-04-30,1497.0,1360.0
Georgia,2016,18,2016-05-07,1457.0,1337.0
Georgia,2016,19,2016-05-14,1554.0,1414.0
Georgia,2016,20,2016-05-21,1500.0,1376.0
Georgia,2016,21,2016-05-28,1445.0,1333.0
Georgia,2016,22,2016-06-04,1450.0,1307.0
Georgia,2016,23,2016-06-11,1544.0,1400.0
Georgia,2016,24,2016-06-18,1559.0,1417.0
Georgia,2016,25,2016-06-25,1469.0,1335.0
Georgia,2016,26,2016-07-02,1450.0,1322.0
Georgia,2016,27,2016-07-09,1458.0,1329.0
Georgia,2016,28,2016-07-16,1481.0,1353.0
Georgia,2016,29,2016-07-23,1514.0,1374.0
Georgia,2016,30,2016-07-30,1495.0,1362.0
Georgia,2016,31,2016-08-06,1531.0,1391.0
Georgia,2016,32,2016-08-13,1543.0,1389.0
Georgia,2016,33,2016-08-20,1483.0,1357.0
Georgia,2016,34,2016-08-27,1523.0,1373.0
Georgia,2016,35,2016-09-03,1506.0,1368.0
Georgia,2016,36,2016-09-10,1524.0,1366.0
Georgia,2016,37,2016-09-17,1509.0,1350.0
Georgia,2016,38,2016-09-24,1517.0,1391.0
Georgia,2016,39,2016-10-01,1478.0,1365.0
Georgia,2016,40,2016-10-08,1502.0,1371.0
Georgia,2016,41,2016-10-15,1509.0,1390.0
Georgia,2016,42,2016-10-22,1410.0,1283.0
Georgia,2016,43,2016-10-29,1604.0,1459.0
Georgia,2016,44,2016-11-05,1475.0,1329.0
Georgia,2016,45,2016-11-12,1569.0,1428.0
Georgia,2016,46,2016-11-19,1596.0,1446.0
Georgia,2016,47,2016-11-26,1615.0,1459.0
Georgia,2016,48,2016-12-03,1707.0,1577.0
Georgia,2016,49,2016-12-10,1691.0,1545.0
Georgia,2016,50,2016-12-17,1775.0,1636.0
Georgia,2016,51,2016-12-24,1640.0,1501.0
Georgia,2016,52,2016-12-31,1718.0,1589.0
Georgia,2017,1,2017-01-07,1815.0,1687.0
Georgia,2017,2,2017-01-14,1748.0,1594.0
Georgia,2017,3,2017-01-21,1732.0,1603.0
Georgia,2017,4,2017-01-28,1617.0,1462.0
Georgia,2017,5,2017-02-04,1692.0,1564.0
Georgia,2017,6,2017-02-11,1701.0,1568.0
Georgia,2017,7,2017-02-18,1662.0,1514.0
Georgia,2017,8,2017-02-25,1711.0,1586.0
Georgia,2017,9,2017-03-04,1631.0,1496.0
Georgia,2017,10,2017-03-11,1675.0,1533.0
Georgia,2017,11,2017-03-18,1693.0,1562.0
Georgia,2017,12,2017-03-25,1693.0,1546.0
Georgia,2017,13,2017-04-01,1756.0,1609.0
Georgia,2017,14,2017-04-08,1594.0,1446.0
Georgia,2017,15,2017-04-15,1585.0,1446.0
Georgia,2017,16,2017-04-22,1644.0,1493.0
Georgia,2017,17,2017-04-29,1562.0,1406.0
Georgia,2017,18,2017-05-06,1632.0,1497.0
Georgia,2017,19,2017-05-13,1446.0,1301.0
Georgia,2017,20,2017-05-20,1579.0,1415.0
Georgia,2017,21,2017-05-27,1533.0,1410.0
Georgia,2017,22,2017-06-03,1505.0,1382.0
Georgia,2017,23,2017-06-10,1525.0,1385.0
Georgia,2017,24,2017-06-17,1507.0,1373.0
Georgia,2017,25,2017-06-24,1593.0,1453.0
Georgia,2017,26,2017-07-01,1495.0,1352.0
Georgia,2017,27,2017-07-08,1517.0,1355.0
Georgia,2017,28,2017-07-15,1490.0,1358.0
Georgia,2017,29,2017-07-22,1564.0,1431.0
Georgia,2017,30,2017-07-29,1516.0,1382.0
Georgia,2017,31,2017-08-05,1501.0,1358.0
Georgia,2017,32,2017-08-12,1487.0,1366.0
Georgia,2017,33,2017-08-19,1570.0,1423.0
Georgia,2017,34,2017-08-26,1484.0,1375.0
Georgia,2017,35,2017-09-02,1528.0,1399.0
Georgia,2017,36,2017-09-09,1512.0,1382.0
Georgia,2017,37,2017-09-16,1587.0,1450.0
Georgia,2017,38,2017-09-23,1517.0,1387.0
Georgia,2017,39,2017-09-30,1525.0,1371.0
Georgia,2017,40,2017-10-07,1544.0,1388.0
Georgia,2017,41,2017-10-14,1589.0,1428.0
Georgia,2017,42,2017-10-21,1675.0,1525.0
Georgia,2017,43,2017-10-28,1525.0,1405.0
Georgia,2017,44,2017-11-04,1626.0,1483.0
Georgia,2017,45,2017-11-11,1634.0,1508.0
Georgia,2017,46,2017-11-18,1565.0,1427.0
Georgia,2017,47,2017-11-25,1628.0,1505.0
Georgia,2017,48,2017-12-02,1626.0,1501.0
Georgia,2017,49,2017-12-09,1701.0,1563.0
Georgia,2017,50,2017-12-16,1702.0,1555.0
Georgia,2017,51,2017-12-23,1737.0,1591.0
Georgia,2017,52,2017-12-30,1673.0,1546.0
Georgia,2018,1,2018-01-06,1932.0,1811.0
Georgia,2018,2,2018-01-13,2070.0,1912.0
Georgia,2018,3,2018-01-20,1968.0,1853.0
Georgia,2018,4,2018-01-27,1973.0,1849.0
Georgia,2018,5,2018-02-03,1892.0,1765.0
Georgia,2018,6,2018-02-10,1944.0,1805.0
Georgia,2018,7,2018-02-17,1886.0,1760.0
Georgia,2018,8,2018-02-24,1619.0,1472.0
Georgia,2018,9,2018-03-03,1595.0,1472.0
Georgia,2018,10,2018-03-10,1645.0,1512.0
Georgia,2018,11,2018-03-17,1688.0,1556.0
Georgia,2018,12,2018-03-24,1646.0,1516.0
Georgia,2018,13,2018-03-31,1680.0,1524.0
Georgia,2018,14,2018-04-07,1614.0,1476.0
Georgia,2018,15,2018-04-14,1626.0,1482.0
Georgia,2018,16,2018-04-21,1612.0,1489.0
Georgia,2018,17,2018-04-28,1649.0,1523.0
Georgia,2018,18,2018-05-05,1595.0,1433.0
Georgia,2018,19,2018-05-12,1678.0,1516.0
Georgia,2018,20,2018-05-19,1555.0,1413.0
Georgia,2018,21,2018-05-26,1526.0,1391.0
Georgia,2018,22,2018-06-02,1608.0,1457.0
Georgia,2018,23,2018-06-09,1530.0,1388.0
Georgia,2018,24,2018-06-16,1517.0,1387.0
Georgia,2018,25,2018-06-23,1488.0,1359.0
Georgia,2018,26,2018-06-30,1545.0,1396.0
Georgia,2018,27,2018-07-07,1499.0,1373.0
Georgia,2018,28,2018-07-14,1511.0,1369.0
Georgia,2018,29,2018-07-21,1480.0,1336.0
Georgia,2018,30,2018-07-28,1509.0,1375.0
Georgia,2018,31,2018-08-04,1523.0,1391.0
Georgia,2018,32,2018-08-11,1525.0,1406.0
Georgia,2018,33,2018-08-18,1597.0,1480.0
Georgia,2018,34,2018-08-25,1592.0,1452.0
Georgia,2018,35,2018-09-01,1567.0,1436.0
Georgia,2018,36,2018-09-08,1437.0,1317.0
Georgia,2018,37,2018-09-15,1518.0,1380.0
Georgia,2018,38,2018-09-22,1578.0,1456.0
Georgia,2018,39,2018-09-29,1484.0,1377.0
Georgia,2018,40,2018-10-06,1604.0,1445.0
Georgia,2018,41,2018-10-13,1505.0,1376.0
Georgia,2018,42,2018-10-20,1502.0,1382.0
Georgia,2018,43,2018-10-27,1610.0,1466.0
Georgia,2018,44,2018-11-03,1623.0,1515.0
Georgia,2018,45,2018-11-10,1577.0,1454.0
Georgia,2018,46,2018-11-17,1661.0,1525.0
Georgia,2018,47,2018-11-24,1692.0,1553.0
Georgia,2018,48,2018-12-01,1688.0,1565.0
Georgia,2018,49,2018-12-08,1692.0,1565.0
Georgia,2018,50,2018-12-15,1773.0,1625.0
Georgia,2018,51,2018-12-22,1770.0,1637.0
Georgia,2018,52,2018-12-29,1758.0,1616.0
Georgia,2019,1,2019-01-05,1798.0,1636.0
Georgia,2019,2,2019-01-12,1741.0,1612.0
Georgia,2019,3,2019-01-19,1795.0,1657.0
Georgia,2019,4,2019-01-26,1729.0,1615.0
Georgia,2019,5,2019-02-02,1758.0,1625.0
Georgia,2019,6,2019-02-09,1670.0,1537.0
Georgia,2019,7,2019-02-16,1644.0,1543.0
Georgia,2019,8,2019-02-23,1710.0,1586.0
Georgia,2019,9,2019-03-02,1693.0,1556.0
Georgia,2019,10,2019-03-09,1715.0,1566.0
Georgia,2019,11,2019-03-16,1706.0,1550.0
Georgia,2019,12,2019-03-23,1692.0,1542.0
Georgia,2019,13,2019-03-30,1682.0,1544.0
Georgia,2019,14,2019-04-06,1652.0,1482.0
Georgia,2019,15,2019-04-13,1651.0,1494.0
Georgia,2019,16,2019-04-20,1644.0,1512.0
Georgia,2019,17,2019-04-27,1748.0,1585.0
Georgia,2019,18,2019-05-04,1711.0,1555.0
Georgia,2019,19,2019-05-11,1639.0,1505.0
Georgia,2019,20,2019-05-18,1556.0,1425.0
Georgia,2019,21,2019-05-25,1578.0,1434.0
Georgia,2019,22,2019-06-01,1619.0,1446.0
Georgia,2019,23,2019-06-08,1619.0,1465.0
Georgia,2019,24,2019-06-15,1572.0,1432.0
Georgia,2019,25,2019-06-22,1591.0,1459.0
Georgia,2019,26,2019-06-29,1512.0,1398.0
Georgia,2019,27,2019-07-06,1528.0,1378.0
Georgia,2019,28,2019-07-13,1587.0,1456.0
Georgia,2019,29,2019-07-20,1627.0,1467.0
Georgia,2019,30,2019-07-27,1619.0,1481.0
Georgia,2019,31,2019-08-03,1608.0,1488.0
Georgia,2019,32,2019-08-10,1573.0,1418.0
Georgia,2019,33,2019-08-17,1606.0,1452.0
Georgia,2019,34,2019-08-24,1538.0,1397.0
Georgia,2019,35,2019-08-31,1553.0,1421.0
Georgia,2019,36,2019-09-07,1596.0,1463.0
Georgia,2019,37,2019-09-14,1608.0,1465.0
Georgia,2019,38,2019-09-21,1527.0,1366.0
Georgia,2019,39,2019-09-28,1649.0,1487.0
Georgia,2019,40,2019-10-05,1590.0,1441.0
Georgia,2019,41,2019-10-12,1584.0,1452.0
Georgia,2019,42,2019-10-19,1592.0,1457.0
Georgia,2019,43,2019-10-26,1609.0,1491.0
Georgia,2019,44,2019-11-02,1664.0,1520.0
Georgia,2019,45,2019-11-09,1681.0,1538.0
Georgia,2019,46,2019-11-16,1665.0,1541.0
Georgia,2019,47,2019-11-23,1796.0,1661.0
Georgia,2019,48,2019-11-30,1732.0,1614.0
Georgia,2019,49,2019-12-07,1684.0,1539.0
Georgia,2019,50,2019-12-14,1709.0,1586.0
Georgia,2019,51,2019-12-21,1734.0,1605.0
Georgia,2019,52,2019-12-28,1773.0,1642.0
Hawaii,2014,1,2014-01-04,218.0,196.0
Hawaii,2014,2,2014-01-11,206.0,187.0
Hawaii,2014,3,2014-01-18,227.0,206.0
Hawaii,2014,4,2014-01-25,203.0,191.0
Hawaii,2014,5,2014-02-01,211.0,204.0
Hawaii,2014,6,2014-02-08,228.0,215.0
Hawaii,2014,7,2014-02-15,220.0,208.0
Hawaii,2014,8,2014-02-22,216.0,200.0
Hawaii,2014,9,2014-03-01,222.0,198.0
Hawaii,2014,10,2014-03-08,215.0,204.0
Hawaii,2014,11,2014-03-15,204.0,184.0
Hawaii,2014,12,2014-03-22,227.0,206.0
Hawaii,2014,13,2014-03-29,219.0,207.0
Hawaii,2014,14,2014-04-05,226.0,207.0
Hawaii,2014,15,2014-04-12,206.0,193.0
Hawaii,2014,16,2014-04-19,228.0,213.0
Hawaii,2014,17,2014-04-26,192.0,181.0
Hawaii,2014,18,2014-05-03,214.0,200.0
Hawaii,2014,19,2014-05-10,216.0,206.0
Hawaii,2014,20,2014-05-17,215.0,197.0
Hawaii,2014,21,2014-05-24,196.0,181.0
Hawaii,2014,22,2014-05-31,209.0,191.0
Hawaii,2014,23,2014-06-07,214.0,194.0
Hawaii,2014,24,2014-06-14,205.0,185.0
Hawaii,2014,25,2014-06-21,230.0,210.0
Hawaii,2014,26,2014-06-28,188.0,164.0
Hawaii,2014,27,2014-07-05,202.0,189.0
Hawaii,2014,28,2014-07-12,189.0,178.0
Hawaii,2014,29,2014-07-19,214.0,200.0
Hawaii,2014,30,2014-07-26,203.0,187.0
Hawaii,2014,31,2014-08-02,198.0,177.0
Hawaii,2014,32,2014-08-09,216.0,200.0
Hawaii,2014,33,2014-08-16,195.0,180.0
Hawaii,2014,34,2014-08-23,217.0,197.0
Hawaii,2014,35,2014-08-30,203.0,186.0
Hawaii,2014,36,2014-09-06,231.0,212.0
Hawaii,2014,37,2014-09-13,201.0,184.0
Hawaii,2014,38,2014-09-20,218.0,200.0
Hawaii,2014,39,2014-09-27,204.0,191.0
Hawaii,2014,40,2014-10-04,188.0,180.0
Hawaii,2014,41,2014-10-11,202.0,185.0
Hawaii,2014,42,2014-10-18,188.0,176.0
Hawaii,2014,43,2014-10-25,168.0,157.0
Hawaii,2014,44,2014-11-01,218.0,202.0
Hawaii,2014,45,2014-11-08,196.0,188.0
Hawaii,2014,46,2014-11-15,182.0,173.0
Hawaii,2014,47,2014-11-22,178.0,166.0
Hawaii,2014,48,2014-11-29,191.0,179.0
Hawaii,2014,49,2014-12-06,198.0,190.0
Hawaii,2014,50,2014-12-13,191.0,176.0
Hawaii,2014,51,2014-12-20,235.0,221.0
Hawaii,2014,52,2014-12-27,193.0,181.0
Hawaii,2014,53,2015-01-03,215.0,198.0
Hawaii,2015,1,2015-01-10,265.0,242.0
Hawaii,2015,2,2015-01-17,258.0,240.0
Hawaii,2015,3,2015-01-24,239.0,222.0
Hawaii,2015,4,2015-01-31,229.0,212.0
Hawaii,2015,5,2015-02-07,260.0,240.0
Hawaii,2015,6,2015-02-14,242.0,230.0
Hawaii,2015,7,2015-02-21,222.0,202.0
Hawaii,2015,8,2015-02-28,200.0,183.0
Hawaii,2015,9,2015-03-07,227.0,211.0
Hawaii,2015,10,2015-03-14,216.0,201.0
Hawaii,2015,11,2015-03-21,228.0,216.0
Hawaii,2015,12,2015-03-28,201.0,188.0
Hawaii,2015,13,2015-04-04,210.0,194.0
Hawaii,2015,14,2015-04-11,197.0,183.0
Hawaii,2015,15,2015-04-18,209.0,193.0
Hawaii,2015,16,2015-04-25,197.0,183.0
Hawaii,2015,17,2015-05-02,194.0,180.0
Hawaii,2015,18,2015-05-09,234.0,216.0
Hawaii,2015,19,2015-05-16,218.0,199.0
Hawaii,2015,20,2015-05-23,209.0,193.0
Hawaii,2015,21,2015-05-30,219.0,201.0
Hawaii,2015,22,2015-06-06,204.0,188.0
Hawaii,2015,23,2015-06-13,213.0,194.0
Hawaii,2015,24,2015-06-20,248.0,228.0
Hawaii,2015,25,2015-06-27,206.0,189.0
Hawaii,2015,26,2015-07-04,241.0,227.0
Hawaii,2015,27,2015-07-11,213.0,199.0
Hawaii,2015,28,2015-07-18,200.0,187.0
Hawaii,2015,29,2015-07-25,177.0,161.0
Hawaii,2015,30,2015-08-01,197.0,184.0
Hawaii,2015,31,2015-08-08,196.0,181.0
Hawaii,2015,32,2015-08-15,218.0,201.0
Hawaii,2015,33,2015-08-22,219.0,199.0
Hawaii,2015,34,2015-08-29,192.0,177.0
Hawaii,2015,35,2015-09-05,240.0,219.0
Hawaii,2015,36,2015-09-12,198.0,176.0
Hawaii,2015,37,2015-09-19,219.0,203.0
Hawaii,2015,38,2015-09-26,228.0,204.0
Hawaii,2015,39,2015-10-03,221.0,201.0
Hawaii,2015,40,2015-10-10,229.0,209.0
Hawaii,2015,41,2015-10-17,211.0,197.0
Hawaii,2015,42,2015-10-24,176.0,161.0
Hawaii,2015,43,2015-10-31,169.0,159.0
Hawaii,2015,44,2015-11-07,221.0,199.0
Hawaii,2015,45,2015-11-14,187.0,181.0
Hawaii,2015,46,2015-11-21,163.0,155.0
Hawaii,2015,47,2015-11-28,204.0,185.0
Hawaii,2015,48,2015-12-05,210.0,188.0
Hawaii,2015,49,2015-12-12,205.0,191.0
Hawaii,2015,50,2015-12-19,202.0,188.0
Hawaii,2015,51,2015-12-26,194.0,187.0
Hawaii,2015,52,2016-01-02,211.0,189.0
Hawaii,2016,1,2016-01-09,229.0,213.0
Hawaii,2016,2,2016-01-16,206.0,183.0
Hawaii,2016,3,2016-01-23,218.0,203.0
Hawaii,2016,4,2016-01-30,208.0,189.0
Hawaii,2016,5,2016-02-06,206.0,189.0
Hawaii,2016,6,2016-02-13,240.0,222.0
Hawaii,2016,7,2016-02-20,220.0,203.0
Hawaii,2016,8,2016-02-27,216.0,205.0
Hawaii,2016,9,2016-03-05,232.0,208.0
Hawaii,2016,10,2016-03-12,201.0,183.0
Hawaii,2016,11,2016-03-19,213.0,197.0
Hawaii,2016,12,2016-03-26,224.0,208.0
Hawaii,2016,13,2016-04-02,205.0,185.0
Hawaii,2016,14,2016-04-09,208.0,192.0
Hawaii,2016,15,2016-04-16,206.0,185.0
Hawaii,2016,16,2016-04-23,178.0,163.0
Hawaii,2016,17,2016-04-30,210.0,199.0
Hawaii,2016,18,2016-05-07,190.0,173.0
Hawaii,2016,19,2016-05-14,207.0,195.0
Hawaii,2016,20,2016-05-21,219.0,208.0
Hawaii,2016,21,2016-05-28,177.0,163.0
Hawaii,2016,22,2016-06-04,195.0,181.0
Hawaii,2016,23,2016-06-11,190.0,179.0
Hawaii,2016,24,2016-06-18,187.0,174.0
Hawaii,2016,25,2016-06-25,223.0,212.0
Hawaii,2016,26,2016-07-02,206.0,190.0
Hawaii,2016,27,2016-07-09,196.0,171.0
Hawaii,2016,28,2016-07-16,218.0,198.0
Hawaii,2016,29,2016-07-23,204.0,190.0
Hawaii,2016,30,2016-07-30,206.0,193.0
Hawaii,2016,31,2016-08-06,207.0,193.0
Hawaii,2016,32,2016-08-13,203.0,183.0
Hawaii,2016,33,2016-08-20,210.0,186.0
Hawaii,2016,34,2016-08-27,194.0,176.0
Hawaii,2016,35,2016-09-03,212.0,196.0
Hawaii,2016,36,2016-09-10,208.0,187.0
Hawaii,2016,37,2016-09-17,223.0,211.0
Hawaii,2016,38,2016-09-24,187.0,172.0
Hawaii,2016,39,2016-10-01,203.0,186.0
Hawaii,2016,40,2016-10-08,209.0,189.0
Hawaii,2016,41,2016-10-15,202.0,188.0
Hawaii,2016,42,2016-10-22,227.0,213.0
Hawaii,2016,43,2016-10-29,206.0,187.0
Hawaii,2016,44,2016-11-05,216.0,199.0
Hawaii,2016,45,2016-11-12,203.0,195.0
Hawaii,2016,46,2016-11-19,203.0,184.0
Hawaii,2016,47,2016-11-26,198.0,183.0
Hawaii,2016,48,2016-12-03,243.0,220.0
Hawaii,2016,49,2016-12-10,224.0,209.0
Hawaii,2016,50,2016-12-17,228.0,209.0
Hawaii,2016,51,2016-12-24,223.0,207.0
Hawaii,2016,52,2016-12-31,237.0,220.0
Hawaii,2017,1,2017-01-07,216.0,198.0
Hawaii,2017,2,2017-01-14,262.0,239.0
