,date,value,month,month_year,series,series_name,unit
26,2020-01-01,3.5,January,2020-01,LNS14000000,unemployment rate,rate
27,2019-12-01,3.6,December,2019-12,LNS14000000,unemployment rate,rate
28,2019-11-01,3.6,November,2019-11,LNS14000000,unemployment rate,rate
29,2019-10-01,3.6,October,2019-10,LNS14000000,unemployment rate,rate
30,2019-09-01,3.5,September,2019-09,LNS14000000,unemployment rate,rate
31,2019-08-01,3.7,August,2019-08,LNS14000000,unemployment rate,rate
32,2019-07-01,3.7,July,2019-07,LNS14000000,unemployment rate,rate
33,2019-06-01,3.6,June,2019-06,LNS14000000,unemployment rate,rate
34,2019-05-01,3.6,May,2019-05,LNS14000000,unemployment rate,rate
35,2019-04-01,3.6,April,2019-04,LNS14000000,unemployment rate,rate
36,2019-03-01,3.8,March,2019-03,LNS14000000,unemployment rate,rate
37,2019-02-01,3.8,February,2019-02,LNS14000000,unemployment rate,rate
38,2019-01-01,4.0,January,2019-01,LNS14000000,unemployment rate,rate
39,2018-12-01,3.9,December,2018-12,LNS14000000,unemployment rate,rate
40,2018-11-01,3.8,November,2018-11,LNS14000000,unemployment rate,rate
41,2018-10-01,3.8,October,2018-10,LNS14000000,unemployment rate,rate
42,2018-09-01,3.7,September,2018-09,LNS14000000,unemployment rate,rate
43,2018-08-01,3.8,August,2018-08,LNS14000000,unemployment rate,rate
44,2018-07-01,3.8,July,2018-07,LNS14000000,unemployment rate,rate
45,2018-06-01,4.0,June,2018-06,LNS14000000,unemployment rate,rate
46,2018-05-01,3.8,May,2018-05,LNS14000000,unemployment rate,rate
47,2018-04-01,4.0,April,2018-04,LNS14000000,unemployment rate,rate
48,2018-03-01,4.0,March,2018-03,LNS14000000,unemployment rate,rate
49,2018-02-01,4.1,February,2018-02,LNS14000000,unemployment rate,rate
50,2018-01-01,4.0,January,2018-01,LNS14000000,unemployment rate,rate
51,2017-12-01,4.1,December,2017-12,LNS14000000,unemployment rate,rate
52,2017-11-01,4.2,November,2017-11,LNS14000000,unemployment rate,rate
53,2017-10-01,4.2,October,2017-10,LNS14000000,unemployment rate,rate
54,2017-09-01,4.3,September,2017-09,LNS14000000,unemployment rate,rate
55,2017-08-01,4.4,August,2017-08,LNS14000000,unemployment rate,rate
56,2017-07-01,4.3,July,2017-07,LNS14000000,unemployment rate,rate
57,2017-06-01,4.3,June,2017-06,LNS14000000,unemployment rate,rate
58,2017-05-01,4.4,May,2017-05,LNS14000000,unemployment rate,rate
59,2017-04-01,4.4,April,2017-04,LNS14000000,unemployment rate,rate
60,2017-03-01,4.4,March,2017-03,LNS14000000,unemployment rate,rate
61,2017-02-01,4.6,February,2017-02,LNS14000000,unemployment rate,rate
62,2017-01-01,4.7,January,2017-01,LNS14000000,unemployment rate,rate
63,2016-12-01,4.7,December,2016-12,LNS14000000,unemployment rate,rate
64,2016-11-01,4.7,November,2016-11,LNS14000000,unemployment rate,rate
65,2016-10-01,4.9,October,2016-10,LNS14000000,unemployment rate,rate
66,2016-09-01,5.0,September,2016-09,LNS14000000,unemployment rate,rate
67,2016-08-01,4.9,August,2016-08,LNS14000000,unemployment rate,rate
68,2016-07-01,4.8,July,2016-07,LNS14000000,unemployment rate,rate
69,2016-06-01,4.9,June,2016-06,LNS14000000,unemployment rate,rate
70,2016-05-01,4.8,May,2016-05,LNS14000000,unemployment rate,rate
71,2016-04-01,5.1,April,2016-04,LNS14000000,unemployment rate,rate
72,2016-03-01,5.0,March,2016-03,LNS14000000,unemployment rate,rate
73,2016-02-01,4.9,February,2016-02,LNS14000000,unemployment rate,rate
74,2016-01-01,4.8,January,2016-01,LNS14000000,unemployment rate,rate
75,2015-12-01,5.0,December,2015-12,LNS14000000,unemployment rate,rate
76,2015-11-01,5.1,November,2015-11,LNS14000000,unemployment rate,rate
77,2015-10-01,5.0,October,2015-10,LNS14000000,unemployment rate,rate
78,2015-09-01,5.0,September,2015-09,LNS14000000,unemployment rate,rate
79,2015-08-01,5.1,August,2015-08,LNS14000000,unemployment rate,rate
80,2015-07-01,5.2,July,2015-07,LNS14000000,unemployment rate,rate
81,2015-06-01,5.3,June,2015-06,LNS14000000,unemployment rate,rate
82,2015-05-01,5.6,May,2015-05,LNS14000000,unemployment rate,rate
83,2015-04-01,5.4,April,2015-04,LNS14000000,unemployment rate,rate
84,2015-03-01,5.4,March,2015-03,LNS14000000,unemployment rate,rate
85,2015-02-01,5.5,February,2015-02,LNS14000000,unemployment rate,rate
86,2015-01-01,5.7,January,2015-01,LNS14000000,unemployment rate,rate
87,2014-12-01,5.6,December,2014-12,LNS14000000,unemployment rate,rate
88,2014-11-01,5.8,November,2014-11,LNS14000000,unemployment rate,rate
89,2014-10-01,5.7,October,2014-10,LNS14000000,unemployment rate,rate
90,2014-09-01,5.9,September,2014-09,LNS14000000,unemployment rate,rate
91,2014-08-01,6.1,August,2014-08,LNS14000000,unemployment rate,rate
92,2014-07-01,6.2,July,2014-07,LNS14000000,unemployment rate,rate
93,2014-06-01,6.1,June,2014-06,LNS14000000,unemployment rate,rate
94,2014-05-01,6.3,May,2014-05,LNS14000000,unemployment rate,rate
95,2014-04-01,6.2,April,2014-04,LNS14000000,unemployment rate,rate
96,2014-03-01,6.7,March,2014-03,LNS14000000,unemployment rate,rate
97,2014-02-01,6.7,February,2014-02,LNS14000000,unemployment rate,rate
98,2014-01-01,6.6,January,2014-01,LNS14000000,unemployment rate,rate
99,2013-12-01,6.7,December,2013-12,LNS14000000,unemployment rate,rate
100,2013-11-01,6.9,November,2013-11,LNS14000000,unemployment rate,rate
101,2013-10-01,7.2,October,2013-10,LNS14000000,unemployment rate,rate
102,2013-09-01,7.2,September,2013-09,LNS14000000,unemployment rate,rate
103,2013-08-01,7.2,August,2013-08,LNS14000000,unemployment rate,rate
104,2013-07-01,7.3,July,2013-07,LNS14000000,unemployment rate,rate
105,2013-06-01,7.5,June,2013-06,LNS14000000,unemployment rate,rate
106,2013-05-01,7.5,May,2013-05,LNS14000000,unemployment rate,rate
107,2013-04-01,7.6,April,2013-04,LNS14000000,unemployment rate,rate
108,2013-03-01,7.5,March,2013-03,LNS14000000,unemployment rate,rate
109,2013-02-01,7.7,February,2013-02,LNS14000000,unemployment rate,rate
110,2013-01-01,8.0,January,2013-01,LNS14000000,unemployment rate,rate
