name,case_rate_per_100k_mid-november,case_rate_per_100k_mid-january,pct_change,rank_lower_is_better,rsa,est_pop,est_latino,est_anglo,est_black,est_asian,est_total_single_units,est_total_seven_more_units,est_total_housing_units,median_house_income,est_latino_pct,est_anglo_pct,est_black_pct,est_asian_pct,est_total_seven_more_units_pct,est_total_single_units_pct
Wilmington,164.64,1129.46,586.02,141.0,Harbor,52431.0,47250.0,2294.0,1413.0,1016.0,1755.0,1381.0,13440.0,47699.0,90.12,4.38,2.69,1.94,10.28,13.06
Hawaiian Gardens,204.42,1403.65,586.65,142.0,Harbor,14779.0,10792.0,1294.0,571.0,1954.0,567.0,496.0,3757.0,65997.0,73.02,8.76,3.86,13.22,13.2,15.09
Elysian Valley,176.97,1219.15,588.9,143.0,Central L.A.,10071.0,6548.0,1245.0,127.0,2052.0,647.0,202.0,3149.0,50590.0,65.02,12.36,1.26,20.38,6.41,20.55
Glassell Park,145.55,1003.04,589.14,144.0,Northeast L.A.,29725.0,17219.0,5072.0,574.0,6432.0,1931.0,491.0,9620.0,56597.0,57.93,17.06,1.93,21.64,5.1,20.07
Bell,222.94,1546.85,593.84,145.0,Southeast,36160.0,33842.0,1693.0,238.0,260.0,1010.0,945.0,9118.0,41123.0,93.59,4.68,0.66,0.72,10.36,11.08
Willowbrook,197.63,1371.98,594.22,146.0,South L.A.,32899.0,21208.0,246.0,11179.0,97.0,1200.0,1280.0,7928.0,42410.0,64.46,0.75,33.98,0.29,16.15,15.14
Canoga Park,170.01,1183.97,596.41,147.0,San Fernando Valley,56586.0,30350.0,14750.0,2749.0,7537.0,4863.0,933.0,18903.0,53906.0,53.64,26.07,4.86,13.32,4.94,25.73
Jefferson Park,136.26,953.8,599.99,148.0,South L.A.,7612.0,4950.0,209.0,2205.0,211.0,462.0,180.0,2173.0,43370.0,65.03,2.75,28.97,2.77,8.28,21.26
Norwalk,198.84,1391.91,600.02,149.0,Southeast,105741.0,74202.0,12983.0,4618.0,12726.0,3420.0,2962.0,27175.0,64322.0,70.17,12.28,4.37,12.04,10.9,12.59
Hawthorne,153.18,1073.36,600.72,150.0,South Bay,1322.0,802.0,54.0,321.0,124.0,54.0,36.0,358.0,53181.0,60.67,4.08,24.28,9.38,10.06,15.08
Lennox,204.06,1432.88,602.19,151.0,South Bay,20136.0,18649.0,410.0,727.0,151.0,448.0,726.0,4618.0,40414.0,92.62,2.04,3.61,0.75,15.72,9.7
Lawndale,136.85,963.88,604.33,152.0,South Bay,32579.0,19878.0,5286.0,3302.0,3250.0,1749.0,659.0,9627.0,62212.0,61.01,16.23,10.14,9.98,6.85,18.17
Inglewood,144.39,1020.41,606.7,153.0,South Bay,111254.0,57111.0,3181.0,48054.0,1499.0,9407.0,1881.0,36790.0,48874.0,51.33,2.86,43.19,1.35,5.11,25.57
Rancho Palos Verdes,30.41,217.56,615.42,154.0,South Bay,41096.0,3590.0,22819.0,1155.0,11923.0,2950.0,114.0,15416.0,115929.0,8.74,55.53,2.81,29.01,0.74,19.14
South Gate,224.14,1622.94,624.07,155.0,Southeast,94030.0,89104.0,3205.0,898.0,726.0,2283.0,2672.0,23186.0,43657.0,94.76,3.41,0.96,0.77,11.52,9.85
Eagle Rock,108.62,795.68,632.54,156.0,Northeast L.A.,37705.0,16819.0,10546.0,786.0,8675.0,2980.0,474.0,12569.0,69746.0,44.61,27.97,2.08,23.01,3.77,23.71
West Hills,76.46,562.34,635.47,157.0,San Fernando Valley,35809.0,5482.0,23189.0,1053.0,4814.0,2006.0,230.0,12273.0,82740.0,15.31,64.76,2.94,13.44,1.87,16.34
Alhambra,96.86,712.61,635.71,158.0,San Gabriel Valley,83136.0,28596.0,8347.0,1281.0,43989.0,6477.0,826.0,29224.0,57077.0,34.4,10.04,1.54,52.91,2.83,22.16
Green Meadows,213.9,1581.03,639.14,159.0,South L.A.,19811.0,13531.0,108.0,6088.0,53.0,719.0,719.0,4828.0,33758.0,68.3,0.55,30.73,0.27,14.89,14.89
South Park,194.94,1448.86,643.23,160.0,South L.A.,36543.0,30992.0,301.0,5127.0,139.0,1025.0,1382.0,8293.0,29151.0,84.81,0.82,14.03,0.38,16.66,12.36
La Canada Flintridge,38.66,289.95,650.0,161.0,Verdugos,21422.0,1490.0,13718.0,124.0,5498.0,1098.0,66.0,7355.0,115901.0,6.96,64.04,0.58,25.67,0.9,14.93
Cheviot Hills,65.42,490.68,650.05,162.0,Westside,9041.0,707.0,7045.0,207.0,754.0,1156.0,19.0,3784.0,84026.0,7.82,77.92,2.29,8.34,0.5,30.55
West Carson,99.61,756.14,659.1,163.0,Harbor,23007.0,7541.0,4751.0,2449.0,7304.0,1764.0,301.0,7554.0,61618.0,32.78,20.65,10.64,31.75,3.98,23.35
San Pedro,87.14,668.9,667.62,164.0,Harbor,73453.0,35058.0,27704.0,4921.0,3762.0,8368.0,615.0,27942.0,61396.0,47.73,37.72,6.7,5.12,2.2,29.95
Carson,109.75,853.53,677.7,165.0,Harbor,90867.0,35369.0,6650.0,22535.0,22559.0,3682.0,2154.0,25076.0,60872.0,38.92,7.32,24.8,24.83,8.59,14.68
Bellflower,144.08,1130.76,684.81,166.0,Southeast,76734.0,40160.0,14989.0,10770.0,8876.0,4623.0,1208.0,23682.0,54812.0,52.34,19.53,14.04,11.57,5.1,19.52
Exposition Park,149.16,1173.28,686.59,167.0,South L.A.,42650.0,26044.0,2918.0,10665.0,2357.0,2161.0,1072.0,10928.0,29170.0,61.06,6.84,25.01,5.53,9.81,19.77
Pico-Union,198.37,1629.94,721.67,168.0,Central L.A.,39585.0,32681.0,1142.0,1404.0,4302.0,2961.0,765.0,12259.0,25464.0,82.56,2.88,3.55,10.87,6.24,24.15
Vermont Vista,184.53,1522.36,724.99,169.0,South L.A.,37988.0,25824.0,385.0,11527.0,87.0,1534.0,1203.0,9668.0,30148.0,67.98,1.01,30.34,0.23,12.44,15.87
Arcadia,41.56,346.3,733.25,170.0,San Gabriel Valley,10286.0,2950.0,3120.0,137.0,3878.0,704.0,104.0,3526.0,77053.0,28.68,30.33,1.33,37.7,2.95,19.97
Gardena,101.13,856.3,746.73,171.0,South Bay,58730.0,22130.0,5472.0,14322.0,15367.0,5132.0,744.0,20520.0,50729.0,37.68,9.32,24.39,26.17,3.63,25.01
Koreatown,133.48,1133.62,749.28,172.0,Central L.A.,48286.0,25522.0,2594.0,2228.0,17588.0,5459.0,467.0,18196.0,32455.0,52.86,5.37,4.61,36.42,2.57,30.0
Shadow Hills,90.05,765.42,749.99,173.0,San Fernando Valley,4458.0,1114.0,2927.0,43.0,261.0,271.0,61.0,1504.0,65422.0,24.99,65.66,0.96,5.85,4.06,18.02
Harvard Park,176.62,1502.57,750.74,174.0,South L.A.,36771.0,24083.0,308.0,12105.0,137.0,1975.0,1097.0,10079.0,34236.0,65.49,0.84,32.92,0.37,10.88,19.6
Watts,173.41,1478.65,752.69,175.0,South L.A.,40442.0,28383.0,352.0,11441.0,122.0,1225.0,1595.0,9264.0,34490.0,70.18,0.87,28.29,0.3,17.22,13.22
Harvard Heights,149.71,1297.48,766.66,176.0,Central L.A.,16946.0,12374.0,571.0,2129.0,1778.0,896.0,346.0,4863.0,28117.0,73.02,3.37,12.56,10.49,7.11,18.42
Hancock Park,58.69,510.59,769.98,177.0,Central L.A.,15590.0,1746.0,8501.0,609.0,4371.0,1795.0,101.0,6207.0,62331.0,11.2,54.53,3.91,28.04,1.63,28.92
Maywood,164.0,1436.77,776.08,178.0,Southeast,25646.0,24981.0,473.0,159.0,81.0,570.0,721.0,6148.0,40217.0,97.41,1.84,0.62,0.32,11.73,9.27
West Puente Valley,162.68,1504.83,825.02,179.0,San Gabriel Valley,9283.0,7889.0,509.0,151.0,704.0,136.0,390.0,1976.0,63607.0,84.98,5.48,1.63,7.58,19.74,6.88
Harbor City,75.68,705.19,831.8,180.0,Harbor,26885.0,11877.0,6883.0,2747.0,4644.0,2179.0,293.0,9404.0,63910.0,44.18,25.6,10.22,17.27,3.12,23.17
Lakewood,79.64,752.84,845.3,181.0,Harbor,868.0,260.0,201.0,130.0,243.0,35.0,13.0,261.0,73630.0,29.95,23.16,14.98,28.0,4.98,13.41
Walnut Park,192.03,1827.42,851.63,182.0,Southeast,15976.0,15553.0,269.0,70.0,89.0,317.0,637.0,3615.0,37496.0,97.35,1.68,0.44,0.56,17.62,8.77
Harbor Gateway,107.8,1034.4,859.55,183.0,Harbor,760.0,454.0,84.0,104.0,106.0,29.0,16.0,210.0,52785.0,59.74,11.05,13.68,13.95,7.62,13.81
East Whittier,94.23,904.64,860.03,184.0,San Gabriel Valley,4745.0,2456.0,1875.0,87.0,240.0,357.0,38.0,1650.0,82258.0,51.76,39.52,1.83,5.06,2.3,21.64
Palms,82.05,818.2,897.2,185.0,Westside,39562.0,9058.0,15630.0,3448.0,9811.0,7962.0,98.0,19298.0,58000.0,22.9,39.51,8.72,24.8,0.51,41.26
Avocado Heights,118.08,1195.57,912.51,186.0,San Gabriel Valley,5111.0,4385.0,271.0,30.0,416.0,86.0,207.0,1120.0,64059.0,85.8,5.3,0.59,8.14,18.48,7.68
Beverlywood,53.14,538.98,914.26,187.0,Westside,12244.0,1278.0,8886.0,554.0,1086.0,1634.0,71.0,5083.0,75265.0,10.44,72.57,4.52,8.87,1.4,32.15
Santa Fe Springs,119.8,1236.11,931.81,188.0,Southeast,20725.0,17096.0,2270.0,420.0,805.0,965.0,487.0,5738.0,64520.0,82.49,10.95,2.03,3.88,8.49,16.82
Hyde Park,101.61,1152.73,1034.47,189.0,South L.A.,27864.0,10198.0,401.0,16728.0,165.0,2801.0,477.0,9630.0,42497.0,36.6,1.44,60.03,0.59,4.95,29.09
South San Gabriel,90.42,1039.78,1049.94,190.0,San Gabriel Valley,10037.0,4140.0,534.0,103.0,5172.0,425.0,207.0,2826.0,56080.0,41.25,5.32,1.03,51.53,7.32,15.04
Vermont Square,156.72,1828.39,1066.66,191.0,South L.A.,7049.0,4469.0,71.0,2443.0,15.0,327.0,271.0,1787.0,30912.0,63.4,1.01,34.66,0.21,15.17,18.3
Leimert Park,59.07,774.53,1211.21,192.0,South L.A.,14865.0,3821.0,285.0,10274.0,192.0,2335.0,195.0,6050.0,36842.0,25.7,1.92,69.12,1.29,3.22,38.6
San Marino,15.06,316.34,2000.53,193.0,San Gabriel Valley,13167.0,875.0,4880.0,58.0,7028.0,539.0,54.0,4344.0,102973.0,6.65,37.06,0.44,53.38,1.24,12.41
