Transaction Date,Order Total,Commission,Merchant,Domain,Status,Code,Title,Locked,Payment Date
2024-12-03,$30.97 ,$1.84 ,"ROBOTIME C&C (JIANGSU) CO.,LTD.",robotimeonline.com,active,-,DIY Miniature Room Kit,yes,3/28/25
2024-11-28,$17.81 ,$1.06 ,"ROBOTIME C&C (JIANGSU) CO.,LTD.",robotimeonline.com,active,-,DIY Miniature Room Kit,yes,2/28/25
2025-11-20,$70.00 ,$10.50 ,Saie,saiehello.com,active,-,"YOUR SKIN, BUT BETTER",no,-
2024-07-18,$28.00 ,$2.38 ,Saie Beauty,saiehello.com,active,-,SAIE | Hydrabeam Brightening + Hydrating Under Eye Concealer,yes,8/23/24
2025-05-01,$108.00 ,$16.20 ,Saint Jane,saintjanebeauty.com,active,-,Luxury Sun Ritual - Pore Smoothing SPF 30 Sunscreen,yes,6/13/25
2025-01-08,$66.00 ,$9.90 ,Saint Jane,saintjanebeauty.com,active,-,Luxury Sun Ritual - Pore Smoothing SPF 30 Sunscreen,yes,3/7/25
2024-08-08,$291.00 ,$49.47 ,Saint Jane Beauty,saintjanebeauty.com,active,-,Luxury Sun Ritual - Pore Smoothing SPF 30 Sunscreen,yes,9/20/24
2024-08-02,$38.00 ,$6.46 ,Saint Jane Beauty,saintjanebeauty.com,active,-,Luxury Sun Ritual - Pore Smoothing SPF 30 Sunscreen,yes,9/20/24
2025-01-08,$106.00 ,$15.90 ,Sarah Creal Beauty,sarahcrealbeauty.com,active,-,FACE FLEX,yes,3/28/25
2025-04-04,$260.20 ,$33.17 ,Sephora,sephora.com,active,-,ORIGINAL Beautyblender Makeup Sponge,yes,6/13/25
2024-05-30,$276.00 ,$23.46 ,Sephora,sephora.com,active,-,SK-II | Skinpower Essence,yes,7/5/24
2025-09-10,$110.00 ,$14.03 ,Sephora,sephora.com,active,-,SAINT JANE | Luxury Sun Ritual Pore Smoothing Sunscreen SPF 30,yes,11/7/25
2024-05-23,$90.00 ,$7.65 ,Sephora,sephora.com,active,-,SK-II | Skinpower Essence,yes,7/5/24
2025-10-02,$58.29 ,$7.43 ,Sephora,sephora.com,active,-,Make Up For Ever HD Skin Concealer,no,-
2024-08-04,$46.40 ,$5.92 ,Sephora,sephora.com,active,-,"Danessa Myricks Beauty
Yummy Skin Blurring Balm Powder",yes,10/4/24
2025-06-15,$44.00 ,$5.61 ,Sephora,sephora.com,active,-,"PATRICK TA 
Major Volume Plumping Lip Gloss",yes,9/5/25
2025-09-17,$43.05 ,$5.49 ,Sephora,sephora.com,active,-,SAINT JANE | Luxury Sun Ritual Pore Smoothing Sunscreen SPF 30,yes,11/7/25
2024-02-24,$64.00 ,$5.44 ,Sephora,sephora.com,active,-,-,yes,4/12/24
2025-09-01,$31.10 ,$3.96 ,Sephora,sephora.com,active,-,IT COSMETICS | CC+ Nude Glow Color Correcting Skin Tint SPF 40,yes,11/7/25
2024-10-22,$21.00 ,$2.68 ,Sephora,sephora.com,active,-,SK-II | Skinpower Essence,yes,12/6/24
2024-08-25,$15.00 ,$2.30 ,Sephora,sephora.com,active,-,"Danessa Myricks Beauty
Yummy Skin Blurring Balm Powder",yes,10/4/24
2025-09-20,$0.00 ,$0.00 ,Sephora,sephora.com,cancelled,-,SAINT JANE | Luxury Sun Ritual Pore Smoothing Sunscreen SPF 30,-,-
2025-10-27,$0.00 ,$0.00 ,Sephora,sephora.com,cancelled,-,"Danessa Myricks Beauty
Yummy Skin Blurring Balm Powder",-,-
2024-04-10,$154.28 ,$13.11 ,Sephora Canada,sephora.com/ca,active,-,"Rare Beauty by Selena Gomez
Soft Pinch Liquid Blush",yes,5/31/24
2025-07-06,$96.00 ,$19.20 ,Skincare Essentials,skincareessentials.com,active,STARS40,TIZO | 2 Facial Primer Non-Tinted SPF 40,yes,10/31/25
2024-08-08,$148.00 ,$7.55 ,SkinCeuticals,skinceuticals.com,active,NONE,P-TIOX,yes,11/15/24
2024-04-16,$54.00 ,$6.48 ,skinfix,skinfix.com,active,-,SKINFIX | Barrier+ Triple Lipid-Peptide Cream,yes,7/26/24
2025-01-21,$70.00 ,$0.83 ,Skinfix,skinfix.com,active,-,Hand Repair Cream,yes,5/16/25
2024-10-28,$71.72 ,$7.17 ,Snif,snif.co,active,-,Candle Bundle Kit,yes,12/6/24
2024-09-29,$37.80 ,$4.82 ,Soko Glam,sokoglam.com,active,-,MISSHA | Time Revolution The First Treatment Essence 5x,yes,1/3/25
2024-06-24,$32.22 ,$1.92 ,Style Korean US,bloomingkoco.com,active,-,Rom Nd Juicy Lasting Tint,yes,7/26/24
2024-06-17,$17.90 ,$1.06 ,Style Korean US,bloomingkoco.com,active,-,Rom Nd Juicy Lasting Tint,yes,7/26/24
2024-09-29,$28.37 ,$2.84 ,Stylevana,stylevana.com,active,-,[Deal] MISSHA - All-Around Safe Block Waterproof Sun Milk SPF 50+/PA++++ - 70ml,yes,11/15/24
2024-07-28,$51.09 ,$2.55 ,Stylevana,stylevana.com,active,-,BEAUTY OF JOSEON | Matte Sun Stick : Mugwort + Camelia SPF50 PA++++,yes,9/20/24
2024-01-24,$16.08 ,$1.61 ,Stylevana,stylevana.com,active,-,CURE | Natural Aqua Gel,yes,3/8/24
2024-11-29,$280.00 ,$23.80 ,Target,target.com,active,7996789097,Terra by Battat – Remote Control Infrared Light-Up Spider – Tarantula,yes,2/28/25
2024-12-01,$218.49 ,$18.57 ,Target,target.com,active,-,Mondo Llama : Kids’ Crafts,yes,3/21/25
2024-12-01,$230.65 ,$15.84 ,Target,target.com,active,8173126822,Terra by Battat – Remote Control Infrared Light-Up Spider – Tarantula,yes,3/21/25
2024-12-03,$266.53 ,$11.59 ,Target,target.com,active,289069469,Mondo Llama : Kids’ Crafts,yes,3/21/25
2025-09-18,$173.98 ,$10.36 ,Target,target.com,active,"357,009,177,616,782,000,000,000,000",L'OREAL PARIS | Voluminous Lash Paradise Mascara,no,-
2024-05-13,$126.58 ,$9.55 ,Target,target.com,active,-,Target Anti-Theft Fanny Pack,yes,8/23/24
2024-12-02,$106.59 ,$8.98 ,Target,target.com,active,-,3pc Waffle Kitchen Towels - Figmint™,yes,3/21/25
2024-12-14,$94.00 ,$7.99 ,Target,target.com,active,-,Terra by Battat – Remote Control Infrared Light-Up Spider – Tarantula,yes,3/21/25
2024-12-01,$212.54 ,$7.90 ,Target,target.com,active,8081277125,3pc Waffle Kitchen Towels - Figmint™,yes,3/21/25
2024-11-30,$201.13 ,$7.32 ,Target,target.com,active,-,Terra by Battat – Remote Control Infrared Light-Up Spider – Tarantula,yes,2/28/25
2024-08-06,$99.35 ,$6.61 ,Target,target.com,active,3913454732,NEUTROGENA | Healthy Volume Lash-Plumping Mascara,yes,11/22/24
2025-02-13,$174.26 ,$6.38 ,Target,target.com,active,519470099,PANTENE | Pro-V Repair & Protect Shampoo,yes,6/13/25
2024-12-01,$118.50 ,$6.30 ,Target,target.com,active,2511442565,Terra by Battat – Remote Control Infrared Light-Up Spider – Tarantula,yes,3/21/25
