,zip,total
1131,95010,3441
1132,95012,3435
1133,95014,32527
1134,95018,2447
1135,95019,1895
1136,95020,32154
1137,95023,26341
1138,95030,7443
1139,95031,117
1140,95032,15014
1141,95033,3716
1142,95035,40895
1143,95037,28643
1144,95038,15
1145,95039,100
1146,95043,11
1147,95045,957
1148,95046,1970
1149,95050,18126
1150,95051,31422
1151,95052,12
1152,95054,13239
1153,95060,17461
1154,95062,14482
1155,95063,42
1156,95064,117
1157,95065,2550
1158,95066,6763
1159,95070,19440
1160,95073,4313
1161,95076,33137
1162,95077,68
1163,95105,18
1164,95110,7792
1165,95111,25812
1166,95112,23886
1167,95113,322
1168,95116,18267
1169,95117,12805
1170,95118,15336
1171,95119,4017
1172,95120,22516
1173,95121,17634
1174,95122,22132
1175,95123,34066
1176,95124,25311
1177,95125,27581
1178,95126,16256
1179,95127,27047
1180,95128,15014
1181,95129,20666
1182,95130,5545
1183,95131,18531
1184,95132,20169
1185,95133,13401
1186,95134,15387
1187,95135,10948
1188,95136,23459
1189,95138,10127
1190,95139,2244
1191,95148,23453
1192,95151,48
1193,95157,13
1194,95159,11
1195,95161,23
1196,95201,11
1197,95202,1430
1198,95203,3853
1199,95204,9903
1200,95205,11591
1201,95206,24795
1202,95207,16787
1203,95209,18077
1204,95210,12972
1205,95212,12523
1206,95213,24
1207,95215,7937
1208,95219,13266
1209,95220,2032
1210,95221,18
1211,95222,1020
1212,95223,1206
1213,95228,1411
1214,95231,594
1215,95236,1639
1216,95237,608
1217,95240,17928
1218,95241,285
1219,95242,12540
1220,95245,107
1221,95246,137
1222,95247,1175
1223,95249,845
1224,95252,6210
1225,95255,53
1226,95258,1032
1227,95269,12
1228,95301,15517
1229,95304,6427
1230,95306,22
1231,95307,18127
1232,95310,175
1233,95311,130
1234,95313,57
1235,95315,3983
1236,95316,2036
1237,95318,11
1238,95319,55
1239,95320,4845
1240,95321,888
1241,95322,2979
1242,95323,12
1243,95324,2334
1244,95326,3605
1245,95327,1487
1246,95328,892
1247,95329,355
1248,95330,11451
1249,95333,405
1250,95334,5170
1251,95336,21433
1252,95337,19749
1253,95338,3834
1254,95340,12764
1255,95341,9072
1256,95346,40
1257,95348,10607
1258,95350,19631
1259,95351,15069
1260,95352,14
1261,95353,115
1262,95354,8490
1263,95355,26118
1264,95356,16209
1265,95357,4578
1266,95358,12390
1267,95360,4303
1268,95361,15010
1269,95363,11635
1270,95365,809
1271,95366,8321
1272,95367,9549
1273,95368,5375
1274,95370,10796
1275,95372,206
1276,95374,62
1277,95376,23913
1278,95377,16751
1279,95379,723
1280,95380,15660
1281,95381,111
1282,95382,16676
1283,95383,1261
1284,95386,2962
1285,95387,25
1286,95388,3562
1287,95389,25
1288,95391,8938
1289,95401,15331
1290,95402,18
1291,95403,19054
1292,95404,16718
1293,95405,9640
1294,95407,17104
1295,95409,12557
1296,95415,187
1297,95416,49
1298,95418,42
1299,95421,40
1300,95422,3343
1301,95423,520
1302,95425,4301
1303,95426,139
1304,95428,241
1305,95436,1590
1306,95437,4706
1307,95439,40
1308,95441,333
1309,95442,493
1310,95444,11
1311,95445,371
1312,95446,1116
1313,95448,8549
1314,95449,141
1315,95451,4060
1316,95452,45
1317,95453,3889
1318,95454,413
1319,95456,13
1320,95457,635
1321,95458,235
1322,95460,435
1323,95461,604
1324,95462,35
1325,95464,125
1326,95465,306
1327,95466,99
1328,95467,1653
1329,95468,84
1330,95469,179
1331,95470,1684
1332,95472,13023
1333,95476,15482
1334,95481,30
1335,95482,13176
1336,95485,226
1337,95490,4359
1338,95492,13433
1339,95501,7295
1340,95502,34
1341,95503,8180
1342,95518,39
1343,95519,6411
1344,95521,5100
1345,95524,237
1346,95525,103
1347,95528,11
1348,95531,6227
1349,95536,383
1350,95540,4608
1351,95542,414
1352,95546,333
1353,95547,27
1354,95549,14
1355,95550,100
1356,95551,49
1357,95553,27
