,zip,name,teslas,all_vehicles,tesla_rate_1k,avg_house_income,avg_net_worth
461,92807,Anaheim,474,22962,20.64,137602,1597305
462,92808,Anaheim,349,12147,28.73,143699,1285053
463,92821,Brea,449,23492,19.11,107675,817648
464,92823,Brea,127,3345,37.97,160500,1860622
465,92831,Fullerton,194,15456,12.55,91744,679259
466,92832,Fullerton,85,10132,8.39,82081,347847
467,92833,Fullerton,449,25306,17.74,96711,568578
468,92835,Fullerton,370,13558,27.29,135210,1550453
469,92840,Garden Grove,180,22415,8.03,79942,372722
470,92841,Garden Grove,159,14772,10.76,82218,392223
471,92843,Garden Grove,148,18166,8.15,69395,246632
472,92844,Garden Grove,101,9887,10.22,73401,239443
473,92845,Garden Grove,55,8195,6.71,109560,1144311
474,92860,Norco,67,12619,5.31,116705,1032919
475,92861,Villa Park,145,3693,39.26,230380,3525386
476,92865,Orange,126,12092,10.42,100453,658907
477,92866,Orange,52,6190,8.4,82905,339656
478,92867,Orange,444,22866,19.42,126665,1162849
479,92868,Orange,67,17832,3.76,82232,200301
480,92869,Orange,348,18405,18.91,135867,1365314
481,92870,Placentia,337,25821,13.05,109646,1000273
482,92879,Corona,140,21954,6.38,81327,417531
483,92880,Corona,604,36717,16.45,124588,718534
484,92881,Corona,256,17111,14.96,126491,971571
485,92882,Corona,312,32562,9.58,96500,610973
486,92883,Corona,298,20072,14.85,127029,931065
487,92886,Yorba Linda,867,28939,29.96,151665,1693974
488,92887,Yorba Linda,377,13088,28.81,191454,2298632
489,93001,Ventura,158,14311,11.04,82863,430264
490,93003,Ventura,180,24253,7.42,93714,780099
491,93004,Ventura,70,15432,4.54,99941,754774
492,93010,Camarillo,279,22302,12.51,114172,1177479
493,93012,Camarillo,322,19986,16.11,136911,1495270
494,93013,Carpinteria,70,7419,9.44,104910,865209
495,93021,Moorpark,341,20445,16.68,132478,1113583
496,93023,Ojai,116,9494,12.22,102629,970021
497,93030,Oxnard,81,22107,3.66,76617,300006
498,93033,Oxnard,16,26331,0.61,67435,238623
499,93035,Oxnard,126,13512,9.33,108335,756912
500,93036,Oxnard,103,19710,5.23,84882,411872
501,93041,Port Hueneme,13,7912,1.64,68909,258426
502,93060,Santa Paula,31,12288,2.52,77291,385246
503,93063,Simi Valley,316,29400,10.75,112351,872694
504,93065,Simi Valley,569,38795,14.67,127849,1069502
505,93066,Somis,31,1954,15.86,148052,1560354
506,93101,Santa Barbara,148,12272,12.06,74558,207049
507,93103,Santa Barbara,113,8247,13.7,115047,745200
508,93105,Santa Barbara,272,11782,23.09,125455,1111492
509,93108,Santa Barbara,358,6125,58.45,168627,2111912
510,93109,Santa Barbara,124,4962,24.99,124814,959957
511,93110,Santa Barbara,138,7552,18.27,120891,1081846
512,93111,Santa Barbara,144,9037,15.93,132988,1705087
513,93117,Goleta,212,16643,12.74,86925,585123
514,93230,Hanford,54,29232,1.85,74504,403337
515,93245,Lemoore,11,14946,0.74,70583,269113
516,93257,Porterville,23,26046,0.88,57748,262436
517,93274,Tulare,43,29293,1.47,66023,287004
518,93277,Visalia,59,20383,2.89,75410,560586
519,93291,Visalia,107,25632,4.17,81508,476413
