,zip,name,teslas,all_vehicles,tesla_rate_1k,avg_house_income,avg_net_worth
53,90210,Beverly Hills,895,12867,69.56,220906,2702726
54,90211,Beverly Hills,179,5990,29.88,116068,645404
55,90212,Beverly Hills,254,7078,35.89,141008,514251
56,90220,Compton,12,18044,0.67,57981,235974
57,90230,Culver City,285,13846,20.58,105774,709926
58,90232,Culver City,168,7779,21.6,108537,485501
59,90240,Downey,137,12491,10.97,95286,609134
60,90241,Downey,149,20287,7.34,74214,290737
61,90242,Downey,52,17680,2.94,70518,221923
62,90245,El Segundo,200,9575,20.89,135843,709807
63,90247,Gardena,89,18391,4.84,58579,160881
64,90248,Gardena,50,8028,6.23,75330,647759
65,90249,Gardena,62,11884,5.22,72663,442182
66,90250,Hawthorne,291,35884,8.11,64245,236515
67,90254,Hermosa Beach,474,10264,46.18,166092,747082
68,90255,Huntington Park,14,21341,0.66,50012,106116
69,90260,Lawndale,72,12504,5.76,69590,207643
70,90262,Lynwood,18,21735,0.83,58209,163285
71,90265,Malibu,511,8405,60.8,207202,2132316
72,90266,Manhattan Beach,1315,19270,68.24,213257,2035741
73,90272,Pacific Palisades,999,13059,76.5,249224,2989010
74,90274,Palos Verdes Peninsula,925,15237,60.71,242723,3353489
75,90275,Rancho Palos Verdes,969,23189,41.79,184359,2450299
76,90277,Redondo Beach,583,18511,31.49,142284,860004
77,90278,Redondo Beach,679,20309,33.43,145674,908039
78,90280,South Gate,34,31961,1.06,56448,166830
79,90290,Topanga,128,3245,39.45,193089,1680110
80,90291,Venice,453,11024,41.09,126054,431291
81,90292,Marina Del Rey,588,12693,46.32,156192,673849
82,90293,Playa Del Rey,151,6218,24.28,149295,827229
83,90301,Inglewood,12,12769,0.94,53344,95660
84,90302,Inglewood,46,10312,4.46,58562,144432
85,90305,Inglewood,49,6414,7.64,78001,593882
86,90401,Santa Monica,102,3739,27.28,94417,117705
87,90402,Santa Monica,501,5995,83.57,206819,2163557
88,90403,Santa Monica,400,11522,34.72,127062,413427
89,90404,Santa Monica,147,9008,16.32,85373,172368
90,90405,Santa Monica,498,12200,40.82,135529,566023
91,90501,Torrance,204,21708,9.4,83350,416071
92,90502,Torrance,66,8047,8.2,91555,564832
93,90503,Torrance,340,22218,15.3,108919,757464
94,90504,Torrance,169,15329,11.02,96776,647630
95,90505,Torrance,338,18526,18.24,109157,874747
96,90601,Whittier,87,15520,5.61,94171,604267
97,90602,Whittier,16,9561,1.67,72744,318550
98,90603,Whittier,58,9949,5.83,117356,1111934
99,90604,Whittier,84,16854,4.98,84049,469582
100,90605,Whittier,81,16940,4.78,88987,554203
101,90606,Whittier,12,13212,0.91,73956,363304
102,90620,Buena Park,177,21885,8.09,88020,530149
103,90621,Buena Park,196,16898,11.6,79342,331696
104,90623,La Palma,131,8284,15.81,116937,1003741
105,90630,Cypress,354,25529,13.87,110053,920375
106,90631,La Habra,317,31283,10.13,98209,736679
107,90638,La Mirada,175,24149,7.25,105345,936622
108,90640,Montebello,109,27618,3.95,69890,323108
109,90650,Norwalk,139,42170,3.3,73108,322209
110,90660,Pico Rivera,64,25820,2.48,70392,319547
111,90670,Santa Fe Springs,102,13096,7.79,71313,313722
112,90680,Stanton,62,12080,5.13,73882,263482
113,90701,Artesia,51,6660,7.66,80879,410750
114,90703,Cerritos,651,27376,23.78,120427,1146304
115,90706,Bellflower,97,30573,3.17,65931,199185
116,90710,Harbor City,50,10657,4.69,80812,661267
117,90712,Lakewood,104,15195,6.84,95209,755797
118,90713,Lakewood,84,13627,6.16,103330,935664
119,90715,Lakewood,15,8341,1.8,86966,374759
120,90717,Lomita,57,8837,6.45,87430,376061
121,90720,Los Alamitos,267,13735,19.44,143111,1632930
122,90723,Paramount,14,20095,0.7,54911,130448
123,90731,San Pedro,115,21787,5.28,72825,291847
124,90732,San Pedro,93,9735,9.55,113500,1186743
125,90740,Seal Beach,230,13318,17.27,95989,1302513
126,90745,Carson,104,24397,4.26,89636,588657
127,90746,Carson,73,13943,5.24,98017,1127137
128,90755,Signal Hill,80,7023,11.39,104032,539569
129,90802,Long Beach,139,14300,9.72,65755,122565
130,90803,Long Beach,381,15837,24.06,121310,721693
131,90804,Long Beach,70,12451,5.62,60211,102358
132,90805,Long Beach,88,31976,2.75,59548,165563
133,90806,Long Beach,52,15087,3.45,61161,230518
134,90807,Long Beach,179,15032,11.91,103317,581649
135,90808,Long Beach,213,19462,10.94,119296,1107113
136,90813,Long Beach,11,13838,0.79,44271,44291
137,90814,Long Beach,109,8116,13.43,95214,387944
138,90815,Long Beach,231,18993,12.16,110388,946732
139,91001,Altadena,393,16722,23.5,129531,1271815
140,91006,Arcadia,547,16776,32.61,131366,1243235
141,91007,Arcadia,394,15201,25.92,109631,853608
142,91008,Duarte,13,608,21.38,142935,1859995
143,91010,Duarte,63,11242,5.6,85006,592386
144,91011,La Canada Flintridge,683,12199,55.99,231624,3288780
145,91016,Monrovia,228,19011,11.99,96345,564860
146,91020,Montrose,42,3956,10.62,96486,398626
147,91024,Sierra Madre,132,5456,24.19,148110,1350352
148,91030,South Pasadena,365,12052,30.29,133405,792975
