,zip,teslas,name,avg_house_income,avg_net_worth,population,all_vehicles,tesla_rate_1k
445,92692,623,Mission Viejo,134963,1539986,49577,27254,22.86
446,92694,932,Ladera Ranch,169419,1062666,27492,20138,46.28
447,92701,34,Santa Ana,55249,113342,55773,15961,2.13
448,92703,88,Santa Ana,63430,192975,72169,20718,4.25
449,92704,231,Santa Ana,74016,307406,91028,31394,7.36
450,92705,629,Santa Ana,139500,1690506,44148,25051,25.11
451,92706,96,Santa Ana,86689,481384,40828,13461,7.13
452,92707,97,Santa Ana,77500,263962,65110,20837,4.66
453,92708,638,Fountain Valley,112135,1158925,57737,30484,20.93
454,92780,251,Tustin,85557,461297,59029,24224,10.36
455,92782,744,Tustin,142610,878016,28952,16252,45.78
456,92801,92,Anaheim,68699,198096,67301,24541,3.75
457,92802,83,Anaheim,70566,226952,46482,15287,5.43
458,92804,192,Anaheim,72399,261456,89002,32759,5.86
459,92805,220,Anaheim,67825,188469,76119,34452,6.39
460,92806,130,Anaheim,80499,359401,41608,21717,5.99
461,92807,474,Anaheim,137602,1597305,37564,22962,20.64
462,92808,349,Anaheim,143699,1285053,21019,12147,28.73
463,92821,449,Brea,107675,817648,40210,23492,19.11
464,92823,127,Brea,160500,1860622,4864,3345,37.97
