id,name,serialNumber,ethnicity,gender,area,rank,created,updated,hired,image_url
9d4c6a9b-67e8-4091-a097-a1df1450098d,Ashley Brown,44571,Hispanic,Female,Hollenback Division,Police Officer II,2023-03-18,2023-03-18,2020-01-01,https://watchthewatchers.net/headshots/BROWNASHLEYN-44571.jpg
4eec089f-e208-4f30-879f-2f49567ff57d,Austin Brown,43077,Black,Male,Community Safety Partnership Bureau,Police Officer III,2023-03-18,2023-03-18,2017-01-01,https://watchthewatchers.net/headshots/BROWNAUSTIN-43077.jpg
2657a024-0128-4bc8-9f42-2db7b162b5e5,Brianna Brown,38393,Hispanic,Female,Pacific Division,Police Officer III,2023-03-18,2023-03-18,2006-01-01,https://watchthewatchers.net/headshots/BROWNBRIANNAN-38393.jpg
da7cda00-a597-4668-a714-a8e1df5975f7,Brittany Brown,44698,White,Female,Wilshire Division,Police Officer I,2023-03-18,2023-03-18,2021-01-01,https://watchthewatchers.net/headshots/BROWNBRITTANY-44698.jpg
a1161ec0-adb6-4553-a226-962709006ce2,Dara Brown,36317,Black,Female,Robbery-Homicide Division,Detective II,2023-03-18,2023-03-18,2002-01-01,https://watchthewatchers.net/headshots/BROWNDARAE-36317.jpg
8a406edc-a20c-44dc-adda-3c9da53df502,Derek Brown,34044,White,Male,Security Services Division,Sergeant II,2023-03-18,2023-03-18,1997-01-01,https://watchthewatchers.net/headshots/BROWNDEREKJ-34044.jpg
653ef99f-0127-46e2-b4ef-6cb89e76b8fc,Dorian Brown,35960,Black,Male,North Hollywood Division,Sergeant I,2023-03-18,2023-03-18,2001-01-01,https://watchthewatchers.net/headshots/BROWNDORIANL-35960.jpg
be3d96f4-8aba-4ece-aecd-2b493fdadba0,Emmanuel Brown,35754,Black,Male,Security Services Division,Police Officer II,2023-03-18,2023-03-18,2000-01-01,https://watchthewatchers.net/headshots/BROWNEMMANUEL-35754.jpg
26d6a48a-64d2-4005-ae44-a8264eedbe03,James Brown,31342,White,Male,Metro Division,Police Officer III,2023-03-18,2023-03-18,1994-01-01,https://watchthewatchers.net/headshots/BROWNJAMESR-31342.jpg
df9d282c-7519-437d-90ee-754a361b49d5,Jeremiah Brown,44572,Black,Male,Devonshire Division,Police Officer II,2023-03-18,2023-03-18,2020-01-01,https://watchthewatchers.net/headshots/BROWNJEREMIAHA-44572.jpg
bb48a560-bd72-48cb-9489-3de55524ee28,Karim Brown,45010,Black,Male,Foothill Division,Police Officer I,2023-03-18,2023-03-18,2022-01-01,https://watchthewatchers.net/headshots/BROWNKARIMA-45010.jpg
eaf98871-645e-412d-9571-bd08388c19e9,Kristy Brown,36626,Hispanic,Female,PER-RW,Police Officer III,2023-03-18,2023-03-18,2002-01-01,https://watchthewatchers.net/headshots/BROWNKRISTY-36626.jpg
7d5645b4-6853-4821-b473-cfb607773b5e,Laverne Brown,33599,Black,Female,South Traffic Division,Police Officer II,2023-03-18,2023-03-18,1996-01-01,https://watchthewatchers.net/headshots/BROWNLAVERNE-33599.jpg
3097718c-7aa4-47c0-a866-231dfb175e98,Nathan Brown,37323,White,Male,PER-RW,Police Officer II,2023-03-18,2023-03-18,2004-01-01,https://watchthewatchers.net/headshots/BROWNNATHANS-37323.jpg
7a7cfb7e-5168-49b6-8d79-851834f710bc,Ralph Brown,34619,Black,Male,Van Nuys Division,Police Officer III,2023-03-18,2023-03-18,1998-01-01,https://watchthewatchers.net/headshots/BROWNRALPHE-34619.jpg
