locationname,marketname,city,countrycode,address,zip,region,lat,lon,operator,status,timezone,url,open_day,open_month,open_year,other_date,playground,drivethru,format,in_mall,geometry
Imperial & Bloomfield Norwalk,"Los Angeles, CA",Norwalk,US,12555 Imperial Hwy,90650,CA,33.91725496641893,-118.06462851367817,Farid Khansarinia,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/imperialatbloomfield,10.0,1.0,2019.0,2019-01-10,interior,True,Stand Alone,False,POINT (-118.06462851367817 33.91725496641893)
Imperial & Lakewood,"Los Angeles, CA",Downey,US,8900 Imperial Highway,90242,CA,33.9170858,-118.1375598,Josiah Borg,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/imperialandlakewood,20.0,5.0,2021.0,2021-05-20,none,True,Stand Alone,False,POINT (-118.1375598 33.9170858)
I-5 & Firestone,"Los Angeles, CA",La Mirada,US,14303 Firestone Blvd,90638,CA,33.8839253,-118.0271587,Chris Schivley,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/i5andfirestone,23.0,5.0,2019.0,2019-05-23,interior,True,Stand Alone,False,POINT (-118.0271587 33.8839253)
Long Beach,"Los Angeles, CA",Long Beach,US,7681 Carson Blvd,90808,CA,33.83074,-118.08533,John Howard,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/longbeach,20.0,4.0,2006.0,2006-04-20,interior,True,Stand Alone,False,POINT (-118.08533 33.83074)
Whittwood,"Los Angeles, CA",Whittier,US,15600 Whittier Blvd,90603,CA,33.94428,-117.99417,Thomas Purtell,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/whittwood,17.0,8.0,2017.0,2017-08-17,interior,True,Stand Alone,False,POINT (-117.99417 33.94428)
La Palma Ave,"Los Angeles, CA",Buena Park,US,8161 La Palma Ave,90620,CA,33.847216,-117.991027,Steve Hollins,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/buenapark,13.0,9.0,2012.0,2012-09-13,interior,False,Stand Alone,False,POINT (-117.991027 33.847216)
43rd & 8th In-Line,"New York, NY",New York,US,675 8th Ave,10036,NY,40.7577897,-73.9896923,Charles Bohs,OPEN,America/New_York,https://www.chick-fil-a.com/6758thaveinline,20.0,10.0,2020.0,2020-10-20,none,False,In-Line,False,POINT (-73.9896923 40.7577897)
405 & Avalon,"Los Angeles, CA",Carson,US,20501 Avalon Blvd,90746,CA,33.8452484,-118.2649834,Chris McGalliard,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/405andavalon,22.0,7.0,2021.0,2021-07-22,none,True,Stand Alone,False,POINT (-118.2649834 33.8452484)
Ontario Mills Parkway,"Los Angeles, CA",Ontario,US,4350 Ontario Mills Pkwy,91764,CA,34.0683868,-117.5564739,Christine Garcia,TEMPORARY_CLOSE,America/Los_Angeles,https://www.chick-fil-a.com/ontariomillsparkway,27.0,5.0,2004.0,2004-05-27,interior,True,Stand Alone,False,POINT (-117.5564739 34.0683868)
Hwy 210 & Ayala Drive,"Los Angeles, CA",Rialto,US,1150 West Renaissance Parkway,92376,CA,34.1345128,-117.3936747,Dave Rodriguez,OPEN,America/Los_Angeles,https://www.chick-fil-a.com/hwy210andayaladrive,31.0,1.0,2019.0,2019-01-31,interior,False,Stand Alone,False,POINT (-117.3936747 34.1345128)
