name,kind,group,coat_color,mane_color,eye_color,first_appearance,first_season,coat_hex,mane_hex,eye_hex
Rogue Ruby,earth,mare,"hsl(35, 18%, 56%)","hsl(200, 6%, 20%)","hsl(195, 39%, 48%)",6130743,False,D9D7DF,887D9B,8111B0
Rose,earth,mare,"hsl(063, 95%, 92%)","hsl(334, 84%, 35%)","hsl(088, 52%, 71%)",1041835,True,CCCCCC,8484DC,ADD05D
Rosemary,earth,mare,"hsl(282, 28%, 91%)","hsl(322, 43%, 54%)","hsl(167, 100%, 66%)",5010502,False,DCEAEF,94B8A2,52AD65
Rosetta,earth,mare,"hsl(60, 47%, 87%)","hsl(300, 45%, 77%)","hsl(141, 26%, 68%)",5170632,False,D9DAE3,FBC1F5,37B9B4
Rosy Riveter,earth,mare,"hsl(255, 24%, 52%)","hsl(224, 35%, 50%)","hsl(271, 34%, 42%)",5230617,False,8B6798,474747,FAFAFA
Roxie Rave,earth,mare,"hsl(180, 45%, 91%)","hsl(254, 60%, 66%)","hsl(220, 81%, 76%)",1200854,True,E1FCFE,E5E4E7,CA68AB
Ruby Splash,earth,mare,"hsl(171, 75%, 89%)","hsl(319, 77%, 51%)","hsl(322, 78%, 44%)",4080235,False,E6EAEF,EDE9B1,75C7DB
Salt Water,earth,mare,"hsl(178, 76%, 81%)","hsl(000, 0%, 99%)","hsl(087, 71%, 61%)",4221528,False,D562BA,74D75B,FF8587
Savannah Guthrie,earth,mare,"hsl(56, 92%, 80%)","hsl(37, 75%, 64%)","hsl(217, 36%, 47%)",,False,DEB5DE,90DFF9,45C98C
Screwball,earth,mare,"hsl(300, 36%, 72%)","hsl(271, 54%, 49%)","hsl(267, 65%, 40%)",2021123,False,EFEDB3,3A5788,7E56C2
Screwy,earth,mare,"hsl(198, 82%, 63%)","hsl(212, 75%, 76%)","hsl(289, 22%, 30%)",2161818,False,F5FCCF,DE3B81,95D4EF
Seasong,earth,mare,"hsl(215, 37%, 39%)","hsl(240, 25%, 30%)","hsl(000, 100%, 100%)",1141356,True,9AB1B1,F17F22,EECF9B
Serena,earth,mare,"hsl(189, 73%, 80%)","hsl(240, 50%, 99%)","hsl(051, 84%, 71%)",1031645,True,A17FC3,F76E75,80CEEF
Shoeshine,earth,mare,"hsl(199, 85%, 77%)","hsl(217, 48%, 87%)","hsl(330, 60%, 67%)",1010651,True,CFE9B9,F5A2F6,AE2D70
Silver Berry,earth,mare,"hsl(255, 11%, 86%)","hsl(297, 35%, 49%)","hsl(324, 77%, 43%)",4060524,False,A4F9F1,EB8EC1,9F40CE
Silver Frames,earth,mare,"hsl(000, 0%, 80%)","hsl(240, 20%, 50%)","hsl(050, 40%, 60%)",2090141,False,DBC9A3,E0768B,27ABB0
Sky View,earth,mare,"hsl(195, 38%, 90%)","hsl(261, 13%, 55%)","hsl(000, 100%, 100%)",1141356,True,9AC0EA,ECBD65,9C8DC9
Reporter PonySnappy Scoop,earth,mare,"hsl(234, 15%, 87%)","hsl(240, 56%, 69%)","hsl(238, 56%, 69%)",1201020,True,8C80A8,ED9654,40C0CE
Soft Spot,earth,mare,"hsl(284, 19%, 50%)","hsl(144, 20%, 65%)","hsl(140, 42%, 43%)",4241452,False,BEDDEA,933BBF,6AB658
Soigne Folio,earth,mare,"hsl(185, 94%, 94%)","hsl(306, 88%, 87%)","hsl(189, 43%, 73%)",1200435,True,F3C65E,E6E5C7,9179C3
Soot Stain,earth,mare,"hsl(213, 22%, 92%)","hsl(000, 0%, 28%)","hsl(282, 82%, 38%)",2110502,False,F2E6BF,DD4B6B,475F66
Spaceage Sparkle,earth,mare,"hsl(314, 58%, 61%)","hsl(260, 6%, 90%)",white,4080743,False,9E754C,66B0E1,EDD091
Spring Forward,earth,mare,"hsl(300, 38%, 79%)","hsl(056, 62%, 81%)","hsl(078, 55%, 59%)",1020127,True,F597FC,A99DE7,F5CB42
Customer PonySpring Green,earth,mare,"hsl(058, 65%, 82%)","hsl(108, 61%, 60%)","hsl(133, 36%, 50%)",4172013,False,EAB3E3,3B5B91,70B8CD
Spring Harvest,earth,mare,"hsl(69, 88%, 90%)","hsl(195, 90%, 77%)","hsl(178, 54%, 47%)",7130439,False,E585C3,DCBBDD,A4CEDA
Spring Water,earth,mare,"hsl(182, 13%, 65%)","hsl(218, 40%, 38%)","hsl(000, 0%, 98%)",1110601,True,F5F7D9,803533,A80051
Method Mare 4Stardom,earth,mare,"hsl(270, 36%, 63%)","hsl(334, 71%, 55%)","hsl(319, 48%, 60%)",5161257,False,A99DE7,6E3B9B,A9D279
Stella Lashes,earth,mare,"hsl(092, 53%, 82%)","hsl(027, 88%, 54%)","hsl(192, 59%, 66%)",1200435,True,F28673,EEA158,FFFFFF
Strawberry Ice,earth,mare,"hsl(174, 88%, 81%)","hsl(357, 89%, 70%)","hsl(359, 100%, 76%)",4060524,False,E3E68E,6760D2,80C2E5
Fancy Friendship StudentStrawberry Scoop,earth,mare,"hsl(40, 44%, 75%)","hsl(299, 83%, 80%)","hsl(152, 55%, 53%)",8010655,False,81DFDF,936E53,AD005F
Cruise Pony 3Forceful Parent PonySun Cloche,earth,mare,"hsl(211, 65%, 76%)","hsl(327, 70%, 74%)","hsl(262, 47%, 55%)",7220653,False,B2DEFF,458AB5,B32979
Mighty Helm GuardsponySun Cross,earth,mare,"hsl(258, 19%, 58%)","hsl(348, 63%, 67%)","hsl(198, 74%, 76%)",7160457,False,FFCE5C,DE54AB,604E7E
Sun Streak,earth,mare,"hsl(197, 51%, 83%)","hsl(039, 78%, 66%)","hsl(038, 71%, 77%)",1111631,True,BEA2DD,BA3B41,FFFFFF
Sunfire,earth,mare,"hsl(042, 86%, 66%)","hsl(026, 81%, 63%)",,1022022,True,A9E6F9,797458,69C7D3
Cruise Pony 2Pony in WindowSunny Side,earth,mare,"hsl(46, 67%, 85%)","hsl(280, 53%, 49%)","hsl(198, 78%, 72%)",7220653,False,E3B0B3,EB6692,CAA3DC
Sunny Smiles,earth,mare,"hsl(030, 35%, 46%)","hsl(058, 38%, 84%)","hsl(329, 59%, 43%)",2180549,False,558B72,86473C,A2893F
Random PonySunset Bliss,earth,mare,"hsl(296, 94%, 79%)","hsl(347, 68%, 58%)","hsl(280, 59%, 53%)",1260648,True,ECBE93,E9BC53,4CC4E6
Surf,earth,mare,"hsl(307, 56%, 81%)","hsl(204, 67%, 64%)","hsl(182, 64%, 42%)",2190221,False,D3A15A,D84F82,A095DB
Sweetberry,earth,mare,"hsl(321, 65%, 71%)","hsl(250, 60%, 76%)","hsl(255, 36%, 67%)",1110447,True,8ED1EB,628484,6EA9E7
Sweetie Drops,earth,mare,"hsl(064, 65%, 91%)","hsl(218, 42%, 40%)","hsl(186, 59%, 53%)",1010647,True,F3C568,FF70FF,156EB7
Swirly Cotton,earth,mare,"hsl(250, 60%, 76%)","hsl(298, 33%, 80%)","hsl(109, 39%, 53%)",1110447,True,D3D9DE,D294DB,E4C753
Swooning Pony 1Swoon Song,earth,mare,"hsl(9, 83%, 70%)","hsl(2, 43%, 35%)","hsl(259, 38%, 62%)",7080750,False,FDD8EB,935DB6,1B536F
Violinist PonySymphony Song,earth,mare,"hsl(062, 64%, 73%)","hsl(272, 45%, 42%)","hsl(195, 18%, 34%)",2091527,False,EFEDF7,B2809B,B3F075
Tangerine Tassels,earth,mare,"hsl(180, 60%, 69%)","hsl(029, 82%, 64%)","hsl(041, 72%, 75%)",4081512,False,B3B6B7,C2FFDA,E8CA69
Tarantella,earth,mare,"hsl(206, 100%, 85%)","hsl(244, 56%, 60%)","hsl(046, 90%, 61%)",4191429,False,FFC6B2,DBE1F0,7FA451
Toffee,earth,mare,"hsl(042, 100%, 68%)","hsl(026, 28%, 45%)","hsl(193, 48%, 62%)",1210659,True,F7CFE4,F3B986,DB773D
Housekeeper PonyTote Bag,earth,mare,"hsl(269, 46%, 75%)","hsl(203, 45%, 49%)","hsl(194, 42%, 75%)",5180816,False,FAFAFA,6549A2,B5E071
Tough Love,earth,mare,"hsl(194, 87%, 82%)","hsl(322, 68%, 60%)","hsl(331, 100%, 33%)",6100725,False,CEFF7A,523F2E,FFFFFF
Tree H. Hooffield,earth,mare,"hsl(356, 48%, 79%)","hsl(357, 52%, 48%)","hsl(88, 50%, 65%)",5230452,False,B2FAD4,343233,419042
Tree Sap,earth,mare,"hsl(152, 24%, 44%)","hsl(050, 16%, 41%)","hsl(000, 100%, 100%)",1110601,True,F5F1CC,FF9B0F,57BFC1
Tropical Spring,earth,mare,"hsl(029, 70%, 75%)","hsl(340, 77%, 66%)","hsl(201, 66%, 70%)",2180545,False,D5BA76,3E3A37,F2DD73
Trowel Hooffield,earth,mare,"hsl(35, 58%, 59%)","hsl(9, 38%, 38%)","hsl(327, 100%, 34%)",5230452,False,1176B0,B6A781,7BAB54
Pushy PonyTurf,earth,mare,"hsl(197, 70%, 74%)","hsl(042, 77%, 62%)","hsl(325, 63%, 43%)",2190221,False,87653B,FCFCFC,5BB7F1
Personal Shopper PonyTwinkleworks,earth,mare,"hsl(40, 85%, 68%)","hsl(338, 64%, 58%)","hsl(263, 24%, 40%)",5180816,False,EEE8A0,75A446,CAAD4E
Vanilla Sweets,earth,mare,"hsl(210, 15%, 85%)","hsl(180, 15%, 45%)","hsl(000, 100%, 100%)",1110600,True,F0C1B7,FDCF6D,4176AF
Vidala Swoon,earth,mare,"hsl(329, 91%, 92%)","hsl(300, 100%, 72%)","hsl(187, 55%, 62%)",1200854,True,E7EDD9,8E4370,5BB6D2
Viola,earth,mare,"hsl(252, 38%, 95%)","hsl(292, 50%, 72%)","hsl(281, 45%, 75%)",5160636,False,9CCE69,50E6F7,5C8BF0
Welly,earth,mare,"hsl(192, 3%, 71%)","hsl(276, 38%, 54%)","hsl(045, 44%, 44%)",2180543,False,61B8AB,E96F3F,C99836
Wildwood Flower,earth,mare,"hsl(015, 100%, 85%)","hsl(328, 25%, 60%)","hsl(193, 75%, 60%)",2140756,False,4F4F4F,3C2E2A,32D2C2
Winter Lotus,earth,mare,"hsl(328, 72%, 89%)","hsl(144, 100%, 88%)","hsl(250, 49%, 72%)",5171016,False,F6D037,5C696A,608385
Winter Withers,earth,mare,"hsl(000, 0%, 98%)","hsl(222, 40%, 90%)","hsl(211, 72%, 67%)",2051820,False,FFFFFF,9EDCDC,A9EE81
Yuma Spurs,earth,mare,"hsl(82, 100%, 74%)","hsl(28, 82%, 74%)","hsl(207, 79%, 40%)",5060005,False,909898,F8ECD8,4CAFD6
Las Pegasus SingerZen Moment,earth,mare,"hsl(148, 88%, 84%)","hsl(259, 38%, 46%)","hsl(48, 73%, 61%)",6200043,False,B7ECAC,5C242E,4DCFFF
Ace Point,earth,stallion,"hsl(054, 67%, 88%)","hsl(029, 28%, 25%)","hsl(200, 61%, 27%)",1120725,True,C96477,4F4327,FFFFFF
Adante,earth,stallion,"hsl(043, 53%, 65%)","hsl(330, 2%, 20%)","hsl(090, 80%, 70%)",4221527,False,B29B5C,F3BAD7,3E848E
Affero,earth,stallion,"hsl(202, 82%, 38%)","hsl(035, 100%, 53%)","hsl(046, 73%, 66%)",1260918,True,BDAC7F,EBEAEC,A0E06C
Al Roker,earth,stallion,"hsl(33, 39%, 38%)","hsl(26, 6%, 23%)","hsl(87, 34%, 48%)",,False,F8CD68,444346,ABDAFC
Ancient Artifact,earth,stallion,"hsl(56, 69%, 78%)","hsl(43, 27%, 61%)","hsl(22, 69%, 55%)",6130155,False,ABABAB,BD1F76,3A6E6C
Pop Art PonyAndy Warhoof,earth,stallion,"hsl(10, 65%, 83%)","hsl(0, 0%, 99%)","hsl(83, 64%, 66%)",6041152,False,A88161,F38A44,83E269
Apple Bread,earth,stallion,"hsl(078, 37%, 89%)","hsl(090, 40%, 46%)","hsl(000, 100%, 100%)",3082119,False,8F8A8C,FFFFFF,4892B1
Apple Slice,earth,stallion,"hsl(090, 51%, 61%)","hsl(041, 97%, 71%)","hsl(121, 38%, 41%)",3081816,False,E2D0AB,C3374C,A199AD
Autumn Leaf,earth,stallion,"hsl(171, 38%, 55%)","hsl(324, 36%, 41%)","hsl(181, 46%, 55%)",6080018,False,FFFFFF,7C765F,81FF42
B. Sharp,earth,stallion,"hsl(0, 0%, 31%)","hsl(186, 91%, 64%)","hsl(50, 83%, 70%)",5160405,False,F1D6A7,DFCD68,86EB47
Stage ManagerBack Stage,earth,stallion,"hsl(48, 91%, 59%)","hsl(17, 79%, 58%)","hsl(93, 34%, 50%)",6200922,False,E0D6B2,454545,7AFAA5
Barber Groomsby,earth,stallion,"hsl(000, 0%, 100%)","hsl(014, 17%, 20%)","hsl(203, 84%, 65%)",6040433,False,77AFBB,F9F4D7,8FD846
Baritone,earth,stallion,"hsl(180, 4%, 58%)","hsl(188, 7%, 39%)","hsl(046, 54%, 55%)",1110448,True,F2EBD4,956D56,706669
Sandbar's DadBeachcomber,earth,stallion,"hsl(110, 62%, 80%)","hsl(180, 47%, 74%)","hsl(211, 46%, 47%)",8151359,False,9F6F50,4E4D6F,42675C
BeauDe Mane,earth,stallion,"hsl(349, 48%, 59%)","hsl(038, 68%, 91%)","hsl(194, 57%, 59%)",4060524,False,F3D26D,C44A03,1B357E
Beuford,earth,stallion,"hsl(44, 36%, 53%)","hsl(349, 44%, 25%)","hsl(221, 83%, 65%)",5060007,False,9C97AF,333333,474345
Caballeron's BandoleroBiff,earth,stallion,"hsl(043, 32%, 62%)","hsl(042, 34%, 23%)","hsl(040, 58%, 50%)",4040654,False,FFCF4D,C38322,EFD64E
Big Top,earth,stallion,"hsl(042, 91%, 69%)","hsl(329, 70%, 84%)","hsl(174, 64%, 51%)",2170341,False,DABA77,85A9E0,82FD49
ProfessorBill Neigh,earth,stallion,"hsl(000, 0%, 67%)","hsl(270, 5%, 92%)","hsl(183, 16%, 45%)",3010632,False,FFED8A,594A4C,A79D49
Black Stone,earth,stallion,"hsl(027, 29%, 52%)","hsl(259, 2%, 27%)","hsl(098, 76%, 72%)",1210655,True,DEBE78,BEC398,25832D
CaptainBlow Dry,earth,stallion,"hsl(336, 2%, 55%)","hsl(327, 72%, 43%)","hsl(197, 63%, 57%)",4061148,False,766B6F,646BA6,267D36
Mr. Breezy,earth,stallion,"hsl(040, 49%, 78%)","hsl(024, 88%, 61%)","hsl(196, 100%, 65%)",1180843,True,7DB092,4E403B,85B66D
Brindle Young,earth,stallion,"hsl(000, 100%, 100%)","hsl(000, 100%, 100%)","hsl(000, 100%, 100%)",2121542,False,ABD9D3,7446A4,FFFFFF
Burdock Hooffield,earth,stallion,"hsl(38, 73%, 80%)","hsl(351, 56%, 49%)","hsl(187, 39%, 40%)",5230602,False,5176A9,D7E5FE,271448
ShopkeeperBurlap,earth,stallion,"hsl(046, 43%, 79%)","hsl(048, 13%, 43%)","hsl(093, 65%, 65%)",5011309,False,BAAEBC,9AB1D0,A6DDD0
Bush League,earth,stallion,"hsl(190, 33%, 60%)","hsl(51, 65%, 64%)","hsl(205, 93%, 83%)",5060007,False,8FEAFF,515C51,81C75C
Business Savvy,earth,stallion,"hsl(045, 55%, 89%)","hsl(000, 0%, 27%)","hsl(177, 31%, 33%)",4080332,False,677883,34302D,DFB449
Caboose,earth,stallion,"hsl(023, 33%, 47%)","hsl(051, 73%, 91%)","hsl(107, 68%, 65%)",1210001,True,C1DCC8,946D57,4EBFD0
Dancing ClownsponyCaramel,earth,stallion,"hsl(045, 85%, 69%)","hsl(022, 27%, 46%)","hsl(198, 42%, 49%)",1110456,True,A09E9C,FFFFFF,9769BF
Charlie Coal,earth,stallion,"hsl(253, 13%, 64%)","hsl(242, 18%, 37%)","hsl(263, 11%, 64%)",2260557,False,FFD36B,FFF3A3,C4E95D
Cheese Curls,earth,stallion,"hsl(044, 100%, 65%)","hsl(022, 97%, 39%)","hsl(100, 100%, 63%)",4120548,False,FFFFFF,68553B,78A9FC
Cherry Fizzy,earth,stallion,"hsl(041, 57%, 66%)","hsl(000, 0%, 20%)","hsl(097, 80%, 60%)",1030356,True,866546,73664E,76BAE5
Cherry Gold,earth,stallion,"hsl(051, 100%, 77%)","hsl(036, 70%, 45%)","hsl(140, 93%, 73%)",4241838,False,D9D2AF,484C60,6193D1
Cherry Strudel,earth,stallion,"hsl(041, 61%, 67%)","hsl(216, 60%, 70%)","hsl(090, 65%, 56%)",1211612,True,DECE96,EAD986,898087
Chocolate Haze,earth,stallion,"hsl(335, 5%, 44%)","hsl(351, 9%, 32%)","hsl(340, 5%, 42%)",1030227,True,9D9DC3,367D6F,64A3B9
Classy Clover,earth,stallion,"hsl(145, 24%, 59%)","hsl(067, 26%, 68%)","hsl(163, 22%, 33%)",2260557,False,A2856D,E03E51,3661B0
Janitor PonyClean Sweep,earth,stallion,"hsl(172, 38%, 76%)","hsl(233, 27%, 52%)","hsl(224, 65%, 30%)",5041840,False,CDEF9A,544326,84CAF5
Cobalt,earth,stallion,"hsl(215, 35%, 49%)","hsl(016, 14%, 27%)","hsl(330, 3%, 27%)",2260557,False,F6F1AC,827464,70FAE7
Comb Over,earth,stallion,"hsl(291, 10%, 71%)","hsl(269, 40%, 46%)","hsl(051, 83%, 62%)",4061148,False,C3A97F,70BEE6,B9B341
Cormano,earth,stallion,"hsl(191, 100%, 78%)","hsl(219, 95%, 92%)","hsl(101, 98%, 64%)",1211556,True,F8F5DD,9190B6,DACA62
Count Caesar,earth,stallion,"hsl(204, 12%, 46%)","hsl(215, 36%, 71%)","hsl(054, 39%, 47%)",1030726,True,227396,FFFCFA,8DE232
Organic BakerCracked Wheat,earth,stallion,"hsl(136, 27%, 81%)","hsl(120, 6%, 34%)","hsl(125, 56%, 33%)",8080531,False,1C827B,E4E66B,B950F2
Ancient Beast DealerCratus,earth,stallion,"hsl(030, 2%, 62%)","hsl(023, 8%, 19%)","hsl(131, 53%, 32%)",4220454,False,FAA857,F6DA7E,DA344B
Creme Brulee,earth,stallion,"hsl(042, 100%, 71%)","hsl(022, 26%, 46%)","hsl(100, 33%, 57%)",1201506,True,529894,C37646,85D3FA
Crest Crown,earth,stallion,"hsl(000, 100%, 100%)","hsl(000, 0%, 100%)","hsl(000, 100%, 100%)",1141352,True,D89B55,3E3C3D,2F7BB1
Crusoe Palm,earth,stallion,"hsl(029, 31%, 40%)","hsl(052, 100%, 82%)","hsl(262, 57%, 18%)",1011951,True,FFDC6B,6D5531,7795EE
Flashy PonyDance Fever,earth,stallion,"hsl(050, 36%, 77%)","hsl(034, 28%, 32%)","hsl(166, 45%, 76%)",2170352,False,D1D7E0,FCFAF7,6D94B6
Davenport,earth,stallion,"hsl(047, 52%, 73%)","hsl(039, 19%, 38%)","hsl(099, 49%, 57%)",1241037,True,FCF9E9,B83700,44C1D5
Diamond Cutter,earth,stallion,"hsl(240, 24%, 69%)","hsl(232, 14%, 33%)","hsl(043, 70%, 58%)",4221234,False,BAA773,30246A,99C96E
Dirtbound,earth,stallion,"hsl(027, 22%, 53%)","hsl(050, 70%, 72%)","hsl(188, 58%, 56%)",4200300,False,F4A857,343232,4F618C
Masked Pony 2Doctor Spring Bud,earth,stallion,"hsl(84, 72%, 77%)","hsl(168, 40%, 35%)","hsl(272, 40%, 58%)",6231754,False,D7D4D8,FFFFFF,64A8D8
Don Neigh,earth,stallion,"hsl(056, 80%, 82%)","hsl(353, 72%, 56%)","hsl(076, 76%, 64%)",4081504,False,A1725E,65395F,DBC14D
Dr. Hooves,earth,stallion,"hsl(037, 36%, 63%)","hsl(037, 38%, 24%)","hsl(218, 96%, 73%)",1011956,True,C0CAA5,952D35,9ED2FF
Duce Switchell,earth,stallion,"hsl(053, 66%, 92%)","hsl(032, 13%, 45%)","hsl(203, 68%, 68%)",4172013,False,EB8D84,DE8F3F,9A71B7
Eiffel,earth,stallion,"hsl(198, 63%, 36%)","hsl(200, 70%, 67%)","hsl(213, 55%, 60%)",1011846,True,E6EFB9,BD3F3D,6DD364
Emerald Beacon,earth,stallion,"hsl(176, 64%, 31%)","hsl(242, 21%, 64%)","hsl(316, 4%, 52%)",2260555,False,F1E9D0,524833,4DFFF3
Emerald Green,earth,stallion,"hsl(030, 94%, 66%)","hsl(019, 100%, 99%)","hsl(196, 38%, 56%)",1161037,True,E5D19E,91B1DE,255D8D
End Zone,earth,stallion,"hsl(176, 30%, 46%)","hsl(61, 71%, 66%)","hsl(219, 53%, 45%)",8010703,False,B5A073,CFDE5E,3983B1
Evening Star,earth,stallion,"hsl(032, 63%, 59%)","hsl(046, 87%, 73%)","hsl(203, 85%, 74%)",1210001,True,E7DEA2,71333D,3AF8A9
Fahal Alkhayl,earth,stallion,"hsl(46, 100%, 71%)","hsl(23, 51%, 52%)","hsl(172, 93%, 71%)",7180639,False,7F2F8E,F5F4BC,F5D856
Felix,earth,stallion,"hsl(216, 19%, 85%)","hsl(330, 02%, 24%)","hsl(057, 48%, 49%)",1260340,True,AD7F5C,3D3659,A17E26
Newspaper PonyFine Print,earth,stallion,"hsl(50, 75%, 95%)","hsl(36, 38%, 31%)","hsl(52, 62%, 62%)",5160951,False,8C6B54,F4D990,DDD831
Frederick Horseshoepin,earth,stallion,"hsl(044, 34%, 59%)","hsl(029, 50%, 98%)","hsl(089, 75%, 54%)",1261015,True,A0CAC3,6D7471,56E1CA
Free Throw,earth,stallion,"hsl(31, 88%, 65%)","hsl(18, 100%, 36%)","hsl(279, 86%, 63%)",5100005,False,CAA072,C3BC97,80C2E5
Funnel Web,earth,stallion,"hsl(285, 5%, 84%)","hsl(250, 49%, 28%)","hsl(352, 69%, 53%)",7091938,False,EBE399,6D5946,7693B2
Full Steam,earth,stallion,"hsl(018, 26%, 50%)","hsl(000, 1%, 20%)","hsl(200, 92%, 75%)",1210001,True,FCFCFC,7A7A7A,6EC3D8
Fuzzy Slippers,earth,stallion,"hsl(076, 26%, 72%)","hsl(000, 0%, 100%)","hsl(205, 58%, 44%)",2161657,False,F5B451,DCBE7A,C12588
Bassist PonyGeorge Horrsen,earth,stallion,"hsl(5, 72%, 72%)","hsl(309, 28%, 31%)","hsl(225, 78%, 70%)",5111453,False,C4AB78,605439,9DD5DD
Bearded HollowvianGinger Beard,earth,stallion,"hsl(69, 62%, 83%)","hsl(355, 54%, 38%)","hsl(208, 33%, 57%)",,False,FCFCFC,E3A5CB,A4EB6B
Attendant PonyGinger Locks,earth,stallion,"hsl(45, 53%, 88%)","hsl(30, 71%, 56%)","hsl(188, 63%, 55%)",7020537,False,C76952,F8FE9F,C5DEE2
Gingerbread,earth,stallion,"hsl(043, 58%, 76%)","hsl(001, 51%, 49%)","hsl(092, 46%, 61%)",3081839,False,A785BC,4789B3,254E79
Globe Trotter,earth,stallion,"hsl(041, 31%, 58%)","hsl(041, 23%, 26%)","hsl(222, 28%, 43%)",2080756,False,C9C9C9,57658E,3A6B1A
Goldengrape,earth,stallion,"hsl(052, 59%, 77%)","hsl(215, 54%, 72%)","hsl(205, 60%, 62%)",1070140,True,BCBDC8,E08F3E,8AD171
Grape Crush,earth,stallion,"hsl(291, 50%, 37%)","hsl(067, 66%, 62%)","hsl(049, 66%, 58%)",3130202,False,CEC77E,CBA352,8851B8
Gravedigger Hooffield,earth,stallion,"hsl(26, 33%, 52%)","hsl(350, 38%, 32%)","hsl(208, 100%, 81%)",5230452,False,509F99,B3A35B,F3C853
Saddle Arabian StallionHaakim,earth,stallion,"hsl(024, 25%, 44%)","hsl(059, 74%, 85%)","hsl(275, 33%, 58%)",3052031,False,DACCA4,3F3127,2B55B1
Hammerhead McColt,earth,stallion,"hsl(170, 29%, 71%)","hsl(251, 24%, 28%)","hsl(115, 56%, 61%)",5230739,False,715B47,A67859,9CACC9
Hammerstrike,earth,stallion,"hsl(31, 45%, 62%)","hsl(44, 82%, 76%)","hsl(176, 100%, 65%)",7160452,False,9F8465,564A68,6FC0D3
Harry Trotter​[​dubious – discuss‍​]​,earth,stallion,"hsl(054, 67%, 76%)","hsl(160, 3%, 44%)","hsl(208, 58%, 35%)",2261733,False,DBA257,BEBECA,9A8B5B
Hay Fever,earth,stallion,"hsl(000, 0%, 99%)","hsl(050, 27%, 68%)","hsl(203, 51%, 46%)",2170337,False,C1A467,27A7CE,79DA2F
Heisenbuck,earth,stallion,"hsl(36, 89%, 64%)","hsl(30, 22%, 35%)","hsl(155, 93%, 60%)",8050951,False,F4E8C3,C4E3E0,562951
Hercules,earth,stallion,"hsl(040, 39%, 62%)","hsl(000, 0%, 48%)","hsl(049, 89%, 65%)",1260525,True,93704D,985734,233D80
EMT PonyHermes,earth,stallion,"hsl(000, 0%, 99%)","hsl(042, 58%, 67%)","hsl(043, 62%, 39%)",4100824,False,A4A0C0,57699E,F8E272
Sousaphonist PonyHill Song,earth,stallion,"hsl(012, 51%, 55%)","hsl(042, 26%, 30%)","hsl(058, 72%, 53%)",4111323,False,BFAB7D,454545,C26BA2
Horseshoe Comet,earth,stallion,"hsl(277, 29%, 63%)","hsl(324, 53%, 77%)","hsl(170, 70%, 61%)",6200046,False,CDDEEF,363032,F3D458
Hughbert Jellius,earth,stallion,"hsl(000, 00%, 79%)","hsl(064, 98%, 81%)","hsl(201, 66%, 70%)",2170404,False,C77952,B1598C,002952
Icy Drop,earth,stallion,"hsl(234, 10%, 76%)","hsl(203, 43%, 49%)","hsl(211, 28%, 58%)",1031247,True,6CA7A1,1F3E47,75B8FF
Bold ArchaeologistIndiana Pones,earth,stallion,"hsl(55, 45%, 65%)","hsl(225, 24%, 45%)","hsl(192, 58%, 64%)",7251206,False,E4AA67,154FAC,3785D2
Iron Bark,earth,stallion,"hsl(175, 33%, 47%)","hsl(30, 72%, 56%)","hsl(322, 68%, 45%)",7160452,False,A9DBD4,C9CFCA,C89246
Jeff Letrotski,earth,stallion,"hsl(044, 42%, 75%)","hsl(040, 54%, 56%)","hsl(187, 48%, 74%)",2060054,False,5B8EBE,9D6F53,83AB4F
Jeff Trotsworthy,earth,stallion,"hsl(029, 23%, 36%)","hsl(049, 37%, 53%)","hsl(093, 76%, 67%)",4172013,False,8A776A,A65DD0,88C8F6
Jelly Vine,earth,,,,,,False,D8FF85,444346,62DC4C
Jesús Pezuña,earth,stallion,"hsl(032, 23%, 51%)","hsl(026, 24%, 20%)","hsl(188, 33%, 83%)",2060050,False,88B2F1,297DD1,D0DFF0
Jim Beam,earth,stallion,"hsl(034, 65%,60%)","hsl(024, 30%,50%)","hsl(211, 53%, 31%)",2080957,False,8E6D3E,AFE9DF,7D88D8
Manehattan DelegateJoe Pescolt,earth,stallion,"hsl(41, 42%, 58%)","hsl(264, 17%, 35%)","hsl(96, 61%, 26%)",5100015,False,D9D7DF,454545,34EFD9
John Bull,earth,stallion,"hsl(045, 69%, 86%)","hsl(240, 10%, 77%)","hsl(104, 51%, 63%)",1210001,True,7373AB,55619B,C9E6FD
Silent Magician PonyJosehoof Teller,earth,stallion,"hsl(30, 31%, 44%)","hsl(194, 68%, 48%)","hsl(272, 42%, 52%)",6200043,False,C3C7D5,534F46,6F9CF6
Eyeshade PonyKarat,earth,stallion,"hsl(248, 20%, 69%)","hsl(174, 35%, 83%)","hsl(044, 87%, 64%)",2171623,False,CED0DE,937C53,7E8B82
Kazooie,earth,stallion,"hsl(042, 34%, 62%)","hsl(021, 49%, 40%)","hsl(221, 61%, 43%)",2040237,False,C3B283,212A2C,438ECB
Klein,earth,stallion,"hsl(210, 52%, 87%)","hsl(225, 29%, 48%)","hsl(219, 29%, 70%)",1030227,True,BDA375,F9EAAE,30376E
Duke of MaretoniaKyrippos II,earth,stallion,"hsl(020, 51%, 55%)","hsl(000, 0%, 27%)","hsl(191, 53%, 63%)",4240440,False,B86A3D,7B4819,9142A9
Lapis Hauyne,earth,stallion,"hsl(174, 25%, 54%)","hsl(336, 5%, 20%)","hsl(46, 26%, 48%)",6130114,False,CD8256,E1CF98,DBBE4D
