player,nation,clubname,age,position,starts,minutes,matches_played,playing_time_90,goals,assists,penalty_kick_attempts,penalty_kicks,non_penalty_goals,yellow_cards,red_cards
Max Meyer,de,Crystal Palace,25-194,"FW,MF",0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Connor Wickham,eng,Crystal Palace,28-000,"FW,MF",0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Woods,eng,Crystal Palace,22-201,DF,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Ward-Prowse,eng,Southampton,26-150,MF,29,2610.0,29,29.0,7.0,5.0,2.0,2.0,5.0,4.0,0.0
Jan Bednarek,pl,Southampton,24-353,DF,29,2515.0,29,27.9,1.0,1.0,0.0,0.0,1.0,3.0,1.0
Ryan Bertrand,eng,Southampton,31-238,DF,27,2418.0,27,26.9,0.0,1.0,0.0,0.0,0.0,5.0,0.0
Alex McCarthy,eng,Southampton,31-118,GK,25,2250.0,25,25.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Che Adams,sco,Southampton,24-261,FW,24,2165.0,28,24.1,7.0,4.0,0.0,0.0,7.0,1.0,0.0
Stuart Armstrong,sco,Southampton,29-001,MF,23,1979.0,24,22.0,3.0,4.0,0.0,0.0,3.0,3.0,0.0
Kyle Walker-Peters,eng,Southampton,23-352,DF,21,1870.0,21,20.8,0.0,1.0,0.0,0.0,0.0,4.0,0.0
Jannik Vestergaard,dk,Southampton,28-240,DF,20,1845.0,21,20.5,3.0,0.0,0.0,0.0,3.0,2.0,0.0
Oriol Romeu,es,Southampton,29-188,MF,20,1732.0,20,19.2,1.0,1.0,0.0,0.0,1.0,6.0,0.0
Danny Ings,eng,Southampton,28-251,FW,20,1686.0,22,18.7,8.0,3.0,2.0,2.0,6.0,1.0,0.0
Theo Walcott,eng,Southampton,32-015,"MF,FW",15,1234.0,15,13.7,2.0,2.0,0.0,0.0,2.0,0.0,0.0
Moussa Djenepo,ml,Southampton,22-289,MF,14,1106.0,22,12.3,1.0,0.0,0.0,0.0,1.0,4.0,0.0
Jack Stephens,eng,Southampton,27-063,DF,12,1087.0,13,12.1,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Nathan Redmond,eng,Southampton,27-025,"MF,FW",10,1080.0,20,12.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
Ibrahima Diallo,fr,Southampton,22-023,MF,7,650.0,14,7.2,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Takumi Minamino,jp,Southampton,26-074,"MF,FW",5,410.0,6,4.6,2.0,0.0,0.0,0.0,2.0,0.0,0.0
Fraser Forster,eng,Southampton,33-014,GK,4,360.0,4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Salisu,gh,Southampton,21-348,DF,4,351.0,5,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nathan Tella,eng,Southampton,21-269,"FW,MF",3,448.0,11,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
William Smallbone,ie,Southampton,21-038,MF,2,172.0,3,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shane Long,ie,Southampton,34-068,"FW,MF",1,210.0,11,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yan Valery,fr,Southampton,22-037,"DF,MF",1,103.0,3,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kayne Ramsey,eng,Southampton,20-172,DF,1,90.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Jake Vokins,eng,Southampton,21-014,DF,1,66.0,1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexandre Jankewitz,ch,Southampton,19-096,MF,1,3.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Dan Nlundulu,eng,Southampton,22-054,FW,0,110.0,12,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caleb Watts,au,Southampton,19-074,"MF,FW",0,39.0,3,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Michael Obafemi,ie,Southampton,20-268,FW,0,14.0,1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allan Tchaptchet,fr,Southampton,19-100,DF,0,13.0,1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kgagelo Chauke,eng,Southampton,18-082,MF,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Will Ferry,ie,Southampton,19-114,FW,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Finnigan,eng,Southampton,17-189,MF,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harry Lewis,eng,Southampton,23-101,GK,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federico Pereira,uy,Liverpool,21-035,DF,35,3100.0,35,34.4,3.0,0.0,0.0,0.0,3.0,3.0,1.0
Hernán Figueredo,uy,Liverpool,35-320,MF,32,2903.0,34,32.3,5.0,0.0,0.0,0.0,5.0,11.0,0.0
Camilo Cándido,uy,Liverpool,25-302,MF,32,2846.0,34,31.6,3.0,0.0,0.0,0.0,3.0,15.0,1.0
Lucas Ocampo,uy,Liverpool,23-128,MF,30,2545.0,33,28.3,9.0,0.0,0.0,0.0,9.0,3.0,0.0
Juan Ignacio Ramírez,uy,Liverpool,26-058,FW,27,2327.0,30,25.9,24.0,0.0,8.0,8.0,16.0,8.0,0.0
Fabricio Díaz,uy,Liverpool,18-056,MF,26,2303.0,34,25.6,0.0,0.0,0.0,0.0,0.0,13.0,0.0
Franco Gastón Romero,uy,Liverpool,26-048,DF,25,2307.0,28,25.6,5.0,0.0,0.0,0.0,5.0,6.0,1.0
Gonzalo Pérez,uy,Liverpool,20-086,DF,23,2071.0,24,23.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Sebastián Lentinelly,uy,Liverpool,23-236,GK,22,1994.0,23,22.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Christian Almeida,uy,Liverpool,31-096,DF,20,1756.0,20,19.5,3.0,0.0,0.0,0.0,3.0,3.0,1.0
Bruno Correa,uy,Liverpool,29-247,MF,19,1687.0,28,18.7,1.0,0.0,0.0,0.0,1.0,2.0,1.0
Jean Pierre Rosso,uy,Liverpool,23-358,DF,16,1354.0,21,15.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
Martín Fernández,uy,Liverpool,19-327,MF,16,1310.0,27,14.6,1.0,0.0,0.0,0.0,1.0,2.0,0.0
Andrés Mehring,ar,Liverpool,26-346,GK,14,1246.0,14,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alan Medina,uy,Liverpool,22-355,FW,14,1173.0,18,13.0,5.0,0.0,0.0,0.0,5.0,1.0,0.0
Gastón Pérez,uy,Liverpool,21-163,MF,10,896.0,21,10.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0
Ezequiel Escobar,uy,Liverpool,21-361,FW,9,819.0,14,9.1,2.0,0.0,0.0,0.0,2.0,0.0,1.0
Agustin Dávila,uy,Liverpool,22-085,FW,8,689.0,15,7.7,1.0,0.0,0.0,0.0,1.0,2.0,0.0
Emiliano Alfaro,uy,Liverpool,32-337,FW,5,463.0,10,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gonzalo Bueno,uy,Liverpool,28-074,FW,4,369.0,11,4.1,3.0,0.0,0.0,0.0,3.0,1.0,0.0
Ernesto Goñi,uy,Liverpool,36-077,DF,3,279.0,4,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucas Ribeiro,uy,Liverpool,20-264,FW,2,167.0,7,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guillermo Firpo,uy,Liverpool,32-257,MF,1,92.0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gustavo Viera,uy,Liverpool,20-161,FW,1,78.0,2,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joel Acosta,ar,Liverpool,30-074,"FW,MF",1,60.0,1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maximiliano Pereira,uy,Liverpool,27-340,DF,1,51.0,1,0.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Álex Vázquez,uy,Liverpool,19-022,MF,0,254.0,15,2.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Facundo Trinidad,uy,Liverpool,18-351,MF,0,209.0,8,2.3,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Diego Cor,uy,Liverpool,20-268,FW,0,127.0,7,1.4,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Mateo Abeijón,uy,Liverpool,21-195,FW,0,42.0,2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucas Lemos,uy,Liverpool,21-033,DF,0,15.0,5,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Rodrigo Ferreyra,uy,Liverpool,20-057,FW,0,8.0,2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gastón Martirena,uy,Liverpool,21-085,DF,0,7.0,1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santiago Amorín,uy,Liverpool,26-203,GK,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Álvaro Gracés,uy,Liverpool,20-049,DF,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stuart Dallas,nir,Leeds United,29-346,"DF,MF",29,2600.0,29,28.9,5.0,2.0,0.0,0.0,5.0,5.0,0.0
Luke Ayling,eng,Leeds United,29-218,DF,29,2589.0,29,28.8,0.0,0.0,0.0,0.0,0.0,5.0,0.0
Patrick Bamford,eng,Leeds United,27-207,FW,29,2434.0,29,27.0,14.0,6.0,1.0,1.0,13.0,2.0,0.0
Illan Meslier,fr,Leeds United,21-029,GK,28,2520.0,28,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack Harrison,eng,Leeds United,24-131,MF,26,2150.0,28,23.9,6.0,5.0,0.0,0.0,6.0,2.0,0.0
Mateusz Klich,pl,Leeds United,30-291,MF,25,2098.0,29,23.3,3.0,5.0,2.0,2.0,1.0,6.0,0.0
Raphael Dias Belloli,br,Leeds United,24-107,MF,21,1888.0,24,21.0,6.0,5.0,0.0,0.0,6.0,3.0,0.0
Liam Cooper,sco,Leeds United,29-213,DF,21,1871.0,21,20.8,1.0,0.0,0.0,0.0,1.0,3.0,0.0
Kalvin Phillips,eng,Leeds United,25-119,MF,21,1842.0,21,20.5,0.0,2.0,0.0,0.0,0.0,7.0,0.0
Ezgjan Alioski,mk,Leeds United,29-047,"DF,MF",20,1708.0,27,19.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0
Pascal Struijk,nl,Leeds United,21-232,"DF,MF",17,1512.0,19,16.8,1.0,0.0,0.0,0.0,1.0,2.0,0.0
Rodrigo,es,Leeds United,30-025,"MF,FW",12,1063.0,20,11.8,3.0,1.0,0.0,0.0,3.0,2.0,0.0
Robin Koch,de,Leeds United,24-257,DF,11,909.0,12,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hélder Costa,pt,Leeds United,27-078,MF,10,929.0,19,10.3,3.0,3.0,0.0,0.0,3.0,0.0,0.0
Tyler Roberts,wal,Leeds United,22-078,"MF,FW",8,841.0,18,9.3,0.0,2.0,0.0,0.0,0.0,2.0,0.0
Diego Llorente,es,Leeds United,27-227,DF,6,541.0,7,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Jamie Shackleton,eng,Leeds United,21-174,"MF,DF",3,460.0,12,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pablo Hernández,es,Leeds United,35-354,MF,2,341.0,13,3.8,0.0,2.0,0.0,0.0,0.0,1.0,0.0
Kiko Casilla,es,Leeds United,34-180,GK,1,90.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ian Carlo Poveda,eng,Leeds United,21-050,"MF,DF",0,253.0,10,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Niall Huggins,wal,Leeds United,20-103,DF,0,38.0,1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leif Davis,eng,Leeds United,21-078,DF,0,33.0,2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gaetano Berardi,ch,Leeds United,32-222,DF,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mateusz Bogusz,pl,Leeds United,19-221,MF,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elia Caprile,it,Leeds United,19-218,GK,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oliver Casey,eng,Leeds United,20-168,DF,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie Cresswell,eng,Leeds United,18-114,DF,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Gelhardt,eng,Leeds United,18-331,FW,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack Jenkins,eng,Leeds United,19-008,MF,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grace Fisk,eng,West Ham United,23-085,DF,16,1440.0,16,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Gilly Flaherty,eng,West Ham United,29-219,DF,15,1293.0,15,14.4,0.0,0.0,0.0,0.0,0.0,4.0,1.0
Emily van Egmond,au,West Ham United,27-262,"MF,FW",14,1342.0,16,14.9,4.0,2.0,0.0,0.0,4.0,1.0,0.0
Mackenzie Arnold,au,West Ham United,27-034,GK,13,1170.0,13,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Laura Vetterlein,de,West Ham United,28-358,DF,13,1137.0,13,12.6,0.0,1.0,0.0,0.0,0.0,4.0,1.0
Cecilie Kvamme,no,West Ham United,25-142,DF,12,1066.0,14,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adriana Leon,ca,West Ham United,28-180,FW,11,1003.0,13,11.1,1.0,1.0,0.0,0.0,1.0,2.0,0.0
Martha Thomas,sco,West Ham United,24-304,FW,11,904.0,11,10.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
Kateřina Svitková,cz,West Ham United,25-011,"MF,DF",11,865.0,13,9.6,2.0,0.0,0.0,0.0,2.0,2.0,0.0
Kate Longhurst,eng,West Ham United,31-333,MF,10,862.0,12,9.6,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Kenza Dali,fr,West Ham United,29-243,"MF,FW",9,816.0,12,9.1,2.0,2.0,1.0,0.0,2.0,1.0,0.0
Rachel Daly,eng,West Ham United,29-115,"FW,DF",8,765.0,9,8.5,3.0,1.0,0.0,0.0,3.0,4.0,0.0
Cho So-hyun,kr,West Ham United,32-280,"MF,DF",8,699.0,9,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mayumi Pacheco,eng,West Ham United,22-218,DF,7,681.0,11,7.6,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Alisha Lehmann,ch,West Ham United,22-069,FW,5,398.0,9,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lois Joel,eng,West Ham United,21-302,"DF,MF",3,278.0,5,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Courtney Brosnan,ie,West Ham United,25-141,GK,3,270.0,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dagný Brynjarsdóttir,is,West Ham United,29-233,MF,3,263.0,3,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ruby Grant,eng,West Ham United,18-350,"MF,FW",2,205.0,6,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leanne Kiernan,ie,West Ham United,21-338,FW,2,196.0,6,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nor Mustafa,se,West Ham United,19-122,FW,0,54.0,7,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hawa Cissoko,fr,West Ham United,23-355,"MF,DF",0,39.0,6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maisey Barker,eng,West Ham United,19-006,MF,0,22.0,2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wiktoria Kiszkis,pl,West Ham United,17-290,FW,0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mia Cruickshank,eng,West Ham United,0,DF,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anouk Denton,eng,West Ham United,17-326,DF,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angie Dunbar,eng,West Ham United,0,MF,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emily Ramsey,eng,West Ham United,20-135,GK,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karl Darlow,eng,Newcastle United,30-174,GK,25,2250.0,25,25.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Isaac Hayden,eng,Newcastle United,26-009,"MF,DF",22,1942.0,24,21.6,0.0,0.0,0.0,0.0,0.0,8.0,0.0
Callum Wilson,eng,Newcastle United,29-032,FW,21,1812.0,21,20.1,10.0,5.0,4.0,4.0,6.0,2.0,0.0
Jamal Lewis,nir,Newcastle United,23-065,DF,20,1830.0,23,20.3,0.0,1.0,0.0,0.0,0.0,4.0,0.0
Jonjo Shelvey,eng,Newcastle United,29-032,MF,20,1807.0,21,20.1,1.0,1.0,0.0,0.0,1.0,4.0,0.0
Miguel Almirón,py,Newcastle United,27-049,"MF,FW",19,1658.0,25,18.4,4.0,1.0,0.0,0.0,4.0,1.0,0.0
Jamaal Lascelles,eng,Newcastle United,27-140,DF,18,1535.0,18,17.1,2.0,0.0,0.0,0.0,2.0,4.0,0.0
Ciaran Clark,ie,Newcastle United,31-186,DF,17,1565.0,18,17.4,1.0,0.0,0.0,0.0,1.0,3.0,0.0
Joelinton,br,Newcastle United,24-229,"FW,MF",17,1536.0,23,17.1,1.0,2.0,0.0,0.0,1.0,3.0,0.0
Jeff Hendrick,ie,Newcastle United,29-059,MF,17,1407.0,19,15.6,2.0,1.0,0.0,0.0,2.0,3.0,1.0
Federico Fernández,ar,Newcastle United,32-038,DF,16,1381.0,16,15.3,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Fabian Schär,ch,Newcastle United,29-101,DF,13,1210.0,16,13.4,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Allan Saint-Maximin,fr,Newcastle United,24-019,"FW,MF",12,956.0,16,10.6,2.0,3.0,0.0,0.0,2.0,0.0,0.0
Javier Manquillo,es,Newcastle United,26-330,DF,10,817.0,12,9.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ryan Fraser,sco,Newcastle United,27-035,"FW,MF",9,928.0,18,10.3,0.0,2.0,0.0,0.0,0.0,2.0,1.0
Emil Krafth,se,Newcastle United,26-241,DF,9,868.0,11,9.6,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Sean Longstaff,eng,Newcastle United,23-152,"MF,FW",9,841.0,13,9.3,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Jacob Murphy,eng,Newcastle United,26-035,"DF,MF",8,824.0,17,9.2,1.0,2.0,0.0,0.0,1.0,2.0,0.0
Joe Willock,eng,Newcastle United,21-223,MF,7,589.0,7,6.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Matt Ritchie,sco,Newcastle United,31-202,"DF,MF",6,547.0,9,6.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Paul Dummett,wal,Newcastle United,29-186,DF,5,445.0,6,4.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0
DeAndre Yedlin,us,Newcastle United,27-265,DF,5,436.0,6,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andy Carroll,eng,Newcastle United,32-084,FW,4,385.0,16,4.3,1.0,0.0,0.0,0.0,1.0,1.0,0.0
Matthew Longstaff,eng,Newcastle United,21-010,MF,4,377.0,5,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Martin Dúbravka,sk,Newcastle United,32-075,GK,4,360.0,4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dwight Gayle,eng,Newcastle United,30-165,"FW,MF",2,301.0,11,3.3,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Elliot Anderson,sco,Newcastle United,18-145,MF,0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mark Gillespie,eng,Newcastle United,29-004,GK,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Langley,eng,Newcastle United,20-093,GK,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Johnstone,eng,West Bromwich Albion,28-006,GK,28,2520.0,28,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Semi Ajayi,ng,West Bromwich Albion,27-142,DF,24,2099.0,24,23.3,2.0,0.0,0.0,0.0,2.0,3.0,1.0
Darnell Furlong,eng,West Bromwich Albion,25-151,DF,23,2122.0,26,23.6,1.0,2.0,0.0,0.0,1.0,4.0,0.0
Conor Gallagher,eng,West Bromwich Albion,21-053,MF,22,1972.0,23,21.9,2.0,2.0,0.0,0.0,2.0,8.0,0.0
Matheus Pereira,br,West Bromwich Albion,24-330,"MF,FW",22,1875.0,25,20.8,5.0,3.0,2.0,2.0,3.0,2.0,1.0
Dara O'Shea,ie,West Bromwich Albion,22-027,DF,20,1803.0,22,20.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Kyle Bartley,eng,West Bromwich Albion,29-313,DF,19,1780.0,21,19.8,3.0,1.0,0.0,0.0,3.0,3.0,0.0
Romaine Sawyers,kn,West Bromwich Albion,29-149,MF,17,1487.0,19,16.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Conor Townsend,eng,West Bromwich Albion,28-027,DF,16,1424.0,16,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake Livermore,eng,West Bromwich Albion,31-137,MF,15,1224.0,16,13.6,0.0,0.0,0.0,0.0,0.0,2.0,1.0
Callum Robinson,ie,West Bromwich Albion,26-057,"FW,MF",15,1184.0,21,13.2,2.0,0.0,0.0,0.0,2.0,0.0,0.0
Grady Diangana,eng,West Bromwich Albion,22-346,"MF,FW",14,1088.0,16,12.1,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Karlan Grant,eng,West Bromwich Albion,23-194,"FW,MF",14,1086.0,17,12.1,1.0,0.0,0.0,0.0,1.0,1.0,0.0
Matt Phillips,sco,West Bromwich Albion,30-018,"MF,DF",13,1118.0,24,12.4,1.0,1.0,0.0,0.0,1.0,1.0,0.0
Kieran Gibbs,eng,West Bromwich Albion,31-186,DF,9,809.0,10,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Branislav Ivanović,rs,West Bromwich Albion,37-037,DF,8,754.0,12,8.4,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Mbaye Diagne,sn,West Bromwich Albion,29-154,FW,8,727.0,9,8.1,1.0,1.0,0.0,0.0,1.0,1.0,0.0
Ainsley Maitland-Niles,eng,West Bromwich Albion,23-214,MF,7,630.0,7,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Okay Yokuşlu,tr,West Bromwich Albion,27-022,MF,6,529.0,7,5.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Robert Snodgrass,sco,West Bromwich Albion,33-205,"MF,FW",6,526.0,8,5.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Filip Krovinović,hr,West Bromwich Albion,25-214,MF,5,546.0,11,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lee Peltier,eng,West Bromwich Albion,34-110,DF,3,229.0,4,2.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Kamil Grosicki,pl,West Bromwich Albion,32-296,"FW,MF",2,148.0,3,1.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Kyle Edwards,eng,West Bromwich Albion,23-042,"MF,FW",1,118.0,5,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Button,eng,West Bromwich Albion,32-032,GK,1,90.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmed Hegazi,eg,West Bromwich Albion,30-065,DF,1,90.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hal Robson-Kanu,wal,West Bromwich Albion,31-314,"FW,MF",0,281.0,13,3.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Charlie Austin,eng,West Bromwich Albion,31-269,FW,0,138.0,5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Field,eng,West Bromwich Albion,22-327,MF,0,62.0,3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rekeem Harper,eng,West Bromwich Albion,21-023,MF,0,32.0,2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cédric Kipré,ci,West Bromwich Albion,24-112,DF,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andy Lonergan,ie,West Bromwich Albion,37-163,GK,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheikh Sidya Diaby,fr,West Bromwich Albion,21-024,FW,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kasper Schmeichel,dk,Leicester City,34-146,GK,29,2610.0,29,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Youri Tielemans,be,Leicester City,23-328,MF,28,2547.0,29,28.3,6.0,3.0,2.0,2.0,4.0,6.0,0.0
James Justin,eng,Leicester City,23-036,DF,23,2070.0,23,23.0,2.0,1.0,0.0,0.0,2.0,4.0,0.0
Jonny Evans,nir,Leicester City,33-087,DF,23,2023.0,23,22.5,0.0,1.0,0.0,0.0,0.0,7.0,0.0
Jamie Vardy,eng,Leicester City,34-079,FW,22,2047.0,25,22.7,12.0,7.0,7.0,6.0,6.0,1.0,0.0
Harvey Barnes,eng,Leicester City,23-112,"FW,MF",22,1945.0,25,21.6,9.0,4.0,0.0,0.0,9.0,0.0,0.0
James Maddison,eng,Leicester City,24-128,"MF,FW",18,1628.0,23,18.1,8.0,5.0,0.0,0.0,8.0,4.0,0.0
Wesley Fofana,fr,Leicester City,20-104,DF,18,1596.0,19,17.7,0.0,0.0,0.0,0.0,0.0,5.0,0.0
Timothy Castagne,be,Leicester City,25-116,DF,18,1535.0,18,17.1,1.0,2.0,0.0,0.0,1.0,1.0,0.0
Wilfred Ndidi,ng,Leicester City,24-105,"MF,DF",16,1402.0,17,15.6,1.0,3.0,0.0,0.0,1.0,3.0,0.0
Nampalys Mendy,sn,Leicester City,28-281,MF,15,1367.0,20,15.2,0.0,1.0,0.0,0.0,0.0,5.0,0.0
Marc Albrighton,eng,Leicester City,31-133,"FW,DF",12,1247.0,22,13.9,0.0,4.0,0.0,0.0,0.0,2.0,0.0
Çağlar Söyüncü,tr,Leicester City,24-312,DF,12,1189.0,16,13.2,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Ayoze Pérez,es,Leicester City,27-251,"FW,MF",12,963.0,17,10.7,2.0,0.0,0.0,0.0,2.0,1.0,0.0
Dennis Praet,be,Leicester City,26-321,"MF,FW",9,654.0,13,7.3,1.0,1.0,0.0,0.0,1.0,0.0,0.0
Ricardo Pereira,pt,Leicester City,27-176,"DF,FW",8,728.0,10,8.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Kelechi Iheanacho,ng,Leicester City,24-179,FW,8,727.0,16,8.1,6.0,0.0,1.0,0.0,6.0,0.0,0.0
