id,title,type,author_name,image_url,date,month,week_start
39S1L,Skating season getting shorter,d3-lines,Deen,//img.datawrapper.de/yV32n/6bac6846ee5f4b94ae476cc53a3cf2ca/full.png,2022-02-09,February,2022-02-07
IJa9P,Xinjiang exports,tables,Stiles,//img.datawrapper.de/BdIW6/cb90b2c2597734c84ea34322232eceee/full.png,2022-02-09,February,2022-02-07
A13lJ,Strides in educating Afghan girls,stacked-column-chart,Matthews,//img.datawrapper.de/iuiSh/f2229969e0c750669ce0eddcca671347/full.png,2022-02-09,February,2022-02-07
9FHGO,Xinjiang exports,d3-maps-choropleth,Stiles,//img.datawrapper.de/mDFbV/4477cd51aa5a16d7b5721700494356a3/full.png,2022-02-09,February,2022-02-07
SHWQg,Fewer media outlets operate in Afghanistan after government collapse,grouped-column-chart,Deen,,2022-02-09,February,2022-02-07
5YY8b,Gender disparity in journalism grows after fall of Afghan government,grouped-column-chart,Deen,,2022-02-09,February,2022-02-07
j9mfV,Xinjiang exports by year,d3-bars,Stiles,,2022-02-09,February,2022-02-07
zUp1q,Xinjiang,locator-map,Stiles,,2022-02-09,February,2022-02-07
xkvlh,Natural gas imports to the EU,d3-area,Matthews,,2022-02-09,February,2022-02-07
yYQmG,Viewership of the Oscars has plummeted,d3-lines,Matthews,,2022-02-08,February,2022-02-07
VHPlO,Outdoor ice skating season,d3-bars-grouped,Deen,,2022-02-08,February,2022-02-07
BlFnH,Hate crime convictions by state,d3-maps-choropleth,Deen,,2022-02-07,February,2022-02-07
5h5SC,Hate crime conviction rate increases,d3-bars-stacked,Deen,,2022-02-07,February,2022-02-07
6a1YX,Hate crime prosecutions by U.S. attorneys remain steady over 15-year period,d3-bars-stacked,Deen,,2022-02-07,February,2022-02-07
8WsLr,Demand for transplants by organ,d3-bars-stacked,Deen,,2022-02-04,February,2022-01-31
8t6Jh,Updated jobs report ,column-chart,Deen,,2022-02-04,February,2022-01-31
XwjKi,The Olympics as a unifier,d3-bars-stacked,Stiles,,2022-02-01,February,2022-01-31
X5K7W,Air strikes over time,tables,Stiles,,2022-02-01,February,2022-01-31
IMWLx,Airstrikes over time,column-chart,Stiles,,2022-02-01,February,2022-01-31
ZAFfV,School-age children in low-income countries are less likely to have internet,d3-bars,Matthews,,2022-02-01,February,2022-01-31
xGxCx,Households with internet access,d3-maps-choropleth,Matthews,,2022-01-31,January,2022-01-31
tHwlH,Winter Olympics advertising,d3-bars-stacked,Stiles,,2022-01-29,January,2022-01-24
ErSQY,Support for diplomatic boycott,d3-bars-stacked,Stiles,,2022-01-29,January,2022-01-24
JuA7v,Americans split on China and Olympics,d3-bars-stacked,Stiles,,2022-01-29,January,2022-01-24
QFEWT,Abortion access without Roe,d3-maps-choropleth,Matthews,,2022-01-28,January,2022-01-24
f3VRV,Abortion access under Roe,d3-maps-choropleth,Matthews,,2022-01-28,January,2022-01-24
Q43IU,Most have abortions early in pregnancy,d3-bars,Matthews,,2022-01-27,January,2022-01-24
CxGE5,People who get abortions are mostly in their 20s,d3-bars,Matthews,,2022-01-27,January,2022-01-24
imku2,Racial and ethnic breakdown of people who got abortions in 2019,d3-bars,Matthews,,2022-01-26,January,2022-01-24
qtPIS,Abortion rates by state,d3-maps-choropleth,Matthews,,2022-01-26,January,2022-01-24
GbSOh,Other characteristics of people who got abortions in 2019,d3-bars-stacked,Matthews,,2022-01-26,January,2022-01-24
Sc8fJ,Global school closures,d3-maps-choropleth,Stiles,,2022-01-26,January,2022-01-24
6ZhOZ,Sequencing covid-19 in the U.S.,d3-area,Matthews,,2022-01-24,January,2022-01-24
LXp5f,Partisan split on election trust,d3-bars-stacked,Stiles,,2022-01-24,January,2022-01-24
ZO4KP,The U.S. lags in covid-19 sequencing,d3-bars,Matthews,,2022-01-21,January,2022-01-17
QwUwJ,U.S. covid-19 testing over time,d3-area,Matthews,,2022-01-21,January,2022-01-17
J0NXS,Cases in China,d3-area,Stiles,,2022-01-21,January,2022-01-17
87b5K,China's recent outbreaks,d3-maps-symbols,Matthews,,2022-01-21,January,2022-01-17
8DPiU,Travel distance to nearest abortion provider,d3-maps-choropleth,Matthews,,2022-01-20,January,2022-01-17
KqG7P,Who's leading the battery boom?,stacked-column-chart,Matthews,,2022-01-18,January,2022-01-17
h5bly,Housing prices have spiked everywhere,d3-lines,Matthews,,2022-01-18,January,2022-01-17
2tX5W,Change in home price index,d3-lines,Matthews,,2022-01-18,January,2022-01-17
yrvFU,Rental prices on the rise,d3-lines,Matthews,,2022-01-18,January,2022-01-17
RpHeE,Views on spending and taxes,d3-bars-stacked,Matthews,,2022-01-17,January,2022-01-17
goAK8,Support for the death penalty,d3-bars-stacked,Matthews,,2022-01-17,January,2022-01-17
k0r9E,Planned coal power retirements,column-chart,Levitan,,2022-01-17,January,2022-01-17
YCwBN,Republican views on abortion by trimester,d3-bars-stacked,Matthews,,2022-01-17,January,2022-01-17
YXTgL,Support for drug testing and benefits,d3-bars-stacked,Stiles,,2022-01-17,January,2022-01-17
UfSgi,Democratic views on abortion by trimester,d3-bars-stacked,Matthews,,2022-01-17,January,2022-01-17
wHpZs,Support for legal abortion by trimester,d3-bars-stacked,Matthews,,2022-01-17,January,2022-01-17
CNbCC,Public support for progressive policies,d3-bars-stacked,Matthews,,2022-01-17,January,2022-01-17
BjqjI,Trust in political parties on key issues,d3-bars-stacked,Stiles,,2022-01-12,January,2022-01-10
ULMU6,Where U.S. EV batteries are produced,d3-bars,Stiles,,2022-01-10,January,2022-01-10
8eOCq,Changes in spending patterns,d3-lines,Kwon,,2022-01-05,January,2022-01-03
YK9HF,"Energy, gas costs on the rise",d3-lines,Kwon,,2022-01-05,January,2022-01-03
noVPS,December tornadoes,column-chart,Levitan,,2022-01-05,January,2022-01-03
vbhfm,China's workforce declining,d3-lines,Stiles,,2022-01-05,January,2022-01-03
XsiJz,Child vaccine coverage by county,d3-maps-choropleth,Matthews,,2022-01-05,January,2022-01-03
97Ial,Recovery depends on the sector,d3-lines,Kwon,,2022-01-05,January,2022-01-03
E4prL,Employment is still recovering,d3-lines,Kwon,,2022-01-04,January,2022-01-03
eQVA7,Inflation at its highest level in years,d3-lines,Kwon,,2022-01-04,January,2022-01-03
L7nWU,Atlantic tropical cyclones forming in May,column-chart,Levitan,,2022-01-04,January,2022-01-03
Kx0Hx,Covid-19 outcomes vary for children by race,d3-bars-bullet,Matthews,,2022-01-04,January,2022-01-03
hdT28,Covid-19 outcomes vary for kids by race,d3-bars-bullet,Matthews,,2022-01-04,January,2022-01-03
vp2U0,Cumulative fossil fuel emissions in populous nations ,d3-bars,Matthews,,2022-01-03,January,2022-01-03
MK7Xa,President Joe Biden approval ratings,d3-lines,Stiles,,2021-12-31,December,2021-12-27
HFsY4,Covid-19 outcomes vary for children by race,d3-bars-bullet,Matthews,,2021-12-30,December,2021-12-27
fPc1n,China's defense spending,d3-lines,Stiles,,2021-12-29,December,2021-12-27
YIvMY,Global covid-19 vaccine coverage,d3-maps-choropleth,Matthews,,2021-12-29,December,2021-12-27
Wi8ll,More children were hospitalized with covid-19 in 2021,d3-area,Matthews,,2021-12-27,December,2021-12-27
7zFRV,President Joe Biden's ratings under water,d3-lines,Stiles,,2021-12-27,December,2021-12-27
XcjP2,Firearms checks spiked in 2020,stacked-column-chart,Stiles,,2021-12-26,December,2021-12-20
1IwUs,Cars got a lot more expensive,d3-lines,Kwon,,2021-12-25,December,2021-12-20
fO1it,Attitudes on Taiwan policy,d3-bars-stacked,Stiles,,2021-12-24,December,2021-12-20
s8LbV,Changing U.S. attitudes on Taiwan,d3-lines,Stiles,,2021-12-24,December,2021-12-20
RoJWo,Presidents suffer in midterms,tables,Stiles,,2021-12-23,December,2021-12-20
ohr4l,How do U.S. adults feel about these election policies?,d3-bars-stacked,Kwon,,2021-12-20,December,2021-12-20
QkCTj,The adaptation gap,column-chart,Levitan,,2021-12-20,December,2021-12-20
R78JZ,The pug peaked last fall. Is he making a comeback? ,column-chart,Stiles,,2021-12-19,December,2021-12-13
6cclD,Chinese population getting older,d3-lines,Stiles,,2021-12-18,December,2021-12-13
OrQxg,China's converging rates,d3-lines,Stiles,,2021-12-18,December,2021-12-13
ArfJt,China's aging population,d3-area,Stiles,,2021-12-17,December,2021-12-13
Bhc9M,Pregnancy and vaccine uptake,d3-lines,Matthews,,2021-12-15,December,2021-12-13
uMPPm,Pregnant pause on vaccines,d3-bars-stacked,Matthews,,2021-12-14,December,2021-12-13
dAQa9,Crime changes,d3-bars,Stiles,,2021-12-14,December,2021-12-13
O8EtZ,U.S. crime trends,d3-lines,Stiles,,2021-12-14,December,2021-12-13
ZAqhg,U.S. crime trends,d3-lines,Stiles,,2021-12-14,December,2021-12-13
fZDXO,Taiwan's close proximity to China,locator-map,Stiles,,2021-12-14,December,2021-12-13
yV32n,Homicide rate spiked in 2020,column-chart,Stiles,,2021-12-13,December,2021-12-13
BdIW6,U.S. homicides in context,d3-lines,Stiles,,2021-12-08,December,2021-12-06
iuiSh,Kobe's final flight,locator-map,Stiles,,2021-12-08,December,2021-12-06
mDFbV,Mexican Americans in major cities,d3-maps-symbols,Stiles,,2021-12-07,December,2021-12-06
