Name,Location,Stir/Shaken,PDF,Score,Created On,Updated On,Unnamed: 7
"CTI Telecom, Inc.",Hialeah Florida,IntermedProvider,,,2021-04-19,2021-06-23,(6)
"CTI Telecom, Inc.",Hialeah FL,No S/S,RMP,LR,2021-09-21,,(1)
"Cuba City Telephone Exchange CoDBA: LaGrant Connections, LLC",Cuba City WI,No S/S,RMP,LR,2021-06-25,,(5)
cubexis technologies llc,PakistanFOREIGN,No S/S,RMP,0,2021-10-01,,
"Cuero Computer Center, LLC",Cuero TX,No S/S,RMP,5,2021-09-21,,(1)
"Cumberland Connect, LLC",Clarksville TN,No S/S,RMP,LR,2021-06-25,,(4)
CUMBERLAND TELEPHONE COMPANY,Cumberland IA,No S/S,RMP,LR,2021-06-22,2021-06-30,(6)
"Cumby Telephone Coop., Inc.DBA: Personal Touch Communications",Cumby TX,No S/S,RMP,LR,2021-06-22,,(5)
"Cumulus Communications, Inc.DBA: CCi Voice LeBlanc Communications Group, Inc.Prev: LeBlanc Communications Group, Inc.",Redding CT,No S/S,RMP,5,2021-08-27,,(3)
"Cunningham Communications, Inc.DBA: Cunningham Telephone & Cable",Glen Elder KS,No S/S,RMP,LR,2021-06-01,,(5)
"Cunningham Telephone Co., Inc.DBA: Cunningham Telephone & Cable",Glen Elder Kansas,No S/S,RMP,LR,2021-06-01,2021-06-23,(6)
Curogram,Los Angeles CA,IntermedProvider,,,2021-09-27,,
"Current Calls, LLC",Costa Mesa CA,Partial S/S,RMP,2,2021-06-30,,(4)
"Custer Telephone Cooperative, Inc.DBA: Custer Telephone Broadband Services, LLC",Challis ID,Partial S/S,RMP,LR,2021-06-16,2021-06-23,(6)
Custom Cable LLLP,Miami FL,No S/S,RMP,LR,2021-09-28,,(1)
Custom Network Solutions,Paramus NJ,Partial S/S,RMP,NYS,2021-09-27,,(1)
"Custom Tel, LLC",Buffalo New York,IntermedProvider,,,2021-04-19,2021-06-19,(5)
"Custom TeleConnect, Inc.",Las Vegas NV,Partial S/S,RMP,NYS,2021-09-23,,(1)
"Custom WirthDBA: Custom Wirth, LLC",Kalamazoo MI,Complete S/S,,,2021-11-03,2021-11-04,
"Customer Service Intelligence, Inc.DBA: CSI, Inc.",Bella Vista AR,No S/S,RMP,NYS,2021-09-27,,(1)
"Cutter Communications, Inc. dba GCEC Telecom",Van Alstyne TX,No S/S,RMP,0,2021-06-04,2021-06-23,(6)
Cutting Edge Computers Inc.,North Branch MI,No S/S,RMP,LR,2021-09-10,,(1)
CWS,SpainFOREIGN,No S/S,RMP,LR,2021-09-24,,
CWVL Servicios y Tecnologia S.R.L,Dominican RepublicFOREIGN,No S/S,RMP,3,2021-08-06,,
Cyber Guardian Consulting Group,Kingston NY,Complete S/S,,,2021-09-29,,(1)
Cyber Mesa Computer Systems Incorporated,Santa Fe NM,No S/S,RMP,LR,2021-06-30,,(4)
Cyber Solutions INC,Anderson SC,No S/S,RMP,NYS,2021-09-20,,(1)
Cyber Technic LLCPrev: Tech Pad LLC,Sparks NV,IntermedProvider,,,2021-11-30,,
CyberAnnex Corp,FOREIGN,IntermedProvider,,,2021-11-03,,
"Cyberdyne Networks, IncDBA: Skynet Broadband",Enumclaw WA,No S/S,RMP,NYS,2021-09-15,2021-09-22,(2)
"CyberLynk Network, LLCDBA: Datacomm Plus",Franklin WI,No S/S,RMP,4,2021-08-26,,(3)
"CyberNet Communications, Inc.",Tarzana CA,Complete S/S,,,2021-09-13,,(1)
Cybertech Solutions IncDBA: Cybertrust IT Solutions Inc,Lake Forest CA,IntermedProvider,,,2021-09-30,,
Cybertex Solutions,Houston TX,Complete S/S,,,2021-10-13,,(1)
Cyburity,Huntsville AL,Partial S/S,RMP,LR,2021-09-10,,(1)
Cyford Technologies LLCDBA: Cyford Communications,conyers GA,IntermedProvider,,,2021-09-29,,
Cynderbox,Ocean View DE,Complete S/S,,,2021-10-21,,(1)
Cynjut Consulting Services LLCDBA: VOIP Nebraska,Bellevue NE,Complete S/S,,,2021-09-28,,(1)
Cyta,CyprusFOREIGN,No S/S,RMP,LR,2021-08-23,2021-09-17,(1)
"Cytracom, LLC",Plano TX,Complete S/S,,,2021-06-30,,(4)
D & P Digital Forensics LLCDBA: Texas Data and VoIP,Blue Ridge TX,Complete S/S,,,2021-12-15,,
D Network Services LLC,Dover DE,Partial S/S,RMP,1,2021-06-25,,(4)
"D'Ambrosio Consulting, L.L.C.DBA: Synergy Connect",Turnersville NJ,No S/S,RMP,4,2021-06-29,2021-08-05,(5)
D.C. Sutherland & Co. LimitedDBA: Sutherland & Co.,CanadaFOREIGN,Complete S/S,,,2021-11-02,,
"d2kh corpDBA: VSTeks, AddAJack",Friendswood TX,Complete S/S,,,2021-09-27,,(1)
D3UC LLCDBA: D3 Unified Communications,Rutherford NJ,No S/S,RMP,8,2021-06-28,,(4)
"D4US, LLC dba dimension4DBA: Dimension4",Miami Florida,IntermedProvider,,,2021-04-19,2021-06-19,(5)
"D4US, LLC dba dimension4",Miami FL,Partial S/S,RMP,2,2021-06-30,,(4)
DAILMER AG STUTTGARTDBA: DOJPrev: US TREASURY DEPARTMENT MBFS ESPN CBS,SLC Utah,IntermedProvider,,,2021-11-30,2021-12-04,(1)
Daily Tel,West Palm Beach FL,Partial S/S,RMP,LR,2021-10-05,,(1)
DAKOTA CENTRAL TELECOMMUNICATIONS COOPERATIVE,CARRINGTON ND,No S/S,RMP,0,2021-06-04,2021-06-23,(6)
"Dakota Internet Partners, IncDBA: DakotaPro, DakotaPro.biz, ProSvc",Tucson AZ,IntermedProvider,,,2021-09-30,,
"Dalton Telephone Company, Inc.",Colorado City CO,No S/S,RMP,7,2021-05-28,,(5)
"Daniels Business ServicesDBA: Daniels Business Services, Daniels Graphics, Daniels Group, Daniels Monitoring Services, Daniels Communications, Inc.",Asheville NC,Complete S/S,,,2021-10-26,,
Danitech Corp,Fruitland Park FL,Complete S/S,,,2021-09-28,,(1)
Danville Mutual Telephone Company,Danville IA,No S/S,RMP,LR,2021-06-13,,(5)
"Darien Telephone Company IncDBA: Darien Communications, Inc. Darien Long Distance",Darien GA,No S/S,RMP,LR,2021-06-25,,(4)
"Dark Blue Enterprises, Inc. dba UpLync Communications",Lafayette IN,Partial S/S,RMP,5,2021-09-28,,(1)
Dark POS Inc,Alpharetta GA,IntermedProvider,,,2021-10-07,,
"Data @ccess Communication, Inc.",San Juan PR,Complete S/S,,,2021-05-11,2021-05-12,(5)
Data Consulting Group,Charlotte NC,Complete S/S,,,2021-08-23,,(4)
"Data Cube Systems, IncPrev: Data Cube Telecom",Clermont FL,Complete S/S,,,2021-08-20,,(4)
Data Day Consulting Inc.DBA: DataPhones,Brooklyn NY,No S/S,RMP,NYS,2021-09-24,,(1)
Data Information ManagementDBA: Caricomm,Dubuque IA,No S/S,RMP,0,2021-09-28,,(1)
"Data Monster, LLC dba Total NetworksDBA: Total Networks",Phoenix AZ,IntermedProvider,,,2021-09-13,,
Data One Systems Inc.,JACKSONVILLE FL,Partial S/S,RMP,4,2021-06-23,,(5)
"Data Voice Options, LLC",Colorado Springs CO,Complete S/S,,,2021-11-22,,
Datacom Specialists,Cincinnati OH,No S/S,RMP,0,2021-09-29,,(1)
Datagroup Technologies Inc,Greenville NC,IntermedProvider,,,2021-09-24,,(1)
"Datahouse Technology, LLC",BIRMINGHAM AL,Complete S/S,,,2021-09-15,,(1)
DATAINSTREAM,Brookfield CT,Complete S/S,,,2021-09-23,,(1)
DATANEXT INNOVATIVE SOLUTIONS LLC,Chicago IL,IntermedProvider,,,2021-10-06,,
DataOne Asia (Phils) Inc.,PhilippinesFOREIGN,No S/S,RMP,NYS,2021-09-19,,
DataPro Computers LLC,North Bergen NJ,Partial S/S,RMP,3,2021-10-21,,(1)
"Datapro Telecom Solutions, LLC",River Edge NJ,No S/S,RMP,LR,2021-10-06,,(1)
Dataspindle LLC,Wilmington DE,No S/S,RMP,LR,2021-09-23,,(1)
Datatel Communications IncDBA: Datatel Inc,Miami FL,Complete S/S,,,2021-09-17,2021-11-10,(3)
"DataTel Services, Inc.DBA: Unlimited Conferencing;Excecutive Conferencing;Best Conference Call Provider;Flat Fee Conferencing",Mill Valley CA,No S/S,RMP,NYS,2021-09-16,,(1)
Datrang LLC.,Spokane WA,Complete S/S,,,2021-09-13,,(1)
Dauphin Telecom,GuadeloupeFOREIGN,No S/S,RMP,0,2021-08-06,2021-09-17,(1)
Davey Holdings LLCDBA: Silica Broadband,Prospect KY,Complete S/S,,,2021-09-28,,(1)
Daviess-Martin County Rural Telephone CorporationDBA: RTC Communications,Montgomery IN,Partial S/S,RMP,LR,2021-06-22,,(5)
Davosec LLCDBA: Universal Technical Solutions LLC.,Cypress TX,Partial S/S,RMP,NYS,2021-09-17,,(1)
DAWZ TELECOM INC,CanadaFOREIGN,Partial S/S,RMP,0,2021-07-06,2021-09-17,(1)
DayStarr LLC dba DayStarr Communications,OWOSSO MI,Partial S/S,RMP,5,2021-06-08,,(5)
"DCM Cable, Inc.DBA: Bridgenet Communications",Ocala FL,Partial S/S,RMP,LR,2021-06-30,,(4)
"DCP Services,Inc",Loxahatchee FL,Complete S/S,,,2021-06-28,,(4)
"DCT Telecom Group, LLC",Atlanta GA,No S/S,RMP,NYS,2021-09-28,,(1)
DE KALB TELEPHONE COOPERATIVE INCDBA: DTC Communications,ALEXANDRIA TN,No S/S,RMP,LR,2021-06-22,,(5)
De Mus IncDBA: Internetize.Me,North Hollywood CA,No S/S,RMP,3,2021-09-21,2021-11-05,(2)
DealerPeak,Portland OR,No S/S,RMP,LR,2021-09-29,,(1)
"Decatur Telephone Company, Inc.",Decatur MS,No S/S,RMP,LR,2021-06-21,,(5)
"Declaration Networks Group, IncDBA: NeuBeam",Vienna VA,Complete S/S,,,2021-08-26,,(3)
"Dedicated IT, LLCDBA: T5 TelecomPrev: T5 Telecom, Inc",Lake Park FL,No S/S,RMP,NYS,2021-09-16,,(1)
"Dedicated Professionals, LLC",Jacksonville FL,No S/S,RMP,NYS,2021-09-14,,(1)
"Deerfield Farmers' Telephone CompanyDBA: D & P Cable, Inc., D & P Communications, Inc., D & P Long Distance, Inc., TC3 Telecom, Inc., TC3 Net, Inc.",Petersburg MI,No S/S,RMP,LR,2021-06-15,,(5)
Definitive Resources,Tinley Park IL,IntermedProvider,,,2021-10-01,,
Dega Systems Inc.,New York NY,No S/S,RMP,LR,2021-12-08,,
Del Mar Corporation,New York City NY,No S/S,RMP,NYS,2021-12-22,,
Delacon Pty Limited,AustraliaFOREIGN,No S/S,RMP,5,2021-07-01,2021-09-17,(1)
"Delcambre Telephone Company, L.L.C.DBA: Delcambre Communications",Delcambre LA,Partial S/S,RMP,LR,2021-06-15,,(5)
Delhi Telephone Company,Delhi NY,No S/S,RMP,LR,2021-06-09,,(5)
"Dell Telephone Cooperative, Inc.",Dell City TX,No S/S,RMP,LR,2021-06-23,,(5)
Delta Carrier Group Inc,Lemont IL,Complete S/S,,,2021-09-28,,(1)
Delta CommunicationsDBA: Clearwave Communications,Harrisburg Illinois,IntermedProvider,,,2021-04-19,2021-06-19,(5)
Delta CommunicationsDBA: Clearwave Communications,Harrisburg IL,Complete S/S,,,2021-06-25,,(4)
"Delta County Tele-Comm, Inc.DBA: TDS",MADISON WI,Partial S/S,RMP,LR,2021-06-28,2021-11-30,(6)
Delta Fiber LLCDBA: DE LightSpeed; Delta Electric Power Association,Greenwood MS,Partial S/S,RMP,LR,2021-06-21,,(5)
"Delta Telecom, Inc.DBA: Delta Telecom of PA, Inc.",Poland OH,No S/S,RMP,NYS,2021-09-24,,(1)
DeMattia Resources LLCDBA: ALLTECH Solutions LLC,Davisville WV,No S/S,RMP,4,2021-07-28,,(4)
DEMOPOLIS CATV CO.,DEMOPOLIS AL,Complete S/S,,,2021-08-04,,(4)
Dendron Internet Services LLC,Laramie WY,No S/S,RMP,2,2021-09-22,,(1)
Denson Technologies,Billings MT,Complete S/S,,,2021-09-14,,(1)
DentistFind.com,CanadaFOREIGN,IntermedProvider,,,2021-10-12,2021-10-20,(1)
DENTON INTERNETDBA: Denton Internet,GAINESVILLE TX,Complete S/S,,,2021-09-28,2021-11-10,(2)
Deposit Dox. Inc.DBA: FaxBetter FaxBetter.com,Sarasota FL,IntermedProvider,,,2021-09-15,,
"Deposit Telephone Company, Inc.DBA: TDS",Madison WI,Partial S/S,RMP,LR,2021-06-28,2021-12-01,(6)
Desarrollo del Paseo SA de CV,MexicoFOREIGN,No S/S,RMP,NYS,2021-09-24,,
Descent Technologies,Berlin CT,No S/S,RMP,LR,2021-11-04,,
Deseret Digital MediaDBA: DDM Utah.com Agibly KSL Cars KSL Homes KSL Classifieds,Salt Lake City UT,No S/S,RMP,LR,2021-09-28,,(1)
"Design I.T. Solutions, LLC",Spokane WA,Complete S/S,,,2021-09-17,,(1)
Design Studios LLC,Coral Gables FL,Complete S/S,,,2021-09-25,,(1)
"Detel Wireless, LLCDBA: Conterra Networks",Charlotte North Carolina,IntermedProvider,,,2021-04-19,2021-06-30,(6)
"Detel Wireless, LLC",Charlotte NC,Partial S/S,RMP,LR,2021-06-30,,(4)
DevNull LLCDBA: Lexington Computer Support,Lexington KY,IntermedProvider,,,2021-09-28,,
"DFJB,LLCDBA: GlobalVision Open BroadbandPrev: ACSinc",Greenville SC,No S/S,RMP,LR,2021-06-27,2021-09-27,(5)
DFT Local Service Corporation,FREDONIA NY,No S/S,RMP,LR,2021-04-30,2021-06-23,(6)
DGCP TOP IT SOLUTIONS,Dominican RepublicFOREIGN,No S/S,RMP,4,2021-09-30,,
Dgnetrix Communications Inc.,CanadaFOREIGN,IntermedProvider,,,2021-10-19,,
Diabolocom,FranceFOREIGN,Complete S/S,,,2021-10-01,,
"Diagnotes, Inc.",Indianapolis IN,No S/S,RMP,NYS,2021-09-27,2021-11-19,
Dial Tower Inc,CanadaFOREIGN,No S/S,RMP,8,2021-10-10,,
Dial09Prev: Jp network solutions,Franklin park NJ,Complete S/S,,,2021-08-27,,(3)
"Dialect, LLC",Phoenix AZ,IntermedProvider,,,2021-08-05,,(4)
"Dialect, LLCPrev: BatchDialer",Phoenix AZ,Partial S/S,RMP,0,2021-10-04,,(1)
Dialertel LLC,Roselle NJ,Complete S/S,,,2021-07-08,,(4)
Dialink Corporation,San Mateo CA,Partial S/S,RMP,3,2021-09-17,,(1)
Dialog Telecommunications Inc.,Charlotte North Carolina,Partial S/S,RMP,4,2021-06-08,2021-06-17,(5)
"DIALOGA GROUP, LLC",New York NY,Complete S/S,,,2021-09-23,,(1)
DialogTechDBA: Invoca Inc,Chicago IL,Partial S/S,RMP,0,2021-06-23,2021-10-04,(7)
"Dialpad, Inc.Prev: Switch.co",San Francisco CA,Complete S/S,,,2021-06-30,,(4)
"Dialpath Networks, LLCDBA: DialPathPrev: DialPath, LLC",Atlanta GA,No S/S,RMP,4,2021-09-28,,(1)
DIALPYX LLC,New Brunswick NJ,Complete S/S,,,2021-09-24,,(1)
DialToneServices L.P.,San Francisco CA,No S/S,RMP,LR,2021-06-29,,(4)
"Dialwave, Inc.",New York NY,Complete S/S,,,2021-09-26,,(1)
Diamond Voice LLC,Cedar Hill TX,No S/S,RMP,NYS,2021-09-28,,(1)
"Dickey Rural Telephone CooperativeDBA: Dickey Rural Services, Dickey Rural Telephone Cooperative",ELLENDALE ND,No S/S,RMP,LR,2021-06-23,,(5)
"Dickeyville Telephone, LLCDBA: TDS",Madison WI,Partial S/S,RMP,LR,2021-06-28,2021-11-30,(6)
"DID Central, LLCDBA: DiDCentral, LLC",Sheridan Wyoming,IntermedProvider,,,2021-04-19,2021-09-02,(9)
"DID Central, LLCDBA: DiDCentral, LLC",Sheridan WY,Partial S/S,RMP,7,2021-05-13,2021-06-23,(6)
"DID Logic, INC.",Spokane WA,No S/S,RMP,0,2021-06-24,2021-06-25,(5)
"Didopoly, LLC",Mesa AZ,No S/S,RMP,5,2021-09-29,,(1)
DIDWW Ireland Limited,IrelandFOREIGN,Partial S/S,RMP,2,2021-06-29,2021-09-17,(1)
"Diehlnet Communications, LLC",Blythewood SC,No S/S,RMP,LR,2021-09-24,,(1)
"Digi Comm Enterprises, LLCDBA: DCTexas Internet",Tyler TX,No S/S,RMP,3,2021-08-23,,(4)
Digicel Caribbean LimitedDBA: Digicel (Jamaica) Ltd (formerly Mossel (Jamaica) Ltd),Cayman IslandsFOREIGN,No S/S,RMP,6,2021-09-02,2021-09-17,(2)
DigiFone MidOhio LLC,Columbus OH,IntermedProvider,,,2021-09-10,,(1)
Digihero,NetherlandsFOREIGN,No S/S,RMP,LR,2021-09-30,,
"DigiLink, Inc.",Marina Del Rey CA,Partial S/S,RMP,3,2021-06-17,,(5)
"DigiLink, Inc.",Marina Del Rey California,IntermedProvider,,,2021-04-19,2021-06-19,(5)
"Digitaiz, Inc.",Irvine CA,Complete S/S,,,2021-09-27,,(1)
"Digital Agent, LLCPrev: Digital Agent, Inc.",Atlanta GA,Complete S/S,,,2021-08-20,,(4)
Digital CashboxPrev: Digital Cashbox LLC,Omaha NE,No S/S,RMP,LR,2021-11-11,,
Digital Communications Consulting LLC,Green Bay WI,No S/S,RMP,NYS,2021-09-24,,(1)
"Digital Connections, Inc.DBA: Prodigi",Morgantown WV,No S/S,RMP,LR,2021-06-22,,(5)
Digital Crisis LLC,Houston TX,Complete S/S,,,2021-09-23,,(1)
Digital Division LLC,Lee's Summit MO,Complete S/S,,,2021-09-24,,(1)
Digital Lion LLC.,Glendale CA,Partial S/S,RMP,NYS,2021-09-24,,(1)
Digital Network Access Communications Inc.DBA: DNA Communications,Rochelle IL,No S/S,RMP,LR,2021-06-30,,(4)
"Digital Operation Management, LLC",Wilmington DE,Complete S/S,,,2021-09-26,,(1)
"Digital Pocket, LLC",New York NY,Complete S/S,,,2021-09-28,,(1)
"Digital Solutions Group, Inc",Brooklyn NY,Complete S/S,,,2021-09-25,,(1)
"Digital Telegraph Consulting, LLC",Jupiter FL,Complete S/S,,,2021-09-28,,(1)
"Digital West Networks, Inc.DBA: Norcast Communications Corporation Blue Rooster Telecom, Inc.Prev: Norcast Communications Corporation Blue Rooster Telecom, Inc.",San Luis Obispo CA,Partial S/S,RMP,LR,2021-06-23,,(5)
"digitalIpvoice, IncDBA: Prescott-Martini, LLC",Payson AZ,Complete S/S,,,2021-07-29,,(4)
"DigitalPath, Inc.",Chico CA,Complete S/S,,,2021-05-06,2021-06-23,(6)
"DigitalSpeed Communications, Inc.",West Conhohocker PA,No S/S,RMP,4,2021-06-30,,(4)
Digitcom Telecommunications,CanadaFOREIGN,IntermedProvider,,,2021-10-05,,
"Digivoice, LLC",Saint George UT,No S/S,RMP,7,2021-06-17,,(5)
DIGIWORLD SOLUTIONS CORPDBA: samuel PedrazaPrev: Samuel Pedraza,Miami FL,IntermedProvider,,,2021-09-27,,
Digixtel TelecomDBA: RingClearly Telecom,Dallas TX,IntermedProvider,,,2021-09-26,,(1)
Diller Telephone CoDBA: Diode Communications,Diller NE,No S/S,RMP,8,2021-06-01,2021-06-23,(6)
"Dingtone, Inc.",British Virgin IslandsFOREIGN,Complete S/S,,,2021-06-24,2021-06-30,(6)
"DiRAD Technologies, Inc.",Clifton Park NY,Partial S/S,RMP,LR,2021-09-16,,(1)
"Direct Communications Cedar Valley, LLC",Salt Lake City UT,No S/S,RMP,LR,2021-06-02,2021-06-09,(5)
"Direct Communications Rockland, Inc.",Rockland ID,No S/S,RMP,LR,2021-06-02,2021-06-09,(5)
Direct Leap Technologies Inc.,CanadaFOREIGN,No S/S,RMP,0,2021-10-08,,
DirectLink,Parker CO,Complete S/S,,,2021-09-30,,(1)
DirectMailers LLCDBA: Richard F Irwin LTD,Phoenix AZ,No S/S,RMP,NYS,2021-09-28,,(1)
DirectNet Corp,CanadaFOREIGN,Complete S/S,,,2021-09-30,,
DirectNetworks Inc,Madison WI,IntermedProvider,,,2021-09-21,,(1)
Directo Telecom SA de CVDBA: DirectoPrev: Talktel SA de CV,MexicoFOREIGN,No S/S,RMP,4,2021-06-30,2021-09-17,(1)
Disaster Networks,Springfield MO,Complete S/S,,,2021-09-15,,(1)
Disaster Recovery Center IncDBA: Teleira,Bluffdale UT,Complete S/S,,,2021-09-27,,(1)
Discount CLEC Services CorporationDBA: Florida Payphone Operations Montana TechComPrev: Discount CLEC Services Inc,Lake Worth FL,No S/S,RMP,LR,2021-07-01,,(4)
"Discount Long Distance, LLC",Las Vegas NV,No S/S,RMP,LR,2021-06-30,,(4)
DISH Wireless L.L.C.,Englewood CO,No S/S,RMP,LR,2021-09-08,,(2)
"Distributed Computing, Inc. dba Ten4pbx.comDBA: Ten4",Baltimore MD,No S/S,RMP,NYS,2021-09-24,,(1)
Distributel Communications Limited,CanadaFOREIGN,No S/S,RMP,NYS,2021-09-23,,
"Diverse Supply, Inc.DBA: Bluestream Connect",Oklahoma City OK,Complete S/S,,,2021-09-16,,(1)
Diversify Solution LLC,INVER GROVE HEIGHTS MN,Complete S/S,,,2021-08-25,,(4)
Dixa ApSDBA: Dixa,DenmarkFOREIGN,Partial S/S,RMP,LR,2021-10-27,,
Dixie Net Communications,Ripley MS,No S/S,RMP,LR,2021-09-28,,(1)
Dixon Acquisition LLCDBA: Central Scott Telephone Company; Dixon Telephone CompanyPrev: Dixon Telephone Company,Eldridge IA,No S/S,RMP,LR,2021-06-25,,(5)
DJIBOUTI TELECOM SADBA: AUCUNPrev: AUCUN,DjiboutiFOREIGN,Complete S/S,,,2021-07-11,,
dlivr Inc,Altadena CA,Complete S/S,,,2021-10-07,,(1)
DLS Computer Services,Lake in the Hills IL,No S/S,RMP,0,2021-06-24,,(5)
"DMCI Broadband, LLC",Reading MI,Complete S/S,,,2021-09-15,,(1)
"DMEA Utilities Services, LLCDBA: Elevate",Montrose CO,Complete S/S,,,2021-06-17,,(5)
"DMR COMMUNICATIONS, INC.DBA: Bubble Communications",Tustin CA,No S/S,RMP,1,2021-09-21,,(1)
Dnipro LLC,Roselle NJ,Complete S/S,,,2021-09-28,2021-09-29,(1)
"Dobson Technologies, Transport and Telecom SolutionsDBA: Dobson Fiber",Oklahoma City OK,No S/S,RMP,5,2021-05-26,2021-06-23,(6)
DOBSON TELEPHONE CO INC,Oklahoma City OK,No S/S,RMP,5,2021-05-26,2021-06-23,(6)
"DOCOMO PACIFIC, INC.DBA: Guam Cellular and Paging, Inc. Guam Cablevision, LLC",Tamuning GU,No S/S,RMP,LR,2021-06-30,,(4)
Dolphin IT-Systeme e.K.,GermanyFOREIGN,Complete S/S,,,2021-10-01,,
"DomainerSuite, Inc.","BC V0R 1T0 Denman Island, Canada",No S/S,RMP,0,2021-10-07,,(1)
doncupon.com llc,Chula Vista CA,Complete S/S,,,2021-09-28,,(1)
"Dorial Telecom, LLC",Miami Florida,IntermedProvider,,,2021-04-19,2021-06-19,(5)
Dotdigital EMEA LimitedPrev: Ellipsis Media Limited Dotmailer Limited,United KingdomFOREIGN,No S/S,RMP,2,2021-11-30,,
Double Eagle Communication Corp,Henderson NV,No S/S,RMP,LR,2021-07-11,,(4)
DOUBLE EAGLE VOICE & DATA SYSTEMS LLC,Manassas VA,Complete S/S,,,2021-11-01,,
"Douglas Services Inc, dba Douglas Fast NetDBA: Douglas Fast Net",Roseburg OR,No S/S,RMP,LR,2021-06-17,,(5)
"DoveTel Communications, LLC dba SyncGlobal TelecomDBA: SyncGlobal Telecom",Bremen GA,No S/S,RMP,LR,2021-06-10,2021-06-23,(6)
"Doylestown Communications, Inc. d/b/a Heritage Telephone Company d/b/a Ohio.net Internet ProvidersDBA: Heritage Telephone Company Ohio.Net Internet Providers",Doylestown OH,No S/S,RMP,LR,2021-06-16,2021-06-23,(6)
Doylestown Telephone Company,Doylestown OH,No S/S,RMP,LR,2021-06-16,,(5)
Dozier Technology Group dba Centric Technology SolutionsDBA: Centric Technology SolutionsPrev: DSCI,Rogers AR,Complete S/S,,,2021-10-29,2021-12-01,
DP Tech Group,Glendale Heights IL,Complete S/S,,,2021-09-13,2021-09-26,(2)
DPN ConsultingDBA: iT1 Solutions,Columbia SC,Complete S/S,,,2021-09-23,,(1)
Dravis Technologies LLC,MARLTON NJ,Complete S/S,,,2021-10-20,,(1)
Drips Holdings LLC,Akron OH,No S/S,RMP,NYS,2021-09-23,,(1)
Drive Mouse IncDBA: ClientDex,Yonkers NY,Complete S/S,,,2021-10-21,,(1)
Driven Element,Fort Worth TX,No S/S,RMP,NYS,2021-09-15,,(1)
Drop Inc,Hinsdale IL,Complete S/S,,,2021-09-27,,(1)
DS Communications LLC,Antelope CA,Partial S/S,RMP,NYS,2021-09-15,2021-09-18,(2)
"DSCI, LLC d/b/a TPx CommunicationsDBA: TPx Communications",Los Angeles CA,IntermedProvider,,,2021-06-28,,(4-1)
"DSI-ITI, Inc.",Falls Church Virginia,IntermedProvider,,,2021-04-19,2021-06-23,(6)
DSSELL Invest Inc,Miami FL,Complete S/S,,,2021-10-26,,
DSTECH Inc.Prev: Delcomp/SOFTEK,Escanaba MI,No S/S,RMP,NYS,2021-09-27,,(1)
"DTC Cable, Inc.",Delhi NY,No S/S,RMP,LR,2021-06-09,,(5)
DTS Limited,New ZealandFOREIGN,No S/S,RMP,2,2021-10-04,,
"Ducor Telephone CompanyDBA: Varcomm Broadband, Inc.",Ducor CA,No S/S,RMP,LR,2021-06-03,,(5)
Dumont Telephone Company,Dumont IA,No S/S,RMP,LR,2021-06-15,,(5)
"DUNBARTON TELEPHONE COMPANY, INC.",DUNBARTON NH,No S/S,RMP,LR,2021-05-11,2021-06-23,(6)
Dunkerton Telephone CooperativeDBA: Dunkerton Communications,Dunkerton IA,No S/S,RMP,LR,2021-06-22,2021-06-29,(6)
Dunkirk and Fredonia Telephone Company,Fredonia NY,No S/S,RMP,LR,2021-04-30,2021-06-23,(6)
Dunlap Printing LTD,Vancouver WA,No S/S,RMP,LR,2021-10-10,,(1)
"Dunnell Telephone Company, Inc.",Judson TX,Complete S/S,,,2021-09-15,,(1)
"Duo County Telephone Cooperative, Inc.DBA: Duo BroadbandPrev: Duo Telecom",Jamestown KY,Partial S/S,RMP,LR,2021-05-17,2021-06-23,(6)
Duratel LLC,Scottsdale AZ,Partial S/S,RMP,5,2021-06-08,,(5)
"DYL, LLC",Marina del Rey CA,No S/S,RMP,5,2021-09-29,,(1)
"Dyna Ring, LLC",San Antonio TX,No S/S,RMP,2,2021-09-11,,(1)
"DynaComm, Corp",Dearborn Heights MI,Complete S/S,,,2021-10-06,,(1)
"DynaLink Communications IncPrev: Voice Data Technologies, Inc.",Brooklyn NY,No S/S,RMP,NYS,2021-09-24,,(1)
Dynamic Network Support,Fort Lauderdale FL,No S/S,RMP,LR,2021-09-29,,(1)
Dynamic Packet Corporation,Newark DE,No S/S,RMP,1,2021-09-16,,(1)
"Dynamix Carrier Services, Inc",Miami FL,Complete S/S,,,2021-09-28,,(1)
E Street Communications,Englewood CO,Complete S/S,,,2021-06-08,,(5)
E-IT,Houston TX,Complete S/S,,,2021-10-20,,(1)
e-Tel,Paducah KY,No S/S,RMP,LR,2021-06-21,,(5)
E-Vergent.Com LLC,Racine WI,No S/S,RMP,LR,2021-07-02,,(4)
E-Vergent.Com LLC,Racine WI,IntermedProvider,,,2021-07-02,,(4)
"E. Ritter Communications, LLC d/b/a Ritter Communications, IncDBA: Ritter Communications",Jonesboro AR,No S/S,RMP,LR,2021-06-22,,(5)
"E. Ritter Telephone Company, LLCDBA: Ritter Communications",Marked Tree AR,No S/S,RMP,LR,2021-06-22,,(5)
E.N.M.R. Telephone CooperativeDBA: Plateau,Clovis NM,No S/S,RMP,LR,2021-06-29,,(4)
"E2open, LLC.",Austin TX,Complete S/S,,,2021-09-28,,(1)
"Eagle Telephone System, Incorporated",Richland OR,No S/S,RMP,LR,2021-06-30,,(4)
